expGroup	expName	condition_1	locusId	sysName	gene	desc	fit	t	conserved
stress	set3IT023	Carbenicillin disodium salt	CA264_00835	CA264_00835		hypothetical protein	1.58579461227823	5.82901987944347	FALSE
stress	set2IT079	Carbenicillin disodium salt	CA264_00855	CA264_00855		RNA helicase	-1.25131148724591	-6.31669448038095	FALSE
stress	set3IT023	Carbenicillin disodium salt	CA264_00855	CA264_00855		RNA helicase	-1.12138745962582	-6.62451558956984	FALSE
stress	set2IT079	Carbenicillin disodium salt	CA264_00860	CA264_00860		CPBP family intramembrane metalloprotease	-1.03408849847878	-5.7999156960864	FALSE
stress	set3IT023	Carbenicillin disodium salt	CA264_02155	CA264_02155		peptidase M23	-2.27541868903249	-10.9815804459449	FALSE
stress	set2IT079	Carbenicillin disodium salt	CA264_02155	CA264_02155		peptidase M23	-1.62958026572254	-7.84172526226102	FALSE
stress	set2IT079	Carbenicillin disodium salt	CA264_02255	CA264_02255		hypothetical protein	1.08561838479923	6.04703710772161	FALSE
stress	set3IT023	Carbenicillin disodium salt	CA264_02650	CA264_02650		DNA topoisomerase III	-1.26175664929996	-7.25152957300654	FALSE
stress	set2IT079	Carbenicillin disodium salt	CA264_03445	CA264_03445		anhydro-N-acetylmuramic acid kinase	1.44007664070758	8.88491899213624	FALSE
stress	set3IT023	Carbenicillin disodium salt	CA264_04570	CA264_04570		undecaprenyl-phosphate glucose phosphotransferase	-2.55529489309192	-13.3366227415283	FALSE
stress	set2IT079	Carbenicillin disodium salt	CA264_04570	CA264_04570		undecaprenyl-phosphate glucose phosphotransferase	-1.80308865749209	-12.1176813473435	FALSE
stress	set2IT079	Carbenicillin disodium salt	CA264_05010	CA264_05010		hypothetical protein	-1.39641373070061	-6.89029840520478	FALSE
stress	set2IT079	Carbenicillin disodium salt	CA264_07810	CA264_07810		hypothetical protein	-1.3627652879828	-7.40297549831451	FALSE
stress	set3IT023	Carbenicillin disodium salt	CA264_07810	CA264_07810		hypothetical protein	-1.33421299267173	-7.15782110782105	FALSE
stress	set2IT079	Carbenicillin disodium salt	CA264_08690	CA264_08690		dipeptide epimerase	1.33507233686242	10.4384574899492	FALSE
stress	set3IT023	Carbenicillin disodium salt	CA264_08690	CA264_08690		dipeptide epimerase	1.34821353234388	8.94086758708355	FALSE
stress	set3IT023	Carbenicillin disodium salt	CA264_08790	CA264_08790		LamB/YcsF family protein	-1.18099933231837	-5.21748179687982	FALSE
stress	set2IT079	Carbenicillin disodium salt	CA264_09050	CA264_09050		hypothetical protein	1.17165145200323	7.04768514983731	FALSE
stress	set3IT023	Carbenicillin disodium salt	CA264_10995	CA264_10995		hypothetical protein	-1.2531228852806	-6.58892020926732	TRUE
stress	set3IT023	Carbenicillin disodium salt	CA264_11245	CA264_11245		hypothetical protein	1.42644823870036	5.62304870604454	FALSE
stress	set3IT023	Carbenicillin disodium salt	CA264_11250	CA264_11250		hypothetical protein	1.01529712465819	8.05349882983951	FALSE
stress	set2IT079	Carbenicillin disodium salt	CA264_11250	CA264_11250		hypothetical protein	1.03863760578531	8.23244299112417	FALSE
stress	set3IT023	Carbenicillin disodium salt	CA264_12075	CA264_12075		PAS domain S-box protein	-1.39872987811841	-8.04740934784026	FALSE
stress	set3IT023	Carbenicillin disodium salt	CA264_12965	CA264_12965		hypothetical protein	-3.3011352990072	-5.63794961379921	FALSE
stress	set3IT023	Carbenicillin disodium salt	CA264_12970	CA264_12970		hypothetical protein	-1.63374905780658	-6.03513444768291	FALSE
stress	set3IT023	Carbenicillin disodium salt	CA264_14875	CA264_14875		hypothetical protein	1.36600383725855	11.1136917228096	FALSE
stress	set2IT079	Carbenicillin disodium salt	CA264_14875	CA264_14875		hypothetical protein	1.54632604209748	12.5730344915461	FALSE
stress	set3IT023	Carbenicillin disodium salt	CA264_15640	CA264_15640		hypothetical protein	-2.02679404273778	-10.9896839070188	FALSE
stress	set2IT079	Carbenicillin disodium salt	CA264_15640	CA264_15640		hypothetical protein	-1.77467174920645	-11.2147966650344	FALSE
stress	set2IT077	Carbenicillin disodium salt	CA264_16725	CA264_16725		hypothetical protein	-1.17455749913035	-8.20425641332334	FALSE
stress	set3IT021	Carbenicillin disodium salt	CA264_16725	CA264_16725		hypothetical protein	-1.1230569956961	-7.10730744469044	FALSE
stress	set2IT079	Carbenicillin disodium salt	CA264_16965	CA264_16965		hypothetical protein	1.48080059727421	9.26204274922258	FALSE
stress	set3IT023	Carbenicillin disodium salt	CA264_17445	CA264_17445		peptidase M28	2.7767433394324	7.74680299585885	FALSE
stress	set2IT079	Carbenicillin disodium salt	CA264_17445	CA264_17445		peptidase M28	3.08546131517203	7.37401550801746	FALSE
stress	set3IT023	Carbenicillin disodium salt	CA264_17450	CA264_17450		acyl-CoA thioesterase	2.62332462851395	7.33731774355627	FALSE
stress	set2IT079	Carbenicillin disodium salt	CA264_17450	CA264_17450		acyl-CoA thioesterase	3.23559868548313	7.96065302765165	FALSE
stress	set3IT023	Carbenicillin disodium salt	CA264_17455	CA264_17455		hypothetical protein	1.51385770880693	9.31121156557649	FALSE
stress	set2IT079	Carbenicillin disodium salt	CA264_17455	CA264_17455		hypothetical protein	1.56575330592718	10.1515695801047	FALSE
stress	set3IT023	Carbenicillin disodium salt	CA264_17530	CA264_17530		hemolysin	-1.29050050232796	-5.58929237505547	FALSE
stress	set3IT023	Carbenicillin disodium salt	CA264_18375	CA264_18375		T9SS C-terminal target domain-containing protein	-1.48007653682845	-7.39398061452671	FALSE
stress	set3IT023	Carbenicillin disodium salt	CA264_19210	CA264_19210		SAM-dependent methyltransferase	-1.67200086634379	-5.12943728245568	FALSE
stress	set3IT054	Ceftazidime hydrate	CA264_18375	CA264_18375		T9SS C-terminal target domain-containing protein	-1.44847169663137	-9.73876024702043	FALSE
stress	set3IT014	Ceftazidime hydrate	CA264_18375	CA264_18375		T9SS C-terminal target domain-containing protein	-1.40160373350113	-9.11703932971546	FALSE
stress	set3IT003	Cephalothin sodium salt	CA264_00030	CA264_00030		peptidoglycan-binding protein	-1.53897634836959	-7.31640838153215	FALSE
