orgId	expName	expDesc	timeZeroSet	num	nMapped	nPastEnd	nGenic	nUsed	gMed	gMedt0	gMean	cor12	mad12	mad12c	mad12c_t0	opcor	adjcor	gccor	maxFit	expGroup	expDescLong	mutantLibrary	person	dateStarted	setName	seqindex	media	temperature	pH	vessel	aerobic	liquid	shaking	condition_1	units_1	concentration_1	condition_2	units_2	concentration_2	condition_3	units_3	concentration_3	condition_4	units_4	concentration_4	growthPlate	growthWells
RPal_CGA009	set1S291	starvation outgrowth control in CAAc	9/1/24 RPal_CGA009_ML8_set1	3	3376235	62	2219884	2217774	372	1069.5	513.136048125868	0.201403701940243	0.152839407149179	0.628031222613042	0.623766597251833	0.182750868052262	-0.00626230044880236	-0.0131248855455466	0.987324701952145	survival outgrowth control	starvation outgrowth control in CAAc	RPal_CGA009_ML8	Rpal_Yasu	9/1/24	RPal_CGA009_ML8_set1	S291	CAAc			tube	Anaerobic									Light intensity	µmol photons/m2/s from a 60-W incandescent light bulb	30					
RPal_CGA009	set1S292	starvation outgrowth control in CAAc	9/1/24 RPal_CGA009_ML8_set1	4	3617024	89	2379604	2377120	399	1069.5	550.004627487274	0.235219459799176	0.158570492968499	0.613634210537096	0.623766597251833	0.210014165392404	0.00107152139611617	-0.0268686615103271	1.108039631171	survival outgrowth control	starvation outgrowth control in CAAc	RPal_CGA009_ML8	Rpal_Yasu	9/1/24	RPal_CGA009_ML8_set1	S292	CAAc			tube	Anaerobic									Light intensity	µmol photons/m2/s from a 60-W incandescent light bulb	30					
RPal_CGA009	set1S293	starvation outgrowth control in CAAc	9/1/24 RPal_CGA009_ML8_set1	5	3996731	108	2628807	2626186	437	1069.5	607.632114761684	0.223605159862339	0.171307560242162	0.625378038027678	0.623766597251833	0.186910258222419	0.023374545253052	-0.0232832090552875	1.16320370651739	survival outgrowth control	starvation outgrowth control in CAAc	RPal_CGA009_ML8	Rpal_Yasu	9/1/24	RPal_CGA009_ML8_set1	S293	CAAc			tube	Anaerobic									Light intensity	µmol photons/m2/s from a 60-W incandescent light bulb	30					
RPal_CGA009	set1S294	starvation outgrowth control in CAAc	9/1/24 RPal_CGA009_ML8_set1	6	4045022	113	2662470	2659739	444.5	1069.5	615.395418787598	0.237606367760231	0.156265410059295	0.618673518958369	0.623766597251833	0.194319979707316	0.0306408333666149	-0.0203727643587532	1.12517241486946	survival outgrowth control	starvation outgrowth control in CAAc	RPal_CGA009_ML8	Rpal_Yasu	9/1/24	RPal_CGA009_ML8_set1	S294	CAAc			tube	Anaerobic									Light intensity	µmol photons/m2/s from a 60-W incandescent light bulb	30					
RPal_CGA009	set1S295	starvation expt 1; 3 days; outgrowth in CAAc	9/1/24 RPal_CGA009_ML8_set1	7	3925502	111	2580968	2578503	429	1069.5	596.5994909764	0.266713994530027	0.155875210946796	0.615497723854374	0.623766597251833	0.234048023305821	0.0741405534159026	-0.0192762933484166	1.33626797845592	survival	starvation expt 1; 3 days; outgrowth in CAAc	RPal_CGA009_ML8	Rpal_Yasu	9/1/24	RPal_CGA009_ML8_set1	S295	PM_acetate			tube	Anaerobic									Light intensity	µmol photons/m2/s from a 60-W incandescent light bulb	30					
RPal_CGA009	set1S296	starvation expt 2; 3 days; outgrowth in CAAc	9/1/24 RPal_CGA009_ML8_set1	8	3684974	109	2424700	2422341	410.5	1069.5	560.467607589079	0.282283987998434	0.158868970644237	0.627636894902522	0.623766597251833	0.270674525985122	0.0632398241071808	-0.0334984535118364	0.996178251489138	survival	starvation expt 2; 3 days; outgrowth in CAAc	RPal_CGA009_ML8	Rpal_Yasu	9/1/24	RPal_CGA009_ML8_set1	S296	PM_acetate			tube	Anaerobic									Light intensity	µmol photons/m2/s from a 60-W incandescent light bulb	30					
RPal_CGA009	set1S297	starvation expt 3; 3 days; outgrowth in CAAc	9/1/24 RPal_CGA009_ML8_set1	9	3820269	89	2511706	2509201	424	1069.5	580.564784821842	0.265280162756852	0.155939743042581	0.627819030371346	0.623766597251833	0.218232010222255	0.0345044614646985	-0.0167496760296238	1.08686161938791	survival	starvation expt 3; 3 days; outgrowth in CAAc	RPal_CGA009_ML8	Rpal_Yasu	9/1/24	RPal_CGA009_ML8_set1	S297	PM_acetate			tube	Anaerobic									Light intensity	µmol photons/m2/s from a 60-W incandescent light bulb	30					
RPal_CGA009	set1S298	starvation expt 4; 3 days; outgrowth in CAAc	9/1/24 RPal_CGA009_ML8_set1	10	3647362	120	2397290	2394943	400	1069.5	554.128412771865	0.231810387697167	0.16808765485671	0.62487452493371	0.623766597251833	0.176798604746435	0.0562201151613821	-0.0312158548491677	1.46476758448681	survival	starvation expt 4; 3 days; outgrowth in CAAc	RPal_CGA009_ML8	Rpal_Yasu	9/1/24	RPal_CGA009_ML8_set1	S298	PM_acetate			tube	Anaerobic									Light intensity	µmol photons/m2/s from a 60-W incandescent light bulb	30					
RPal_CGA009	set1S299	starvation expt 1; 7 days; outgrowth in CAAc	9/1/24 RPal_CGA009_ML8_set1	11	3776366	122	2480428	2478072	414.5	1069.5	573.362332253586	0.32225219085394	0.153819391936926	0.619214777701009	0.623766597251833	0.288248376825877	0.0418330547298555	-0.015235197406315	1.14444457703063	survival	starvation expt 1; 7 days; outgrowth in CAAc	RPal_CGA009_ML8	Rpal_Yasu	9/1/24	RPal_CGA009_ML8_set1	S299	PM_acetate			tube	Anaerobic									Light intensity	µmol photons/m2/s from a 60-W incandescent light bulb	30					
RPal_CGA009	set1S300	starvation expt 2; 7 days; outgrowth in CAAc	9/1/24 RPal_CGA009_ML8_set1	12	3754547	117	2469561	2467198	412.5	1069.5	570.84636742249	0.306276585371271	0.16081749111348	0.610957709254101	0.623766597251833	0.202309765635951	0.0817512684456643	-0.0163019532390503	1.06472339180442	survival	starvation expt 2; 7 days; outgrowth in CAAc	RPal_CGA009_ML8	Rpal_Yasu	9/1/24	RPal_CGA009_ML8_set1	S300	PM_acetate			tube	Anaerobic									Light intensity	µmol photons/m2/s from a 60-W incandescent light bulb	30					
