orgId	locusId	sysName	geneName	desc	set1IT085 CPG	set1IT086 M63_quarter_strength	set1IT089 CPG	set1IT090 M63_quarter_strength	set2IT016 Plant=Tomato_MoneyMaker; PlantTreatment=exvivo_xylem_sap_from_healthy_plant; Sample=xylem_sap; Collection=25hr_after_growth_in_xylem_sap	set2IT019 Plant=Tomato_MoneyMaker; PlantTreatment=exvivo_xylem_sap_from_healthy_plant; Sample=xylem_sap; Collection=25hr_after_growth_in_xylem_sap	set2IT022 Plant=Tomato_MoneyMaker; PlantTreatment=exvivo_xylem_sap_from_healthy_plant; Sample=xylem_sap; Collection=25hr_after_growth_in_xylem_sap	set3IT043 M63_quarter_strength
RalstoniaPSI07	RPSI07_RS00025	RPSI07_RS00025		DNA-binding protein	-1.374	-0.276	-1.028	0.321	-0.245	-1.537	0.009	1.711
RalstoniaPSI07	RPSI07_RS00030	RPSI07_RS00030		UTP--glucose-1-phosphate uridylyltransferase	-0.500	0.544	0.126	0.184	-1.249	-1.425	0.806	-0.693
RalstoniaPSI07	RPSI07_RS00035	RPSI07_RS00035		MFS transporter	-2.292	1.160	-1.425	-0.096	-1.877	-2.154	-0.170	0.365
RalstoniaPSI07	RPSI07_RS00040	RPSI07_RS00040		sensor histidine kinase	-1.179	0.020	-1.378	0.791	0.450	0.636	-0.372	-0.748
RalstoniaPSI07	RPSI07_RS00045	RPSI07_RS00045		sigma-54-dependent Fis family transcriptional regulator	-1.327	0.578	-1.103	0.538	-1.402	-0.258	-0.974	-0.158
RalstoniaPSI07	RPSI07_RS00050	RPSI07_RS00050		YhfC family intramembrane metalloprotease	-1.651	0.098	0.231	-0.389	-1.264	-2.170	0.791	0.027
RalstoniaPSI07	RPSI07_RS00055	RPSI07_RS00055		hypothetical protein	-2.075	-1.324	-1.662	-0.519	-2.285	-0.137	-0.339	-0.369
RalstoniaPSI07	RPSI07_RS00060	RPSI07_RS00060		PAS domain S-box protein	0.379	-0.022	0.332	1.087	-0.794	-0.517	-0.374	-0.581
RalstoniaPSI07	RPSI07_RS00065	RPSI07_RS00065		leu/ile/val-binding periplasmic (pbp) ABC transporter protein	0.157	-0.486	-2.000	1.724	-1.216	0.163	0.119	-0.529
RalstoniaPSI07	RPSI07_RS00070	RPSI07_RS00070		branched-chain amino acid ABC transporter permease	1.008	1.485	0.488	-1.853	-3.769	0.569	-0.876	-0.126
RalstoniaPSI07	RPSI07_RS00075	RPSI07_RS00075		branched-chain amino acid ABC transporter permease	1.688	1.023	1.195	0.134	-0.774	0.693	-0.407	2.313
RalstoniaPSI07	RPSI07_RS00080	RPSI07_RS00080		ABC transporter ATP-binding protein	0.310	-1.102	0.010	-0.215	1.245	-0.332	-1.084	-0.388
RalstoniaPSI07	RPSI07_RS00085	RPSI07_RS00085		ABC transporter ATP-binding protein	0.865	0.482	0.756	0.948	-0.387	0.597	0.010	0.604
RalstoniaPSI07	RPSI07_RS00090	RPSI07_RS00090		LysR family transcriptional regulator	-0.337	-1.495	-0.253	1.168	-1.492	-1.694	0.500	-0.459
RalstoniaPSI07	RPSI07_RS00095	RPSI07_RS00095		hypothetical protein	0.415	0.959	-1.620	-0.050	-0.353	-0.342	-1.928	0.748
RalstoniaPSI07	RPSI07_RS00100	RPSI07_RS00100		hypothetical protein	-1.684	-0.768	-0.246	0.295	-0.451	0.034	-0.183	-0.001
RalstoniaPSI07	RPSI07_RS00105	RPSI07_RS00105		chloride channel protein	-0.284	-0.122	0.431	-0.725	-0.141	-0.083	-0.426	0.877
RalstoniaPSI07	RPSI07_RS00110	RPSI07_RS00110		hypothetical protein	-1.501	0.203	-0.181	-0.038	-0.962	-1.277	-1.608	0.136
RalstoniaPSI07	RPSI07_RS00115	RPSI07_RS00115		serine dehydratase	-0.395	1.324	-0.990	0.580	-1.268	0.930	0.341	1.552
RalstoniaPSI07	RPSI07_RS00120	RPSI07_RS00120		LysR family transcriptional regulator	-1.583	1.518	0.159	1.226	-1.345	-0.336	-1.430	0.430
RalstoniaPSI07	RPSI07_RS00125	RPSI07_RS00125		YbhB/YbcL family Raf kinase inhibitor-like protein	0.239	0.433	-1.194	-1.016	-0.686	-0.711	1.015	0.691
RalstoniaPSI07	RPSI07_RS00130	RPSI07_RS00130		carbohydrate porin	0.062	-0.412	-0.168	-0.677	-1.718	1.490	-0.284	-0.040
RalstoniaPSI07	RPSI07_RS00135	RPSI07_RS00135		hypothetical protein	-1.562	-0.026	-0.466	-0.919	0.737	-0.757	-1.175	0.527
RalstoniaPSI07	RPSI07_RS00140	RPSI07_RS00140		divalent metal cation transporter	0.741	0.573	0.324	0.440	-0.333	-1.748	-0.785	0.273
RalstoniaPSI07	RPSI07_RS00145	RPSI07_RS00145		HAMP domain-containing protein	-0.447	-0.628	-0.221	0.053	0.144	0.593	-1.383	1.985
RalstoniaPSI07	RPSI07_RS00150	RPSI07_RS00150		DNA-binding response regulator	-1.138	-1.340	-0.554	-0.155	-0.085	-1.645	0.726	-1.662
RalstoniaPSI07	RPSI07_RS00155	RPSI07_RS00155		CusA/CzcA family heavy metal efflux RND transporter	0.691	0.395	-0.929	-0.446	-1.471	-1.994	-0.586	-0.240
RalstoniaPSI07	RPSI07_RS00160	RPSI07_RS00160		efflux RND transporter periplasmic adaptor subunit	1.094	0.356	0.786	-0.311	-1.226	-0.704	0.899	1.629
RalstoniaPSI07	RPSI07_RS00165	RPSI07_RS00165		histidine kinase	-2.315	-1.194	-1.171	-1.011	-0.662	0.035	0.690	1.608
RalstoniaPSI07	RPSI07_RS00170	RPSI07_RS00170		GALA protein	-1.455	-1.418	-2.345	-0.572	-0.008	-1.968	-0.462	0.348
RalstoniaPSI07	RPSI07_RS00175	RPSI07_RS00175		protein phosphatase CheZ	0.036	-0.400	0.064	-0.428	-1.198	-0.427	-0.987	-0.111
RalstoniaPSI07	RPSI07_RS00180	RPSI07_RS00180		chemotaxis protein CheY	-1.549	-0.972	0.065	-0.728	-0.415	1.321	0.108	-0.146
