orgId	locusId	sysName	geneName	desc	set1IT067 CPG	set1IT068 M63_quarter_strength	set1IT071 CPG	set1IT072 M63_quarter_strength	set2IT036 CPG	set2IT037 M63_quarter_strength
RalstoniaUW163	UW163_RS00085	UW163_RS00085		terminase	0.024	0.163	0.094	-0.038	0.047	0.074
RalstoniaUW163	UW163_RS00090	UW163_RS00090		hypothetical protein	0.389	0.624	0.116	-0.062	0.090	0.097
RalstoniaUW163	UW163_RS00095	UW163_RS00095		hypothetical protein	0.053	0.311	0.204	0.148	0.702	0.247
RalstoniaUW163	UW163_RS00100	UW163_RS00100		DUF3489 domain-containing protein	0.043	0.014	-0.206	-0.376	-0.005	0.015
RalstoniaUW163	UW163_RS00105	UW163_RS00105		hypothetical protein	0.048	0.263	-0.014	0.518	-0.010	0.056
RalstoniaUW163	UW163_RS00110	UW163_RS00110		hypothetical protein	0.244	-0.120	-0.217	0.121	0.058	0.206
RalstoniaUW163	UW163_RS00115	UW163_RS00115		hypothetical protein	-0.143	0.340	0.041	0.183	0.167	-0.106
RalstoniaUW163	UW163_RS00120	UW163_RS00120		hypothetical protein	-0.014	-0.003	0.126	0.259	-0.047	-0.066
RalstoniaUW163	UW163_RS00125	UW163_RS00125		DNA methylase N-4	-0.045	0.067	0.038	0.170	0.135	-0.069
RalstoniaUW163	UW163_RS00130	UW163_RS00130		DNA methylase N-4	-0.109	-0.148	-0.098	-0.035	-0.012	-0.145
RalstoniaUW163	UW163_RS00135	UW163_RS00135		hypothetical protein	-0.013	0.072	0.017	-0.081	0.272	0.107
RalstoniaUW163	UW163_RS00145	UW163_RS00145		hypothetical protein	-0.146	-0.004	0.078	0.052	-0.007	-0.188
RalstoniaUW163	UW163_RS00155	UW163_RS00155		hypothetical protein	-0.123	0.185	-0.088	-0.113	0.113	-0.221
RalstoniaUW163	UW163_RS00160	UW163_RS00160		hypothetical protein	0.000	-0.013	0.038	0.001	0.235	-0.034
RalstoniaUW163	UW163_RS00165	UW163_RS00165		phage related protein	0.119	-0.109	0.349	0.138	0.446	0.142
RalstoniaUW163	UW163_RS00170	UW163_RS00170		hypothetical protein	-0.057	0.316	0.267	0.205	-0.301	-0.125
RalstoniaUW163	UW163_RS00175	UW163_RS00175		DDE transposase family protein	-0.276	-0.206	-0.008	0.095	0.093	0.197
RalstoniaUW163	UW163_RS00190	UW163_RS00190		hypothetical protein	-0.037	-0.098	-0.072	-0.069	0.016	-0.191
RalstoniaUW163	UW163_RS00195	UW163_RS00195		hypothetical protein	-0.124	-0.092	0.188	0.037	-0.159	-0.112
RalstoniaUW163	UW163_RS00200	UW163_RS00200		hypothetical protein	-0.016	0.151	-0.028	0.075	0.017	0.038
