expGroup	expName	condition_1	locusId	sysName	gene	desc	fit	t	conserved
anaerobic	set5H30	Sodium Fumarate dibasic	6935818	Sama_0036		protoporphyrinogen oxidase (RefSeq)	1.89247744526407	14.96731450949	FALSE
anaerobic	set5H30	Sodium Fumarate dibasic	6935867	Sama_0082		GGDEF domain-containing protein (RefSeq)	-1.16340966212632	-10.2807870858928	FALSE
anaerobic	set5H30	Sodium Fumarate dibasic	6935902	Sama_0117		formamidopyrimidine-DNA glycosylase (RefSeq)	1.68301928349683	6.3288068383999	FALSE
anaerobic	set5H30	Sodium Fumarate dibasic	6935906	Sama_0121		molybdopterin-guanine dinucleotide biosynthesis protein (RefSeq)	-1.90316223063533	-5.88057492925484	TRUE
anaerobic	set5H30	Sodium Fumarate dibasic	6935910	Sama_0125		response regulator receiver protein (RefSeq)	1.69694444157111	6.65032070480122	FALSE
anaerobic	set5H30	Sodium Fumarate dibasic	6935915	Sama_0130		menaquinone-specific isochorismate synthase, putative (RefSeq)	-2.44420569882881	-15.8631905592963	TRUE
anaerobic	set5H30	Sodium Fumarate dibasic	6935922	Sama_0137		molybdopterin biosynthesis protein MoeB (RefSeq)	-1.4949062804736	-7.61035720347833	TRUE
anaerobic	set5H30	Sodium Fumarate dibasic	6936058	Sama_0255		acetylornithine deacetylase (RefSeq)	2.02051195744709	15.8212444065299	FALSE
anaerobic	set5H30	Sodium Fumarate dibasic	6936325	Sama_0514		excinuclease ABC, A subunit (RefSeq)	-1.44083712420483	-10.7604006336537	FALSE
anaerobic	set5H30	Sodium Fumarate dibasic	6936347	Sama_0536		galactokinase (RefSeq)	1.87100551055181	14.0623443737513	FALSE
anaerobic	set5H30	Sodium Fumarate dibasic	6936423	Sama_0611		fumarate reductase flavoprotein subunit precursor (RefSeq)	-3.11976738455344	-20.3870885582061	TRUE
anaerobic	set5H30	Sodium Fumarate dibasic	6936458	Sama_0646		response regulator receiver protein (RefSeq)	-1.72957658235813	-8.30558794027975	FALSE
anaerobic	set5H30	Sodium Fumarate dibasic	6936459	Sama_0647		nitrate/nitrite sensor protein NarQ (RefSeq)	-1.46368915156467	-9.23063417748797	FALSE
anaerobic	set5H30	Sodium Fumarate dibasic	6936460	Sama_0648	nrfA	cytochrome c552 (RefSeq)	-3.03556293011896	-15.3253182494116	TRUE
anaerobic	set5H30	Sodium Fumarate dibasic	6936496	Sama_0684		aminopeptidase P, putative (RefSeq)	2.86152595138421	22.081330827657	FALSE
anaerobic	set5H30	Sodium Fumarate dibasic	6936581	Sama_0769		UDP-N-acetylmuramate (RefSeq)	1.58009840810103	6.46552903519765	FALSE
anaerobic	set5H30	Sodium Fumarate dibasic	6936717	Sama_0904		peptidyl-prolyl cis-trans isomerase SlyD (RefSeq)	1.72127566345546	8.30052701703714	FALSE
anaerobic	set5H30	Sodium Fumarate dibasic	6936723	Sama_0910		hypothetical protein (RefSeq)	-2.62898817938717	-11.3654834103039	FALSE
anaerobic	set5H30	Sodium Fumarate dibasic	6936878	Sama_1052		oxaloacetate decarboxylase (RefSeq)	-1.73196714458754	-11.0319335759627	FALSE
anaerobic	set5H30	Sodium Fumarate dibasic	6936879	Sama_1053		oxaloacetate decarboxylase (RefSeq)	-1.39868369644729	-7.80908616112162	FALSE
anaerobic	set5H30	Sodium Fumarate dibasic	6936960	Sama_1134	purU	formyltetrahydrofolate deformylase (RefSeq)	-1.26766803698002	-6.36583651746856	FALSE
anaerobic	set5H30	Sodium Fumarate dibasic	6937082	Sama_1252		TonB-dependent receptor (RefSeq)	-1.29996153828041	-10.2327074522822	FALSE
anaerobic	set5H30	Sodium Fumarate dibasic	6937105	Sama_1275		anaerobic ribonucleoside triphosphate reductase (RefSeq)	-3.17950003892468	-18.1882379725451	TRUE
anaerobic	set5H30	Sodium Fumarate dibasic	6937106	Sama_1276	nrdG	anaerobic ribonucleotide reductase-activating protein (RefSeq)	-3.36540814653887	-7.42173620627638	FALSE
anaerobic	set5H30	Sodium Fumarate dibasic	6937132	Sama_1302		TraR/DksA family transcriptional regulator (RefSeq)	-3.2799726663034	-5.40669010618414	FALSE
anaerobic	set5H30	Sodium Fumarate dibasic	6937139	Sama_1309		adenine phosphoribosyltransferase (RefSeq)	5.76161784240063	27.2107682005699	FALSE
anaerobic	set5H30	Sodium Fumarate dibasic	6937328	Sama_1498		formate C-acetyltransferase (RefSeq)	-1.75619775869462	-8.23872534080422	TRUE
anaerobic	set5H30	Sodium Fumarate dibasic	6937329	Sama_1499		hypothetical protein (RefSeq)	-2.34785152216026	-13.4601466905214	FALSE
anaerobic	set5H30	Sodium Fumarate dibasic	6937542	Sama_1698		hypothetical protein (RefSeq)	1.33932126475945	7.02998241776338	FALSE
anaerobic	set5H30	Sodium Fumarate dibasic	6937696	Sama_1838		TonB-dependent receptor, putative (RefSeq)	-2.01050684144018	-10.4604511966018	FALSE
anaerobic	set5H30	Sodium Fumarate dibasic	6937785	Sama_1926		disulfide bond formation protein B (RefSeq)	-2.38322307608015	-8.05716949666353	FALSE
anaerobic	set5H30	Sodium Fumarate dibasic	6937858	Sama_1999		ribosomal protein S6 modification protein, putative (RefSeq)	1.76366049096358	8.61161191248796	FALSE
anaerobic	set5H30	Sodium Fumarate dibasic	6938298	Sama_2417		TPR domain-containing protein (RefSeq)	-1.26220764636581	-10.4754936195534	FALSE
anaerobic	set5H30	Sodium Fumarate dibasic	6938300	Sama_2419		hypothetical protein (RefSeq)	-1.03816368733264	-5.32328771416686	FALSE
anaerobic	set5H30	Sodium Fumarate dibasic	6938398	Sama_2517		xanthine/uracil permease family protein (RefSeq)	3.59169998933264	23.1381305458792	FALSE
anaerobic	set5H30	Sodium Fumarate dibasic	6938483	Sama_2596		ribosomal-protein-alanine acetyltransferase (RefSeq)	-1.92773719536585	-7.51346665521085	FALSE
anaerobic	set5H30	Sodium Fumarate dibasic	6938637	Sama_2740		branched-chain amino acid transport system II carrier protein BrnQ (RefSeq)	-1.18018901608662	-7.32397757058965	FALSE
anaerobic	set5H30	Sodium Fumarate dibasic	6938722	Sama_2825		hypothetical protein (RefSeq)	-2.40129731329133	-10.6559324053643	FALSE
anaerobic	set5H30	Sodium Fumarate dibasic	6938723	Sama_2826		hypothetical protein (RefSeq)	-3.40442543458202	-7.84157080897517	FALSE
anaerobic	set5H30	Sodium Fumarate dibasic	6938899	Sama_3002		phosphoribulokinase (RefSeq)	-1.56506312592069	-9.10553955035709	FALSE
anaerobic	set5H30	Sodium Fumarate dibasic	6938927	Sama_3030		YjeF protein (RefSeq)	-2.15588538692556	-15.1655175379555	FALSE
anaerobic	set5H30	Sodium Fumarate dibasic	6939121	Sama_3219	frdB	fumarate reductase iron-sulfur subunit (RefSeq)	-1.166425053471	-6.21873994214918	FALSE
anaerobic	set5H30	Sodium Fumarate dibasic	6939124	Sama_3222		fumarate reductase cytochrome b-556 subunit (RefSeq)	-1.70262330868901	-6.07265346630798	FALSE
anaerobic	set5H30	Sodium Fumarate dibasic	6939148	Sama_3246		HAD-superfamily hydrolase, subfamily IA, variant 1 family protein (RefSeq)	-1.46717108276902	-7.90796348203717	FALSE
anaerobic	set5H30	Sodium Fumarate dibasic	6939159	Sama_3257		HemY protein (RefSeq)	-1.61850117816301	-8.62851527469136	FALSE
anaerobic	set5H30	Sodium Fumarate dibasic	6939256	Sama_3350		hypothetical protein (RefSeq)	1.28806780880783	5.53738656881282	FALSE
anaerobic	set5H30	Sodium Fumarate dibasic	6939337	Sama_3430		cation efflux family protein (RefSeq)	-1.90653566782821	-10.1136287188237	FALSE
anaerobic	set5H30	Sodium Fumarate dibasic	6939355	Sama_3448		drug resistance transporter, Bcr/CflA family protein (RefSeq)	-1.49958663384024	-9.56460693976069	FALSE
anaerobic	set5H30	Sodium Fumarate dibasic	6939367	Sama_3460		2-succinyl-5-enolpyruvyl-6-hydroxy-3- cyclohexene-1-carboxylate synthase (RefSeq)	-2.83837519378301	-18.6902584372357	TRUE
anaerobic	set5H30	Sodium Fumarate dibasic	6939368	Sama_3461		alpha/beta fold family hydrolase (RefSeq)	-2.03501131752441	-9.36262923733209	FALSE
anaerobic	set5H30	Sodium Fumarate dibasic	6939369	Sama_3462		O-succinylbenzoate synthase (RefSeq)	-2.94238856840049	-15.7271687111824	TRUE
anaerobic	set5H30	Sodium Fumarate dibasic	6939370	Sama_3463		O-succinylbenzoic acid--CoA ligase (RefSeq)	-2.58788883068265	-14.0808832684169	TRUE
anaerobic	set5H30	Sodium Fumarate dibasic	6939378	Sama_3471		tetraheme cytochrome c (RefSeq)	-3.03786811106008	-11.851145620697	TRUE
anaerobic	set5H30	Sodium Fumarate dibasic	6939379	Sama_3472		hypothetical protein (RefSeq)	-4.30907323682694	-8.72323646475813	FALSE
anaerobic	set5H30	Sodium Fumarate dibasic	6939380	Sama_3473		hypothetical protein (RefSeq)	-3.49052860608119	-5.77447819587027	FALSE
