expGroup	expName	condition_1	locusId	sysName	gene	desc	fit	t	conserved
carbon source	set1IT034	Beta-Lactose	SM_b20002	SM_b20002		sugar ABC transporter ATP-binding protein	-3.24410181594859	-12.0768595557268	FALSE
carbon source	set1IT034	Beta-Lactose	SM_b21650	SM_b21650		LacI family transcriptional regulator	2.78462267338671	21.4298277186821	FALSE
carbon source	set1IT034	Beta-Lactose	SM_b21652	SM_b21652		lactose ABC transporter substrate-binding protein	-3.48850642106487	-7.38519960282827	FALSE
carbon source	set1IT034	Beta-Lactose	SM_b21653	SM_b21653		lactose ABC transporter permease	-3.33539512745048	-9.11992694506368	FALSE
carbon source	set1IT034	Beta-Lactose	SM_b21654	SM_b21654		lactose ABC transporter permease	-3.2456795331089	-8.59412603348111	FALSE
carbon source	set1IT034	Beta-Lactose	SM_b21655	SM_b21655		beta-galactosidase	-6.34879186912414	-18.3301061622244	FALSE
carbon source	set1IT034	Beta-Lactose	SMc00881	SMc00881		2-dehydro-3-deoxygalactonokinase	-2.63826592065619	-12.0758306495333	FALSE
carbon source	set1IT034	Beta-Lactose	SMc03798	SMc03798		aldose 1-epimerase	2.01491448737111	13.1616844832854	FALSE
carbon source	set1IT036	D-(-)-tagatose	SM_b21373	SM_b21373		sugar kinase	-5.2018270476005	-5.06502053665513	FALSE
carbon source	set1IT036	D-(-)-tagatose	SM_b21375	SM_b21375		sugar uptake ABC transporter permease	-2.73138068856989	-6.31498021473641	FALSE
carbon source	set1IT036	D-(-)-tagatose	SM_b21376	SM_b21376		sugar uptake ABC transporter ATP-binding protein	-3.06598815098893	-7.76606339205944	FALSE
carbon source	set1IT036	D-(-)-tagatose	SM_b21377	SM_b21377		sugar uptake ABC transporter substrate-binding protein precursor	-4.03202884000528	-6.75650425822243	FALSE
carbon source	set1IT005	D-Arabinose	SM_b21101	SM_b21101		hypothetical protein	-2.3049435059097	-7.37792558117191	FALSE
carbon source	set1IT005	D-Arabinose	SM_b21112	SM_b21112		bifunctional 2-hydroxyhepta-2,4-diene-1, 7-dioatesomerase/5-carboxymethyl-2-oxo-hex-3-ene-1, 7-dioatedecarboxylase	-4.3347638827472	-9.64367737926528	TRUE
carbon source	set1IT005	D-Arabinose	SMa0247	SMa0247		hypothetical protein	-4.99300916895814	-7.65411965342665	FALSE
carbon source	set1IT005	D-Arabinose	SMa2303	SMa2303		ROK family transcriptional regulator	1.8295206787628	14.7092805891959	FALSE
carbon source	set1IT005	D-Arabinose	SMc02059	SMc02059		hypothetical protein	-1.26683946379599	-5.77711356689754	TRUE
carbon source	set1IT005	D-Arabinose	SMc02170	SMc02170		ABC transporter permease	1.03363717230804	7.42948092925716	FALSE
carbon source	set1IT005	D-Arabinose	SMc02775	SMc02775		L-fucose dehydrogenase (D-threo aldose 1-dehydrogenase) protein	-2.89966404777217	-10.4574837629141	FALSE
carbon source	set1IT005	D-Arabinose	SMc02776	SMc02776		altronate hydrolase	-4.23411483125075	-7.23670108328232	TRUE
carbon source	set1IT005	D-Arabinose	SMc02777	SMc02777		transcriptional regulator	2.38270447726382	15.5455318624862	FALSE
carbon source	set1IT005	D-Arabinose	SMc02979	SMc02979		hypothetical protein	-1.58291601231513	-6.90338791315408	FALSE
carbon source	set1IT005	D-Arabinose	SMc03164	SMc03164		xylulose kinase	-2.53336658421357	-11.9244252827051	FALSE
carbon source	set1IT013	D-Cellobiose	SMc03162	SMc03162		hypothetical protein	-1.62299235243932	-8.20710701583982	FALSE
carbon source	set1IT013	D-Cellobiose	SMc04253	SMc04253		oxidoreductase	-1.63206864311551	-10.6310090081053	FALSE
carbon source	set1IT013	D-Cellobiose	SMc04256	SMc04256		ABC transporter ATP-binding protein	-3.49908815394636	-14.2698417578425	TRUE
carbon source	set1IT013	D-Cellobiose	SMc04257	SMc04257		ABC transporter permease	-3.41034986812507	-13.6817468169386	TRUE
carbon source	set1IT013	D-Cellobiose	SMc04258	SMc04258		ABC transporter permease	-3.10942481865945	-12.037836427306	TRUE
