expGroup	expName	condition_1	locusId	sysName	gene	desc	fit	t	conserved
nitrogen source	set7IT025	L-Glutamic acid monopotassium salt monohydrate	Synpcc7942_2127	Synpcc7942_2127	nblA	phycobilisome degradation protein NblA	-2.52917991298485	-6.47194389801174	FALSE
nitrogen source	set7IT013	L-Glutamic acid monopotassium salt monohydrate	Synpcc7942_2127	Synpcc7942_2127	nblA	phycobilisome degradation protein NblA	-1.60021362746969	-5.35225890415873	FALSE
nitrogen source	set7IT014	L-Glutamine	Synpcc7942_1697	Synpcc7942_1697		Zn-finger, CDGSH type	-1.29974065352384	-6.00323006971617	FALSE
nitrogen source	set7IT014	L-Glutamine	Synpcc7942_1729	Synpcc7942_1729	kdpD	potassium-transporting ATPase D chain	-1.55155449017425	-7.16340438303102	FALSE
nitrogen source	set7IT014	L-Glutamine	Synpcc7942_2053	Synpcc7942_2053		probable peptidase	-1.5528201918428	-9.25344461857368	FALSE
nitrogen source	set7IT022	L-Phenylalanine	Synpcc7942_1729	Synpcc7942_1729	kdpD	potassium-transporting ATPase D chain	-1.23801966442917	-6.44297660983705	FALSE
stress	set4IT060	Bacitracin	Synpcc7942_0080	Synpcc7942_0080		probable ABC transporter permease protein	-1.6508365475618	-8.41213352661357	FALSE
stress	set4IT060	Bacitracin	Synpcc7942_0119	Synpcc7942_0119		hypothetical protein	-2.62379400794387	-6.81397509373367	FALSE
stress	set4IT060	Bacitracin	Synpcc7942_0308	Synpcc7942_0308	chpX	CO2 hydration protein	-1.73364303218081	-5.86326110391836	FALSE
stress	set4IT060	Bacitracin	Synpcc7942_0309	Synpcc7942_0309	ndhF4	NAD(P)H-quinone oxidoreductase subunit F	-1.84575256704426	-9.55334614530317	FALSE
stress	set8IT084	Bacitracin	Synpcc7942_0443	Synpcc7942_0443		hypothetical protein	-3.27783461648686	-13.9416114388209	FALSE
stress	set4IT060	Bacitracin	Synpcc7942_0443	Synpcc7942_0443		hypothetical protein	-2.45494486669006	-9.58704081567398	FALSE
stress	set4IT061	Bacitracin	Synpcc7942_0443	Synpcc7942_0443		hypothetical protein	-1.96529660404902	-10.0808682774819	FALSE
stress	set4IT061	Bacitracin	Synpcc7942_0481	Synpcc7942_0481		protease	1.09969500977683	5.07520133013579	FALSE
stress	set4IT060	Bacitracin	Synpcc7942_0481	Synpcc7942_0481		protease	1.91548176502855	7.17514178892757	FALSE
stress	set4IT060	Bacitracin	Synpcc7942_0553	Synpcc7942_0553		Secretion protein HlyD	-2.02467258182613	-11.6886413298235	FALSE
stress	set8IT084	Bacitracin	Synpcc7942_0610	Synpcc7942_0610		hypothetical protein	-1.25953824312898	-9.72199089388234	FALSE
stress	set4IT060	Bacitracin	Synpcc7942_0867	Synpcc7942_0867		hypothetical protein	-1.77297222968352	-5.40422741772841	FALSE
stress	set4IT060	Bacitracin	Synpcc7942_0868	Synpcc7942_0868		hypothetical protein	-2.05300701765864	-13.3753960268269	FALSE
stress	set4IT060	Bacitracin	Synpcc7942_1069	Synpcc7942_1069		hypothetical protein	-2.54070076766124	-12.7751104197924	FALSE
stress	set8IT084	Bacitracin	Synpcc7942_1069	Synpcc7942_1069		hypothetical protein	-1.40465632533988	-8.75767559367373	FALSE
stress	set4IT061	Bacitracin	Synpcc7942_1069	Synpcc7942_1069		hypothetical protein	-1.31465204810862	-7.73146262575476	FALSE
stress	set4IT060	Bacitracin	Synpcc7942_1349	Synpcc7942_1349		hypothetical protein	-1.31172895364127	-5.78301654541263	FALSE
stress	set4IT060	Bacitracin	Synpcc7942_1508	Synpcc7942_1508		hypothetical protein	-1.77639885671765	-9.50927080534223	FALSE
stress	set8IT084	Bacitracin	Synpcc7942_1770	Synpcc7942_1770		hypothetical protein	1.56900898670234	9.92086656583883	FALSE
stress	set4IT060	Bacitracin	Synpcc7942_1770	Synpcc7942_1770		hypothetical protein	2.21017955570658	8.95335945609217	FALSE
stress	set4IT060	Bacitracin	Synpcc7942_1800	Synpcc7942_1800		hypothetical protein	-1.02881700555655	-5.63377442938049	FALSE
stress	set4IT060	Bacitracin	Synpcc7942_1934	Synpcc7942_1934	dacB	D-alanyl-D-alanine carboxypeptidase/D-alanyl-D-alanine-endopeptidase	-2.20809838527705	-12.4644791322827	FALSE
