orgId	locusId	sysName	geneName	desc	set3IT002 Chloramphenicol 0.0006640625 mg/ml	set3IT003 Chloramphenicol 0.00033203125 mg/ml	set3IT004 BG11	set3IT006 Tetracycline 0.00125 mg/ml	set3IT007 Spectinomycin 0.0009765625 mg/ml	set3IT010 Nalidixic 0.0078125 mg/ml	set3IT011 Nalidixic 0.00390625 mg/ml	set3IT013 Gentamicin 0.00048828125 mg/ml	set3IT014 sodium fluoride 25 mM	set3IT015 sodium fluoride 12.5 mM	set3IT016 BG11	set3IT017 Thallium(I) acetate 0.0078125 mg/ml	set3IT018 Thallium(I) acetate 0.00390625 mg/ml	set3IT019 Thallium(I) acetate 0.001953125 mg/ml	set3IT020 Thallium(I) acetate 0.0009765625 mg/ml	set3IT022 Cisplatin 0.00625 mg/ml	set3IT024 Zinc 0.01953125 mM	set3IT026 nitrite 10 mM	set3IT027 nitrite 5 mM	set3IT029 nitrate 50 mM	set3IT030 nitrate 25 mM	set3IT031 BG11	set3IT033 Chlorate 20 mM	set3IT034 Chlorate 10 mM	set3IT035 Chlorite 20 mM	set3IT036 perchlorate 100 mM	set3IT037 Polymyxin B sulfate 0.2 mg/ml	set3IT040 Chloride 62.5 mM	set3IT041 Chloride 31.25 mM	set4IT050 BG11	set4IT051 Benzethonium chloride 0.00078125 mM	set4IT053 Aluminum chloride 0.3125 mM	set4IT054 Aluminum chloride 0.15625 mM	set4IT055 Aluminum chloride 0.078125 mM	set4IT056 benzoic 0.29 mg/ml	set4IT057 Phosphomycin 0.00625 mg/ml	set4IT058 Phosphomycin 0.003125 mg/ml	set4IT059 Phosphomycin 0.0015625 mg/ml	set4IT060 Bacitracin 0.0009765625 mg/ml	set4IT061 Bacitracin 0.0009765625 mg/ml	set4IT062 BG11	set4IT063 Fusidic 0.5 mg/ml	set4IT064 Fusidic 0.25 mg/ml	set4IT065 Fusidic 0.015625 mg/ml	set4IT066 Dimethyl Sulfoxide 5 vol%	set4IT067 Dimethyl Sulfoxide 2.5 vol%	set4IT073 Cephalothin 0.00390625 mg/ml	set4IT074 A22 0.000341796875 mg/ml	set4IT077 BG11	set4IT078 D-Cycloserine 0.0625 mg/ml	set4IT079 D-Cycloserine 0.03125 mg/ml	set4IT080 D-Cycloserine 0.015625 mg/ml	set4IT084 Doxycycline hyclate 0.0015625 mg/ml	set4IT085 Doxycycline hyclate 0.00078125 mg/ml	set4IT086 Ceftazidime 0.125 mg/ml	set4IT087 Ceftazidime 0.0625 mg/ml	set4IT088 Ceftazidime 0.03125 mg/ml	set4IT089 BG11	set4IT090 Rifampicin 0.000390625 mg/ml	set4IT091 Rifampicin 0.0001953125 mg/ml	set4IT092 Rifampicin 0.000625 mg/ml	set4IT093 Rifampicin 0.0003125 mg/ml	set7IT007 L-Glutamic (N)	set7IT010 L-Phenylalanine (N)	set7IT013 L-Glutamic (N)	set7IT014 L-Glutamine (N)	set7IT015 L-Leucine (N)	set7IT016 L-Phenylalanine (N)	set7IT020 L-Glutamine (N)	set7IT021 L-Leucine (N)	set7IT022 L-Phenylalanine (N)	set7IT025 L-Glutamic (N)	set7IT026 L-Glutamine (N)	set7IT027 L-Leucine (N)	set7IT028 L-Phenylalanine (N)	set7IT032 BG11	set7IT034 BG11 with Nalidixic 0.0078125 mg/ml	set7IT035 BG11 with Nalidixic 0.00390625 mg/ml	set7IT036 BG11 with Nalidixic 0.001953125 mg/ml	set7IT037 BG11 with Nalidixic 0.0009765625 mg/ml	set7IT038 BG11 with Cisplatin 0.1 mg/ml	set7IT039 BG11 with Cisplatin 0.05 mg/ml	set7IT040 BG11 with Cisplatin 0.025 mg/ml	set7IT041 BG11 with Cisplatin 0.0125 mg/ml	set7IT042 BG11	set7IT043 BG11 with nitrite 20 mM	set7IT045 BG11 with nitrite 5 mM	set7IT046 BG11 with nitrite 2.5 mM	set7IT047 BG11	set7IT048 BG11 with nitrate 200 mM	set8IT049 BG11 with nitrate 100 mM	set8IT050 BG11 with nitrate 50 mM	set8IT051 BG11 with nitrate 25 mM	set8IT052 BG11	set8IT053 BG11 with Chlorate 20 mM	set8IT054 BG11 with Chlorate 10 mM	set8IT055 BG11 with Chlorate 5 mM	set8IT056 BG11 with Chlorate 2.5 mM	set8IT057 BG11	set8IT058 BG11 with Chlorite 2.5 mM	set8IT059 BG11 with Chlorite 1.25 mM	set8IT060 BG11 with Chlorite 0.625 mM	set8IT061 BG11 with Chlorite 0.3125 mM	set8IT062 BG11	set8IT063 BG11 with perchlorate 50 mM	set8IT064 BG11 with perchlorate 25 mM	set8IT065 BG11 with perchlorate 12.5 mM	set8IT066 BG11	set8IT067 BG11 with Polymyxin B sulfate 0.000390625 mg/ml	set8IT068 BG11 with Polymyxin B sulfate 0.0001953125 mg/ml	set8IT069 BG11	set8IT070 BG11 with Chloride 250 mM	set8IT071 BG11 with Chloride 125 mM	set8IT072 BG11 with Chloride 62.5 mM	set8IT073 BG11 with Chloride 31.25 mM	set8IT074 BG11 with Chloride 15.625 mM	set8IT075 BG11 with Chloride 7.8125 mM	set8IT076 BG11 with Chloride 3.90625 mM	set8IT077 BG11 with Chloride 1.953125 mM	set8IT078 BG11 with Chloride 0.9765625 mM	set8IT079 BG11 with Chloride 0.48828125 mM	set8IT080 BG11	set8IT084 BG11 with Bacitracin 0.0009765625 mg/ml	set8IT085 BG11	set8IT086 BG11 with Fusidic 0.5 mg/ml	set8IT087 BG11 with Fusidic 0.25 mg/ml	set8IT088 BG11 with Fusidic 0.125 mg/ml	set8IT089 BG11 with Fusidic 0.0625 mg/ml	set8IT090 BG11
SynE	Synpcc7942_0001	Synpcc7942_0001	dnaN	DNA polymerase III subunit beta	1.530	0.396	1.987	3.090	1.848	3.374	2.800	2.887	1.780	1.603	2.326	3.022	2.496	2.984	2.494	3.386	2.030	1.311	1.167	0.590	1.107	1.839	2.111	1.584	1.203	2.959	2.987	3.142	1.957	0.521	2.224	1.196	1.038	1.625	2.131	1.114	1.929	2.301	1.899	1.449	2.469	1.013	1.493	2.459	2.075	1.675	0.463	5.137	3.591	0.989	1.204	1.497	2.183	3.363	2.064	2.987	2.652	1.266	2.574	3.604	3.404	3.550	-1.337	-4.008	-0.752	-2.916	-0.505	-2.645	-3.063	-0.268	-1.809	-0.705	-1.722	0.696	-2.593	1.231	-0.476	-0.182	-0.407	-0.279	-0.949	-0.018	-1.079	-0.664	0.014	-1.953	-0.385	-0.595	-0.260	-0.701	-1.440	-0.623	-1.086	-0.582	-1.139	-0.263	-0.656	-2.515	-1.020	0.295	-0.562	-0.751	-2.893	-1.238	-1.331	-1.647	-0.750	-1.028	-0.794	-2.604	-1.541	-0.298	-1.309	0.019	-0.489	0.075	0.982	-0.270	-0.226	-0.491	-0.271	-1.425	-1.431	-0.815	0.788	-2.515	-0.304	-1.021	-0.911
SynE	Synpcc7942_0002	Synpcc7942_0002		hypothetical protein	3.651	0.975	-0.164	2.297	4.918	3.916	2.648	1.210	2.078	2.707	1.938	2.707	0.731	0.588	1.163	2.092	2.485	1.644	1.954	1.526	0.584	1.095	1.233	1.491	1.369	2.554	1.868	0.810	2.499	1.498	0.490	2.419	2.148	2.079	2.891	2.793	2.534	1.062	2.757	2.130	1.876	2.073	2.634	2.961	3.771	2.728	-0.013	1.317	2.371	-0.331	0.291	2.534	2.095	2.415	-1.258	1.589	0.613	1.975	3.818	3.436	5.079	2.334	-0.172	1.433	0.987	0.422	0.707	2.013	0.742	0.522	0.645	0.038	1.597	0.876	1.099	-1.111	-0.700	-1.093	-1.538	-0.939	-1.418	-1.642	-1.119	-2.115	-1.076	-2.425	-2.548	-2.246	-1.602	-8.378	-6.251	-4.720	-3.711	-2.535	-2.574	-2.319	-2.845	-3.550	-2.201	1.193	0.768	-2.025	-1.790	-2.148	-7.446	-7.179	-4.311	-2.100	-4.685	-3.180	-1.654	-7.125	-11.149	-8.410	-5.363	-4.246	-3.132	-3.078	-3.507	-2.206	-1.511	-1.591	-0.788	-1.430	0.558	0.185	-1.266	-1.863	-1.451
SynE	Synpcc7942_0003	Synpcc7942_0003	purL	phosphoribosylformylglycinamidine synthase II	-0.488	-0.545	-0.841	-0.550	-0.468	-2.699	0.140	0.562	-1.616	1.358	1.062	-0.138	0.316	1.902	2.112	0.435	0.375	0.834	0.831	0.622	1.831	1.826	1.154	-0.059	0.689	2.067	0.708	0.751	1.753	0.808	-0.894	1.508	-0.817	-0.342	-1.398	-1.114	-0.318	-0.555	1.519	1.502	-1.600	0.037	-0.586	0.207	-1.184	-0.647	-1.577	-1.014	0.329	0.347	0.126	0.231	-1.062	0.279	-1.518	0.447	-1.117	-0.006	-3.073	-0.706	-0.702	-0.674	0.686	-1.787	-0.461	-0.381	-1.016	-0.398	0.067	-0.266	-0.166	0.512	-0.084	0.269	-0.230	-2.475	-1.209	-1.069	-0.366	-1.889	-0.905	-2.064	-0.888	-2.165	-0.624	-0.929	-0.272	0.240	-1.933	-0.632	-0.677	0.049	-0.622	0.045	-1.266	0.440	0.290	-1.809	0.652	0.104	-0.212	0.161	0.965	1.602	0.618	-0.023	1.340	-0.435	1.264	-0.087	-0.059	1.696	2.610	-0.154	-0.589	0.404	-0.886	-1.663	-0.407	-0.876	-0.609	-0.531	2.075	-1.078	-0.042	-0.670	0.398	-0.157	-1.022
SynE	Synpcc7942_0005	Synpcc7942_0005		hypothetical protein	1.228	0.801	0.863	-0.422	0.034	-0.134	0.761	1.008	0.228	0.860	1.348	-1.250	0.455	-0.205	0.117	-1.454	-0.413	2.301	1.680	1.102	1.450	-0.296	1.427	0.623	1.320	1.066	1.850	-0.048	-0.004	-0.451	-0.766	-0.063	-0.174	-1.080	-1.287	-1.635	-0.123	-0.746	-1.054	-0.229	-0.514	-0.908	-1.072	-1.572	-0.372	-1.284	-1.100	-2.375	-0.388	0.067	-1.196	-0.595	-0.476	-0.427	-0.427	-0.820	-0.775	-0.093	-0.603	0.549	0.140	-0.256	0.037	0.407	-0.348	1.059	0.104	0.675	0.629	-0.316	0.266	-0.546	1.566	-0.285	0.158	-0.092	0.299	-0.280	-0.113	0.272	0.247	-0.308	-0.685	-0.501	-0.608	-0.691	0.376	-0.067	0.043	-0.159	0.797	0.596	0.343	0.363	0.285	0.874	0.720	0.173	-0.875	-0.252	-0.013	0.926	0.583	-0.108	1.210	0.231	1.959	0.867	-1.129	0.784	-0.090	0.633	0.037	0.665	0.657	0.720	2.153	0.339	0.612	0.725	1.520	1.003	0.372	0.270	-0.660	-0.776	-0.356	0.607	1.555
SynE	Synpcc7942_0006	Synpcc7942_0006		hypothetical protein	8.431	3.463	0.970	2.751	-3.811	0.960	-0.037	-0.097	2.925	1.283	-0.216	-3.806	-5.863	-2.970	-0.034	1.950	-2.117	-6.758	-3.528	-1.117	2.325	1.008	-2.351	0.502	-0.178	0.991	0.580	-0.605	1.516	-0.876	-1.855	0.971	0.008	-1.682	-4.353	-2.754	-0.336	0.813	-4.830	-5.355	-2.538	-7.114	-2.995	0.020	1.300	0.962	6.370	-8.617	-0.435	-5.630	-1.828	-0.056	-0.337	-0.439	-2.590	-0.739	1.176	0.209	-7.359	-3.723	-6.544	-4.547	1.290	2.196	0.873	1.235	5.247	1.920	1.753	3.049	1.046	1.662	3.347	6.173	1.474	-11.675	-10.071	-9.110	-10.970	-10.165	-9.161	-7.308	-8.266	-8.903	-9.350	-10.752	-8.137	-7.425	-8.735	-4.755	-10.258	-10.088	-11.847	-13.171	-10.950	-13.833	-10.027	-12.451	-12.092	-9.275	-8.190	-9.119	-10.745	-11.438	-3.357	-10.540	-9.376	-12.135	-7.863	-9.936	-10.034	-3.019	3.928	-9.338	-7.430	-7.994	-7.308	-6.203	-9.204	-6.108	-9.097	-8.885	-10.877	-12.542	-4.983	-7.532	-11.344	-11.987	-11.771
SynE	Synpcc7942_0007	Synpcc7942_0007		hypothetical protein	9.032	3.861	0.662	3.694	-3.440	0.772	-0.091	1.572	4.828	3.306	2.266	-8.447	-9.914	-2.603	1.773	2.987	-2.455	-10.091	-4.690	1.566	1.163	1.264	-0.942	0.938	0.579	0.836	1.049	-1.153	1.250	-0.060	-1.416	1.950	0.321	-1.558	-4.519	-2.781	0.091	0.158	-8.116	-6.310	-3.285	-8.095	-2.873	-0.159	-0.109	0.770	9.340	-11.369	-1.225	-8.803	-1.946	-0.809	0.141	-1.579	-1.808	-0.844	1.271	-0.105	-13.166	-6.479	-16.240	-5.223	1.394	2.178	1.654	0.859	6.359	1.327	2.077	2.868	1.367	2.131	3.597	5.680	1.038	-14.225	-11.250	-12.292	-12.827	-14.061	-11.603	-11.176	-11.743	-9.093	-9.921	-12.415	-9.899	-9.358	-9.654	-5.550	-12.389	-14.668	-15.490	-18.878	-17.447	-18.728	-17.115	-16.035	-13.019	-12.537	-13.167	-15.271	-13.838	-21.550	-2.693	-14.279	-11.329	-11.935	-9.959	-18.264	-11.302	-3.247	4.770	-8.045	-9.685	-11.083	-13.998	-10.803	-14.621	-14.546	-13.158	-14.070	-13.805	-20.337	-5.021	-11.595	-15.426	-16.429	-14.790
SynE	Synpcc7942_0008	Synpcc7942_0008		hypothetical protein	7.374	1.673	-0.422	2.858	-1.968	0.079	-1.104	1.783	2.878	2.477	0.697	-6.299	-5.040	-1.890	0.284	2.723	-2.154	-5.970	-2.259	1.061	-0.058	0.133	-1.972	0.862	-0.573	0.425	0.326	-0.631	-0.128	-1.120	-1.068	0.888	-1.088	-3.063	-6.558	-3.564	-1.159	-0.780	-6.971	-7.428	-3.241	-6.053	-3.102	-0.645	-0.845	-0.226	9.737	-9.775	-1.140	-8.390	-0.864	-1.656	-2.348	-1.557	-7.321	-3.809	0.691	-0.622	-8.463	-4.755	-10.601	-6.357	2.155	1.446	1.581	0.703	5.423	1.099	1.613	3.655	0.986	2.212	3.359	6.481	0.269	-11.325	-10.654	-8.808	-10.821	-10.103	-9.314	-8.900	-8.719	-9.208	-6.142	-11.718	-8.900	-6.600	-9.336	-6.233	-12.105	-12.518	-12.326	-11.682	-12.960	-14.190	-12.546	-12.971	-13.350	-7.310	-10.657	-10.708	-13.229	-13.766	-2.464	-9.149	-11.986	-14.746	-9.300	-12.869	-11.392	-1.751	5.471	-7.392	-9.962	-8.927	-8.236	-8.556	-11.256	-10.587	-9.466	-7.946	-10.886	-13.258	-3.231	-8.124	-11.849	-12.421	-10.990
SynE	Synpcc7942_0010	Synpcc7942_0010		hypothetical protein	3.263	1.254	2.774	0.954	1.935	0.440	2.749	1.572	3.741	4.310	3.572	0.183	0.760	0.752	1.926	2.085	2.681	2.756	2.328	2.280	2.196	3.305	3.063	2.805	3.263	4.181	3.571	1.866	3.296	3.463	-0.234	1.265	2.080	1.422	2.282	2.099	2.547	2.202	2.446	3.292	2.074	0.055	-0.016	2.098	2.398	1.513	1.059	3.505	3.745	1.057	2.644	2.553	1.363	0.412	2.751	2.310	1.449	1.965	1.896	1.652	-0.172	2.043	0.857	0.791	-0.478	0.098	1.185	0.424	-0.044	1.006	0.480	-0.264	-0.088	0.030	-0.072	0.329	-0.735	0.464	1.234	1.455	0.752	1.037	1.039	-0.525	1.091	-2.942	0.761	1.555	0.090	4.659	2.054	2.478	1.691	-0.225	-0.329	1.582	0.849	-1.952	-0.080	-3.105	-2.616	-2.315	-0.409	-1.281	0.733	0.737	1.050	-0.332	1.056	-0.052	-0.177	-0.073	4.024	1.525	3.766	1.089	1.850	-0.450	1.169	0.564	1.623	0.053	1.349	-2.198	-0.125	0.069	0.130	-0.761	0.671
SynE	Synpcc7942_0011	Synpcc7942_0011		hypothetical protein	-0.226	-0.117	0.019	-1.667	1.102	-0.717	-0.197	-0.982	0.978	-1.182	-0.513	-0.431	-0.363	-1.051	-1.831	-2.886	-1.332	0.948	-0.532	-1.494	-0.251	1.112	-0.675	-0.430	-1.130	0.139	-0.523	0.120	0.290	1.326	0.260	2.103	1.420	0.475	0.803	0.819	1.444	1.362	3.795	0.296	1.381	-0.454	1.478	0.384	0.753	0.145	-2.830	1.700	0.717	0.282	1.486	2.569	0.211	0.564	2.530	0.545	0.851	0.125	-2.077	0.164	1.714	-1.179	-2.109	1.266	-0.476	1.352	1.495	1.713	-0.187	-1.158	0.395	-0.802	-0.922	-0.705	1.873	0.930	-0.882	0.327	0.527	0.163	-0.341	-0.527	-0.943	0.715	0.583	0.800	1.285	1.055	-0.465	4.228	1.997	1.535	2.130	0.752	-0.219	0.077	-0.553	0.770	1.045	-0.087	4.658	2.470	2.910	0.523	-0.876	1.493	0.682	1.214	-0.112	0.288	0.294	6.919	3.899	1.922	2.497	1.526	2.957	2.053	2.184	1.813	1.622	0.624	-0.520	1.036	0.834	-0.141	0.540	0.583	0.967
SynE	Synpcc7942_0013	Synpcc7942_0013		hypothetical protein	1.489	1.195	0.075	0.389	1.009	1.272	0.392	0.512	1.630	0.219	1.000	-1.643	0.874	0.622	0.953	1.425	1.070	0.855	1.149	0.179	-0.153	0.634	0.306	1.320	0.667	1.792	0.558	0.772	1.080	1.167	1.076	1.517	0.962	2.022	2.281	0.397	1.278	0.428	1.621	1.752	2.151	1.220	1.227	0.503	1.011	1.192	-0.676	-0.842	2.212	-1.394	0.057	-0.517	0.773	1.107	-0.239	1.497	1.125	0.771	-0.544	0.876	0.966	-0.533	0.211	-0.663	-1.215	-0.764	-0.337	-0.978	-0.300	-0.287	-0.546	0.639	-0.667	-0.088	-1.248	0.151	1.029	0.648	-0.236	-0.796	1.187	0.082	1.679	0.295	-0.424	2.649	-0.001	-0.944	0.624	0.457	-0.867	0.526	-0.251	-0.086	0.320	0.764	-0.463	0.234	-0.898	0.095	0.496	-0.133	0.101	-0.109	-0.632	-0.076	0.024	-0.580	0.621	0.329	0.470	0.222	0.555	-0.649	0.101	-0.142	0.790	0.365	0.177	-0.354	-0.609	0.416	1.735	-0.480	0.966	0.346	-0.148	-0.370	0.090
