orgId	expName	expDesc	timeZeroSet	num	nMapped	nPastEnd	nGenic	nUsed	gMed	gMedt0	gMean	cor12	mad12	mad12c	mad12c_t0	opcor	adjcor	gccor	maxFit	expGroup	expDescLong	mutantLibrary	person	dateStarted	setName	seqindex	media	temperature	pH	vessel	aerobic	liquid	shaking	condition_1	units_1	concentration_1	condition_2	units_2	concentration_2	condition_3	units_3	concentration_3	condition_4	units_4	concentration_4	growthPlate	growthWells
SyringaeB728a	set1IT005	KB	12/4/17 SyringaeB728a_ML2_set1	3	1683968	5779	1015989	1008148	149	278	233.692165044043	0.185154101163264	0.206376707423468	0.955231862438055	0.934090057376824	0.15035166579591	0.0903513222602671	0.183796967025384	1.97615924648049	kb	KB	SyringaeB728a_ML2	Tyler	12/4/17	SyringaeB728a_ML2_set1	IT005	KB	28		24 well microplate	Aerobic	Liquid	250 rpm														
SyringaeB728a	set1IT007	KB with Dimethyl Sulfoxide 1 vol%	12/4/17 SyringaeB728a_ML2_set1	4	1803650	6200	1087418	1078383	160	278	249.972878998609	0.176725607404233	0.219719659347091	0.965470702142722	0.934090057376824	0.142576912427952	0.0367563366251887	0.169639431775741	1.5652692815381	stress	KB with Dimethyl Sulfoxide 1 vol%	SyringaeB728a_ML2	Tyler	12/4/17	SyringaeB728a_ML2_set1	IT007	KB	28		24 well microplate	Aerobic	Liquid	250 rpm	Dimethyl Sulfoxide	vol%	1											
SyringaeB728a	set1IT011	KB with Acriflavine 7.75 ug/ml	12/4/17 SyringaeB728a_ML2_set1	6	1702194	5298	1019303	1011283	144	278	234.418868799258	0.250078831838231	0.217952987764218	0.948453253517948	0.934090057376824	0.177905490739707	0.106496051309434	0.0398059643638002	2.66944008510902	stress	KB with Acriflavine 7.75 ug/ml	SyringaeB728a_ML2	Tyler	12/4/17	SyringaeB728a_ML2_set1	IT011	KB	28		24 well microplate	Aerobic	Liquid	250 rpm	Acriflavine	ug/ml	7.75											
SyringaeB728a	set1IT013	KB with Ampicillin 15.6 ug/ml	12/4/17 SyringaeB728a_ML2_set1	7	1778001	6154	1070853	1061406	157	278	246.037552155772	0.144228889361631	0.210626165353176	0.946542398041744	0.934090057376824	0.115207297016274	0.0392880707180605	0.102132966378711	1.52589667702896	stress	KB with Ampicillin sodium salt 15.6 ug/ml	SyringaeB728a_ML2	Tyler	12/4/17	SyringaeB728a_ML2_set1	IT013	KB	28		24 well microplate	Aerobic	Liquid	250 rpm	Ampicillin sodium salt	ug/ml	15.6											
SyringaeB728a	set1IT015	KB with Berberine 250 ug/ml	12/4/17 SyringaeB728a_ML2_set1	8	1658820	5160	995824	987186	143	278	228.833101529903	0.244503064176933	0.211824124035057	0.95139172397361	0.934090057376824	0.239187267720213	0.20964721286639	-0.0205322063683594	1.89915057537102	stress	KB with Berberine 250 ug/ml	SyringaeB728a_ML2	Tyler	12/4/17	SyringaeB728a_ML2_set1	IT015	KB	28		24 well microplate	Aerobic	Liquid	250 rpm	Berberine	ug/ml	250											
SyringaeB728a	set1IT017	KB with Carbenicillin 250 ug/ml	12/4/17 SyringaeB728a_ML2_set1	9	1672929	5931	1006161	997672	147	278	231.263792304126	0.180579765646372	0.21878370713331	0.965113933928716	0.934090057376824	0.129542140760119	0.0519858339756647	0.125420438515623	1.54045245302221	stress	KB with Carbenicillin disodium salt 250 ug/ml	SyringaeB728a_ML2	Tyler	12/4/17	SyringaeB728a_ML2_set1	IT017	KB	28		24 well microplate	Aerobic	Liquid	250 rpm	Carbenicillin disodium salt	ug/ml	250											
SyringaeB728a	set1IT019	KB with Chloramphenicol 12.5 ug/ml	12/4/17 SyringaeB728a_ML2_set1	10	1706394	5716	1025897	1016340	147	278	235.591098748261	0.158722324326244	0.206696729077893	0.95499825323817	0.934090057376824	0.122627472620128	0.00655235666076232	0.0420085391040164	6.23796158637086	stress	KB with Chloramphenicol 12.5 ug/ml	SyringaeB728a_ML2	Tyler	12/4/17	SyringaeB728a_ML2_set1	IT019	KB	28		24 well microplate	Aerobic	Liquid	250 rpm	Chloramphenicol	ug/ml	12.5											
SyringaeB728a	set1IT021	KB with Erythromycin 25 ug/ml	12/4/17 SyringaeB728a_ML2_set1	11	1456310	5166	874861	867274	129	278	201.037088548911	0.177930602317123	0.218843597778708	0.938599455335857	0.934090057376824	0.122902428760956	0.0452278094785293	0.0880109244710689	1.60337334063031	stress	KB with Erythromycin 25 ug/ml	SyringaeB728a_ML2	Tyler	12/4/17	SyringaeB728a_ML2_set1	IT021	KB	28		24 well microplate	Aerobic	Liquid	250 rpm	Erythromycin	ug/ml	25											
SyringaeB728a	set1IT029	KB with Nalidixic 12.5 ug/ml	12/4/17 SyringaeB728a_ML2_set1	15	1678605	6250	1005693	997692	111	278	231.26842837274	0.280117117296695	0.263898232441572	0.970769043757965	0.934090057376824	0.223454043533239	0.120287786399287	0.173775590706013	6.76149249343017	stress	KB with Nalidixic acid sodium salt 12.5 ug/ml	SyringaeB728a_ML2	Tyler	12/4/17	SyringaeB728a_ML2_set1	IT029	KB	28		24 well microplate	Aerobic	Liquid	250 rpm	Nalidixic acid sodium salt	ug/ml	12.5											
SyringaeB728a	set1IT033	KB with Nitrofurantoin 125 ug/ml	12/4/17 SyringaeB728a_ML2_set1	17	1741703	5959	1048475	1040453	153	278	241.180574872508	0.172333286664324	0.199948592466233	0.936921769289636	0.934090057376824	0.10466153033747	0.0709596939533953	0.105229666512473	1.1907069075144	stress	KB with Nitrofurantoin 125 ug/ml	SyringaeB728a_ML2	Tyler	12/4/17	SyringaeB728a_ML2_set1	IT033	KB	28		24 well microplate	Aerobic	Liquid	250 rpm	Nitrofurantoin	ug/ml	125											
SyringaeB728a	set1IT037	KB with Phloretin 250 ug/ml	12/4/17 SyringaeB728a_ML2_set1	19	1995758	6557	1199370	1189689	176	278	275.773991655076	0.190635233987989	0.197800223353292	0.938599455335857	0.934090057376824	0.102024306718	0.0428387197436379	0.110492678291939	1.61770870104997	stress	KB with Phloretin 250 ug/ml	SyringaeB728a_ML2	Tyler	12/4/17	SyringaeB728a_ML2_set1	IT037	KB	28		24 well microplate	Aerobic	Liquid	250 rpm	Phloretin	ug/ml	250											
