expGroup	expName	condition_1	locusId	sysName	gene	desc	fit	t	conserved
in planta	set3IT031		Psyr_0294	Psyr_0294		Exopolyphosphatase	-2.07936073765207	-5.70708751118396	FALSE
in planta	set7IT030		Psyr_0616	Psyr_0616		conserved domain protein	1.63097002220278	5.49978003334837	FALSE
in planta	set3IT040		Psyr_0796	Psyr_0796		type 4 prepilin peptidase 1, Aspartic peptidase, MEROPS family A24A	-2.10631350352951	-7.15043706261037	FALSE
in planta	set3IT039		Psyr_0796	Psyr_0796		type 4 prepilin peptidase 1, Aspartic peptidase, MEROPS family A24A	-1.87503441320916	-6.44825087720473	FALSE
in planta	set7IT015		Psyr_0796	Psyr_0796		type 4 prepilin peptidase 1, Aspartic peptidase, MEROPS family A24A	-1.63009859474433	-5.44258732263718	FALSE
in planta	set7IT014		Psyr_0796	Psyr_0796		type 4 prepilin peptidase 1, Aspartic peptidase, MEROPS family A24A	-1.59826352598618	-6.66888114907131	FALSE
in planta	set7IT014		Psyr_1053	Psyr_1053		alginate biosynthesis protein AlgF	-1.6156682950926	-6.13870248746263	FALSE
in planta	set7IT015		Psyr_1053	Psyr_1053		alginate biosynthesis protein AlgF	-1.54358133146332	-5.94807260787991	FALSE
in planta	set3IT039		Psyr_1053	Psyr_1053		alginate biosynthesis protein AlgF	-1.47598097580753	-6.48354482447398	FALSE
in planta	set7IT014		Psyr_1057	Psyr_1057		alginate biosynthesis protein AlgX	-1.54758486275686	-6.74041684451713	FALSE
in planta	set3IT040		Psyr_1058	Psyr_1058		Parallel beta-helix repeat:Carbohydrate binding and sugar hydrolysis	-1.9215362049138	-8.21253766272166	FALSE
in planta	set3IT039		Psyr_1058	Psyr_1058		Parallel beta-helix repeat:Carbohydrate binding and sugar hydrolysis	-1.64500071902032	-7.80772825874806	FALSE
in planta	set5IT060		Psyr_1058	Psyr_1058		Parallel beta-helix repeat:Carbohydrate binding and sugar hydrolysis	-1.55728638946627	-6.39141324984106	FALSE
in planta	set7IT015		Psyr_1058	Psyr_1058		Parallel beta-helix repeat:Carbohydrate binding and sugar hydrolysis	-1.41507715485826	-6.73420438883059	FALSE
in planta	set7IT014		Psyr_1058	Psyr_1058		Parallel beta-helix repeat:Carbohydrate binding and sugar hydrolysis	-1.1322381832958	-6.33868116405636	FALSE
in planta	set3IT040		Psyr_1059	Psyr_1059		alginate export porin	-1.46424821455719	-6.38977164262469	FALSE
in planta	set7IT015		Psyr_1060	Psyr_1060		Sel1-like repeat protein	-1.42966950749121	-7.10280940525417	FALSE
in planta	set7IT014		Psyr_1060	Psyr_1060		Sel1-like repeat protein	-1.40601652169078	-6.87800241430167	FALSE
in planta	set5IT060		Psyr_1060	Psyr_1060		Sel1-like repeat protein	-1.31235826244917	-5.83467050583842	FALSE
in planta	set6IT084		Psyr_1061	Psyr_1061		alginate biosynthesis protein Alg44	-1.65773114447937	-5.2159524078402	FALSE
in planta	set7IT015		Psyr_1062	Psyr_1062		alginate biosynthesis protein Alg8	-1.51902721349636	-8.86022007949529	FALSE
in planta	set7IT014		Psyr_1062	Psyr_1062		alginate biosynthesis protein Alg8	-1.35802685764282	-7.96370604278498	FALSE
in planta	set3IT040		Psyr_1062	Psyr_1062		alginate biosynthesis protein Alg8	-1.23566853153938	-7.0261577571844	FALSE
in planta	set3IT039		Psyr_1062	Psyr_1062		alginate biosynthesis protein Alg8	-1.21673307811508	-7.69101253050999	FALSE
in planta	set5IT060		Psyr_1062	Psyr_1062		alginate biosynthesis protein Alg8	-1.09053690083424	-6.44114734344083	FALSE
in planta	set3IT040		Psyr_1063	Psyr_1063		GDP-mannose 6-dehydrogenase	-1.44179106767877	-8.34771856332602	FALSE
in planta	set3IT039		Psyr_1063	Psyr_1063		GDP-mannose 6-dehydrogenase	-1.38541607929739	-7.66078825178372	FALSE
in planta	set7IT015		Psyr_1063	Psyr_1063		GDP-mannose 6-dehydrogenase	-1.13678020771659	-7.06286215842194	FALSE
