orgId	locusId	sysName	geneName	desc	set1IT005 KB	set1IT007 KB with Dimethyl Sulfoxide 1 vol%	set1IT011 KB with Acriflavine 7.75 ug/ml	set1IT013 KB with Ampicillin 15.6 ug/ml	set1IT015 KB with Berberine 250 ug/ml	set1IT017 KB with Carbenicillin 250 ug/ml	set1IT019 KB with Chloramphenicol 12.5 ug/ml	set1IT021 KB with Erythromycin 25 ug/ml	set1IT029 KB with Nalidixic 12.5 ug/ml	set1IT033 KB with Nitrofurantoin 125 ug/ml	set1IT037 KB with Phloretin 250 ug/ml	set1IT045 KB with Trimethoprim 125 ug/ml	set1IT049 Green bean; epiphytic	set1IT050 Green bean; epiphytic	set2IT076 apoplastic, grinding recovery; Green bean	set2IT077 apoplastic, grinding recovery; Green bean	set2IT080 epiphytic; Green bean	set2IT081 epiphytic; Green bean	set2IT095 apoplastic, chopping recovery; Green bean	set3IT009 KB with Acridine orange 62.5 ug/ml	set3IT019 KB with Mitomycin C 0.625 ug/ml	set3IT031 epiphytic; Green bean	set3IT032 epiphytic; Green bean	set3IT039 apoplastic; Lima bean	set3IT040 apoplastic; Lima bean	set4IT013 KB	set4IT015 KB with Dimethyl Sulfoxide 1.25 vol%	set4IT017 KB with Rifampicin 0.1 mg/ml	set4IT019 KB with capsaicin 0.25 mg/ml	set4IT021 KB with capsaicin 0.125 mg/ml	set4IT025 KB with Flavone 0.125 mg/ml	set4IT027 KB with Rotenone 0.25 mg/ml	set4IT029 KB with Rotenone 0.125 mg/ml	set4IT031 KB with Nitrofurantoin 0.25 mg/ml	set5IT059 apoplastic; Lima bean	set5IT060 apoplastic; Lima bean	set6IT083 apoplastic; Green bean; 6 days	set6IT084 apoplastic; Green bean; 6 days	set7IT014 apoplastic; Lima bean	set7IT015 apoplastic; Lima bean	set7IT018 apoplastic; Pepper	set7IT019 apoplastic; Pepper	set7IT026 apoplastic; Pepper	set7IT027 apoplastic; Pepper	set7IT030 apoplastic; Pepper	set7IT031 apoplastic; Pepper
SyringaeB728a	Psyr_0003	Psyr_0003		DNA replication and repair protein RecF	-3.107	-1.211	-2.961	-2.037	-2.722	-1.975	-2.402	-1.205	-0.427	-12.348	-1.687	-2.796	-1.675	-2.528	-1.306	0.052	-1.182	-1.110	-0.146	-1.177	-2.846	-2.981	-2.197	-2.250	-1.423	-0.801	-1.104	-0.738	-0.624	-0.045	-0.554	-0.774	-1.284	-12.975	-0.908	-0.526	0.986	0.484	-1.475	-0.434	-0.074	-0.251	-1.873	-2.480	-2.356	-1.276
SyringaeB728a	Psyr_0005	Psyr_0005		conserved hypothetical protein	-0.239	0.213	0.315	-0.604	-1.018	0.459	-0.295	-0.039	0.217	-0.423	1.174	-1.321	-0.731	-0.188	-0.723	0.911	0.341	0.837	1.223	-1.160	-2.299	-1.844	-0.998	-0.283	-0.497	-0.580	-0.384	0.656	-0.336	0.381	0.228	0.495	-0.137	0.361	0.486	-0.267	-0.334	-0.219	-0.232	-0.082	0.713	0.847	-1.781	-0.712	-0.747	-0.240
SyringaeB728a	Psyr_0006	Psyr_0006		putative phenylacetaldoxime dehydratase	-0.827	-0.631	-2.248	-0.314	-3.615	-1.172	-0.513	-0.743	-0.565	-0.876	-0.076	-0.833	-2.285	-2.030	1.881	2.224	-0.497	-0.754	-1.093	-0.186	-0.688	-1.610	-1.315	0.976	1.161	0.518	0.791	-0.472	0.654	0.508	-0.116	-0.322	0.429	0.716	0.678	1.120	-0.368	-0.107	-0.506	0.220	1.407	1.615	0.518	0.751	0.321	1.008
SyringaeB728a	Psyr_0007	Psyr_0007		Aliphatic nitrilase	0.058	-0.674	-0.945	-1.081	-2.559	0.671	0.302	-0.728	-0.642	-1.011	0.760	-0.310	-1.042	-0.755	-0.400	0.768	0.308	1.409	-1.006	-1.501	-1.385	-0.609	-0.332	-0.723	-0.587	-0.311	1.273	0.392	-0.028	-0.586	0.333	-0.417	-0.467	0.627	1.016	0.938	-0.084	-0.315	0.761	0.867	0.501	-0.039	-0.736	-0.399	-0.543	0.318
SyringaeB728a	Psyr_0008	Psyr_0008		transcriptional regulator, AraC family	0.189	0.514	-1.227	-1.662	-0.964	-1.009	-0.114	0.778	-0.969	-1.440	0.088	-0.555	-1.679	-1.082	0.650	-0.132	-1.460	-0.890	-0.184	1.774	-0.030	0.240	-0.041	0.997	1.306	-0.415	-0.351	-0.468	-0.510	-0.247	-0.181	-0.676	0.058	0.477	-1.804	-1.067	1.072	0.819	0.743	0.633	1.014	0.431	0.088	-0.031	-0.038	0.264
SyringaeB728a	Psyr_0013	Psyr_0013		DNA-3-methyladenine glycosylase I	0.396	0.107	1.393	1.082	0.080	0.171	1.469	0.114	0.963	-0.203	-0.066	-0.271	0.348	1.201	0.295	1.395	-0.231	0.145	-0.725	-0.536	0.207	-0.380	-1.460	0.112	0.819	-0.068	0.707	-0.250	0.517	0.143	0.596	-0.069	0.794	0.168	-0.768	0.263	-0.801	-0.957	-0.364	0.472	0.108	0.967	-1.492	-1.961	-0.814	-0.258
SyringaeB728a	Psyr_0014	Psyr_0014		lipid A biosynthesis acyltransferase	-0.821	-4.607	-4.364	-0.698	-2.920	-4.069	-3.818	-4.103	-5.051	-2.183	-1.028	-0.463	-2.620	-1.646	-2.528	-3.090	-2.381	-1.404	-3.454	-5.285	-4.316	-2.018	-1.858	-3.826	-3.768	-2.896	-3.997	-2.455	-4.581	-3.040	-5.192	-5.223	-4.676	-3.711	-3.807	-3.688	-5.352	-4.114	-4.545	-3.583	-4.016	-2.389	-2.819	-3.185	-2.736	-2.306
SyringaeB728a	Psyr_0015	Psyr_0015		Oxidoreductase alpha (molybdopterin) subunit	-0.423	-0.280	-0.440	-0.356	-1.209	0.435	-0.331	-0.347	-0.088	-0.292	0.031	-0.090	0.064	-0.216	-0.234	0.486	-0.795	0.502	0.634	-0.073	-0.483	0.060	-0.467	-1.040	-1.214	1.057	0.958	0.800	0.866	0.833	0.942	0.607	0.818	0.362	0.074	0.853	0.142	-0.412	0.073	-0.161	-0.764	-0.131	-0.608	-0.446	0.090	0.159
SyringaeB728a	Psyr_0016	Psyr_0016		TrkA-N:TrkA-C	-1.609	0.829	-0.264	-0.823	-1.435	-0.702	0.699	-0.739	0.774	-0.029	-0.755	-0.589	-0.384	1.151	-1.303	0.681	-0.345	-0.372	0.635	-0.457	-2.105	0.331	-0.795	-0.322	-0.142	-0.064	0.820	0.452	0.233	-0.473	-0.191	-0.617	0.228	0.079	-1.763	-1.433	-0.004	-0.438	-0.258	-0.108	0.804	0.958	-0.448	-1.177	-1.435	0.149
SyringaeB728a	Psyr_0017	Psyr_0017		16S rRNA m(5)C-967 methyltransferase	-2.764	-2.015	-3.407	-1.429	-2.394	-1.818	-0.070	-1.310	0.403	-0.563	-0.491	-1.331	-1.672	-2.720	2.771	3.412	-0.912	-2.225	0.920	-1.381	0.738	-2.765	-1.881	-2.661	-2.023	-0.231	-2.516	-1.421	-2.653	-2.505	-3.556	-2.995	-1.780	-2.301	0.695	1.517	-0.067	0.365	-1.177	-1.186	1.005	2.000	-1.290	-0.630	-0.400	-0.160
