orgId	locusId	sysName	geneName	desc	set1IT006 KB	set1IT008 KB with Dimethyl Sulfoxide 0.42 vol%	set1IT012 KB with Acriflavine 1.25 ug/ml	set1IT014 KB with Ampicillin 0.775 ug/ml	set1IT016 KB with Berberine 15.6 ug/ml	set1IT018 KB with Carbenicillin 3.1 ug/ml	set1IT020 KB with Chloramphenicol 1.55 ug/ml	set1IT022 KB with Erythromycin 6.25 ug/ml	set1IT030 KB with Nalidixic 0.775 ug/ml	set1IT034 KB with Nitrofurantoin 31.25 ug/ml	set1IT038 KB with Phloretin 125 ug/ml	set1IT046 KB with Trimethoprim 15.6 ug/ml	set3IT010 KB with Acridine orange 3.125 ug/ml	set3IT020 KB with Mitomycin C 0.05 ug/ml	set4IT014 KB	set4IT016 KB with Dimethyl Sulfoxide 1.25 vol%	set4IT018 KB with Rifampicin 0.1 mg/ml	set4IT020 KB with capsaicin 0.25 mg/ml	set4IT022 KB with capsaicin 0.125 mg/ml	set4IT026 KB with Flavone 0.125 mg/ml	set4IT028 KB with Rotenone 0.25 mg/ml	set4IT030 KB with Rotenone 0.125 mg/ml	set4IT032 KB with Nitrofurantoin 0.0625 mg/ml
SyringaeB728a_mexBdelta	Psyr_0003	Psyr_0003		DNA replication and repair protein RecF	-0.533	0.318	-1.488	-1.213	-0.846	1.049	-0.154	-0.320	-0.752	-10.820	-0.337	-0.150	0.658	0.113	-0.445	-1.142	-0.741	-0.565	-0.311	-0.984	-2.255	0.039	-12.935
SyringaeB728a_mexBdelta	Psyr_0005	Psyr_0005		conserved hypothetical protein	0.246	0.122	-0.743	0.153	-0.148	1.003	1.585	0.743	0.253	0.544	0.192	0.272	-0.665	-0.799	0.050	0.129	0.117	-0.814	0.747	-0.862	-0.364	0.821	0.557
SyringaeB728a_mexBdelta	Psyr_0006	Psyr_0006		putative phenylacetaldoxime dehydratase	-1.117	0.276	-1.361	-0.793	-0.820	0.305	-1.153	-1.375	-1.883	-1.476	-0.764	-0.278	-0.161	-1.698	-0.242	-1.184	-0.397	-0.294	-0.697	-0.803	-1.316	0.063	-0.338
SyringaeB728a_mexBdelta	Psyr_0007	Psyr_0007		Aliphatic nitrilase	0.777	-1.561	-0.832	0.053	-0.084	-0.606	0.390	-0.456	0.269	0.467	-1.298	0.267	1.598	0.744	0.092	0.286	-0.641	-0.714	-0.047	0.468	-0.517	0.347	-0.296
SyringaeB728a_mexBdelta	Psyr_0008	Psyr_0008		transcriptional regulator, AraC family	0.296	1.046	-1.032	-0.467	-0.724	-1.242	-0.793	-1.410	-0.269	-0.190	-0.933	-0.558	-0.034	-1.807	1.056	0.242	-0.491	-0.389	-0.566	0.179	0.008	0.456	0.126
SyringaeB728a_mexBdelta	Psyr_0013	Psyr_0013		DNA-3-methyladenine glycosylase I	-0.722	-0.204	-0.876	-1.904	-0.408	0.432	-0.948	-1.965	-0.564	-1.846	-0.104	-1.723	-2.181	-0.739	-0.406	0.611	0.139	-0.646	-1.455	-0.457	0.464	-1.411	-1.132
SyringaeB728a_mexBdelta	Psyr_0014	Psyr_0014		lipid A biosynthesis acyltransferase	-3.778	-4.093	-3.968	-2.734	-3.599	-3.326	-3.723	-3.984	-3.616	-0.651	-4.461	-4.208	-3.307	-6.650	-3.507	-6.427	-5.930	-5.225	-6.094	-5.705	-7.158	-5.533	-3.041
SyringaeB728a_mexBdelta	Psyr_0015	Psyr_0015		Oxidoreductase alpha (molybdopterin) subunit	-0.111	0.311	-0.751	0.345	0.257	0.071	-1.001	0.090	0.629	0.184	-0.231	0.382	0.812	-0.471	0.207	0.521	0.205	0.204	0.384	-0.190	-0.253	0.816	0.519
SyringaeB728a_mexBdelta	Psyr_0016	Psyr_0016		TrkA-N:TrkA-C	0.633	0.518	0.205	-1.134	-0.190	1.861	-0.402	-0.132	1.783	1.631	-0.308	-0.161	-2.256	-3.174	0.712	0.799	1.399	0.926	1.000	1.437	0.619	0.190	1.981
SyringaeB728a_mexBdelta	Psyr_0017	Psyr_0017		16S rRNA m(5)C-967 methyltransferase	1.014	-0.434	-0.018	-2.221	-2.723	-1.105	0.746	-1.079	0.837	-0.882	-1.263	0.268	-0.963	1.396	0.147	-0.039	2.198	-1.860	-0.644	-1.397	-1.192	-1.094	-0.687
SyringaeB728a_mexBdelta	Psyr_0020	Psyr_0020		Peptidoglycan-binding LysM	1.345	1.221	2.676	0.431	0.754	1.397	0.914	-2.634	1.063	0.703	-0.074	0.741	1.487	1.567	-0.547	-1.364	-3.505	-1.379	-1.975	-1.171	1.527	0.565	0.044
SyringaeB728a_mexBdelta	Psyr_0021	Psyr_0021		DNA protecting protein DprA	1.822	0.765	-0.832	1.361	1.555	1.260	-0.935	0.381	-0.096	0.409	1.302	-0.065	1.404	-0.184	0.837	-1.029	-0.759	-0.377	0.147	0.517	-0.008	0.285	1.215
SyringaeB728a_mexBdelta	Psyr_0023	Psyr_0023		Zinc-containing alcohol dehydrogenase superfamily	0.142	0.087	0.562	0.335	0.431	-0.224	0.165	-1.027	-0.212	0.448	1.025	0.091	1.101	1.043	1.244	0.251	0.078	0.465	-0.103	0.257	0.432	0.511	1.183
SyringaeB728a_mexBdelta	Psyr_0025	Psyr_0025		shikimate dehydrogenase	-0.281	-0.053	2.449	-0.253	1.129	4.140	1.354	-1.080	3.213	-0.764	0.396	0.656	-0.017	0.807	-1.915	0.422	0.723	-0.133	-1.037	-1.293	-0.506	-0.934	-0.421
SyringaeB728a_mexBdelta	Psyr_0026	Psyr_0026		Sulfate transporter/antisigma-factor antagonist STAS:Sulphate transporter	-0.046	0.507	-1.285	-1.151	0.262	-0.772	-0.566	-1.211	-0.609	-0.620	0.046	-1.700	0.431	1.932	-0.367	0.824	0.205	0.055	-0.189	-0.480	-0.303	-0.134	-0.843
