expGroup	expName	condition_1	locusId	sysName	gene	desc	fit	t	conserved
carbon source	set1IT062	2-Deoxy-D-Ribose	ABID97_RS01570	ABID97_RS01570		LysR substrate-binding domain-containing protein	-4.89988114202727	-6.43358489516167	FALSE
carbon source	set1IT014	2-Deoxy-D-Ribose	ABID97_RS01570	ABID97_RS01570		LysR substrate-binding domain-containing protein	-4.62154909666392	-6.51034503298354	FALSE
carbon source	set1IT014	2-Deoxy-D-Ribose	ABID97_RS03180	ABID97_RS03180		acetoacetate--CoA ligase	-1.06902789624985	-7.84002857963206	FALSE
carbon source	set1IT062	2-Deoxy-D-Ribose	ABID97_RS03180	ABID97_RS03180		acetoacetate--CoA ligase	-1.0004422097476	-7.55103740814293	FALSE
carbon source	set1IT062	2-Deoxy-D-Ribose	ABID97_RS03385	ABID97_RS03385		AAA family ATPase	-1.39661611844385	-10.2126684173915	FALSE
carbon source	set1IT014	2-Deoxy-D-Ribose	ABID97_RS04020	ABID97_RS04020		GMC family oxidoreductase N-terminal domain-containing protein	-1.23885493125268	-7.85615586570663	FALSE
carbon source	set1IT062	2-Deoxy-D-Ribose	ABID97_RS04020	ABID97_RS04020		GMC family oxidoreductase N-terminal domain-containing protein	-1.15078478460093	-7.57219757303656	FALSE
carbon source	set1IT014	2-Deoxy-D-Ribose	ABID97_RS06325	ABID97_RS06325		histidine kinase	-1.46921202324114	-11.0975485200912	FALSE
carbon source	set1IT062	2-Deoxy-D-Ribose	ABID97_RS06325	ABID97_RS06325		histidine kinase	-1.46676375519772	-11.011226195641	FALSE
carbon source	set1IT014	2-Deoxy-D-Ribose	ABID97_RS06545	ABID97_RS06545		ROK family protein	1.21287850733331	9.66462101329434	FALSE
carbon source	set1IT062	2-Deoxy-D-Ribose	ABID97_RS06545	ABID97_RS06545		ROK family protein	1.49401473874927	12.6516981076805	FALSE
