orgId	expName	expDesc	timeZeroSet	num	nMapped	nPastEnd	nGenic	nUsed	gMed	gMedt0	gMean	cor12	mad12	mad12c	mad12c_t0	opcor	adjcor	gccor	maxFit	expGroup	expDescLong	mutantLibrary	person	dateStarted	setName	seqindex	media	temperature	pH	vessel	aerobic	liquid	shaking	condition_1	units_1	concentration_1	condition_2	units_2	concentration_2	condition_3	units_3	concentration_3	condition_4	units_4	concentration_4	growthPlate	growthWells
Xantho	set1IT091	1664 hydathodes 6 dpi (Dna extract from 8 * 208 hydathodes and pooled together)	6/5/18 Xantho_ML2_set1	17	2396005	32947	1485962	1476431	234	433	399.035405405405	0.337209355766471	0.283985946730256	0.984968120709304	0.925617090757567	0.245312333980484	0.094818301271747	-0.052028742936099	3.77572025770425	in planta	1664 hydathodes 6 dpi (Dna extract from 8 * 208 hydathodes and pooled together)	Xantho_ML2	Alice	6/5/18	Xantho_ML2_set1	IT091																					
Xantho	set2IT075	1600 hydathodes 6 dpi (Dna extract from 8 * 200 hydathodes and pooled together)	6/12/18 Xantho_ML2_set2	21	1657254	23765	1030216	1023850	156	362	276.716216216216	0.30336288886045	0.316671675088548	1.01530180288873	0.941612697432965	0.232911444270254	0.0350506036793174	-0.0473030325383451	3.26049370585948	in planta	1600 hydathodes 6 dpi (Dna extract from 8 * 200 hydathodes and pooled together)	Xantho_ML2	Alice	6/12/18	Xantho_ML2_set2	IT075		28		flask	Aerobic	Liquid															
Xantho	set2IT079	1664 hydathodes 6 dpi (Dna extract from 8 * 200 hydathodes and pooled together)	6/19/18 Xantho_ML2_set2	25	1754965	25033	1090164	1082855	170	305	292.663513513514	0.26813380712417	0.335574762970765	0.984712592977353	0.962435464874019	0.272479274371533	0.0418044538593271	-0.0522257132720005	2.55015167030467	in planta	1664 hydathodes 6 dpi (Dna extract from 8 * 200 hydathodes and pooled together)	Xantho_ML2	Alice	6/19/18	Xantho_ML2_set2	IT079		28		flask	Aerobic	Liquid															
Xantho	set2IT083	1648 hydathodes 6 dpi (Dna extract from 8 * 200 hydathodes and pooled together)	6/26/18 Xantho_ML2_set2	29	1549639	22463	962011	956056	143	367	258.393513513514	0.244185083340355	0.493024498366754	1.21913943940674	0.944167080719848	0.169704261043678	0.00473486186189065	-0.0251834055524769	3.59439293841935	in planta	1648 hydathodes 6 dpi (Dna extract from 8 * 200 hydathodes and pooled together)	Xantho_ML2	Alice	6/26/18	Xantho_ML2_set2	IT083		28		flask	Aerobic	Liquid															
Xantho	set2IT091	MOKA	5/16/18 Xantho_ML2_set2	37	2056763	35868	1287259	1281351	208	697.5	346.311081081081	0.109980278633086	0.175253999700661	0.931634413243668	0.923342980701301	-0.000611894993987966	0.0246235687211428	-0.0690102374636135	1.2853646066755	moka	MOKA	Xantho_ML2	Alice	5/16/18	Xantho_ML2_set2	IT091	MOKA	28		flask	Aerobic	Liquid															
Xantho	set2IT092	Xantho_MME_glucose_casamino	5/16/18 Xantho_ML2_set2	38	1716056	30906	1068372	1062640	170	697.5	287.2	0.152375645714152	0.18595281701123	0.935140660476354	0.923342980701301	0.0651099746189983	0.075212932594041	-0.0492647918509589	1.19825209302277	xantho_mme_glucose_casamino	Xantho_MME_glucose_casamino	Xantho_ML2	Alice	5/16/18	Xantho_ML2_set2	IT092	Xantho_MME_glucose_casamino	28		flask	Aerobic	Liquid															
Xantho	set2IT093	Xantho_MME_glucose_dropout_LTH	5/16/18 Xantho_ML2_set2	39	1676374	30750	1042733	1037571	165	697.5	280.424594594595	0.235816913491149	0.186811722307839	0.942201793031607	0.923342980701301	0.132482372703098	0.0808603295730245	-0.0424482907049866	1.01841899444024	xantho_mme_glucose_dropout_lth	Xantho_MME_glucose_dropout_LTH	Xantho_ML2	Alice	5/16/18	Xantho_ML2_set2	IT093	Xantho_MME_glucose_dropout_LTH	28		flask	Aerobic	Liquid															
Xantho	set2IT094	Clovis xylem sap	5/16/18 Xantho_ML2_set2	40	1571644	24125	983550	979041	158	697.5	264.605675675676	0.177442731148757	0.181002075816233	0.937702814424331	0.923342980701301	0.148323162923199	0.0439780960300381	-0.0627216859639331	1.07729262748334	clovis xylem sap	Clovis xylem sap	Xantho_ML2	Alice	5/16/18	Xantho_ML2_set2	IT094	Clovis xylem sap	28		flask	Aerobic	Liquid															
Xantho	set3IT072	MOKA	5/30/18 Xantho_ML2_set3	45	1418261	22057	887848	883996	144.5	314	238.917837837838	0.116257308027729	0.203790819273825	0.968973104379375	0.941759409696744	0.105089798692621	0.0309994341121549	-0.0141370904773086	1.85854148035099	moka	MOKA	Xantho_ML2	Alice	5/30/18	Xantho_ML2_set3	IT072	MOKA	28		flask	Aerobic	Liquid															
Xantho	set3IT073	Xantho_MME_glucose_casamino	5/30/18 Xantho_ML2_set3	46	1744692	29486	1086441	1080891	169	314	292.132702702703	0.144492882033812	0.209761244304252	0.936195302877942	0.941759409696744	0.119065948964366	0.0457646743241363	-0.0231111811615938	2.08167392255372	xantho_mme_glucose_casamino	Xantho_MME_glucose_casamino	Xantho_ML2	Alice	5/30/18	Xantho_ML2_set3	IT073	Xantho_MME_glucose_casamino	28		flask	Aerobic	Liquid															
Xantho	set3IT074	Xantho_MME_glucose_dropout_LTH	5/30/18 Xantho_ML2_set3	47	1998860	34064	1246692	1240762	191	314	335.341081081081	0.226202125912165	0.232699117660892	0.948676975729351	0.941759409696744	0.0849559683561068	0.0702916645589266	-0.0412666447587952	2.15181848247193	xantho_mme_glucose_dropout_lth	Xantho_MME_glucose_dropout_LTH	Xantho_ML2	Alice	5/30/18	Xantho_ML2_set3	IT074	Xantho_MME_glucose_dropout_LTH	28		flask	Aerobic	Liquid															
Xantho	set3IT075	Clovis xylem sap	5/30/18 Xantho_ML2_set3	48	1758579	25326	1101033	1093633	173	314	295.576486486486	0.189132190029201	0.236427014716799	0.952434299011653	0.941759409696744	0.109602485189787	-0.000686587409690044	-0.0481107668752069	2.15616904759495	clovis xylem sap	Clovis xylem sap	Xantho_ML2	Alice	5/30/18	Xantho_ML2_set3	IT075		28		flask	Aerobic	Liquid															
Xantho	set3IT081	Xantho_MME_glucose_casamino	6/28/18 Xantho_ML2_set3	54	1705289	30911	1060211	1054494	167	654	284.998378378378	0.134946879669027	0.209646172892899	0.939960567948125	0.906015256360085	0.0794431670807792	0.0975963057146096	-0.0369893881813636	1.56252935417969	xantho_mme_glucose_casamino	Xantho_MME_glucose_casamino	Xantho_ML2	Alice	6/28/18	Xantho_ML2_set3	IT081	Xantho_MME_glucose_casamino	28		flask	Aerobic	Liquid															
Xantho	set3IT082	Xantho_MME_glucose_dropout_LTH	6/28/18 Xantho_ML2_set3	55	1787171	32630	1112554	1107151	170.5	654	299.23	0.18884708036821	0.223109732719398	0.931141301271136	0.906015256360085	0.133013088835299	0.0408504174643614	-0.0592240463251934	1.61834380698942	xantho_mme_glucose_dropout_lth	Xantho_MME_glucose_dropout_LTH	Xantho_ML2	Alice	6/28/18	Xantho_ML2_set3	IT082	Xantho_MME_glucose_dropout_LTH	28		flask	Aerobic	Liquid															
Xantho	set3IT083	Clovis xylem sap	6/28/18 Xantho_ML2_set3	56	1423917	19098	894640	890849	139	654	240.77	0.22488178198963	0.214652905501011	0.970559961633743	0.906015256360085	0.112276253158075	-0.0179668756603195	-0.0550167841485226	2.51065330790523	clovis xylem sap	Clovis xylem sap	Xantho_ML2	Alice	6/28/18	Xantho_ML2_set3	IT083		28		flask	Aerobic	Liquid															
Xantho	set3IT088	MOKA	7/9/18 Xantho_ML2_set3	61	1997989	34390	1247918	1242242	201	778.5	335.741081081081	0.103819324238941	0.156523155371515	0.955587185426962	0.913993252131832	0.0408319699949035	-0.0327404112774392	-0.0723904697406265	1.3382281295359	moka	MOKA	Xantho_ML2	Alice	7/9/18	Xantho_ML2_set3	IT088	MOKA	28		flask	Aerobic	Liquid															
Xantho	set3IT089	Xantho_MME_glucose_casamino	7/9/18 Xantho_ML2_set3	62	1897188	34981	1180591	1173567	183	778.5	317.18027027027	0.140599032686514	0.188906249599323	0.936673853511693	0.913993252131832	0.0936200783339555	-0.0202805058004121	-0.0459270926514535	1.53323386519914	xantho_mme_glucose_casamino	Xantho_MME_glucose_casamino	Xantho_ML2	Alice	7/9/18	Xantho_ML2_set3	IT089	Xantho_MME_glucose_casamino	28		flask	Aerobic	Liquid															
Xantho	set3IT090	Xantho_MME_glucose_dropout_LTH	7/9/18 Xantho_ML2_set3	63	1830050	32073	1139880	1133231	179	778.5	306.278648648649	0.246719923204104	0.175170152052082	0.935057608548285	0.913993252131832	0.179126993606092	0.0431939406497205	-0.0584136842172479	1.22846416322416	xantho_mme_glucose_dropout_lth	Xantho_MME_glucose_dropout_LTH	Xantho_ML2	Alice	7/9/18	Xantho_ML2_set3	IT090	Xantho_MME_glucose_dropout_LTH	28		flask	Aerobic	Liquid															
Xantho	set3IT091	Clovis xylem sap	7/9/18 Xantho_ML2_set3	64	1991274	32294	1242939	1235505	198	778.5	333.92027027027	0.162275797292006	0.177044326525428	0.933648731256943	0.913993252131832	0.136933882434936	-0.00160691433557547	-0.0611917452601514	1.1593161705327	clovis xylem sap	Clovis xylem sap	Xantho_ML2	Alice	7/9/18	Xantho_ML2_set3	IT091		28		flask	Aerobic	Liquid															
