orgId	locusId	sysName	geneName	desc	set1IT091 1664 hydathodes 6 dpi (Dna extract from 8 * 208 hydathodes and pooled together)	set2IT075 1600 hydathodes 6 dpi (Dna extract from 8 * 200 hydathodes and pooled together)	set2IT079 1664 hydathodes 6 dpi (Dna extract from 8 * 200 hydathodes and pooled together)	set2IT083 1648 hydathodes 6 dpi (Dna extract from 8 * 200 hydathodes and pooled together)	set2IT091 MOKA	set2IT092 Xantho_MME_glucose_casamino	set2IT093 Xantho_MME_glucose_dropout_LTH	set2IT094 Clovis xylem sap	set3IT072 MOKA	set3IT073 Xantho_MME_glucose_casamino	set3IT074 Xantho_MME_glucose_dropout_LTH	set3IT075 Clovis xylem sap	set3IT081 Xantho_MME_glucose_casamino	set3IT082 Xantho_MME_glucose_dropout_LTH	set3IT083 Clovis xylem sap	set3IT088 MOKA	set3IT089 Xantho_MME_glucose_casamino	set3IT090 Xantho_MME_glucose_dropout_LTH	set3IT091 Clovis xylem sap
Xantho	Xcc-8004.10.1	Xcc-8004.10.1		TPR domain protein, putative component of TonB system	-1.090	-1.069	-0.960	-1.090	-0.140	-0.120	0.056	-0.206	-0.167	0.016	0.092	-0.400	0.029	0.221	0.018	-0.243	-0.019	0.182	-0.378
Xantho	Xcc-8004.100.1	Xcc-8004.100.1		putative metalloprotease	0.162	0.326	0.096	0.570	-0.052	-0.081	0.083	-0.032	-0.002	-0.055	0.045	-0.038	-0.089	-0.005	0.107	0.020	0.070	-0.007	-0.050
Xantho	Xcc-8004.1000.1	Xcc-8004.1000.1		putative; ORF located using Glimmer/Genemark	0.479	-0.251	0.821	0.896	0.218	0.877	0.689	-0.525	-0.430	0.246	-0.008	0.381	0.305	-0.099	-0.123	0.088	0.114	-0.419	-0.040
Xantho	Xcc-8004.1001.1	Xcc-8004.1001.1		FIG01213217: hypothetical protein	0.030	0.465	0.140	0.129	-0.183	0.327	0.140	0.203	-0.037	-0.006	-0.355	0.117	-0.062	0.005	-0.009	-0.394	-0.162	-0.017	-0.016
Xantho	Xcc-8004.1002.1	Xcc-8004.1002.1		FIG01095481: hypothetical protein	0.095	0.140	-0.003	0.227	-0.110	-0.315	-0.191	-0.286	0.266	-0.399	-0.035	-0.251	-0.118	-0.281	0.025	-0.272	0.010	-0.061	0.233
Xantho	Xcc-8004.1003.1	Xcc-8004.1003.1		FIG027190: Putative transmembrane protein	0.776	-0.238	-1.034	-0.023	-0.683	-0.108	-0.143	-0.406	-0.911	0.388	-0.024	1.000	-0.016	-0.422	0.162	-1.102	0.071	-0.141	-0.048
Xantho	Xcc-8004.1005.1	Xcc-8004.1005.1		FIG01210629: hypothetical protein	-0.389	0.685	0.159	-0.136	0.040	-0.301	-0.182	-0.355	-0.068	0.044	0.327	0.079	0.178	0.058	0.070	0.037	-0.265	0.164	-0.092
Xantho	Xcc-8004.1007.1	Xcc-8004.1007.1		acetylxylan esterase	-0.164	-0.108	-0.001	-1.769	0.163	-0.172	-0.154	0.313	-0.536	-1.137	-0.440	-0.296	-0.572	0.122	-0.644	-0.406	-0.638	0.084	-0.275
Xantho	Xcc-8004.1008.1	Xcc-8004.1008.1		FIG01211317: hypothetical protein	0.052	-0.138	-0.233	-0.201	0.196	-0.031	-0.020	0.006	-0.204	-0.571	-0.307	0.068	-0.305	0.246	-0.295	-0.041	-0.179	0.395	-0.039
Xantho	Xcc-8004.1009.1	Xcc-8004.1009.1		Lysophospholipase L1 and related esterases	-0.198	2.089	0.372	-1.844	0.032	0.295	-0.667	-0.276	0.116	0.555	0.358	0.333	-0.108	-0.437	0.103	0.284	0.411	-0.780	0.023
Xantho	Xcc-8004.1010.1	Xcc-8004.1010.1		Aspartate aminotransferase (EC 2.6.1.1)	-1.900	-2.175	-2.661	-3.269	0.137	-0.478	-3.714	-1.341	0.104	-0.267	-3.454	-0.026	0.158	-4.316	-2.856	-0.009	-0.287	-4.365	-0.689
Xantho	Xcc-8004.1012.1	Xcc-8004.1012.1		hypothetical protein	-0.250	-0.485	0.212	0.205	0.053	0.057	0.002	0.033	0.150	0.018	0.052	0.073	0.183	-0.033	-0.064	-0.014	0.350	0.195	-0.001
Xantho	Xcc-8004.1014.1	Xcc-8004.1014.1		FIG01210031: hypothetical protein	0.221	0.066	0.076	-1.478	0.016	0.354	-0.282	-0.270	-0.425	-0.230	-0.251	0.189	0.130	-0.098	0.318	0.222	-0.165	0.448	0.190
Xantho	Xcc-8004.1015.1	Xcc-8004.1015.1		ThiJ/PfpI family protein	-0.179	0.001	0.743	-0.234	0.159	0.227	-0.002	0.024	0.128	0.502	0.241	0.217	0.277	-0.451	0.191	-0.079	0.335	0.348	-0.092
Xantho	Xcc-8004.1016.1	Xcc-8004.1016.1		Sucrose phosphorylase (EC 2.4.1.7)	-1.161	-0.974	-1.105	-1.483	0.030	0.031	0.171	-0.412	0.018	-0.086	-0.032	0.043	-0.297	0.161	-0.473	0.151	0.086	0.116	-0.097
Xantho	Xcc-8004.1017.1	Xcc-8004.1017.1		Predicted sucrose-specific TonB-dependent receptor	0.351	0.318	0.494	0.107	-0.082	-0.246	0.204	0.088	0.101	0.075	-0.038	0.159	0.182	0.075	-0.128	-0.110	0.117	0.115	0.212
Xantho	Xcc-8004.1018.1	Xcc-8004.1018.1		Sugar transporter	0.133	0.177	0.231	-0.373	-0.087	-0.170	-0.086	-0.053	0.115	-0.325	-0.082	-0.114	-0.045	-0.110	-0.014	-0.178	-0.217	-0.041	-0.133
Xantho	Xcc-8004.1019.1	Xcc-8004.1019.1		hypothetical protein	-0.262	-0.335	-0.081	-0.041	-0.313	-0.190	0.059	-0.010	-0.130	-0.327	-0.536	-0.694	0.012	0.029	-0.051	-0.258	-0.881	-0.165	-0.122
Xantho	Xcc-8004.102.1	Xcc-8004.102.1		oxidoreductase ylbE	-0.247	0.155	-0.030	0.466	0.199	0.314	0.054	0.094	-0.203	-0.162	-0.346	-0.229	-0.005	-0.318	0.133	-0.199	-0.085	-0.128	-0.144
Xantho	Xcc-8004.1022.1	Xcc-8004.1022.1		hypothetical protein	-1.557	-1.780	-0.803	-1.612	-0.123	-0.117	0.003	-0.123	0.178	0.219	0.074	0.177	-0.073	0.145	-0.425	0.130	0.266	0.428	-0.202
Xantho	Xcc-8004.1023.1	Xcc-8004.1023.1		Phosphate-specific outer membrane porin OprP ; Pyrophosphate-specific outer membrane porin OprO	-0.605	-1.674	-0.561	-1.763	0.104	-0.119	-0.051	-0.511	-0.086	0.138	0.165	0.215	-0.085	-0.001	-0.430	0.268	0.038	0.170	-0.079
