orgId	locusId	sysName	geneName	desc	set1IT091 1664 hydathodes 6 dpi (Dna extract from 8 * 208 hydathodes and pooled together)	set2IT075 1600 hydathodes 6 dpi (Dna extract from 8 * 200 hydathodes and pooled together)	set2IT079 1664 hydathodes 6 dpi (Dna extract from 8 * 200 hydathodes and pooled together)	set2IT083 1648 hydathodes 6 dpi (Dna extract from 8 * 200 hydathodes and pooled together)	set2IT091 MOKA	set2IT092 Xantho_MME_glucose_casamino	set2IT093 Xantho_MME_glucose_dropout_LTH	set2IT094 Clovis xylem sap	set3IT072 MOKA	set3IT073 Xantho_MME_glucose_casamino	set3IT074 Xantho_MME_glucose_dropout_LTH	set3IT075 Clovis xylem sap	set3IT081 Xantho_MME_glucose_casamino	set3IT082 Xantho_MME_glucose_dropout_LTH	set3IT083 Clovis xylem sap	set3IT088 MOKA	set3IT089 Xantho_MME_glucose_casamino	set3IT090 Xantho_MME_glucose_dropout_LTH	set3IT091 Clovis xylem sap
Xantho	Xcc-8004.10.1	Xcc-8004.10.1		TPR domain protein, putative component of TonB system	-7.935	-7.761	-6.974	-7.215	-1.291	-1.116	0.527	-1.892	-1.533	0.143	0.832	-3.449	0.263	1.985	0.167	-2.223	-0.172	1.684	-3.443
Xantho	Xcc-8004.100.1	Xcc-8004.100.1		putative metalloprotease	1.038	1.862	0.595	2.796	-0.428	-0.631	0.651	-0.248	-0.013	-0.423	0.351	-0.286	-0.691	-0.040	0.825	0.164	0.576	-0.061	-0.392
Xantho	Xcc-8004.1000.1	Xcc-8004.1000.1		putative; ORF located using Glimmer/Genemark	0.767	-0.470	1.709	1.831	0.767	3.398	2.288	-1.351	-1.159	0.826	-0.026	1.288	0.942	-0.342	-0.308	0.309	0.398	-1.286	-0.134
Xantho	Xcc-8004.1001.1	Xcc-8004.1001.1		FIG01213217: hypothetical protein	0.071	1.122	0.354	0.287	-0.643	1.236	0.370	0.621	-0.125	-0.021	-1.257	0.370	-0.184	0.013	-0.033	-0.996	-0.560	-0.067	-0.039
Xantho	Xcc-8004.1002.1	Xcc-8004.1002.1		FIG01095481: hypothetical protein	0.279	0.535	-0.015	0.443	-0.645	-1.798	-0.966	-1.276	1.421	-1.916	-0.140	-1.185	-0.561	-1.297	0.101	-1.288	0.056	-0.290	1.031
Xantho	Xcc-8004.1003.1	Xcc-8004.1003.1		FIG027190: Putative transmembrane protein	1.269	-0.353	-0.921	-0.018	-1.631	-0.289	-0.257	-0.974	-1.474	0.440	-0.029	0.924	-0.040	-0.767	0.235	-2.525	0.179	-0.223	-0.145
Xantho	Xcc-8004.1005.1	Xcc-8004.1005.1		FIG01210629: hypothetical protein	-0.949	1.851	0.321	-0.277	0.171	-0.745	-0.737	-1.341	-0.227	0.150	0.890	0.174	0.607	0.123	0.207	0.153	-1.028	0.695	-0.312
Xantho	Xcc-8004.1007.1	Xcc-8004.1007.1		acetylxylan esterase	-0.194	-0.097	-0.001	-0.720	0.333	-0.401	-0.238	0.453	-1.096	-2.112	-0.755	-0.578	-1.015	0.244	-0.991	-0.933	-0.838	0.216	-0.382
Xantho	Xcc-8004.1008.1	Xcc-8004.1008.1		FIG01211317: hypothetical protein	0.188	-0.420	-0.820	-0.533	1.098	-0.157	-0.114	0.027	-0.979	-2.886	-1.532	0.301	-1.398	0.963	-1.390	-0.209	-0.849	2.409	-0.191
Xantho	Xcc-8004.1009.1	Xcc-8004.1009.1		Lysophospholipase L1 and related esterases	-0.453	2.017	0.893	-1.785	0.091	0.617	-1.962	-0.729	0.282	1.294	0.444	0.658	-0.306	-0.937	0.249	1.042	1.294	-2.163	0.053
Xantho	Xcc-8004.1010.1	Xcc-8004.1010.1		Aspartate aminotransferase (EC 2.6.1.1)	-4.161	-4.910	-7.320	-6.902	0.684	-2.295	-9.231	-5.236	0.527	-1.073	-7.662	-0.112	0.734	-8.239	-7.518	-0.051	-1.352	-7.872	-3.843
