expGroup	expName	condition_1	locusId	sysName	gene	desc	fit	t	conserved
carbon source	set1IT077	D-Fructose	Ac3H11_3034			Fructokinase (EC 2.7.1.4)	-1.83570010322688	-5.59570827923497	FALSE
carbon source	set2IT002	D-Fructose	Ac3H11_3034			Fructokinase (EC 2.7.1.4)	-1.3436851325075	-7.29060097758401	FALSE
carbon source	set1IT062	D-Fructose	Ac3H11_3034			Fructokinase (EC 2.7.1.4)	-1.29716607736847	-5.80385920136251	FALSE
carbon source	set1IT077	D-Fructose	Ac3H11_3035			Fructose ABC transporter, substrate-binding component FrcB	-4.48455157216712	-11.6865896276231	FALSE
carbon source	set2IT002	D-Fructose	Ac3H11_3035			Fructose ABC transporter, substrate-binding component FrcB	-4.06404643034963	-12.8433455756503	FALSE
carbon source	set1IT062	D-Fructose	Ac3H11_3035			Fructose ABC transporter, substrate-binding component FrcB	-4.01301082293606	-10.3153126346806	FALSE
carbon source	set1IT077	D-Fructose	Ac3H11_3036			Fructose ABC transporter, permease component FrcC	-4.62570484167482	-9.75424354203199	TRUE
carbon source	set1IT062	D-Fructose	Ac3H11_3036			Fructose ABC transporter, permease component FrcC	-4.42657011704792	-9.86955142898293	TRUE
carbon source	set2IT002	D-Fructose	Ac3H11_3036			Fructose ABC transporter, permease component FrcC	-3.7603375851719	-8.43490324194445	TRUE
carbon source	set2IT005	D-Galactose	Ac3H11_600			Galactonate dehydratase (EC 4.2.1.6)	-3.46063063619528	-12.6137820067967	TRUE
carbon source	set1IT065	D-Galactose	Ac3H11_600			Galactonate dehydratase (EC 4.2.1.6)	-3.24046914440484	-11.73307344401	TRUE
carbon source	set1IT080	D-Galactose	Ac3H11_600			Galactonate dehydratase (EC 4.2.1.6)	-3.01076665338777	-8.80873657332172	TRUE
carbon source	set2IT005	D-Galactose	Ac3H11_602			2-dehydro-3-deoxygalactonokinase (EC 2.7.1.58)	-4.88851702718752	-6.64876528394205	TRUE
carbon source	set2IT005	D-Galactose	Ac3H11_603			L-2-keto-3-deoxyarabonate dehydratase (EC 4.2.1.43)	-6.11936071300797	-5.9505824923553	FALSE
carbon source	set1IT080	D-Galactose	Ac3H11_603			L-2-keto-3-deoxyarabonate dehydratase (EC 4.2.1.43)	-4.42043096133666	-6.66617836331846	FALSE
carbon source	set1IT080	D-Galactose	Ac3H11_604			L-arabonate dehydratase (EC 4.2.1.25)	-5.4153443011703	-5.44527914227588	FALSE
carbon source	set2IT005	D-Galactose	Ac3H11_604			L-arabonate dehydratase (EC 4.2.1.25)	-3.45180902490857	-5.8045416268347	FALSE
carbon source	set1IT065	D-Galactose	Ac3H11_604			L-arabonate dehydratase (EC 4.2.1.25)	-3.32967335853845	-5.24316288720838	FALSE
carbon source	set2IT005	D-Galactose	Ac3H11_605			Ribose ABC transport system, permease protein RbsC (TC 3.A.1.2.1)	-6.73855635194903	-6.55933275403517	FALSE
carbon source	set1IT080	D-Galactose	Ac3H11_605			Ribose ABC transport system, permease protein RbsC (TC 3.A.1.2.1)	-6.6392946319621	-6.46879624167245	FALSE
carbon source	set1IT080	D-Galactose	Ac3H11_606			Ribose ABC transport system, permease protein RbsC (TC 3.A.1.2.1)	-5.32368098590969	-8.27568786832455	FALSE
carbon source	set2IT005	D-Galactose	Ac3H11_606			Ribose ABC transport system, permease protein RbsC (TC 3.A.1.2.1)	-4.99902521838234	-9.20101772330851	FALSE
carbon source	set1IT065	D-Galactose	Ac3H11_606			Ribose ABC transport system, permease protein RbsC (TC 3.A.1.2.1)	-4.91244602257747	-7.94878984414371	FALSE
carbon source	set1IT065	D-Galactose	Ac3H11_608			L-arabinose transport system permease protein (TC 3.A.1.2.2)	-6.00155298817022	-5.84867323010119	TRUE
carbon source	set1IT080	D-Galactose	Ac3H11_608			L-arabinose transport system permease protein (TC 3.A.1.2.2)	-5.51123713507989	-8.41875438021972	TRUE
carbon source	set2IT005	D-Galactose	Ac3H11_608			L-arabinose transport system permease protein (TC 3.A.1.2.2)	-4.70215823702702	-8.42539818510882	TRUE
carbon source	set2IT005	D-Galactose	Ac3H11_610			L-arabinose-binding periplasmic protein precursor AraF (TC 3.A.1.2.2)	-5.57326270683904	-8.49312407292581	TRUE
carbon source	set1IT065	D-Galactose	Ac3H11_610			L-arabinose-binding periplasmic protein precursor AraF (TC 3.A.1.2.2)	-5.02298349178533	-9.0296301798103	TRUE
carbon source	set1IT080	D-Galactose	Ac3H11_610			L-arabinose-binding periplasmic protein precursor AraF (TC 3.A.1.2.2)	-4.83582847618787	-8.99193163834689	TRUE
carbon source	set1IT065	D-Galactose	Ac3H11_612			2-ketoglutaric semialdehyde dehydrogenase (EC 1.2.1.26)	-3.42794993910047	-5.85336121680073	FALSE
carbon source	set2IT005	D-Galactose	Ac3H11_612			2-ketoglutaric semialdehyde dehydrogenase (EC 1.2.1.26)	-3.2357388681639	-6.46845636673456	FALSE
carbon source	set2IT005	D-Galactose	Ac3H11_613			Galactose-binding protein regulator	-4.69215652850521	-5.55569402448912	FALSE
carbon source	set1IT065	D-Galactose	Ac3H11_613			Galactose-binding protein regulator	-4.39707226936431	-6.01376070193277	FALSE
carbon source	set1IT080	D-Galactose	Ac3H11_613			Galactose-binding protein regulator	-4.1810625061233	-6.04229714593895	FALSE
carbon source	set2IT005	D-Galactose	Ac3H11_614			Putative oxidoreductase in arabinose utilization cluster	-5.3187076475327	-6.32061234968771	TRUE
carbon source	set1IT080	D-Galactose	Ac3H11_614			Putative oxidoreductase in arabinose utilization cluster	-5.02202185546208	-9.02790148203921	TRUE
carbon source	set1IT065	D-Galactose	Ac3H11_614			Putative oxidoreductase in arabinose utilization cluster	-4.83665881023257	-8.07230073830455	TRUE
carbon source	set1IT065	D-Galactose	Ac3H11_615			L-arabinolactonase (EC 3.1.1.15)	-4.9890501801114	-5.61323641396211	TRUE
carbon source	set2IT005	D-Galactose	Ac3H11_791			Glycerol-3-phosphate ABC transporter, ATP-binding protein UgpC (TC 3.A.1.1.3)	-1.27722615770849	-6.83673148978947	FALSE
carbon source	set1IT083	D-Gluconic Acid sodium salt	Ac3H11_1207			FIG003879: Predicted amidohydrolase	2.56554156649345	5.10023788426553	FALSE
carbon source	set1IT083	D-Gluconic Acid sodium salt	Ac3H11_1264			Sensor protein basS/pmrB (EC 2.7.3.-)	-1.11828099091065	-5.63335841371421	FALSE
carbon source	set1IT083	D-Gluconic Acid sodium salt	Ac3H11_1539			UDP-N-acetylglucosamine 4,6-dehydratase (EC 4.2.1.-)	-1.23077357289321	-10.6441075486049	FALSE
carbon source	set1IT083	D-Gluconic Acid sodium salt	Ac3H11_1545			Bacillosamine/Legionaminic acid biosynthesis aminotransferase PglE; 4-keto-6-deoxy-N-Acetyl-D-hexosaminyl-(Lipid carrier) aminotransferase	-1.14625296913265	-9.68302433630831	FALSE
carbon source	set1IT083	D-Gluconic Acid sodium salt	Ac3H11_1549			PseA protein	-1.13532921761099	-10.0568811368516	FALSE
carbon source	set1IT083	D-Gluconic Acid sodium salt	Ac3H11_1550			hypothetical protein	-1.60381637073386	-5.85236756426665	FALSE
carbon source	set1IT083	D-Gluconic Acid sodium salt	Ac3H11_1555			Lipid carrier : UDP-N-acetylgalactosaminyltransferase (EC 2.4.1.-)	-1.62171315414907	-8.17809012101388	FALSE
carbon source	set1IT068	D-Gluconic Acid sodium salt	Ac3H11_1555			Lipid carrier : UDP-N-acetylgalactosaminyltransferase (EC 2.4.1.-)	-1.62095180333117	-7.38182298435397	FALSE
carbon source	set1IT083	D-Gluconic Acid sodium salt	Ac3H11_1587			Periplasmic serine proteases (ClpP class)	1.40760144575331	12.4054149334941	FALSE
carbon source	set1IT068	D-Gluconic Acid sodium salt	Ac3H11_1587			Periplasmic serine proteases (ClpP class)	1.65704213957172	14.0390681290431	FALSE
carbon source	set1IT083	D-Gluconic Acid sodium salt	Ac3H11_1633			Autolysin sensor kinase (EC 2.7.3.-)	-1.42538260178445	-7.40873486770849	FALSE
carbon source	set1IT068	D-Gluconic Acid sodium salt	Ac3H11_1735			Spermidine synthase (EC 2.5.1.16)	1.08033367038542	5.89278781220163	FALSE
carbon source	set1IT083	D-Gluconic Acid sodium salt	Ac3H11_1840			Ribose operon repressor	1.57026062671899	9.39303497949727	FALSE
carbon source	set1IT068	D-Gluconic Acid sodium salt	Ac3H11_1840			Ribose operon repressor	1.63952403033428	10.2463436457238	FALSE
carbon source	set1IT083	D-Gluconic Acid sodium salt	Ac3H11_3226			TRAP-type transport system, periplasmic component, predicted N-acetylneuraminate-binding protein	-4.93029152603179	-10.5311816670912	TRUE
carbon source	set1IT068	D-Gluconic Acid sodium salt	Ac3H11_3226			TRAP-type transport system, periplasmic component, predicted N-acetylneuraminate-binding protein	-4.37842366892227	-10.1938129178475	TRUE
carbon source	set1IT068	D-Gluconic Acid sodium salt	Ac3H11_3227			TRAP-type C4-dicarboxylate transport system, large permease component	-5.49167455717937	-12.288717504173	TRUE
carbon source	set1IT083	D-Gluconic Acid sodium salt	Ac3H11_3227			TRAP-type C4-dicarboxylate transport system, large permease component	-5.05754652818783	-15.9149869506866	TRUE
carbon source	set1IT068	D-Gluconic Acid sodium salt	Ac3H11_3228			Tripartite ATP-independent periplasmic transporter, DctQ component	-4.45078345754867	-5.64036943727828	FALSE
carbon source	set1IT068	D-Gluconic Acid sodium salt	Ac3H11_3888			Cytochrome c oxidase polypeptide III (EC 1.9.3.1)	-1.84561956065214	-7.54482941597644	FALSE
carbon source	set1IT083	D-Gluconic Acid sodium salt	Ac3H11_3890			Cytochrome oxidase biogenesis protein Cox11-CtaG, copper delivery to Cox1	-1.81714135931455	-7.61271547428078	FALSE
carbon source	set1IT068	D-Gluconic Acid sodium salt	Ac3H11_3890			Cytochrome oxidase biogenesis protein Cox11-CtaG, copper delivery to Cox1	-1.6920389898013	-6.8546077185934	FALSE
carbon source	set1IT068	D-Gluconic Acid sodium salt	Ac3H11_4446			Cytochrome c5	-1.65171828711891	-6.4020439375744	FALSE
carbon source	set1IT068	D-Gluconic Acid sodium salt	Ac3H11_4982			Transcriptional regulator, TetR family	1.14351586755681	7.9306318149236	FALSE
carbon source	set1IT083	D-Gluconic Acid sodium salt	Ac3H11_58			Tricarboxylate transport transcriptional regulator TctD	4.2429924928	13.7742459191684	FALSE
carbon source	set1IT068	D-Gluconic Acid sodium salt	Ac3H11_58			Tricarboxylate transport transcriptional regulator TctD	4.41378619027304	20.9849659702541	FALSE
carbon source	set1IT083	D-Gluconic Acid sodium salt	Ac3H11_59			Tricarboxylate transport protein TctC	4.22144111557115	32.7637167760142	FALSE
carbon source	set1IT068	D-Gluconic Acid sodium salt	Ac3H11_59			Tricarboxylate transport protein TctC	4.40571023376854	35.0006781433078	FALSE
carbon source	set1IT068	D-Gluconic Acid sodium salt	Ac3H11_60			Tricarboxylate transport protein TctB	4.91979890649618	27.1751835187685	FALSE
carbon source	set1IT083	D-Gluconic Acid sodium salt	Ac3H11_60			Tricarboxylate transport protein TctB	5.0186804684926	19.645704172058	FALSE
carbon source	set1IT083	D-Gluconic Acid sodium salt	Ac3H11_61			Tricarboxylate transport membrane protein TctA	4.56395812894023	35.5154405897655	FALSE
carbon source	set1IT068	D-Gluconic Acid sodium salt	Ac3H11_61			Tricarboxylate transport membrane protein TctA	4.66501005289003	36.1882641029086	FALSE
carbon source	set1IT076	D-Glucose	Ac3H11_1263			Response regulator receiver:Transcriptional regulatory protein, C- terminal	-1.49679220001937	-7.98029225928482	FALSE
carbon source	set1IT061	D-Glucose	Ac3H11_1263			Response regulator receiver:Transcriptional regulatory protein, C- terminal	-1.42893886805411	-6.7085375656835	FALSE
carbon source	set1IT061	D-Glucose	Ac3H11_166			Glycine cleavage system H protein	-1.62974903274567	-6.64395377081716	FALSE
carbon source	set1IT061	D-Glucose	Ac3H11_1688			Probable transmembrane protein	-1.60028810027471	-5.18038827518666	FALSE
carbon source	set1IT061	D-Glucose	Ac3H11_2063			Maltoporin (maltose/maltodextrin high-affinity receptor, phage lambda receptor protein)	-5.27305950377242	-7.78422618841222	FALSE
carbon source	set1IT076	D-Glucose	Ac3H11_2063			Maltoporin (maltose/maltodextrin high-affinity receptor, phage lambda receptor protein)	-4.38470676914784	-7.34627660310852	FALSE
carbon source	set1IT076	D-Glucose	Ac3H11_2064			ABC-type sugar transport system, permease component	-6.51940884346618	-9.97187067017617	FALSE
carbon source	set1IT061	D-Glucose	Ac3H11_2064			ABC-type sugar transport system, permease component	-5.38619097516696	-10.9140514872799	FALSE
carbon source	set1IT061	D-Glucose	Ac3H11_2065			Maltose/maltodextrin ABC transporter, permease protein MalG	-5.27711363004485	-10.7091827155042	FALSE
carbon source	set1IT076	D-Glucose	Ac3H11_2065			Maltose/maltodextrin ABC transporter, permease protein MalG	-4.58928659017494	-7.93116028280916	FALSE
carbon source	set1IT061	D-Glucose	Ac3H11_2066			SN-glycerol-3-phosphate transport ATP-binding protein UgpC (TC 3.A.1.1.3)	-4.60868413580832	-10.4087757042868	FALSE
carbon source	set1IT076	D-Glucose	Ac3H11_2066			SN-glycerol-3-phosphate transport ATP-binding protein UgpC (TC 3.A.1.1.3)	-4.53660357691339	-10.6787341468846	FALSE
carbon source	set1IT076	D-Glucose	Ac3H11_3083			Benzoyl-CoA oxygenase component A	-1.33084717457193	-7.73543290455507	FALSE
carbon source	set1IT061	D-Glucose	Ac3H11_3083			Benzoyl-CoA oxygenase component A	-1.18984624377244	-7.07218799440701	FALSE
carbon source	set1IT076	D-Glucose	Ac3H11_3888			Cytochrome c oxidase polypeptide III (EC 1.9.3.1)	-1.67578499475561	-8.17252690671244	FALSE
carbon source	set1IT061	D-Glucose	Ac3H11_3888			Cytochrome c oxidase polypeptide III (EC 1.9.3.1)	-1.64583303702851	-6.09953552414373	FALSE
carbon source	set1IT061	D-Glucose	Ac3H11_3890			Cytochrome oxidase biogenesis protein Cox11-CtaG, copper delivery to Cox1	-2.4229428851546	-10.3470795094528	FALSE
carbon source	set1IT076	D-Glucose	Ac3H11_3890			Cytochrome oxidase biogenesis protein Cox11-CtaG, copper delivery to Cox1	-2.09754853351999	-9.92109156748354	FALSE
carbon source	set1IT061	D-Glucose	Ac3H11_4391			Transcriptional activator of acetoin/glycerol metabolism	-1.38455851150634	-6.41971372066236	FALSE
carbon source	set1IT061	D-Glucose	Ac3H11_4393			Aldehyde dehydrogenase (EC 1.2.1.3)	-1.76618010650491	-8.56167395870684	FALSE
carbon source	set1IT076	D-Glucose	Ac3H11_4393			Aldehyde dehydrogenase (EC 1.2.1.3)	-1.74322947614133	-9.76172686042002	FALSE
carbon source	set1IT061	D-Glucose	Ac3H11_4982			Transcriptional regulator, TetR family	-1.29628401076184	-8.08166693356787	FALSE
carbon source	set1IT061	D-Glucose	Ac3H11_58			Tricarboxylate transport transcriptional regulator TctD	1.44286693437844	5.92140008479599	FALSE
carbon source	set1IT061	D-Glucose	Ac3H11_671			hypothetical protein	-1.77636629170255	-6.89028850698379	FALSE
carbon source	set1IT076	D-Glucose	Ac3H11_671			hypothetical protein	-1.7513411770538	-7.90111244119264	FALSE
carbon source	set1IT076	D-Glucose	Ac3H11_951			Acetyl-coenzyme A synthetase (EC 6.2.1.1)	-2.15181130267692	-14.6931500472003	FALSE
carbon source	set1IT061	D-Glucose	Ac3H11_951			Acetyl-coenzyme A synthetase (EC 6.2.1.1)	-1.89738990626275	-11.1385935472254	FALSE
carbon source	set2IT021	D-Mannose	Ac3H11_2063			Maltoporin (maltose/maltodextrin high-affinity receptor, phage lambda receptor protein)	-1.36778674375385	-5.94820133038689	FALSE
carbon source	set2IT021	D-Mannose	Ac3H11_2064			ABC-type sugar transport system, permease component	-1.43314807756066	-6.55424626631879	TRUE
carbon source	set2IT021	D-Mannose	Ac3H11_2065			Maltose/maltodextrin ABC transporter, permease protein MalG	-1.64407497234579	-6.54544077463196	TRUE
carbon source	set2IT021	D-Mannose	Ac3H11_2066			SN-glycerol-3-phosphate transport ATP-binding protein UgpC (TC 3.A.1.1.3)	-1.52210957515124	-8.69000944370496	TRUE
carbon source	set2IT021	D-Mannose	Ac3H11_2078			D-mannose isomerase (EC 5.3.1.7)	-5.33684776178118	-10.236635439789	TRUE
carbon source	set2IT021	D-Mannose	Ac3H11_3035			Fructose ABC transporter, substrate-binding component FrcB	-1.92766579985851	-9.1274851687195	FALSE
carbon source	set2IT021	D-Mannose	Ac3H11_3036			Fructose ABC transporter, permease component FrcC	-1.75900810881632	-5.71801733463607	FALSE
carbon source	set1IT081	D-Ribose	Ac3H11_1264			Sensor protein basS/pmrB (EC 2.7.3.-)	-2.05520197240476	-8.36324903471846	FALSE
carbon source	set1IT066	D-Ribose	Ac3H11_1264			Sensor protein basS/pmrB (EC 2.7.3.-)	-1.99244600434647	-10.4019701810345	FALSE
carbon source	set1IT066	D-Ribose	Ac3H11_1840			Ribose operon repressor	-5.71477697869223	-9.54754159922175	TRUE
carbon source	set1IT081	D-Ribose	Ac3H11_1840			Ribose operon repressor	-5.55744891501907	-8.61666156108108	TRUE
carbon source	set1IT081	D-Ribose	Ac3H11_1841			Ribose ABC transport system, ATP-binding protein RbsA (TC 3.A.1.2.1)	-5.36487027339117	-13.8822442188816	FALSE
carbon source	set1IT066	D-Ribose	Ac3H11_1841			Ribose ABC transport system, ATP-binding protein RbsA (TC 3.A.1.2.1)	-4.9946909642866	-14.0331786567194	FALSE
carbon source	set1IT066	D-Ribose	Ac3H11_2939			D-arabinitol 4-dehydrogenase (EC 1.1.1.11)	1.59969018743253	9.01589291186841	FALSE
carbon source	set1IT081	D-Ribose	Ac3H11_2939			D-arabinitol 4-dehydrogenase (EC 1.1.1.11)	1.94151257418564	10.9171054032021	FALSE
carbon source	set1IT066	D-Ribose	Ac3H11_3034			Fructokinase (EC 2.7.1.4)	1.50093540983122	6.57764424062899	FALSE
carbon source	set1IT081	D-Ribose	Ac3H11_3034			Fructokinase (EC 2.7.1.4)	1.63584252069344	7.0558866270392	FALSE
carbon source	set1IT081	D-Ribose	Ac3H11_4393			Aldehyde dehydrogenase (EC 1.2.1.3)	-1.14034877372485	-6.42662724679869	FALSE
carbon source	set1IT066	D-Ribose	Ac3H11_604			L-arabonate dehydratase (EC 4.2.1.25)	2.89098351663596	10.500335507945	FALSE
carbon source	set1IT081	D-Ribose	Ac3H11_604			L-arabonate dehydratase (EC 4.2.1.25)	3.82535515095622	19.1862093298252	FALSE
carbon source	set1IT066	D-Ribose	Ac3H11_671			hypothetical protein	-1.16467156575138	-6.21705789423284	FALSE
carbon source	set2IT013	D-Sorbitol	Ac3H11_2940			Ribitol 2-dehydrogenase (EC 1.1.1.56)	-4.38284958042871	-5.5595224043411	FALSE
carbon source	set2IT013	D-Sorbitol	Ac3H11_2941			Various polyols ABC transporter, ATP-binding component	-3.27320797062496	-5.54286293471077	TRUE
carbon source	set2IT013	D-Sorbitol	Ac3H11_2942			Various polyols ABC transporter, permease component 2	-4.06047249928639	-7.37457773276455	TRUE
carbon source	set2IT013	D-Sorbitol	Ac3H11_2943			Various polyols ABC transporter, permease component 1	-4.58954776913097	-10.9782698266308	TRUE
carbon source	set2IT013	D-Sorbitol	Ac3H11_2944			Various polyols ABC transporter, periplasmic substrate-binding protein	-5.33308438316544	-17.6563251975548	TRUE
carbon source	set2IT013	D-Sorbitol	Ac3H11_3035			Fructose ABC transporter, substrate-binding component FrcB	-1.58629190123039	-9.51335316282743	FALSE
carbon source	set2IT013	D-Sorbitol	Ac3H11_3036			Fructose ABC transporter, permease component FrcC	-1.7064411879392	-8.56530805882583	TRUE
carbon source	set2IT012	Glycerol	Ac3H11_791			Glycerol-3-phosphate ABC transporter, ATP-binding protein UgpC (TC 3.A.1.1.3)	-2.28594556892864	-9.63911051446747	FALSE
carbon source	set2IT012	Glycerol	Ac3H11_792			Glycerol-3-phosphate ABC transporter, ATP-binding protein UgpC (TC 3.A.1.1.3)	-1.61946570937044	-6.05343832955684	FALSE
carbon source	set2IT012	Glycerol	Ac3H11_793			Glycerol-3-phosphate ABC transporter, permease protein UgpA (TC 3.A.1.1.3)	-2.636103207236	-9.99646894303971	FALSE
carbon source	set2IT012	Glycerol	Ac3H11_794			Glycerol-3-phosphate ABC transporter, permease protein UgpE (TC 3.A.1.1.3)	-1.88986022354077	-6.28147038237786	FALSE
carbon source	set1IT079	L-Arabinose	Ac3H11_3372			2,4-dihydroxyhept-2-ene-1,7-dioic acid aldolase (EC 4.1.2.n4)	-1.78925001194638	-5.39108577986524	FALSE
carbon source	set1IT064	L-Arabinose	Ac3H11_517			NAD synthetase (EC 6.3.1.5) / Glutamine amidotransferase chain of NAD synthetase	-1.6364527026398	-8.31699449743606	FALSE
carbon source	set1IT079	L-Arabinose	Ac3H11_517			NAD synthetase (EC 6.3.1.5) / Glutamine amidotransferase chain of NAD synthetase	-1.47077216969601	-8.13955919641793	FALSE
carbon source	set2IT004	L-Arabinose	Ac3H11_603			L-2-keto-3-deoxyarabonate dehydratase (EC 4.2.1.43)	-3.58732910315424	-7.13193920390764	TRUE
carbon source	set1IT079	L-Arabinose	Ac3H11_603			L-2-keto-3-deoxyarabonate dehydratase (EC 4.2.1.43)	-2.88455456673374	-6.27942086603897	TRUE
carbon source	set1IT064	L-Arabinose	Ac3H11_604			L-arabonate dehydratase (EC 4.2.1.25)	-5.19743581102746	-6.17128212951897	TRUE
carbon source	set1IT079	L-Arabinose	Ac3H11_604			L-arabonate dehydratase (EC 4.2.1.25)	-4.83581514102707	-6.60615373299177	TRUE
carbon source	set2IT004	L-Arabinose	Ac3H11_604			L-arabonate dehydratase (EC 4.2.1.25)	-4.31546637892283	-5.865252991854	TRUE
carbon source	set1IT079	L-Arabinose	Ac3H11_605			Ribose ABC transport system, permease protein RbsC (TC 3.A.1.2.1)	-5.03408437601333	-9.04056778100799	FALSE
carbon source	set1IT064	L-Arabinose	Ac3H11_605			Ribose ABC transport system, permease protein RbsC (TC 3.A.1.2.1)	-4.55743535013992	-7.8119356579054	FALSE
carbon source	set2IT004	L-Arabinose	Ac3H11_605			Ribose ABC transport system, permease protein RbsC (TC 3.A.1.2.1)	-4.32704114820825	-8.70722646147485	FALSE
carbon source	set1IT064	L-Arabinose	Ac3H11_606			Ribose ABC transport system, permease protein RbsC (TC 3.A.1.2.1)	-5.05024551917858	-8.8377277607361	TRUE
carbon source	set1IT079	L-Arabinose	Ac3H11_606			Ribose ABC transport system, permease protein RbsC (TC 3.A.1.2.1)	-4.32359738120218	-6.15134875318456	TRUE
carbon source	set2IT004	L-Arabinose	Ac3H11_606			Ribose ABC transport system, permease protein RbsC (TC 3.A.1.2.1)	-4.21961352969003	-8.13417087732745	TRUE
carbon source	set1IT064	L-Arabinose	Ac3H11_608			L-arabinose transport system permease protein (TC 3.A.1.2.2)	-5.65474138284068	-8.63796596281094	TRUE
carbon source	set2IT004	L-Arabinose	Ac3H11_608			L-arabinose transport system permease protein (TC 3.A.1.2.2)	-5.15239735057333	-8.57513551999045	TRUE
carbon source	set1IT079	L-Arabinose	Ac3H11_608			L-arabinose transport system permease protein (TC 3.A.1.2.2)	-3.80135944643222	-9.42191552947183	TRUE
carbon source	set1IT064	L-Arabinose	Ac3H11_610			L-arabinose-binding periplasmic protein precursor AraF (TC 3.A.1.2.2)	-4.54948144376827	-8.7203767363328	TRUE
carbon source	set1IT079	L-Arabinose	Ac3H11_610			L-arabinose-binding periplasmic protein precursor AraF (TC 3.A.1.2.2)	-4.42349688039013	-8.1304012661068	TRUE
carbon source	set2IT004	L-Arabinose	Ac3H11_610			L-arabinose-binding periplasmic protein precursor AraF (TC 3.A.1.2.2)	-2.76654979070191	-7.22121070837311	TRUE
carbon source	set1IT079	L-Arabinose	Ac3H11_612			2-ketoglutaric semialdehyde dehydrogenase (EC 1.2.1.26)	-4.1459664583208	-7.77218725878824	FALSE
carbon source	set2IT004	L-Arabinose	Ac3H11_612			2-ketoglutaric semialdehyde dehydrogenase (EC 1.2.1.26)	-3.45187460584171	-6.86166013741916	FALSE
carbon source	set1IT064	L-Arabinose	Ac3H11_613			Galactose-binding protein regulator	-5.64385571959101	-5.49490323386639	TRUE
carbon source	set1IT079	L-Arabinose	Ac3H11_613			Galactose-binding protein regulator	-3.34813773285328	-6.53319612842809	TRUE
carbon source	set2IT004	L-Arabinose	Ac3H11_613			Galactose-binding protein regulator	-3.06658691563758	-6.24725335471381	TRUE
carbon source	set1IT079	L-Arabinose	Ac3H11_614			Putative oxidoreductase in arabinose utilization cluster	-6.22367081053867	-7.40757671463382	TRUE
carbon source	set1IT064	L-Arabinose	Ac3H11_614			Putative oxidoreductase in arabinose utilization cluster	-4.73942934529594	-10.0989089578182	TRUE
carbon source	set2IT004	L-Arabinose	Ac3H11_614			Putative oxidoreductase in arabinose utilization cluster	-4.66016333440367	-8.89499051344888	TRUE
carbon source	set2IT004	L-Arabinose	Ac3H11_615			L-arabinolactonase (EC 3.1.1.15)	-4.92312985018785	-5.76143939722949	FALSE
carbon source	set1IT064	L-Arabinose	Ac3H11_615			L-arabinolactonase (EC 3.1.1.15)	-3.26809086987005	-5.01210700296926	FALSE
carbon source	set2IT004	L-Arabinose	Ac3H11_616			Aldose 1-epimerase	-1.09979773871575	-5.48483939587512	FALSE
carbon source	set1IT064	L-Arabinose	Ac3H11_951			Acetyl-coenzyme A synthetase (EC 6.2.1.1)	-1.02138898351247	-7.99941647262435	FALSE
carbon source	set2IT004	L-Arabinose	Ac3H11_951			Acetyl-coenzyme A synthetase (EC 6.2.1.1)	-1.0141082252261	-8.16642563695394	FALSE
carbon source	set2IT016	L-Asparagine	Ac3H11_1954			Glutamate Aspartate periplasmic binding protein precursor GltI (TC 3.A.1.3.4)	-2.46712300260881	-11.3846319041494	FALSE
carbon source	set2IT016	L-Asparagine	Ac3H11_950			putative membrane protein	1.61184067386709	11.8310429084096	TRUE
carbon source	set2IT017	L-Glutamine	Ac3H11_1079			NADP-dependent malic enzyme (EC 1.1.1.40)	-1.40574380455396	-12.298268003877	TRUE
carbon source	set2IT017	L-Glutamine	Ac3H11_155			TRAP dicarboxylate transporter, DctM subunit, unknown substrate 5	-1.46654255553734	-5.15244813075462	FALSE
carbon source	set2IT017	L-Glutamine	Ac3H11_156			TRAP dicarboxylate transporter, DctQ subunit, unknown substrate 5	-1.92918676298412	-6.30296462655239	FALSE
carbon source	set2IT017	L-Glutamine	Ac3H11_2391			L-asparaginase (EC 3.5.1.1)	2.93859136866533	15.6906886598311	FALSE
carbon source	set2IT015	L-Malic acid disodium salt monohydrate	Ac3H11_2468			membrane protein, putative	-1.00839837987606	-7.46834433677428	FALSE
carbon source	set2IT015	L-Malic acid disodium salt monohydrate	Ac3H11_718			Sensor histidine kinase	-3.03164560767132	-12.4145123116119	FALSE
carbon source	set2IT015	L-Malic acid disodium salt monohydrate	Ac3H11_719			Aerobic C4-dicarboxylate transporter for fumarate, L-malate, D-malate, succunate, aspartate	-2.69575334389421	-12.4178002329645	TRUE
carbon source	set2IT008	Sodium D,L-Lactate	Ac3H11_1623			L-lactate dehydrogenase (EC 1.1.2.3)	-2.43353082363381	-10.0087589312448	TRUE
carbon source	set1IT086	Sodium D,L-Lactate	Ac3H11_1623			L-lactate dehydrogenase (EC 1.1.2.3)	-2.17337817480841	-9.4513797201043	TRUE
