expGroup	expName	condition_1	locusId	sysName	gene	desc	fit	t	conserved
carbon source	set1IT067	D-Fructose	AZOBR_RS04265	AZOBR_RS04265		2-isopropylmalate synthase	-2.00348099931144	-10.6907303764161	FALSE
carbon source	set1IT070	D-Fructose	AZOBR_RS04265	AZOBR_RS04265		2-isopropylmalate synthase	-1.9359914233013	-11.1056518779003	FALSE
carbon source	set1IT067	D-Fructose	AZOBR_RS32325	AZOBR_RS32325		PTS fructose transporter subunit IIA	-2.46021505080907	-12.0557232262154	TRUE
carbon source	set1IT070	D-Fructose	AZOBR_RS32325	AZOBR_RS32325		PTS fructose transporter subunit IIA	-2.39792972388468	-7.91418509336228	TRUE
carbon source	set1IT070	D-Fructose	AZOBR_RS32335	AZOBR_RS32335		PTS fructose transporter subunit IIBC	-2.34861998550732	-11.0083637447932	TRUE
carbon source	set1IT067	D-Fructose	AZOBR_RS32335	AZOBR_RS32335		PTS fructose transporter subunit IIBC	-2.21473771166259	-10.0392363133239	TRUE
carbon source	set3IT049	D-Gluconic Acid sodium salt	AZOBR_RS00885	AZOBR_RS00885		regulator	1.53637564435408	7.2273949918501	FALSE
carbon source	set3IT049	D-Gluconic Acid sodium salt	AZOBR_RS09480	AZOBR_RS09480		4-alpha-glucanotransferase	1.17024393670574	8.71127732525065	FALSE
carbon source	set2IT001	D-Gluconic Acid sodium salt	AZOBR_RS09480	AZOBR_RS09480		4-alpha-glucanotransferase	1.31133809768263	7.66802021229496	FALSE
carbon source	set2IT001	D-Gluconic Acid sodium salt	AZOBR_RS09670	AZOBR_RS09670		hypothetical protein	1.50435371515861	5.85613919194334	FALSE
carbon source	set3IT049	D-Gluconic Acid sodium salt	AZOBR_RS10005	AZOBR_RS10005		MucR family transcriptional regulator	-2.09566781884325	-7.54027750199231	FALSE
carbon source	set3IT049	D-Gluconic Acid sodium salt	AZOBR_RS10760	AZOBR_RS10760		chemotaxis protein	-1.47932185377591	-7.9420771105787	FALSE
carbon source	set3IT049	D-Gluconic Acid sodium salt	AZOBR_RS12825	AZOBR_RS12825		cytochrome B561	1.54847730446248	11.2032477192831	FALSE
carbon source	set2IT001	D-Gluconic Acid sodium salt	AZOBR_RS12825	AZOBR_RS12825		cytochrome B561	1.60934062395447	9.25162412991163	FALSE
carbon source	set2IT001	D-Gluconic Acid sodium salt	AZOBR_RS15915	AZOBR_RS15915		ABC transporter substrate-binding protein	-2.70028369245379	-5.42056397707094	TRUE
carbon source	set3IT049	D-Gluconic Acid sodium salt	AZOBR_RS15915	AZOBR_RS15915		ABC transporter substrate-binding protein	-2.38288567535388	-8.31139993522113	TRUE
carbon source	set2IT001	D-Gluconic Acid sodium salt	AZOBR_RS15920	AZOBR_RS15920		dehydroascorbate transporter	-2.90472367691437	-7.00342404620563	TRUE
carbon source	set3IT049	D-Gluconic Acid sodium salt	AZOBR_RS15920	AZOBR_RS15920		dehydroascorbate transporter	-2.47123414513999	-10.8135016855867	TRUE
carbon source	set3IT049	D-Gluconic Acid sodium salt	AZOBR_RS15925	AZOBR_RS15925		C4-dicarboxylate ABC transporter permease	-2.57030973877571	-5.52536601286302	FALSE
carbon source	set3IT049	D-Gluconic Acid sodium salt	AZOBR_RS18690	AZOBR_RS18690		quinolinate synthetase	1.46858804797183	7.74607311435669	FALSE
carbon source	set3IT049	D-Gluconic Acid sodium salt	AZOBR_RS20450	AZOBR_RS20450		hydroxyacylglutathione hydrolase	1.13712109216194	8.81256350650497	FALSE
carbon source	set2IT001	D-Gluconic Acid sodium salt	AZOBR_RS20450	AZOBR_RS20450		hydroxyacylglutathione hydrolase	1.15929054221798	6.5983628616622	FALSE
carbon source	set2IT001	D-Gluconic Acid sodium salt	AZOBR_RS23485	AZOBR_RS23485		peptidase M3	1.00525101742446	6.7730835045776	FALSE
carbon source	set3IT049	D-Gluconic Acid sodium salt	AZOBR_RS26460	AZOBR_RS26460		hypothetical protein	-1.28479434240427	-5.46361733944848	FALSE
carbon source	set2IT007	Ethanol	AZOBR_RS07530	AZOBR_RS07530		pyrroloquinoline quinone biosynthesis protein PqqE	-1.92957635178993	-8.3497277809314	TRUE
carbon source	set3IT055	Ethanol	AZOBR_RS07530	AZOBR_RS07530		pyrroloquinoline quinone biosynthesis protein PqqE	-1.50405367214314	-5.84380993847699	TRUE
carbon source	set3IT055	Ethanol	AZOBR_RS07540	AZOBR_RS07540		pyrroloquinoline quinone biosynthesis protein PqqC	-1.67068998675849	-8.85635701376966	TRUE
carbon source	set2IT007	Ethanol	AZOBR_RS07540	AZOBR_RS07540		pyrroloquinoline quinone biosynthesis protein PqqC	-1.66516481435982	-9.52161414997988	TRUE
carbon source	set3IT055	Ethanol	AZOBR_RS10600	AZOBR_RS10600		peptidase C69	-1.80712519184985	-7.18011491582958	FALSE
carbon source	set2IT007	Ethanol	AZOBR_RS10600	AZOBR_RS10600		peptidase C69	-1.50799298086501	-5.27550242631701	FALSE
carbon source	set3IT055	Ethanol	AZOBR_RS11930	AZOBR_RS11930		modulator protein	-1.74009029865386	-9.88297604239963	FALSE
carbon source	set2IT007	Ethanol	AZOBR_RS11930	AZOBR_RS11930		modulator protein	-1.60232093809137	-8.95602224035814	FALSE
carbon source	set3IT055	Ethanol	AZOBR_RS12815	AZOBR_RS12815		cytochrome C	-1.15472397552997	-6.75800358628249	FALSE
carbon source	set3IT056	Glycerol	AZOBR_RS00885	AZOBR_RS00885		regulator	1.95195719906343	8.91557263681063	FALSE
carbon source	set2IT008	Glycerol	AZOBR_RS00885	AZOBR_RS00885		regulator	2.14450057326914	12.2445955140661	FALSE
carbon source	set3IT056	Glycerol	AZOBR_RS03325	AZOBR_RS03325		hypothetical protein	1.19229349331987	9.09516031947298	FALSE
carbon source	set2IT008	Glycerol	AZOBR_RS03325	AZOBR_RS03325		hypothetical protein	1.47092474644098	12.1800399533082	FALSE
carbon source	set3IT056	Glycerol	AZOBR_RS03340	AZOBR_RS03340		membrane protein	1.62353033708896	10.5963971149496	FALSE
carbon source	set2IT008	Glycerol	AZOBR_RS03340	AZOBR_RS03340		membrane protein	1.99392416794922	14.4277156943139	FALSE
carbon source	set3IT056	Glycerol	AZOBR_RS03360	AZOBR_RS03360		glycosyl transferase family 1	1.11139040949154	8.454624566329	FALSE
carbon source	set2IT008	Glycerol	AZOBR_RS03360	AZOBR_RS03360		glycosyl transferase family 1	1.29141288817376	8.42444142091523	FALSE
carbon source	set3IT056	Glycerol	AZOBR_RS03390	AZOBR_RS03390		protein tyrosine kinase	1.21210847962615	8.57394377687639	FALSE
carbon source	set2IT008	Glycerol	AZOBR_RS03390	AZOBR_RS03390		protein tyrosine kinase	1.52604639293289	11.6163100722741	FALSE
carbon source	set3IT056	Glycerol	AZOBR_RS10275	AZOBR_RS10275		hypothetical protein	1.75906989619988	11.1554435233359	FALSE
carbon source	set2IT008	Glycerol	AZOBR_RS10275	AZOBR_RS10275		hypothetical protein	2.39196585889637	14.5768013341895	FALSE
carbon source	set2IT008	Glycerol	AZOBR_RS10570	AZOBR_RS10570		cytochrome B562	1.02461603269166	7.91161503265605	FALSE
carbon source	set3IT056	Glycerol	AZOBR_RS11690	AZOBR_RS11690		hypothetical protein	1.15545006094817	6.40927404485101	FALSE
carbon source	set3IT056	Glycerol	AZOBR_RS12505	AZOBR_RS12505		hypothetical protein	1.22345475187872	10.4343159392012	FALSE
carbon source	set2IT008	Glycerol	AZOBR_RS12505	AZOBR_RS12505		hypothetical protein	1.46405851926311	10.8108906960723	FALSE
carbon source	set3IT056	Glycerol	AZOBR_RS17210	AZOBR_RS17210		epimerase	-1.9414718420523	-5.1217484508642	FALSE
carbon source	set2IT008	Glycerol	AZOBR_RS18690	AZOBR_RS18690		quinolinate synthetase	2.12177097870156	12.5588792918585	FALSE
carbon source	set3IT056	Glycerol	AZOBR_RS19355	AZOBR_RS19355		glycosyl transferase family 1	-1.62913072117718	-5.70189773084884	FALSE
carbon source	set3IT056	Glycerol	AZOBR_RS19360	AZOBR_RS19360		glycosyltransferase family 1	2.41243048852723	7.97942427251587	FALSE
carbon source	set2IT008	Glycerol	AZOBR_RS19360	AZOBR_RS19360		glycosyltransferase family 1	2.92328587824566	7.93103972810262	FALSE
carbon source	set3IT056	Glycerol	AZOBR_RS19390	AZOBR_RS19390		methyltransferase	-1.7420306933987	-8.41661019794209	FALSE
carbon source	set2IT008	Glycerol	AZOBR_RS19390	AZOBR_RS19390		methyltransferase	-1.22830530313219	-6.80330620434998	FALSE
carbon source	set3IT056	Glycerol	AZOBR_RS19395	AZOBR_RS19395		glycosyl hydrolase	-1.70191468876541	-10.0547896758358	FALSE
carbon source	set2IT008	Glycerol	AZOBR_RS19395	AZOBR_RS19395		glycosyl hydrolase	-1.1531045915762	-5.87942671233944	FALSE
carbon source	set2IT008	Glycerol	AZOBR_RS21875	AZOBR_RS21875		histidine kinase	1.08206551494756	8.61627260998568	FALSE
carbon source	set3IT056	Glycerol	AZOBR_RS23660	AZOBR_RS23660		hypothetical protein	-1.54153928328587	-6.47082669784369	FALSE
carbon source	set3IT056	Glycerol	AZOBR_RS23675	AZOBR_RS23675		hypothetical protein	-1.90385166590788	-8.98395952852242	FALSE
carbon source	set2IT008	Glycerol	AZOBR_RS24040	AZOBR_RS24040		FAD-dependent oxidoreductase	1.00861578786426	6.93591840568127	FALSE
carbon source	set3IT056	Glycerol	AZOBR_RS26780	AZOBR_RS26780		hypothetical protein	1.440677567389	9.78394780098662	FALSE
