expGroup	expName	condition_1	locusId	sysName	gene	desc	fit	t	conserved
anaerobic	set7H45		GFF1247	Psest_1280		TonB-dependent copper receptor	1.8813925610097	16.6115413807952	FALSE
anaerobic	set7H45		GFF1441	Psest_1478		Predicted membrane protein	1.05153378225638	6.93187109548827	FALSE
anaerobic	set7H45		GFF2877	Psest_2933		Signal transduction histidine kinase	-1.53121575059788	-8.58429886400423	FALSE
anaerobic	set7H45		GFF3173	Psest_3235		Protein of unknown function (DUF1329).	1.63051754113808	14.7493416779206	FALSE
anaerobic	set7H45		GFF826	Psest_0840		anaerobic ribonucleoside-triphosphate reductase	-1.47270000717492	-10.7758039292946	FALSE
carbon source	set8H35		GFF120	Psest_0120		hypothetical protein	-1.63893104657187	-5.9730357649236	FALSE
carbon source	set8H35		GFF262	Psest_0263		PAS domain S-box/diguanylate cyclase (GGDEF) domain	-1.24688218326192	-6.6160548623375	FALSE
carbon source	set8H35		GFF2739	Psest_2793		hypothetical protein	1.41569978134579	7.1164612336937	FALSE
carbon source	set8H35		GFF3848	Psest_3918		hypothetical protein	-1.11864194528968	-6.15669862846808	FALSE
carbon source	set8H35		GFF4177	Psest_4250		hypothetical protein	-1.17616430241496	-7.29670690527549	FALSE
carbon source	set8H35		GFF4224	Psest_4297		PAS domain S-box	-1.37391367749931	-7.90553009441007	FALSE
carbon source	set12H21	D-Alanine	GFF346	Psest_0347		probable sodium:solute symporter, VC_2705 subfamily	-5.15434916686616	-24.463810862071	FALSE
carbon source	set12H22	D-Alanine	GFF346	Psest_0347		probable sodium:solute symporter, VC_2705 subfamily	-4.75763782599232	-25.0866026995411	FALSE
carbon source	set12H21	D-Alanine	GFF347	Psest_0348		hypothetical protein	-1.79915021372194	-6.96929679077644	FALSE
carbon source	set12H21	D-Alanine	GFF348	Psest_0349		DNA polymerase III, alpha subunit (gram-positive type)	-2.60948889404836	-10.0898651086943	FALSE
carbon source	set12H22	D-Alanine	GFF348	Psest_0349		DNA polymerase III, alpha subunit (gram-positive type)	-2.6016910041335	-8.3656383670993	FALSE
carbon source	set12H22	D-Alanine	GFF3724	Psest_3793		Glycine/D-amino acid oxidases (deaminating)	-5.40784061783274	-11.2484804404936	TRUE
carbon source	set12H21	D-Alanine	GFF3724	Psest_3793		Glycine/D-amino acid oxidases (deaminating)	-5.28655539898387	-8.71351947187013	TRUE
carbon source	set12H22	D-Alanine	GFF3725	Psest_3794		Transcriptional regulators	-6.64059680305582	-14.8613923296838	TRUE
carbon source	set12H21	D-Alanine	GFF3725	Psest_3794		Transcriptional regulators	-6.41039589288766	-16.5956366216922	TRUE
carbon source	set10H5	D-Fructose	GFF1590	Psest_1627		Superfamily II DNA and RNA helicases	-2.23441894031173	-13.7032468145842	FALSE
carbon source	set10H6	D-Fructose	GFF1590	Psest_1627		Superfamily II DNA and RNA helicases	-2.0397207692617	-11.7037446589571	FALSE
carbon source	set10H5	D-Fructose	GFF1771	Psest_1810		UDP-N-acetylglucosamine 4,6-dehydratase	1.48290413513303	12.6784450568036	FALSE
carbon source	set10H6	D-Fructose	GFF1861	Psest_1900		Maltoporin (phage lambda and maltose receptor)	-1.13305592556904	-8.51321450290424	FALSE
carbon source	set10H5	D-Fructose	GFF1861	Psest_1900		Maltoporin (phage lambda and maltose receptor)	-1.03806743736608	-8.22433128540658	FALSE
carbon source	set10H6	D-Fructose	GFF1907	Psest_1948		Ribosome modulation factor	-1.23547752174871	-7.20386506767831	FALSE
carbon source	set10H5	D-Fructose	GFF1907	Psest_1948		Ribosome modulation factor	-1.02547400848292	-5.46103610013269	FALSE
carbon source	set10H6	D-Fructose	GFF2272	Psest_2317		Uncharacterized protein conserved in bacteria	1.83439313401469	9.45016269834771	FALSE
carbon source	set10H5	D-Fructose	GFF2272	Psest_2317		Uncharacterized protein conserved in bacteria	1.93236989871314	9.3012973116477	FALSE
