expGroup	expName	condition_1	locusId	sysName	gene	desc	fit	t	conserved
carbon source	set4IT078	Carnitine Hydrochloride	Pf1N1B4_1652			transcriptional regulator, LysR family	-1.40213075615555	-7.04331557835493	FALSE
carbon source	set4IT078	Carnitine Hydrochloride	Pf1N1B4_1673			Formate dehydrogenase chain D (EC 1.2.1.2)	-1.41987748710403	-5.96155114468874	FALSE
carbon source	set4IT078	Carnitine Hydrochloride	Pf1N1B4_1820			NAD(P) transhydrogenase subunit beta (EC 1.6.1.2)	-1.01854302636802	-7.21821444708819	TRUE
carbon source	set4IT078	Carnitine Hydrochloride	Pf1N1B4_2418			HTH-type transcriptional regulator BetI	1.63126863517486	8.16627211629074	TRUE
carbon source	set4IT078	Carnitine Hydrochloride	Pf1N1B4_2420			L-proline glycine betaine ABC transport system permease protein ProV (TC 3.A.1.12.1)	-2.82330471853541	-7.96743888184822	TRUE
carbon source	set4IT078	Carnitine Hydrochloride	Pf1N1B4_2422			L-proline glycine betaine binding ABC transporter protein ProX (TC 3.A.1.12.1)	-2.55162840490247	-5.07959698271292	TRUE
carbon source	set4IT078	Carnitine Hydrochloride	Pf1N1B4_2423			L-serine dehydratase (EC 4.3.1.17)	-1.06802016230337	-6.00651935860147	TRUE
carbon source	set4IT078	Carnitine Hydrochloride	Pf1N1B4_2425			Transcriptional regulator containing an amidase domain and an AraC-type DNA-binding HTH domain	-3.06666148601621	-5.35166793497271	TRUE
carbon source	set4IT078	Carnitine Hydrochloride	Pf1N1B4_2428			FIG143042: Thioesterase-like protein	-3.45987997043939	-8.18284618440163	TRUE
carbon source	set4IT078	Carnitine Hydrochloride	Pf1N1B4_2430			FIG004891: hypothetical protein in carnitine cluster	-3.40295472867158	-5.50159912526086	TRUE
carbon source	set4IT078	Carnitine Hydrochloride	Pf1N1B4_2438			FIG00953113: hypothetical protein	-2.84950855562845	-6.6529485822118	TRUE
carbon source	set4IT078	Carnitine Hydrochloride	Pf1N1B4_2439			DgcA Dimethylglycine demethylase subunit A	-2.45278555198779	-7.54174571319015	TRUE
carbon source	set4IT078	Carnitine Hydrochloride	Pf1N1B4_2440			Predicted L-lactate dehydrogenase, Iron-sulfur cluster-binding subunit YkgF	-2.96733928708743	-5.8855511820603	TRUE
carbon source	set4IT078	Carnitine Hydrochloride	Pf1N1B4_2447			GbcA Glycine betaine demethylase subunit A	-2.0232438912106	-5.3122981702154	TRUE
carbon source	set4IT078	Carnitine Hydrochloride	Pf1N1B4_2448			GbcB Glycine betaine demethylase subunit B	-2.0798384412072	-6.25515422406356	TRUE
carbon source	set4IT078	Carnitine Hydrochloride	Pf1N1B4_2454			Serine hydroxymethyltransferase (EC 2.1.2.1)	-2.51859750204034	-6.07115909630902	TRUE
carbon source	set4IT078	Carnitine Hydrochloride	Pf1N1B4_2455			Sarcosine oxidase beta subunit (EC 1.5.3.1)	-2.60033244023217	-5.78034716927528	TRUE
carbon source	set4IT078	Carnitine Hydrochloride	Pf1N1B4_2457			Sarcosine oxidase alpha subunit (EC 1.5.3.1)	-2.49619670400173	-8.04685582717835	TRUE
carbon source	set4IT078	Carnitine Hydrochloride	Pf1N1B4_2503			Coenzyme PQQ synthesis protein F	-1.60652425147035	-9.28167193933519	FALSE
carbon source	set4IT078	Carnitine Hydrochloride	Pf1N1B4_2730			FIG00958173: hypothetical protein	1.12077287201936	6.76243094436561	FALSE
carbon source	set4IT078	Carnitine Hydrochloride	Pf1N1B4_3430			Acetyl-coenzyme A synthetase (EC 6.2.1.1)	-2.22996195011286	-13.3063797693891	TRUE
carbon source	set4IT078	Carnitine Hydrochloride	Pf1N1B4_3725			Sensory box histidine kinase/response regulator	-1.99099140928594	-5.92481296061829	FALSE
carbon source	set4IT078	Carnitine Hydrochloride	Pf1N1B4_4052			Isocitrate dehydrogenase [NADP] (EC 1.1.1.42)	-1.72234581409762	-6.8402073588838	FALSE
carbon source	set4IT083	Cytidine	Pf1N1B4_1655			FIG00553872: hypothetical protein	1.12330970509799	8.38840152133785	FALSE
carbon source	set4IT083	Cytidine	Pf1N1B4_3430			Acetyl-coenzyme A synthetase (EC 6.2.1.1)	-1.32030154974474	-8.71928994098586	FALSE
carbon source	set4IT076	D-Alanine	Pf1N1B4_2143			Leucine-responsive regulatory protein, regulator for leucine (or lrp) regulon and high-affinity branched-chain amino acid transport system	-4.08148150916046	-8.2571602160839	TRUE
carbon source	set4IT076	D-Alanine	Pf1N1B4_801			D-serine/D-alanine/glycine transporter	-2.68987840208712	-6.9088341389766	TRUE
carbon source	set1IT022	D-Fructose	Pf1N1B4_1144			PTS system, fructose-specific IIB component (EC 2.7.1.69) / PTS system, fructose-specific IIC component (EC 2.7.1.69)	-2.60559595269197	-8.94875592179909	TRUE
carbon source	set1IT006	D-Fructose	Pf1N1B4_1144			PTS system, fructose-specific IIB component (EC 2.7.1.69) / PTS system, fructose-specific IIC component (EC 2.7.1.69)	-2.58436001533959	-9.0037700377406	TRUE
carbon source	set1IT006	D-Fructose	Pf1N1B4_1146			Phosphoenolpyruvate-protein phosphotransferase of PTS system (EC 2.7.3.9)	-3.33878470349339	-7.08269898112964	TRUE
carbon source	set1IT022	D-Fructose	Pf1N1B4_1146			Phosphoenolpyruvate-protein phosphotransferase of PTS system (EC 2.7.3.9)	-2.84788433323627	-7.90735166620907	TRUE
carbon source	set1IT025	D-Galactose	Pf1N1B4_2540			Spermidine Putrescine ABC transporter permease component PotB (TC 3.A.1.11.1)	-1.8635461032878	-11.3176264503114	FALSE
