expGroup	expName	condition_1	locusId	sysName	gene	desc	fit	t	conserved
carbon source	set5IT010	Carnitine Hydrochloride	AO353_01210	AO353_01210		GntR family transcriptional regulator	-1.97431045510161	-13.0613677796725	FALSE
carbon source	set5IT010	Carnitine Hydrochloride	AO353_03060	AO353_03060		acetyl-CoA synthetase	-1.68389350543498	-13.6706807225858	TRUE
carbon source	set5IT010	Carnitine Hydrochloride	AO353_03235	AO353_03235		glutamate-pyruvate aminotransferase	-1.38314052063512	-6.20255716694211	FALSE
carbon source	set5IT010	Carnitine Hydrochloride	AO353_05065	AO353_05065		phosphate acetyltransferase	-1.71516365779358	-6.62631312201991	TRUE
carbon source	set5IT010	Carnitine Hydrochloride	AO353_07335	AO353_07335		serine/threonine protein kinase	-1.10635857533645	-7.7922237966964	FALSE
carbon source	set5IT010	Carnitine Hydrochloride	AO353_07340	AO353_07340		hypothetical protein	-1.4425212704389	-10.775773631176	FALSE
carbon source	set5IT010	Carnitine Hydrochloride	AO353_07345	AO353_07345		SpoVR family protein	-1.28673384215532	-10.1427791478414	FALSE
carbon source	set5IT010	Carnitine Hydrochloride	AO353_07650	AO353_07650		sarcosine oxidase subunit alpha	-3.58992431901309	-17.3215610713798	TRUE
carbon source	set5IT010	Carnitine Hydrochloride	AO353_07655	AO353_07655		sarcosine oxidase subunit delta	-4.07316049759889	-9.47175520481329	TRUE
carbon source	set5IT010	Carnitine Hydrochloride	AO353_07660	AO353_07660		sarcosine oxidase subunit beta	-3.61170233227798	-12.1608928399185	TRUE
carbon source	set5IT010	Carnitine Hydrochloride	AO353_07665	AO353_07665		serine hydroxymethyltransferase	-3.07434294516432	-11.79550317528	TRUE
carbon source	set5IT010	Carnitine Hydrochloride	AO353_07675	AO353_07675		ferredoxin	-3.60308350390338	-12.8934184344425	TRUE
carbon source	set5IT010	Carnitine Hydrochloride	AO353_07680	AO353_07680		Rieske (2Fe-2S) protein	-4.19779219933168	-10.1481131747167	TRUE
carbon source	set5IT010	Carnitine Hydrochloride	AO353_07700	AO353_07700		electron transfer flavoprotein subunit alpha	-4.54390329436408	-5.39302602785389	TRUE
carbon source	set5IT010	Carnitine Hydrochloride	AO353_07705	AO353_07705		(Fe-S)-binding protein	-3.75215480585139	-12.0092145833224	TRUE
carbon source	set5IT010	Carnitine Hydrochloride	AO353_07710	AO353_07710		N-methylproline demethylase	-3.83380549096652	-14.9969082013745	TRUE
carbon source	set5IT010	Carnitine Hydrochloride	AO353_07715	AO353_07715		hydrocarbon binding protein	-3.63877316561416	-10.7140078676881	TRUE
carbon source	set5IT010	Carnitine Hydrochloride	AO353_07720	AO353_07720		peptidase M19	-3.5870969886484	-8.95340712457766	TRUE
carbon source	set5IT010	Carnitine Hydrochloride	AO353_07735	AO353_07735		AraC family transcriptional regulator	-3.36688876855659	-6.43138825798739	TRUE
carbon source	set5IT010	Carnitine Hydrochloride	AO353_07740	AO353_07740		glycine/betaine ABC transporter substrate-binding protein	-3.12960423740229	-7.7914263180073	TRUE
carbon source	set5IT010	Carnitine Hydrochloride	AO353_07745	AO353_07745		NADPH:quinone reductase	-4.37479773211824	-5.19940192817722	TRUE
carbon source	set5IT010	Carnitine Hydrochloride	AO353_07750	AO353_07750		3-hydroxybutyryl-CoA dehydrogenase	-4.17585673872398	-6.38213272425465	TRUE
carbon source	set5IT010	Carnitine Hydrochloride	AO353_07755	AO353_07755		4-hydroxybenzoyl-CoA thioesterase	-3.00549019917894	-6.47714818288342	TRUE
carbon source	set5IT010	Carnitine Hydrochloride	AO353_07770	AO353_07770		AraC family transcriptional regulator	-3.18410976421416	-6.98777116182469	TRUE
carbon source	set5IT010	Carnitine Hydrochloride	AO353_07780	AO353_07780		glycine/betaine ABC transporter substrate-binding protein	-3.04334521179021	-12.5087717398946	TRUE
carbon source	set5IT010	Carnitine Hydrochloride	AO353_07785	AO353_07785		choline ABC transporter permease subunit	-3.75420141756706	-8.36329205682243	TRUE
carbon source	set5IT010	Carnitine Hydrochloride	AO353_07790	AO353_07790		choline ABC transporter ATP-binding protein	-2.94522352381574	-6.80792275467658	TRUE
carbon source	set5IT010	Carnitine Hydrochloride	AO353_11080	AO353_11080		NAD synthetase	-1.35908536645066	-8.43768771233809	TRUE
carbon source	set5IT010	Carnitine Hydrochloride	AO353_16310	AO353_16310		phosphoenolpyruvate carboxylase	-1.40588587970589	-7.93283944820052	FALSE
carbon source	set5IT010	Carnitine Hydrochloride	AO353_16880	AO353_16880		potassium transporter Kup	-2.27337772715289	-13.6861027438383	TRUE
carbon source	set5IT010	Carnitine Hydrochloride	AO353_27930	AO353_27930		LysR family transcriptional regulator	-2.49943146443989	-6.1216206899802	FALSE
carbon source	set5IT010	Carnitine Hydrochloride	AO353_27935	AO353_27935		succinyl-CoA--3-ketoacid-CoA transferase	-2.53756816902084	-5.28080435528294	TRUE
carbon source	set5IT010	Carnitine Hydrochloride	AO353_27940	AO353_27940		succinyl-CoA--3-ketoacid-CoA transferase	-2.11978138823692	-6.69007451890372	TRUE
carbon source	set5IT016	Cytidine	AO353_00300	AO353_00300		DNA helicase	1.57238456305596	9.10212223826792	FALSE
carbon source	set5IT016	Cytidine	AO353_00305	AO353_00305		ATP-binding protein	1.25416119985047	7.63959403183561	FALSE
carbon source	set5IT016	Cytidine	AO353_03405	AO353_03405		histidine kinase	1.92224651732589	14.0532630241531	FALSE
carbon source	set5IT008	D-Alanine	AO353_09160	AO353_09160		AsnC family transcriptional regulator	-3.42016059705109	-10.5418754021918	TRUE
carbon source	set5IT008	D-Alanine	AO353_16120	AO353_16120		D-alanine/D-serine/glycine permease	-2.40889799127228	-12.7702666511242	TRUE
carbon source	set1IT054	D-Fructose	AO353_05475	AO353_05475		PTS fructose transporter subunit IIBC	-3.64907660342811	-17.3525464396492	TRUE
carbon source	set1IT069	D-Fructose	AO353_05475	AO353_05475		PTS fructose transporter subunit IIBC	-3.49370531723566	-15.9766690811713	TRUE
carbon source	set1IT069	D-Fructose	AO353_05485	AO353_05485		PTS fructose transporter subunit IIA	-4.24595465540133	-9.05243479759244	TRUE
carbon source	set1IT054	D-Fructose	AO353_05485	AO353_05485		PTS fructose transporter subunit IIA	-4.02030949773008	-10.9705729309769	TRUE
carbon source	set1IT054	D-Fructose	AO353_12195	AO353_12195		hypothetical protein	1.0831526361359	7.83974131294499	FALSE
carbon source	set1IT069	D-Fructose	AO353_12195	AO353_12195		hypothetical protein	1.2553753366488	8.7589009594253	FALSE
carbon source	set1IT054	D-Fructose	AO353_12200	AO353_12200		hypothetical protein	2.06354916651924	8.98058471173653	FALSE
carbon source	set1IT069	D-Fructose	AO353_12200	AO353_12200		hypothetical protein	2.50429112518958	10.1174544987281	FALSE
carbon source	set1IT054	D-Fructose	AO353_24665	AO353_24665		phosphoglucomutase	1.98743726017767	16.1619847942997	FALSE
carbon source	set1IT069	D-Fructose	AO353_24665	AO353_24665		phosphoglucomutase	2.11638977654618	16.9573621417998	FALSE
carbon source	set1IT073	D-Gluconic Acid sodium salt	AO353_26885	AO353_26885		bifunctional glyoxylate/hydroxypyruvate reductase B	-2.61698431830134	-9.23152405584116	TRUE
carbon source	set1IT058	D-Gluconic Acid sodium salt	AO353_26885	AO353_26885		bifunctional glyoxylate/hydroxypyruvate reductase B	-2.35140941459803	-9.44556464848646	TRUE
carbon source	set5IT014	D-Glucosamine Hydrochloride	AO353_03255	AO353_03255		LacI family transcriptional regulator	3.33204487049246	28.2776647284602	TRUE
carbon source	set5IT014	D-Glucosamine Hydrochloride	AO353_03380	AO353_03380		sugar ABC transporter ATP-binding protein	3.88376980987601	18.3531099097097	TRUE
carbon source	set5IT014	D-Glucosamine Hydrochloride	AO353_03385	AO353_03385		sugar ABC transporter permease	3.70914806941228	26.7087640659994	TRUE
carbon source	set5IT014	D-Glucosamine Hydrochloride	AO353_03390	AO353_03390		sugar ABC transporter permease	3.75696523826348	33.1720457825536	TRUE
carbon source	set5IT014	D-Glucosamine Hydrochloride	AO353_03395	AO353_03395		sugar ABC transporter substrate-binding protein	4.16702095656857	31.9967187494203	TRUE
carbon source	set5IT014	D-Glucosamine Hydrochloride	AO353_04445	AO353_04445		GntR family transcriptional regulator	6.61249238047713	11.5329421029084	TRUE
carbon source	set5IT014	D-Glucosamine Hydrochloride	AO353_04450	AO353_04450		N-acetylglucosamine-6-phosphate deacetylase	3.88178357576449	13.7110879881085	TRUE
carbon source	set5IT014	D-Glucosamine Hydrochloride	AO353_04455	AO353_04455		iron dicitrate transport regulator FecR	-3.65190075031084	-8.45827207170488	TRUE
carbon source	set5IT014	D-Glucosamine Hydrochloride	AO353_16050	AO353_16050		porin	1.5083505839048	9.6260878996382	FALSE
carbon source	set5IT014	D-Glucosamine Hydrochloride	AO353_21710	AO353_21710		ABC transporter substrate-binding protein	-2.06874162533024	-9.5392754848092	TRUE
carbon source	set5IT014	D-Glucosamine Hydrochloride	AO353_21715	AO353_21715		amino acid ABC transporter permease	-2.16412117252791	-9.81230051655407	TRUE
carbon source	set5IT014	D-Glucosamine Hydrochloride	AO353_21720	AO353_21720		ABC transporter permease	-1.70041456531029	-9.06464035130523	TRUE
carbon source	set5IT014	D-Glucosamine Hydrochloride	AO353_21740	AO353_21740		amino acid deaminase	-2.4211267158075	-9.81919941005873	TRUE
carbon source	set15IT096	D-Glucose	AO353_00655	AO353_00655		coproporphyrinogen III oxidase	-1.66693083628638	-6.44265130190659	TRUE
carbon source	set15IT091	D-Glucose	AO353_00655	AO353_00655		coproporphyrinogen III oxidase	-1.54759748820072	-6.56874827783507	TRUE
carbon source	set15IT096	D-Glucose	AO353_03295	AO353_03295		ribonuclease BN	-1.71013691089453	-10.2586061907984	FALSE
carbon source	set15IT091	D-Glucose	AO353_03295	AO353_03295		ribonuclease BN	-1.35114458136871	-8.20499369611061	FALSE
carbon source	set15IT096	D-Glucose	AO353_11930	AO353_11930		ketosteroid isomerase	-1.05711645528074	-5.85526015766188	FALSE
carbon source	set15IT091	D-Glucose	AO353_17665	AO353_17665		glycine cleavage system protein R	1.16092029530467	5.25412784462422	FALSE
carbon source	set5IT017	D-Mannose	AO353_03380	AO353_03380		sugar ABC transporter ATP-binding protein	-2.54825830118458	-7.72974753151852	TRUE
carbon source	set5IT017	D-Mannose	AO353_03385	AO353_03385		sugar ABC transporter permease	-1.89822570346157	-8.89311264750959	TRUE
carbon source	set5IT017	D-Mannose	AO353_03390	AO353_03390		sugar ABC transporter permease	-2.29080813346811	-12.9898234472444	TRUE
carbon source	set5IT017	D-Mannose	AO353_03395	AO353_03395		sugar ABC transporter substrate-binding protein	-2.7551904740485	-10.4178095472111	FALSE
carbon source	set5IT017	D-Mannose	AO353_03400	AO353_03400		sugar isomerase	-5.00574751514834	-8.34621557534725	TRUE
carbon source	set5IT017	D-Mannose	AO353_05475	AO353_05475		PTS fructose transporter subunit IIBC	-4.18108481653134	-17.3815654992783	TRUE
carbon source	set5IT017	D-Mannose	AO353_05485	AO353_05485		PTS fructose transporter subunit IIA	-4.40282912605105	-10.6231325766421	TRUE
carbon source	set5IT017	D-Mannose	AO353_23885	AO353_23885		AraC family transcriptional regulator	-5.37151824139197	-5.2273317039936	TRUE
carbon source	set5IT017	D-Mannose	AO353_25880	AO353_25880		sugar ABC transporter substrate-binding protein	-3.13828709313366	-13.4333747659012	TRUE
carbon source	set5IT017	D-Mannose	AO353_25885	AO353_25885		sugar ABC transporter permease	-2.1958986604751	-6.10852655492169	TRUE
carbon source	set5IT017	D-Mannose	AO353_25890	AO353_25890		sugar ABC transporter permease	-2.16639867055435	-9.49582014430603	TRUE
carbon source	set5IT017	D-Mannose	AO353_25895	AO353_25895		ABC transporter ATP-binding protein	-3.6055200375046	-7.24225146159389	TRUE
carbon source	set5IT017	D-Mannose	AO353_25910	AO353_25910		fructokinase	-4.61962856840046	-7.67273262382969	TRUE
carbon source	set1IT056	D-Ribose	AO353_00300	AO353_00300		DNA helicase	2.05085648069315	10.8207042203491	FALSE
carbon source	set1IT071	D-Ribose	AO353_00300	AO353_00300		DNA helicase	2.16926224812442	11.0854496513758	FALSE
carbon source	set1IT056	D-Ribose	AO353_00305	AO353_00305		ATP-binding protein	1.65378967500472	9.24061915761559	FALSE
carbon source	set1IT071	D-Ribose	AO353_00305	AO353_00305		ATP-binding protein	1.8645510545997	10.085644493508	FALSE
carbon source	set1IT071	D-Ribose	AO353_06550	AO353_06550		UDP-N-acetylmuramate:L-alanyl-gamma-D-glutamyl- meso-diaminopimelate ligase	-1.52804202154987	-6.7909549292494	FALSE
carbon source	set1IT071	D-Ribose	AO353_12305	AO353_12305		D-tyrosyl-tRNA(Tyr) deacylase	1.0464812964853	5.96880447072277	FALSE
carbon source	set1IT071	D-Ribose	AO353_20820	AO353_20820		sugar ABC transporter ATP-binding protein	-3.17241616886983	-11.842321798913	TRUE
carbon source	set1IT056	D-Ribose	AO353_20820	AO353_20820		sugar ABC transporter ATP-binding protein	-2.25770499293958	-8.31669169811229	TRUE
carbon source	set1IT056	D-Ribose	AO353_20830	AO353_20830		LacI family transcriptional regulator	-1.94209425339144	-6.30063632828802	TRUE
carbon source	set1IT071	D-Ribose	AO353_20830	AO353_20830		LacI family transcriptional regulator	-1.59972103695283	-5.62096293206464	TRUE
carbon source	set1IT056	D-Ribose	AO353_23805	AO353_23805		aldo/keto reductase	1.12324317305257	5.63667369281	FALSE
