expGroup	expName	condition_1	locusId	sysName	gene	desc	fit	t	conserved
anaerobic	set6IT089	Sodium nitrate	AO356_00490	AO356_00490		phospholipase	2.08524909593685	7.14329057949458	FALSE
anaerobic	set6IT089	Sodium nitrate	AO356_14880	AO356_14880		hypothetical protein	-1.93460764538027	-5.44842626104503	FALSE
anaerobic	set6IT089	Sodium nitrate	AO356_20595	AO356_20595		phage tail protein	-2.21093383409635	-5.11619359112519	FALSE
anaerobic	set6IT089	Sodium nitrate	AO356_22740	AO356_22740		molybdate ABC transporter substrate-binding protein	-3.4096556883007	-5.73630378652779	FALSE
anaerobic	set6IT089	Sodium nitrate	AO356_23240	AO356_23240		hypothetical protein	-3.76466758816655	-6.56099207196501	FALSE
anaerobic	set6IT089	Sodium nitrate	AO356_25085	AO356_25085		cytochrome C oxidase	-2.82350549686645	-6.28127987924516	FALSE
anaerobic	set6IT089	Sodium nitrate	AO356_25100	AO356_25100		nitric oxide reductase	-2.30340297414379	-7.65033571673285	TRUE
anaerobic	set6IT089	Sodium nitrate	AO356_25115	AO356_25115		transcription factor	-3.40454529253829	-5.67508056257908	FALSE
anaerobic	set6IT089	Sodium nitrate	AO356_25160	AO356_25160		protease	-4.5423644515448	-6.6780589746822	FALSE
anaerobic	set6IT089	Sodium nitrate	AO356_25190	AO356_25190		histidine kinase	-3.78398563909464	-6.78491800103408	FALSE
anaerobic	set6IT089	Sodium nitrate	AO356_25195	AO356_25195		MFS transporter	-2.66768628985735	-5.87859946119684	FALSE
anaerobic	set6IT089	Sodium nitrate	AO356_25205	AO356_25205		nitrate reductase	-4.29390303903465	-12.9509522637173	FALSE
anaerobic	set6IT089	Sodium nitrate	AO356_25210	AO356_25210		nitrate reductase	-3.76726741920635	-10.8276687693641	FALSE
anaerobic	set6IT089	Sodium nitrate	AO356_25235	AO356_25235		anaerobic ribonucleoside-triphosphate reductase	-4.40116379809253	-11.0089134318233	FALSE
anaerobic	set6IT089	Sodium nitrate	AO356_28310	AO356_28310		coproporphyrinogen III oxidase	-2.20863250992191	-5.06961112304488	FALSE
carbon source	set5IT074	Carnitine Hydrochloride	AO356_00410	AO356_00410		Fis family transcriptional regulator	-1.76335288505573	-6.31125400446173	FALSE
carbon source	set5IT074	Carnitine Hydrochloride	AO356_00425	AO356_00425		acetoacetyl-CoA synthetase	-2.55938700011903	-9.6924260200367	TRUE
carbon source	set5IT074	Carnitine Hydrochloride	AO356_05595	AO356_05595		potassium transporter Kup	-1.4277531074845	-9.97100181408477	TRUE
carbon source	set5IT074	Carnitine Hydrochloride	AO356_10860	AO356_10860		NADP transhydrogenase subunit alpha	-1.10290698584624	-7.21973072124302	FALSE
carbon source	set5IT074	Carnitine Hydrochloride	AO356_10870	AO356_10870		NAD synthetase	-1.6989581964356	-9.32734916371048	TRUE
carbon source	set5IT074	Carnitine Hydrochloride	AO356_13800	AO356_13800		transcriptional repressor BetI	1.18714526382714	7.02393378862685	TRUE
carbon source	set5IT074	Carnitine Hydrochloride	AO356_13805	AO356_13805		choline ABC transporter ATP-binding protein	-3.53637152767947	-5.74920435249437	TRUE
carbon source	set5IT074	Carnitine Hydrochloride	AO356_13810	AO356_13810		choline ABC transporter permease subunit	-4.96691919214299	-6.79550723541263	TRUE
carbon source	set5IT074	Carnitine Hydrochloride	AO356_13815	AO356_13815		glycine/betaine ABC transporter substrate-binding protein	-4.17528980654228	-12.0011357781144	TRUE
carbon source	set5IT074	Carnitine Hydrochloride	AO356_13825	AO356_13825		AraC family transcriptional regulator	-3.97821794204242	-10.5519609685785	TRUE
carbon source	set5IT074	Carnitine Hydrochloride	AO356_13840	AO356_13840		4-hydroxybenzoyl-CoA thioesterase	-4.9535411736761	-7.56106964185037	TRUE
carbon source	set5IT074	Carnitine Hydrochloride	AO356_13845	AO356_13845		3-hydroxybutyryl-CoA dehydrogenase	-4.09500249732991	-11.1805829693375	TRUE
carbon source	set5IT074	Carnitine Hydrochloride	AO356_13850	AO356_13850		NADPH:quinone reductase	-3.59529172012485	-7.18549543058385	TRUE
carbon source	set5IT074	Carnitine Hydrochloride	AO356_13855	AO356_13855		glycine/betaine ABC transporter substrate-binding protein	-4.25273240923827	-10.6054363779719	TRUE
carbon source	set5IT074	Carnitine Hydrochloride	AO356_13860	AO356_13860		AraC family transcriptional regulator	-3.62132590431641	-5.67156728356219	TRUE
carbon source	set5IT074	Carnitine Hydrochloride	AO356_13895	AO356_13895		peptidase M19	-4.29132195207048	-9.56083884815788	TRUE
carbon source	set5IT074	Carnitine Hydrochloride	AO356_13900	AO356_13900		hydrocarbon binding protein	-4.45394488125523	-12.5085189001592	TRUE
carbon source	set5IT074	Carnitine Hydrochloride	AO356_13905	AO356_13905		N-methylproline demethylase	-4.81398837977645	-10.7551738836378	TRUE
carbon source	set5IT074	Carnitine Hydrochloride	AO356_13910	AO356_13910		(Fe-S)-binding protein	-3.56759229322509	-10.1362337412234	TRUE
carbon source	set5IT074	Carnitine Hydrochloride	AO356_13915	AO356_13915		electron transfer flavoprotein subunit alpha	-4.50217251905124	-9.16015829766503	TRUE
carbon source	set5IT074	Carnitine Hydrochloride	AO356_13945	AO356_13945		Rieske (2Fe-2S) protein	-5.35873910053967	-8.94730333067972	TRUE
carbon source	set5IT074	Carnitine Hydrochloride	AO356_13950	AO356_13950		ferredoxin	-5.23371193613492	-7.99302913791604	TRUE
carbon source	set5IT074	Carnitine Hydrochloride	AO356_13970	AO356_13970		serine hydroxymethyltransferase	-3.7325252642826	-11.6783988210757	TRUE
carbon source	set5IT074	Carnitine Hydrochloride	AO356_13975	AO356_13975		sarcosine oxidase subunit beta	-4.34103797687769	-9.38634318052398	TRUE
carbon source	set5IT074	Carnitine Hydrochloride	AO356_13980	AO356_13980		sarcosine oxidase subunit delta	-4.03600930972864	-7.09513824829744	TRUE
carbon source	set5IT074	Carnitine Hydrochloride	AO356_13985	AO356_13985		sarcosine oxidase subunit alpha	-4.12794573094746	-13.9025773937858	TRUE
carbon source	set5IT074	Carnitine Hydrochloride	AO356_13990	AO356_13990		sarcosine oxidase subunit gamma	-4.04340309687601	-6.71539915202553	FALSE
carbon source	set5IT074	Carnitine Hydrochloride	AO356_16680	AO356_16680		phosphate acetyltransferase	-2.42832489891426	-7.2457852069244	TRUE
carbon source	set5IT074	Carnitine Hydrochloride	AO356_18415	AO356_18415		XRE family transcriptional regulator	-1.72890612664333	-8.42745762452302	FALSE
carbon source	set5IT074	Carnitine Hydrochloride	AO356_21640	AO356_21640		acetyl-CoA acetyltransferase	-4.41304974058264	-6.43477638463308	TRUE
carbon source	set5IT074	Carnitine Hydrochloride	AO356_21650	AO356_21650		succinyl-CoA--3-ketoacid-CoA transferase	-2.87911095422968	-6.19229488321453	TRUE
carbon source	set5IT074	Carnitine Hydrochloride	AO356_23120	AO356_23120		histidine kinase	-1.21289276665243	-5.04206286193984	FALSE
carbon source	set5IT074	Carnitine Hydrochloride	AO356_23125	AO356_23125		transcriptional regulator	-1.84611593944233	-5.33031558507814	FALSE
carbon source	set5IT074	Carnitine Hydrochloride	AO356_28055	AO356_28055		quinonprotein alcohol dehydrogenase	1.0008908505424	7.34491282310453	FALSE
carbon source	set5IT081	Cytidine	AO356_00950	AO356_00950		ribokinase	-3.0581635566732	-6.71394950196999	FALSE
carbon source	set5IT081	Cytidine	AO356_00960	AO356_00960		ABC transporter permease	-2.88917765595047	-6.02912233467193	FALSE
carbon source	set5IT081	Cytidine	AO356_00965	AO356_00965		sugar ABC transporter ATP-binding protein	-3.08392917617999	-6.26660045425292	FALSE
carbon source	set5IT081	Cytidine	AO356_00970	AO356_00970		LacI family transcriptional regulator	-2.46747321509778	-6.34078528905401	FALSE
carbon source	set5IT081	Cytidine	AO356_20300	AO356_20300		transcriptional regulator	-2.28285095685999	-6.86786053608136	FALSE
carbon source	set5IT081	Cytidine	AO356_26025	AO356_26025		glycogen synthase	1.37207371218784	9.46505959001486	FALSE
