expGroup	expName	condition_1	locusId	sysName	gene	desc	fit	t	conserved
carbon source	set5IT067	D-Glucosamine Hydrochloride	LRK54_RS00650	LRK54_RS00650		L-threonine 3-dehydrogenase	-1.50321177531793	-12.9358583573221	FALSE
carbon source	set5IT082	D-Glucosamine Hydrochloride	LRK54_RS00650	LRK54_RS00650		L-threonine 3-dehydrogenase	-1.46646646545223	-12.4917718600603	FALSE
carbon source	set5IT067	D-Glucosamine Hydrochloride	LRK54_RS00660	LRK54_RS00660		glycine C-acetyltransferase	-1.48136231194319	-11.7072254249914	FALSE
carbon source	set5IT082	D-Glucosamine Hydrochloride	LRK54_RS00660	LRK54_RS00660		glycine C-acetyltransferase	-1.39939715934882	-10.947411461828	FALSE
carbon source	set5IT067	D-Glucosamine Hydrochloride	LRK54_RS00905	LRK54_RS00905		cysteine synthase A	-1.70676239506713	-6.85672680515397	FALSE
carbon source	set5IT067	D-Glucosamine Hydrochloride	LRK54_RS00915	LRK54_RS00915		LysR substrate-binding domain-containing protein	-1.44898308199317	-8.8006358293613	FALSE
carbon source	set5IT067	D-Glucosamine Hydrochloride	LRK54_RS07690	LRK54_RS07690		heparan-alpha-glucosaminide N-acetyltransferase domain-containing protein	-1.06704424297302	-5.1981503701659	TRUE
carbon source	set5IT067	D-Glucosamine Hydrochloride	LRK54_RS07710	LRK54_RS07710		sugar MFS transporter	-1.41658200801575	-11.1914114511032	TRUE
carbon source	set5IT082	D-Glucosamine Hydrochloride	LRK54_RS07710	LRK54_RS07710		sugar MFS transporter	-1.28741766003782	-9.86223808776595	TRUE
carbon source	set5IT067	D-Glucosamine Hydrochloride	LRK54_RS12075	LRK54_RS12075		phosphoenolpyruvate carboxylase	-2.36395239785336	-18.1482850078982	FALSE
carbon source	set5IT082	D-Glucosamine Hydrochloride	LRK54_RS12075	LRK54_RS12075		phosphoenolpyruvate carboxylase	-2.18779972611012	-16.7437753498956	FALSE
carbon source	set5IT067	D-Glucosamine Hydrochloride	LRK54_RS14545	LRK54_RS14545		formate-dependent phosphoribosylglycinamide formyltransferase	1.02982465143882	6.93544629675132	FALSE
carbon source	set5IT082	D-Glucosamine Hydrochloride	LRK54_RS14545	LRK54_RS14545		formate-dependent phosphoribosylglycinamide formyltransferase	1.1733139254987	7.87719047930266	FALSE
carbon source	set5IT070	D-Glucose	LRK54_RS00905	LRK54_RS00905		cysteine synthase A	-2.60097666322076	-7.38026722445095	FALSE
