orgId	locusId	sysName	geneName	desc	set3S237 defined media with 20AA_mix	set3S238 defined media with 20AA_mix	set3S239 defined media with L-Serine	set3S240 defined media with L-Serine	set3S241 defined media with D-Glucose	set3S242 defined media with D-Glucose
rhodanobacter_R12	LRK53_RS00015	LRK53_RS00015		DNA replication/repair protein RecF	-2.706	-0.871	-3.277	-0.054	-2.778	-0.742
rhodanobacter_R12	LRK53_RS00025	LRK53_RS00025		tetratricopeptide repeat protein	2.623	2.973	-1.500	-1.066	-0.864	-0.117
rhodanobacter_R12	LRK53_RS00060	LRK53_RS00060		hybrid sensor histidine kinase/response regulator	0.019	-0.393	0.994	0.847	0.152	-0.193
rhodanobacter_R12	LRK53_RS00065	LRK53_RS00065		glutamate synthase subunit beta	-2.686	-1.562	-4.619	-4.032	-5.175	-3.539
rhodanobacter_R12	LRK53_RS00070	LRK53_RS00070		glutamate synthase-related protein	-8.413	-8.247	-14.238	-13.734	-16.816	-17.456
rhodanobacter_R12	LRK53_RS00075	LRK53_RS00075		response regulator transcription factor	-1.300	-1.325	-0.299	0.474	-0.224	-1.772
rhodanobacter_R12	LRK53_RS00080	LRK53_RS00080		acetate--CoA ligase	1.757	0.633	-0.451	0.719	-0.726	-1.530
rhodanobacter_R12	LRK53_RS00085	LRK53_RS00085		hypothetical protein	-1.251	-0.281	1.564	-0.073	-0.576	0.506
rhodanobacter_R12	LRK53_RS00090	LRK53_RS00090		MFS transporter	0.185	-0.352	-1.024	-1.373	-0.621	0.518
rhodanobacter_R12	LRK53_RS00095	LRK53_RS00095		AMP-binding protein	-0.551	0.111	0.167	-0.105	0.813	-1.320
rhodanobacter_R12	LRK53_RS00110	LRK53_RS00110		PA0069 family radical SAM protein	-0.589	-0.934	-1.357	0.937	-1.429	-1.059
rhodanobacter_R12	LRK53_RS00115	LRK53_RS00115		hypothetical protein	1.040	0.913	-1.045	-0.445	-0.515	-0.132
rhodanobacter_R12	LRK53_RS00120	LRK53_RS00120		ABC transporter ATP-binding protein	0.993	-0.900	1.439	-0.287	0.285	0.668
rhodanobacter_R12	LRK53_RS00125	LRK53_RS00125		GntR family transcriptional regulator	-0.313	-0.556	1.348	-0.951	-1.361	0.386
rhodanobacter_R12	LRK53_RS00130	LRK53_RS00130		S9 family peptidase	-1.118	-1.059	0.712	-1.784	-0.983	-2.267
rhodanobacter_R12	LRK53_RS00135	LRK53_RS00135		patatin-like phospholipase family protein	-1.327	0.350	-0.189	1.672	-0.901	-0.481
rhodanobacter_R12	LRK53_RS00140	LRK53_RS00140		class 1 fructose-bisphosphatase	-0.925	0.385	-1.046	0.969	-0.535	-1.257
rhodanobacter_R12	LRK53_RS00145	LRK53_RS00145		DJ-1/PfpI family protein	-1.722	-0.070	-1.753	-0.842	-1.867	-2.270
rhodanobacter_R12	LRK53_RS00150	LRK53_RS00150		hypothetical protein	-1.382	-2.789	-2.238	-0.585	-1.545	-0.519
rhodanobacter_R12	LRK53_RS00155	LRK53_RS00155		GFA family protein	-1.087	-0.094	-1.253	-1.762	-0.187	-0.511
rhodanobacter_R12	LRK53_RS00160	LRK53_RS00160		YafY family transcriptional regulator	0.853	1.033	0.630	0.193	0.072	0.307
rhodanobacter_R12	LRK53_RS00165	LRK53_RS00165		chromosome partitioning protein ParB	-1.363	-1.696	1.023	1.716	-0.161	-1.705
rhodanobacter_R12	LRK53_RS00170	LRK53_RS00170		SulP family inorganic anion transporter	-2.183	-0.403	-0.537	-0.805	0.129	-1.508
rhodanobacter_R12	LRK53_RS00175	LRK53_RS00175		DUF885 family protein	-0.258	0.363	0.415	-1.201	-0.179	-1.242
rhodanobacter_R12	LRK53_RS00180	LRK53_RS00180		MbcA/ParS/Xre antitoxin family protein	-0.851	0.231	0.023	-0.708	-1.691	-0.172
rhodanobacter_R12	LRK53_RS00185	LRK53_RS00185		RES family NAD+ phosphorylase	0.299	-1.204	0.561	1.016	-0.517	-1.728
rhodanobacter_R12	LRK53_RS00190	LRK53_RS00190		SGNH/GDSL hydrolase family protein	-1.122	-0.572	-0.689	-0.152	-1.669	-0.693
rhodanobacter_R12	LRK53_RS00195	LRK53_RS00195		type II glyceraldehyde-3-phosphate dehydrogenase	-0.848	-0.259	-0.077	-0.950	-0.324	-0.081
rhodanobacter_R12	LRK53_RS00200	LRK53_RS00200		phenylalanine 4-monooxygenase	-3.223	-3.756	-7.803	-6.076	-5.304	-5.627
rhodanobacter_R12	LRK53_RS00205	LRK53_RS00205		Lrp/AsnC family transcriptional regulator	-2.529	-0.964	-2.277	-0.486	-1.491	0.307
rhodanobacter_R12	LRK53_RS00210	LRK53_RS00210		MFS transporter	1.175	0.260	-1.002	0.201	-0.218	0.194
rhodanobacter_R12	LRK53_RS00215	LRK53_RS00215		TetR/AcrR family transcriptional regulator	-2.121	-1.185	-0.593	-0.343	-0.533	0.174
rhodanobacter_R12	LRK53_RS00225	LRK53_RS00225		alpha/beta fold hydrolase	-1.118	-1.306	-0.714	-0.742	-0.719	-2.077
rhodanobacter_R12	LRK53_RS00230	LRK53_RS00230		GH92 family glycosyl hydrolase	-1.394	-0.092	-0.365	-0.189	0.308	-0.265
rhodanobacter_R12	LRK53_RS00235	LRK53_RS00235		2OG-Fe(II) oxygenase	-0.676	0.274	-1.526	-1.019	-0.536	0.405
rhodanobacter_R12	LRK53_RS00240	LRK53_RS00240		DUF3820 family protein	-1.503	-0.620	-1.552	-1.338	-1.809	-1.662
rhodanobacter_R12	LRK53_RS00245	LRK53_RS00245		class I SAM-dependent methyltransferase	-0.449	1.729	0.010	-0.367	0.085	-0.787
rhodanobacter_R12	LRK53_RS00250	LRK53_RS00250		AAA family ATPase	0.909	-1.229	-2.108	-0.061	-0.294	0.126
rhodanobacter_R12	LRK53_RS00255	LRK53_RS00255		PQQ-dependent sugar dehydrogenase	-1.608	0.487	-0.595	-0.835	-1.400	-0.746
rhodanobacter_R12	LRK53_RS00260	LRK53_RS00260		YbhB/YbcL family Raf kinase inhibitor-like protein	1.107	-0.339	0.364	0.168	1.611	0.336
rhodanobacter_R12	LRK53_RS00270	LRK53_RS00270		DUF883 family protein	-0.010	-0.915	-1.055	0.128	-0.664	1.180
rhodanobacter_R12	LRK53_RS00285	LRK53_RS00285		AI-2E family transporter	-2.568	0.035	-1.605	-0.360	-1.700	-1.562
rhodanobacter_R12	LRK53_RS00290	LRK53_RS00290		Xaa-Pro peptidase family protein	-0.820	-0.584	-2.353	1.260	-0.150	-1.593
