orgId	locusId	sysName	geneName	desc	set3S929 NLDM_defined_nocarbon with D-Glucose and 20AA_mix 0.1X	set3S930 NLDM_defined_nocarbon with D-Glucose and 20AA_mix 0.1X	set3S931 NLDM_defined_nocarbon with D-Glucose and 20AA_mix 0.1X	set3S932 NLDM_defined_nocarbon with D-Glucose and 20AA_mix 0.1X	set3S933 NLDM_defined_nocarbon with D-Glucose and L-Methionine 1 mM	set3S935 NLDM_defined_nocarbon with D-Glucose and L-Methionine 1 mM	set3S936 NLDM_defined_nocarbon with D-Glucose and L-Methionine 1 mM	set3S937 NLDM_defined_nocarbon with D-Glucose	set3S938 NLDM_defined_nocarbon with D-Glucose	set3S939 NLDM_defined_nocarbon with D-Glucose	set3S940 NLDM_defined_nocarbon with D-Glucose
rhodanobacter_T8	OKGIIK_00030	OKGIIK_00030	glpK	glycerol kinase GlpK	0.043	0.204	-0.060	0.125	0.352	0.199	0.024	0.136	0.209	0.143	0.052
rhodanobacter_T8	OKGIIK_00035	OKGIIK_00035	rbsK	carbohydrate kinase family protein	0.079	0.109	-0.214	-0.209	-0.142	-0.866	-0.438	0.077	0.081	0.140	-0.113
rhodanobacter_T8	OKGIIK_00065	OKGIIK_00065		Gluconate 2-dehydrogenase	0.026	0.053	-0.075	0.164	0.326	-0.010	0.143	0.103	-0.028	-0.022	-0.086
rhodanobacter_T8	OKGIIK_00070	OKGIIK_00070		GMC family oxidoreductase	0.057	-0.124	0.042	0.018	0.010	0.084	0.008	0.087	0.107	0.036	0.015
rhodanobacter_T8	OKGIIK_00075	OKGIIK_00075		Alcohol dehydrogenase	-0.106	-0.026	0.055	0.049	0.194	0.044	0.018	0.055	0.090	0.131	0.027
rhodanobacter_T8	OKGIIK_00080	OKGIIK_00080	mltB	lytic murein transglycosylase B	-0.414	-0.623	-0.538	-0.503	-0.103	-0.202	-0.458	-0.315	-0.407	-0.326	-0.350
rhodanobacter_T8	OKGIIK_00085	OKGIIK_00085		Endolytic peptidoglycan transglycosylase RlpA	-0.264	-0.145	-0.067	-0.416	0.129	-0.265	-0.356	-0.040	-0.054	-0.270	-0.405
rhodanobacter_T8	OKGIIK_00095	OKGIIK_00095	ybeD	DUF493 domain-containing protein	-1.770	-0.581	-0.829	-1.201	-2.118	-0.759	-1.319	-0.514	-0.140	-1.742	-2.146
rhodanobacter_T8	OKGIIK_00100	OKGIIK_00100	lipB	lipoyl(octanoyl) transferase LipB	0.149	0.389	0.222	0.197	-0.419	0.254	-0.396	-0.045	-0.046	0.139	-0.074
rhodanobacter_T8	OKGIIK_00105	OKGIIK_00105	lipA	lipoyl synthase	0.182	0.207	0.019	-0.072	-0.133	0.136	0.098	-0.176	0.090	0.037	0.004
rhodanobacter_T8	OKGIIK_00110	OKGIIK_00110	ctpA	C-terminal processing protease CtpA/Prc, contains a PDZ domain	-1.355	-1.694	-1.368	-1.777	-1.360	-1.487	-0.772	-0.933	-1.439	-1.379	-1.037
