expGroup	expName	condition_1	locusId	sysName	gene	desc	fit	t	conserved
no nutrient control	set3S938	D-Glucose	OKGIIK_01510	OKGIIK_01510	mET2	homoserine O-succinyltransferase	-3.60959295549292	-9.54984189237136	FALSE
no nutrient control	set3S937	D-Glucose	OKGIIK_01510	OKGIIK_01510	mET2	homoserine O-succinyltransferase	-3.49422022097181	-8.40374097714293	FALSE
no nutrient control	set3S940	D-Glucose	OKGIIK_01510	OKGIIK_01510	mET2	homoserine O-succinyltransferase	-3.24573342087268	-9.49518613685839	FALSE
no nutrient control	set3S939	D-Glucose	OKGIIK_01510	OKGIIK_01510	mET2	homoserine O-succinyltransferase	-2.98373099838896	-9.95314890731009	FALSE
no nutrient control	set3S938	D-Glucose	OKGIIK_01515	OKGIIK_01515	metB	cystathionine gamma-synthase	-3.45467631317133	-14.1008756090156	FALSE
no nutrient control	set3S939	D-Glucose	OKGIIK_01515	OKGIIK_01515	metB	cystathionine gamma-synthase	-3.41198178456134	-12.9483900105354	FALSE
no nutrient control	set3S937	D-Glucose	OKGIIK_01515	OKGIIK_01515	metB	cystathionine gamma-synthase	-3.3093301891936	-13.3797821354104	FALSE
no nutrient control	set3S940	D-Glucose	OKGIIK_01515	OKGIIK_01515	metB	cystathionine gamma-synthase	-3.27313538836125	-12.4214712275305	FALSE
no nutrient control	set3S939	D-Glucose	OKGIIK_02655	OKGIIK_02655	flgC	flagellar basal body rod protein FlgC	1.49575213106163	8.75936945217372	FALSE
no nutrient control	set3S937	D-Glucose	OKGIIK_05965	OKGIIK_05965	cysI	assimilatory sulfite reductase (NADPH) hemoprotein subunit	-2.8060664290192	-15.3254345513973	FALSE
no nutrient control	set3S938	D-Glucose	OKGIIK_05965	OKGIIK_05965	cysI	assimilatory sulfite reductase (NADPH) hemoprotein subunit	-2.61246628453799	-15.6469713473024	FALSE
