orgId	locusId	sysName	geneName	desc	set3S929 NLDM_defined_nocarbon with D-Glucose and 20AA_mix 0.1X	set3S930 NLDM_defined_nocarbon with D-Glucose and 20AA_mix 0.1X	set3S931 NLDM_defined_nocarbon with D-Glucose and 20AA_mix 0.1X	set3S932 NLDM_defined_nocarbon with D-Glucose and 20AA_mix 0.1X	set3S933 NLDM_defined_nocarbon with D-Glucose and L-Methionine 1 mM	set3S935 NLDM_defined_nocarbon with D-Glucose and L-Methionine 1 mM	set3S936 NLDM_defined_nocarbon with D-Glucose and L-Methionine 1 mM	set3S937 NLDM_defined_nocarbon with D-Glucose	set3S938 NLDM_defined_nocarbon with D-Glucose	set3S939 NLDM_defined_nocarbon with D-Glucose	set3S940 NLDM_defined_nocarbon with D-Glucose
rhodanobacter_T8	OKGIIK_00030	OKGIIK_00030	glpK	glycerol kinase GlpK	0.300	1.431	-0.409	0.889	1.987	1.484	0.172	0.981	1.555	1.082	0.374
rhodanobacter_T8	OKGIIK_00035	OKGIIK_00035	rbsK	carbohydrate kinase family protein	0.507	0.687	-1.320	-1.270	-0.732	-5.658	-2.681	0.498	0.563	0.937	-0.780
rhodanobacter_T8	OKGIIK_00065	OKGIIK_00065		Gluconate 2-dehydrogenase	0.163	0.355	-0.534	1.253	1.766	-0.076	0.981	0.739	-0.205	-0.159	-0.614
rhodanobacter_T8	OKGIIK_00070	OKGIIK_00070		GMC family oxidoreductase	0.475	-1.057	0.353	0.151	0.081	0.737	0.069	0.740	0.948	0.316	0.126
rhodanobacter_T8	OKGIIK_00075	OKGIIK_00075		Alcohol dehydrogenase	-0.864	-0.223	0.456	0.414	1.499	0.385	0.158	0.477	0.783	1.151	0.233
rhodanobacter_T8	OKGIIK_00080	OKGIIK_00080	mltB	lytic murein transglycosylase B	-2.579	-4.097	-3.291	-3.188	-0.545	-1.468	-3.044	-2.114	-2.831	-2.110	-2.316
rhodanobacter_T8	OKGIIK_00085	OKGIIK_00085		Endolytic peptidoglycan transglycosylase RlpA	-1.461	-0.808	-0.392	-2.377	0.489	-1.510	-1.906	-0.224	-0.353	-1.634	-2.284
rhodanobacter_T8	OKGIIK_00095	OKGIIK_00095	ybeD	DUF493 domain-containing protein	-2.581	-0.974	-1.619	-2.025	-1.449	-1.638	-1.606	-1.141	-0.305	-3.107	-2.639
rhodanobacter_T8	OKGIIK_00100	OKGIIK_00100	lipB	lipoyl(octanoyl) transferase LipB	0.653	2.022	1.119	1.159	-1.542	1.421	-2.011	-0.237	-0.245	0.762	-0.368
rhodanobacter_T8	OKGIIK_00105	OKGIIK_00105	lipA	lipoyl synthase	0.814	1.046	0.100	-0.320	-0.540	0.691	0.520	-0.803	0.460	0.206	0.023
rhodanobacter_T8	OKGIIK_00110	OKGIIK_00110	ctpA	C-terminal processing protease CtpA/Prc, contains a PDZ domain	-3.990	-4.871	-4.131	-4.559	-2.407	-4.985	-2.618	-3.334	-4.350	-4.731	-3.779
rhodanobacter_T8	OKGIIK_00115	OKGIIK_00115		Sulfotransferase	-0.238	-0.551	-0.495	0.360	-0.001	-0.277	-0.488	-0.788	-0.831	-0.169	-0.493
rhodanobacter_T8	OKGIIK_00120	OKGIIK_00120		TonB-dependent receptor	0.098	0.991	0.418	1.057	1.678	0.573	0.939	0.545	0.586	0.333	-0.104
rhodanobacter_T8	OKGIIK_00125	OKGIIK_00125		hypothetical protein	-2.370	0.135	-1.947	1.147	0.081	-0.141	-1.576	-0.252	-0.914	-1.068	-0.458
rhodanobacter_T8	OKGIIK_00130	OKGIIK_00130		DUF4126 domain-containing protein	-0.146	1.519	-0.248	1.829	0.324	-0.902	-1.391	-0.970	-0.388	0.329	0.471
rhodanobacter_T8	OKGIIK_00135	OKGIIK_00135	pepB	leucyl aminopeptidase	-0.458	-0.470	-1.223	-0.415	-0.319	-0.755	-1.593	-0.907	-0.939	-0.549	-1.154
rhodanobacter_T8	OKGIIK_00140	OKGIIK_00140	yigB	HAD family hydrolase	1.924	-1.866	0.933	0.926	2.287	1.907	0.881	0.669	1.258	1.046	1.585
rhodanobacter_T8	OKGIIK_00145	OKGIIK_00145		Peptidoglycan-binding protein	-1.219	-1.932	-0.012	-1.468	-3.887	-2.818	-3.554	-1.011	0.451	-0.870	-0.395
rhodanobacter_T8	OKGIIK_00150	OKGIIK_00150		Periplasmic serine endoprotease DegP-like	-1.307	-1.331	-0.435	-0.057	0.229	0.951	0.369	-0.616	0.112	0.477	0.080
rhodanobacter_T8	OKGIIK_00155	OKGIIK_00155	hop	ribonucleoside-diphosphate reductase	-3.204	-0.794	-1.527	-1.059	-2.551	-3.684	-6.289	-10.438	-8.505	-7.996	-7.859
rhodanobacter_T8	OKGIIK_00160	OKGIIK_00160		hypothetical protein	-1.279	0.638	0.604	-1.011	5.869	4.265	3.384	-0.147	0.398	0.058	1.176
rhodanobacter_T8	OKGIIK_00165	OKGIIK_00165		NrdJb	-1.922	-0.711	-0.875	-1.760	-3.940	-4.418	-4.186	-8.775	-5.337	-6.808	-7.669
rhodanobacter_T8	OKGIIK_00170	OKGIIK_00170		DUF4433 domain-containing protein	0.653	-0.541	-0.234	0.194	0.943	-0.230	1.017	-0.228	0.583	-0.934	-0.973
rhodanobacter_T8	OKGIIK_00175	OKGIIK_00175		Appr-1-p processing protein	0.428	0.804	1.123	-2.039	0.208	0.037	0.500	0.038	-0.061	0.274	0.953
rhodanobacter_T8	OKGIIK_00180	OKGIIK_00180		RES domain-containing protein	-1.131	-0.846	-0.624	0.196	-1.846	1.431	-0.477	0.705	0.479	-0.999	-0.879
rhodanobacter_T8	OKGIIK_00190	OKGIIK_00190		IS30 family transposase	-0.598	1.358	1.062	0.383	-1.352	-1.161	-2.015	-1.218	-1.241	0.556	0.294
rhodanobacter_T8	OKGIIK_00205	OKGIIK_00205		AAA family ATPase	1.012	1.038	1.410	-0.615	2.842	-0.355	0.354	1.089	-0.435	-1.253	-0.498
rhodanobacter_T8	OKGIIK_00215	OKGIIK_00215		ATPase involved in DNA repair	-0.696	1.199	1.139	-0.107	1.007	-0.255	1.148	1.867	-0.155	-0.233	0.877
rhodanobacter_T8	OKGIIK_00230	OKGIIK_00230		AAA family ATPase	-0.190	-0.139	-1.291	0.930	-1.261	-0.363	-4.235	-0.957	-0.333	-0.077	-1.001
rhodanobacter_T8	OKGIIK_00235	OKGIIK_00235		helix-turn-helix transcriptional regulator	0.306	0.774	-1.778	-0.204	-0.319	-0.396	-2.815	0.016	0.315	-0.064	-0.088
rhodanobacter_T8	OKGIIK_00240	OKGIIK_00240		TonB-dependent receptor	-0.768	-0.953	-1.019	-0.835	0.972	0.721	0.238	0.081	-0.057	-0.207	-1.492
rhodanobacter_T8	OKGIIK_00245	OKGIIK_00245		Atxe2 family lasso peptide isopeptidase	-0.753	-0.080	-0.930	0.719	0.661	1.161	0.865	1.331	0.194	0.637	0.062
rhodanobacter_T8	OKGIIK_00250	OKGIIK_00250		lasso peptide isopeptide bond-forming cyclase	1.766	1.467	1.324	-0.330	2.303	-0.313	0.979	0.721	0.831	1.401	0.262
rhodanobacter_T8	OKGIIK_00255	OKGIIK_00255		Transglut-core3 domain-containing protein	0.487	-0.321	-0.758	-1.135	-0.524	1.098	-0.043	1.238	0.734	-0.117	-0.503
rhodanobacter_T8	OKGIIK_00270	OKGIIK_00270		Transcriptional regulator	-1.212	-0.935	-0.698	-2.281	0.823	0.721	1.665	-3.271	-3.231	-0.088	-0.392
rhodanobacter_T8	OKGIIK_00275	OKGIIK_00275		Antitoxin	-0.045	-0.581	-0.886	-0.458	-0.022	-0.012	-2.185	-0.774	-1.293	-1.429	-1.874
rhodanobacter_T8	OKGIIK_00280	OKGIIK_00280		Zeta-toxin domain-containing protein	-1.204	0.713	1.436	0.566	2.777	0.199	0.188	-0.255	0.126	-0.771	-0.468
rhodanobacter_T8	OKGIIK_00285	OKGIIK_00285		Transglutaminase	2.145	1.270	0.201	-0.355	-0.764	0.342	-1.548	-0.000	-0.993	-0.381	0.043
rhodanobacter_T8	OKGIIK_00290	OKGIIK_00290		RNA-binding protein	1.080	0.836	1.590	-0.773	0.026	-0.418	0.223	1.381	-1.400	-1.074	-0.085
rhodanobacter_T8	OKGIIK_00295	OKGIIK_00295		DUF3016 domain-containing protein	0.283	0.693	-0.633	0.499	0.302	0.523	0.459	0.714	0.238	0.312	0.025
rhodanobacter_T8	OKGIIK_00300	OKGIIK_00300		Glycosyl hydrolase	-0.126	-0.261	-0.047	0.505	1.071	0.435	0.222	-0.098	0.547	0.316	-0.857
rhodanobacter_T8	OKGIIK_00305	OKGIIK_00305		Phosphodiesterase	0.767	-0.329	-0.245	0.948	-0.295	0.714	0.661	1.268	0.125	-0.792	0.612
rhodanobacter_T8	OKGIIK_00310	OKGIIK_00310		Peptidase	-2.072	-0.403	-1.453	-1.255	-0.320	-0.176	-1.218	-0.597	0.324	-0.986	0.600
rhodanobacter_T8	OKGIIK_00315	OKGIIK_00315		MFS transporter	0.356	-2.172	-0.405	-0.620	1.116	-1.093	-0.983	-0.262	-1.607	-0.228	-0.250
rhodanobacter_T8	OKGIIK_00320	OKGIIK_00320		TonB dependent receptor	-0.572	-0.805	0.283	-0.248	1.393	-0.184	-0.190	-0.175	-0.935	0.067	-0.250
rhodanobacter_T8	OKGIIK_00325	OKGIIK_00325		YncE family protein	-0.073	0.248	-0.613	1.185	0.604	0.787	0.877	-2.110	-1.207	-0.646	-2.036
rhodanobacter_T8	OKGIIK_00330	OKGIIK_00330		hypothetical protein	-0.719	-0.399	-0.043	0.469	1.006	0.154	-0.241	0.649	0.093	-0.119	0.525
rhodanobacter_T8	OKGIIK_00335	OKGIIK_00335		Two-component system, OmpR family, copper resistance phosphate regulon response regulator CusR	-0.250	-1.369	0.412	-1.343	1.687	-0.732	0.507	-0.078	0.330	-0.677	-0.292
rhodanobacter_T8	OKGIIK_00340	OKGIIK_00340		Histidine kinase	0.509	0.063	0.470	1.400	-0.239	0.876	-0.524	0.843	-0.223	-0.056	-0.423
rhodanobacter_T8	OKGIIK_00345	OKGIIK_00345		GCN5 family acetyltransferase	-2.241	-0.807	1.223	-1.580	1.463	0.808	-2.298	-0.094	-1.145	-0.048	0.337
rhodanobacter_T8	OKGIIK_00350	OKGIIK_00350		TonB-dependent receptor	-0.828	0.457	-1.299	-0.412	-1.476	-0.113	1.009	0.327	0.917	-0.264	0.192
rhodanobacter_T8	OKGIIK_00355	OKGIIK_00355		Alpha/beta hydrolase	1.550	1.874	-1.602	-0.682	0.936	0.101	-1.978	-0.271	0.605	-0.273	-1.295
rhodanobacter_T8	OKGIIK_00360	OKGIIK_00360		DUF2127 domain-containing protein	-1.251	0.525	0.004	-0.221	-0.207	0.956	0.160	-0.716	-1.118	0.112	-0.552
