iter	Logloss
0	0.683220057
1	0.6737791807
2	0.661054171
3	0.6491806691
4	0.6409553298
5	0.6312465788
6	0.6242344165
7	0.6144960706
8	0.6064604206
9	0.5991267296
10	0.5898555319
11	0.5824524771
12	0.5751450734
13	0.5653394936
14	0.551824957
15	0.5435234743
16	0.5335471343
17	0.5257571631
18	0.5208295289
19	0.5100780744
20	0.5045527201
21	0.4969582969
22	0.4894479774
23	0.4805828069
24	0.470032298
25	0.4650796444
26	0.4609380705
27	0.4559624963
28	0.4517845846
29	0.4472276199
30	0.4419135724
31	0.4375947218
32	0.4323897981
33	0.4267895272
34	0.4201894175
35	0.4161000482
36	0.4127998406
37	0.4087881217
38	0.4010391339
39	0.3964577377
40	0.3923522777
41	0.387697552
42	0.3808955015
43	0.3765996229
44	0.3712749741
45	0.3670791911
46	0.3595144423
47	0.353056708
48	0.3483745827
49	0.3432207711
50	0.3392675553
51	0.3364644128
52	0.3330940148
53	0.3277194995
54	0.3217028981
55	0.3179948771
56	0.3149550877
57	0.3123249744
58	0.3092264653
59	0.3058289613
60	0.3011451466
61	0.2981429126
62	0.2946698291
63	0.2921281312
64	0.286303859
65	0.2834188836
66	0.2814711459
67	0.2778885019
68	0.2755691859
69	0.2711659227
70	0.2668047407
71	0.2640892092
72	0.2623720217
73	0.2576037828
74	0.2522691756
75	0.2485476366
76	0.2448223853
77	0.2399988117
78	0.2372141807
79	0.2326974792
80	0.2271547978
81	0.225217903
82	0.2232243841
83	0.2206971019
84	0.2194438061
85	0.2172484641
86	0.2141837516
87	0.2104559796
88	0.2083972038
89	0.2071213978
90	0.2057820735
91	0.2028851233
92	0.2010471902
93	0.1991669898
94	0.1971100612
95	0.1951342596
96	0.1912671388
97	0.1873485706
98	0.18566733
99	0.1836622216
100	0.1811227129
101	0.1791165271
102	0.1772715479
103	0.1759899812
104	0.1734812252
105	0.1721373737
106	0.170981247
107	0.1685575357
108	0.1669928839
109	0.1658347996
110	0.1646006038
111	0.1633067712
112	0.1623585444
113	0.1604766608
114	0.1585892397
115	0.1559179958
116	0.1539994362
117	0.1530287977
118	0.1522053221
119	0.1501118516
120	0.1483820862
121	0.1461635444
122	0.1444470172
123	0.1420257874
124	0.1409608077
125	0.1393851415
126	0.1368741657
127	0.1355743604
128	0.1326948983
129	0.1313796351
130	0.1300294989
131	0.1291836648
132	0.1274635039
133	0.1267585957
134	0.1244470438
135	0.1229059923
136	0.1221221105
137	0.1209989246
138	0.1199455081
139	0.1187637275
140	0.1168139604
141	0.1155421456
142	0.1145311522
143	0.1132016739
144	0.1120876169
145	0.1106574486
146	0.1084045497
147	0.1065446681
148	0.1048437642
149	0.1037026128
150	0.1026080235
151	0.1016669489
152	0.1012347091
153	0.100412615
154	0.09922603438
155	0.09829688922
156	0.09747701519
157	0.09577983806
158	0.09508119788
159	0.09430367755
160	0.09334642696
161	0.09235428191
162	0.0904310949
163	0.08969806305
164	0.08857067734
165	0.08769067736
166	0.08680718948
167	0.0859974936
168	0.08517183078
169	0.08443043182
170	0.08397623509
171	0.0835260337
172	0.08306212334
173	0.08238424867
174	0.08208430181
175	0.08044214458
176	0.07951763948
177	0.078921635
178	0.07811981694
179	0.07723446518
180	0.07617843813
181	0.07514417236
182	0.07447696598
183	0.07377409125
184	0.07280572567
185	0.07208265384
186	0.07084380547
187	0.07041028762
188	0.07008164431
189	0.06884830382
190	0.068110718
191	0.06678931751
192	0.06573434028
193	0.06506905994
194	0.06442038543
195	0.06329414076
196	0.06288080667
197	0.06209869662
198	0.06189220473
199	0.06127011382
200	0.0602355781
201	0.05971056781
202	0.05934404094
203	0.05886671064
204	0.05838167047
205	0.05781274629
206	0.05719101359
207	0.05668613234
208	0.05599778875
209	0.05553377665
210	0.05453071311
211	0.05369766009
212	0.05331245963
213	0.05282206279
214	0.05238255179
215	0.05190941822
216	0.05142216828
217	0.0509206978
218	0.05051374538
219	0.05002451427
220	0.04947154072
221	0.04871788833
222	0.04798944945
223	0.04750186243
224	0.04715203036
225	0.04654608759
226	0.04613331444
227	0.04581159091
228	0.04549024813
229	0.0448355351
230	0.04440544051
231	0.04358868028
232	0.04307857842
233	0.04231832969
234	0.04191114858
235	0.04143946281
236	0.04097384686
237	0.0404414166
238	0.03992382595
239	0.03933649148
240	0.03902043523
241	0.03860059585
242	0.03798554645
243	0.03757205846
244	0.03701976296
245	0.03670149032
246	0.03620587143
247	0.03573467919
248	0.03486780436
249	0.03443924666
250	0.03400385943
251	0.0335872142
252	0.03318764686
253	0.03286083141
254	0.0322862731
255	0.03166285188
256	0.03107442281
257	0.03067081891
258	0.03038033673
259	0.02987996059
260	0.02944730591
261	0.02905753462
262	0.02868184293
263	0.02826407729
264	0.02776999793
265	0.02737215418
266	0.02697995637
267	0.02655376941
268	0.02605022462
269	0.02550650144
270	0.02498197076
271	0.02433311547
272	0.02396221875
273	0.02354790218
274	0.02302209505
275	0.0227587455
276	0.02242723261
277	0.02182038089
278	0.02135238928
279	0.02105452868
280	0.0206345093
281	0.0202483642
282	0.01982464701
283	0.01949570192
284	0.01924979839
285	0.0189546181
286	0.0185999572
287	0.01834513857
288	0.01787418476
289	0.01750787764
290	0.0171877672
291	0.01697665181
292	0.01676978985
293	0.01641054001
294	0.01612712307
295	0.01598120161
296	0.01564675033
297	0.01538647409
298	0.01523000511
299	0.01504217277
300	0.01481279832
301	0.01458911366
302	0.01436711827
303	0.01416099745
304	0.01398931012
305	0.01366670206
306	0.01325501415
307	0.01295151252
308	0.01281819164
309	0.01256352309
310	0.01228645277
311	0.01205011018
312	0.01183811914
313	0.01159254815
314	0.01142321444
315	0.01123072836
316	0.01110592403
317	0.01089182292
318	0.01062316011
319	0.01043247504
320	0.01034479371
321	0.01018024036
322	0.00999125915
323	0.009812553239
324	0.00966746912
325	0.00958907062
326	0.009419718538
327	0.009274524575
328	0.009061558442
329	0.008868067737
330	0.008790626588
331	0.008673419617
332	0.008512144112
333	0.008440689806
334	0.008282077128
335	0.008163401793
336	0.007989264842
337	0.007931022254
338	0.007873729626
339	0.007815819915
340	0.007658675082
341	0.007570971268
342	0.007529888229
343	0.007383486872
344	0.007331543705
345	0.007237277303
346	0.007110300851
347	0.006985377147
348	0.006913741674
349	0.006794645355
350	0.006680380929
351	0.006592209907
352	0.006472777668
353	0.006385626516
354	0.006276550935
355	0.006175005779
356	0.006086151255
357	0.005968828647
358	0.005925462965
359	0.005874738586
360	0.00583627839
361	0.005751933087
362	0.005702333637
363	0.00561775201
364	0.005523951512
365	0.005457801306
366	0.005430867713
367	0.005336574458
368	0.005296061915
369	0.005248911007
370	0.00514945934
371	0.005117525561
372	0.005083838435
373	0.005002078899
374	0.004964236408
375	0.004941126938
376	0.004928074855
377	0.004833878492
378	0.004787971962
379	0.004751357845
380	0.004690006751
381	0.004644996769
382	0.004582237508
383	0.004531130321
384	0.004459154986
385	0.004422268208
386	0.004350374437
387	0.004312176868
388	0.004264903602
389	0.004201039847
390	0.004165432383
391	0.004119684012
392	0.004086791371
393	0.004075811745
394	0.004028902493
395	0.003986525205
396	0.003899403254
397	0.003856690964
398	0.003825343912
399	0.003769065405
400	0.003755463285
401	0.003724738751
402	0.003667396445
403	0.003624612076
404	0.003619729203
405	0.003590631528
406	0.003555606152
407	0.003538149062
408	0.003519229047
409	0.003511290525
410	0.003502091517
411	0.003502091517
412	0.003471306719
413	0.003414897582
414	0.003414898638
415	0.003414888254
416	0.003414863
417	0.003414837626
418	0.003414796936
419	0.003414842345
420	0.003414825849
421	0.003414827972
422	0.003414791037
423	0.003375274793
424	0.003320942976
425	0.003280686292
426	0.003280662761
427	0.003266243992
428	0.003225144818
429	0.003208963566
430	0.003173593169
431	0.003131327499
432	0.003131365215
433	0.003120978972
434	0.003103487044
435	0.003103489556
436	0.003103461491
437	0.003103461491
438	0.003103449615
439	0.003103459082
440	0.003103471182
441	0.003103426751
442	0.003103458471
443	0.003056299851
444	0.002996124626
445	0.002996076994
446	0.002996070716
447	0.002996093946
448	0.002996093946
449	0.002987638066
450	0.002987612476
451	0.002987608015
452	0.002987623456
453	0.002987592886
454	0.002987595405
455	0.002987581854
456	0.00298758802
457	0.002987569985
458	0.002953449485
459	0.002953438807
460	0.002953423932
461	0.002953393364
462	0.002953384208
463	0.002953400504
464	0.002953379052
465	0.002953374081
466	0.002953352482
467	0.002953372173
468	0.00295336638
469	0.002941167801
470	0.002941167801
471	0.002941167801
472	0.00292586765
473	0.002925864338
474	0.002925849436
475	0.002925792955
476	0.002925848166
477	0.002925816244
478	0.002925807029
479	0.002925826482
480	0.002925746494
481	0.002925767036
482	0.002925814881
483	0.002925784276
484	0.002925768881
485	0.002925808902
486	0.002925808902
487	0.002925752382
488	0.002925719196
489	0.002925763117
490	0.002895057656
491	0.002895010739
492	0.002895064115
493	0.002895016112
494	0.002895024671
495	0.002894997454
496	0.002875441074
497	0.002869345129
498	0.002842187328
499	0.002821775998
