OG_id	essentiality_class	pct_core	n_genes	n_organisms	n_essential_organisms	frac_essential	rep_gene	rep_desc
OG00000	never_essential	92.5925925925926	27	27	0	0.0		COGs COG3146
OG00001	variably_essential	91.30434782608695	23	23	9	0.3333333333333333		Fatty acid desaturase (EC 1.14.19.1); Delta-9 fatty acid desaturase (EC 1.14.19.1)
OG00002	variably_essential	100.0	25	25	22	0.7586206896551724	acpS	4'-phosphopantetheinyl transferase (RefSeq)
OG00003	variably_essential	83.90092879256966	323	39	26	0.5909090909090909	rpoE	RNA polymerase sigma-70 factor, ECF subfamily
OG00004	never_essential	100.0	30	30	0	0.0	smf	DNA processing protein DprA, putative (RefSeq)
OG00005	never_essential	75.60975609756098	41	30	0	0.0		NAD-dependent dehydratase
OG00006	variably_essential	97.22222222222221	36	35	25	0.5434782608695652	tatC	Sec-independent protein translocase protein tatC
OG00007	variably_essential	100.0	13	13	1	0.0769230769230769	flhD	flagellar transcriptional activator FlhD
OG00008	never_essential	89.65517241379311	29	27	0	0.0		thioesterase superfamily protein (RefSeq)
OG00009	variably_essential	89.00804289544236	373	37	8	0.2105263157894736	artQ	amino acid ABC transporter permease
OG00010	variably_essential	100.0	10	10	1	0.0909090909090909		Zn-dependent protease with chaperone function
OG00011	never_essential	100.0	1	1	0	0.0		Bacteriophytochrome (light-regulated signal transduction histidine kinase)
OG00012	variably_essential	100.0	47	38	11	0.2391304347826087	cyoE	protoheme IX farnesyltransferase (RefSeq)
OG00013	variably_essential	92.5531914893617	94	39	1	0.0227272727272727	lyxK	L-xylulose kinase (NCBI)
OG00014	variably_essential	85.96491228070175	114	36	10	0.238095238095238	ygbJ	predicted dehydrogenase, with NAD(P)-binding Rossmann-fold domain (NCBI)
OG00015	never_essential	100.0	3	3	0	0.0		Response regulator containing CheY-like receiver, AAA-type ATPase, and DNA-binding domains
OG00016	variably_essential	89.65517241379311	348	39	14	0.3043478260869565	cpxA	histidine kinase
OG00017	variably_essential	87.37864077669903	103	28	1	0.0294117647058823	yiaO	tripartite ATP-independent periplasmic transporter solute receptor, DctP family
OG00018	variably_essential	95.74468085106383	47	38	39	0.8297872340425532	hemB-2	porphobilinogen synthase
OG00019	variably_essential	83.58509566968782	1986	42	29	0.6041666666666666	ynfL	transcriptional regulator, LysR family protein
OG00020	variably_essential	87.42138364779875	159	33	9	0.2432432432432432	cmpB	binding-protein-dependent transport systems inner membrane component (RefSeq)
OG00021	variably_essential	94.5945945945946	37	36	1	0.0227272727272727	ygfA	5-formyltetrahydrofolate cyclo-ligase
OG00022	variably_essential	87.8048780487805	41	26	2	0.0689655172413793	proV	glycine betaine transport ATP-binding ABC transporter protein
OG00023	never_essential	50.0	2	2	0	0.0		hypothetical protein
OG00024	variably_essential	91.66666666666666	120	41	9	0.1875	ybaW	thioesterase
OG00025	never_essential	97.05882352941177	34	33	0	0.0	ybbP	ABC transporter permease
OG00026	never_essential	100.0	3	3	0	0.0		ABC transporter substrate-binding protein
OG00027	variably_essential	93.63636363636364	110	38	39	0.8478260869565217	exbD	biopolymer transporter ExbD
OG00028	variably_essential	82.6086956521739	23	21	1	0.04		Rieske 2Fe-2S family protein
OG00029	variably_essential	90.0	10	10	8	0.8		membrane protein
OG00030	variably_essential	85.71428571428571	196	38	2	0.0465116279069767	ydhF	aldo/keto reductase
OG00031	variably_essential	94.44444444444444	36	36	10	0.2272727272727272	crcB	CrcB family protein
OG00032	variably_essential	87.43315508021391	374	36	22	0.5116279069767442	yhcK	GntR family transcriptional regulator
OG00033	never_essential	12.5	8	8	0	0.0		Uncharacterized conserved protein
OG00034	variably_essential	80.2919708029197	411	40	15	0.3260869565217391	yjgB	NADPH:quinone reductase
OG00035	variably_essential	95.0	20	19	1	0.0526315789473684		ABC transporter permease
OG00036	variably_essential	71.42857142857143	140	36	3	0.0714285714285714	nemA	N-ethylmaleimide reductase
OG00037	variably_essential	66.66666666666666	9	9	2	0.1818181818181818		oxalurate catabolism protein HpxZ
OG00038	universally_essential	97.22222222222221	36	36	45	1.0	ispE	4-diphosphocytidyl-2C-methyl-D-erythritol kinase
OG00039	universally_essential	97.22222222222221	36	36	46	1.0	ygjD	UGMP family protein
OG00040	variably_essential	100.0	11	11	2	0.1333333333333333		site-2 protease family protein
OG00041	variably_essential	100.0	30	30	11	0.2682926829268293	cafA	ribonuclease G
OG00042	never_essential	81.57894736842105	38	31	0	0.0	flgE	flagellar hook protein FlgE
OG00043	never_essential	66.66666666666666	3	3	0	0.0		peptidase M48
OG00044	variably_essential	87.87878787878788	99	31	1	0.0294117647058823		HAMP domain-containing protein
OG00045	variably_essential	86.9098712446352	466	41	7	0.1489361702127659	ydcW	methylmalonate-semialdehyde dehydrogenase [acylating] (RefSeq)
OG00046	variably_essential	100.0	17	12	1	0.0625		Uncharacterized conserved protein, DUF1501 family
OG00047	variably_essential	89.0909090909091	165	32	13	0.3513513513513513	cynD	aliphatic sulfonate ABC transporter ATP-binding protein
OG00048	variably_essential	100.0	7	7	4	0.5714285714285714		hypothetical protein
OG00049	variably_essential	91.30434782608695	23	23	5	0.1923076923076923		urease accessory protein UreJ
OG00050	variably_essential	83.33333333333334	42	32	30	0.7692307692307693	fixB	electron transfer flavoprotein subunit alpha
OG00051	variably_essential	94.11764705882352	17	16	7	0.2916666666666667		Organosulfonate utilization protein SsuF
OG00052	variably_essential	93.75	48	38	38	0.8260869565217391	sodB	superoxide dismutase SodB
OG00053	variably_essential	92.44712990936556	331	35	24	0.6	gst	glutathione S-transferase
OG00054	variably_essential	100.0	31	30	39	0.975	ubiG	3-demethylubiquinone-9 3-methyltransferase
OG00055	variably_essential	86.00508905852418	393	41	5	0.1041666666666666	caiC	acetoacetyl-CoA synthase (TIGR)
OG00056	universally_essential	94.44444444444444	36	36	44	1.0	thiL	thiamine-monophosphate kinase
OG00057	variably_essential	96.66666666666667	30	23	4	0.1428571428571428		Maleylacetoacetate isomerase (EC 5.2.1.2) @ Glutathione S-transferase, zeta (EC 2.5.1.18)
OG00058	variably_essential	100.0	9	9	2	0.2		molybdenum ABC transporter substrate-binding protein
OG00059	variably_essential	94.07407407407408	135	38	17	0.3863636363636363	b1396	thioesterase
OG00060	variably_essential	92.6829268292683	82	38	33	0.7021276595744681	serC	alanine--glyoxylate aminotransferase family protein
OG00061	variably_essential	89.1025641025641	156	41	8	0.1666666666666666	yiaE	oxidoreductase
OG00062	never_essential	80.0	5	5	0	0.0		cobalt ABC transporter substrate-binding protein
OG00063	never_essential	66.66666666666666	3	3	0	0.0		dihydrodipicolinate synthetase
