condition	condition_class	n	accuracy	mean_confidence	error_rate	n_uncertain	growth_rate	al_score
adonitol	other	36	0.1111111111111111	0.23569545016461213	0.8888888888888888	13	0.5833333333333334	0.6793818220759003
turanose	other	36	0.16666666666666666	0.23569545016461213	0.8333333333333334	13	0.4722222222222222	0.6369204581961566
maltotriose	other	36	0.2222222222222222	0.23569545016461213	0.7777777777777778	13	0.5277777777777778	0.5944590943164128
methanol_la3	carbon	161	0.2236024844720497	0.2784343824577395	0.7763975155279503	60	0.17391304347826086	0.5602217527502023
3-0-b-d-galacto-pyranosyl-d-arabinose	carbon	36	0.05555555555555555	0.4090330800443334	0.9444444444444444	4	0.027777777777777776	0.558135424402574
b-methyl-d-xyloside	other	36	0.2777777777777778	0.23569545016461213	0.7222222222222222	13	0.4166666666666667	0.551997730436669
i-erythritol	other	36	0.2777777777777778	0.23569545016461213	0.7222222222222222	13	0.4166666666666667	0.551997730436669
n-acetyl-d-galactosamine	other	36	0.2777777777777778	0.23569545016461213	0.7222222222222222	13	0.3611111111111111	0.551997730436669
glucose-1-phosphate	carbon	36	0.08333333333333333	0.4090330800443334	0.9166666666666666	4	0.05555555555555555	0.5417196766260277
arbutin	other	36	0.3055555555555556	0.23569545016461213	0.6944444444444444	13	0.4444444444444444	0.5307670484967971
palatinose	other	36	0.3055555555555556	0.23569545016461213	0.6944444444444444	13	0.3888888888888889	0.5307670484967971
b-methyl-d-galactoside	other	36	0.3055555555555556	0.23569545016461213	0.6944444444444444	13	0.3333333333333333	0.5307670484967971
dopaminehydrochloride	other	62	0.2903225806451613	0.26447162870843577	0.7096774193548387	28	1.0	0.521987876400465
lactitol	other	36	0.3333333333333333	0.23569545016461213	0.6666666666666667	13	0.4166666666666667	0.5095363665569254
glycerol2phosphate	carbon	61	0.3114754098360656	0.26335835473858865	0.6885245901639344	26	0.08196721311475409	0.5071958869012996
3-methyl-glucose	carbon	36	0.16666666666666666	0.4090330800443334	0.8333333333333334	4	0.1388888888888889	0.4924724332963889
tagatose	other	36	0.3888888888888889	0.23569545016461213	0.6111111111111112	13	0.25	0.4670750026771815
n-acetyl-d-glucosamine	other	36	0.3888888888888889	0.23569545016461213	0.6111111111111112	13	0.75	0.4670750026771815
psicose	other	36	0.3888888888888889	0.23569545016461213	0.6111111111111112	13	0.3055555555555556	0.4670750026771815
succite	other	162	0.2654320987654321	0.3694948538305158	0.7345679012345678	31	0.8148148148148148	0.4631488419393124
homoserine	amino_acid	36	0.3611111111111111	0.2874606217088591	0.6388888888888888	19	0.027777777777777776	0.45523349168600663
2-deoxy-d-ribose	carbon	36	0.25	0.4090330800443334	0.75	4	0.2222222222222222	0.44322518996675
darabinose	carbon	61	0.4098360655737705	0.26335835473858865	0.5901639344262295	26	0.14754098360655737	0.43473933162968537
fumaricacid	other	68	0.4411764705882353	0.22893857893921957	0.5588235294117647	38	0.8529411764705882	0.43088726471043615
fumaric-acid	other	36	0.4444444444444444	0.23569545016461213	0.5555555555555556	13	0.9166666666666666	0.42461363879743774
itaconic-acid	other	36	0.4444444444444444	0.23569545016461213	0.5555555555555556	13	0.4166666666666667	0.42461363879743774
tyramine	other	36	0.4444444444444444	0.23569545016461213	0.5555555555555556	13	0.25	0.42461363879743774
melibionic-acid	other	36	0.4444444444444444	0.23569545016461213	0.5555555555555556	13	0.3055555555555556	0.42461363879743774
