strain	mol_norm	n_curves	n_fit_ok	any_growth	median_mu	median_A	median_lag	median_auc	normalized	enigma_name	enigma_chebi	in_fb	in_csp	in_wom	n_datasets	is_fb_anchor
FW300-N1B4	2'deoxycytidine	1	0	False				9.470860833333333	2'deoxycytidine	2'-deoxycytidine	CHEBI:15698	True	False	False	2	True
FW300-N1B4	2deoxydribose	1	0	False				8.03958388888889	2deoxydribose	2-deoxy-D-ribose	CHEBI:28816	True	True	False	3	True
FW300-N1B4	acetate	4	4	True	0.02518045465214209	0.23897763076515582	4.661058995801371	19.236975138888887	acetate	sodium acetate	CHEBI:32954	True	True	False	3	True
FW300-N1B4	adeninehydrochloride	2	2	True	0.027322732545462053	0.30502518259235456	44.64640438150306	14.784687569444445	adeninehydrochloride	adenine hydrochloride hydrate	ME:0000414	True	False	False	2	True
FW300-N1B4	ammoniumchloride	2	1	True	0.0014059501377174303	0.0355372821987659	3.144351451845774e-17	9.386472222222224	ammoniumchloride	ammonium chloride	CHEBI:31206	True	False	False	2	True
FW300-N1B4	benzoicacid	2	2	True	0.016677890279758103	0.4998941476292854	17.652526145296203	26.231438055555554	benzoicacid	benzoic acid	CHEBI:30746	True	False	False	2	True
FW300-N1B4	betaalanine	1	1	True	0.03921500744290171	0.2178192343428391	23.165128630458543	17.90063	betaalanine	beta-alanine	CHEBI:16958	True	True	False	3	True
FW300-N1B4	betalactose	1	0	False				8.155218055555556	betalactose	beta-lactose	CHEBI:36218	True	False	False	2	True
FW300-N1B4	butyrate	1	0	False				8.572423055555555	butyrate	sodium butyrate	CHEBI:64103	True	True	False	3	True
FW300-N1B4	cholinechloride	1	1	True	0.06240371235217859	0.34999466530617135	17.32764942466161	25.406734444444446	cholinechloride	choline chloride	CHEBI:133341	True	False	False	2	True
FW300-N1B4	citricacid	3	2	True	0.07391239841027314	0.29918916748344493	6.167061054476783	26.387379166666665	citricacid	citric acid	CHEBI:30769	True	True	False	3	True
FW300-N1B4	cobaltchloridehexa	2	2	True	0.04395467565549052	0.6224096344399477	10.737011954471182	25.271875000000005	cobaltchloridehexa	cobalt chloride hexahydrate	CHEBI:53503	True	False	False	2	True
FW300-N1B4	cytidine	1	1	True	0.017001343158784564	2.5699432677718725	66.33277777777775	12.457500555555555	cytidine	cytidine	CHEBI:17562	True	True	True	4	True
FW300-N1B4	cytosine	1	0	True	1.8291709769343796	0.017464000949397002	0.040968811394584	9.354202222222222	cytosine	cytosine	CHEBI:16040	True	False	True	3	True
FW300-N1B4	dalanine	1	1	True	0.08566471597343192	0.23702374191208506	11.14427516015816	21.937325277777777	dalanine	D-alanine	CHEBI:15570	True	False	False	2	True
FW300-N1B4	darabinose	1	0	False				8.702399444444444	darabinose	D-arabinose	CHEBI:17108	True	False	False	2	True
FW300-N1B4	dfructose	1	1	True	0.05000137166657551	0.7472569720183573	18.525972422986325	38.40386111111111	dfructose	D-fructose	CHEBI:15824	True	False	False	2	True
FW300-N1B4	dglucose6phosphate	1	0	False				8.703551944444445	dglucose6phosphate	D-glucose 6-phosphate	CHEBI:14314	True	False	False	2	True
FW300-N1B4	dglucuronicacid	1	1	True	0.051552281214394466	0.52449913940153	16.25789534705525	31.64406444444445	dglucuronicacid	D-glucuronic acid	CHEBI:4178	True	False	False	2	True
FW300-N1B4	dmannitol	3	3	True	0.04378805461982364	0.6158385305553796	9.296380353768434	39.7177525	dmannitol	D-mannitol	CHEBI:16899	True	False	False	2	True
FW300-N1B4	dserine	1	0	False				8.71085111111111	dserine	D-serine	CHEBI:16523	True	False	False	2	True
FW300-N1B4	ethanol	3	2	True	0.006323946348833992	0.21306392599149493	9.78910151764505	12.765250555555555	ethanol	ethanol	CHEBI:16236	True	True	False	3	True
FW300-N1B4	formate	1	0	False				8.138186666666666	formate	sodium formate	CHEBI:62965	True	True	False	3	True
FW300-N1B4	gelatin	1	0	False				10.050952500000001	gelatin	gelatin	CHEBI:5291	True	True	False	3	True
FW300-N1B4	glycerol	1	1	True	0.08131773552121682	0.36698570652953016	12.006001714045707	28.141745	glycerol	glycerol	CHEBI:17754	True	True	False	3	True
FW300-N1B4	glycine	3	2	True	0.005100158739606644	0.31429543288878425	2.696352210639486	16.826625694444445	glycine	glycine	CHEBI:15428	True	True	True	4	True
FW300-N1B4	glycolicacid	1	0	False				8.164822222222222	glycolicacid	glycolic acid	CHEBI:17497	True	True	False	3	True
FW300-N1B4	glyglu	1	0	False				9.665377222222222	glyglu	Gly-Glu	CHEBI:73801	True	False	False	2	True
