normalized	enigma_name	enigma_chebi	fb_condition	fb_n_experiments	fb_n_orgIds	csp_name	wom_compound	in_enigma	in_fb	in_csp	in_wom	n_datasets
cytidine	cytidine	CHEBI:17562	Cytidine	32	15	Cytidine	cytidine	True	True	True	True	4
glycine	glycine	CHEBI:15428	Glycine	41	18	Glycine	glycine	True	True	True	True	4
inosine	inosine	CHEBI:17596	Inosine	19	9	Inosine	inosine	True	True	True	True	4
thymidine	thymidine	CHEBI:17748	Thymidine	7	4	Thymidine	thymidine	True	True	True	True	4
uridine	uridine	CHEBI:16704	Uridine	28	15	Uridine	uridine	True	True	True	True	4
2deoxydribose	2-deoxy-D-ribose	CHEBI:28816	2-Deoxy-D-Ribose	18	3	2-Deoxy-D-Ribose		True	True	True	False	3
acetate	sodium acetate	CHEBI:32954	Potassium acetate	167	21	Acetate		True	True	True	False	3
betaalanine	beta-alanine	CHEBI:16958	Beta-alanine	2	1	Beta-alanine		True	True	True	False	3
butyrate	sodium butyrate	CHEBI:64103	Sodium butyrate	16	8	Butyrate		True	True	True	False	3
citricacid	citric acid	CHEBI:30769	Citric Acid	3	1	Citric-Acid		True	True	True	False	3
cysteine	cysteine	CHEBI:15356		0	0	Cysteine	cysteine	True	False	True	True	3
cytosine	cytosine	CHEBI:16040	Cytosine	21	12		Cytosine	True	True	False	True	3
ethanol	ethanol	CHEBI:16236	Ethanol	29	11	Ethanol		True	True	True	False	3
formate	sodium formate	CHEBI:62965	Sodium Formate	67	1	Formate		True	True	True	False	3
gelatin	gelatin	CHEBI:5291	Gelatin	7	4	Gelatin		True	True	True	False	3
glucose	glucose	CHEBI:17234		0	0	Glucose	glucose	True	False	True	True	3
glycerol	glycerol	CHEBI:17754	Glycerol	51	20	Glycerol		True	True	True	False	3
glycolicacid	glycolic acid	CHEBI:17497	Glycolic Acid	4	2	Glycolic-Acid		True	True	True	False	3
histidine	histidine	CHEBI:27570		0	0	Histidine	histidine	True	False	True	True	3
lactate	sodium lactate	CHEBI:75228		0	0	Lactate	lactate	True	False	True	True	3
lactulose	lactulose	CHEBI:6359	Lactulose	6	3	Lactulose		True	True	True	False	3
maltitol	maltitol	CHEBI:68428	Maltitol	6	3	Maltitol		True	True	True	False	3
melibiose	melibiose	CHEBI:28053	Melibiose	2	1	Melibiose		True	True	True	False	3
nacetyldglucosamine	N-acetyl-D-glucosamine	CHEBI:506227	N-Acetyl-D-Glucosamine	47	19	N-Acetyl-D-Glucosamine		True	True	True	False	3
propionate	sodium propionate	CHEBI:132106	Sodium propionate	21	11	Propionate		True	True	True	False	3
pyruvate	sodium pyruvate	CHEBI:50144	Sodium pyruvate	115	23	Pyruvate		True	True	True	False	3
sarcosine	sarcosine	CHEBI:15611		0	0	Sarcosine	sarcosine	True	False	True	True	3
succinicacid	succinic acid	CHEBI:15741	Succinic Acid	1	1	Succinic-Acid		True	True	True	False	3
sucrose	sucrose	CHEBI:17992	Sucrose	31	5	Sucrose		True	True	True	False	3
taurine	taurine	CHEBI:15891		0	0	Taurine	taurine	True	False	True	True	3
uracil	uracil	CHEBI:17568	Uracil	2	1		Uracil	True	True	False	True	3
xylitol	xylitol	CHEBI:17151	Xylitol	7	4	Xylitol		True	True	True	False	3
adenosine			Adenosine	30	12	Adenosine	Adenosine	False	True	True	True	3
betaine			Betaine	2	1	Betaine	betaine	False	True	True	True	3
thymine			Thymine	9	6	Thymine	thymine	False	True	True	True	3
2'deoxycytidine	2'-deoxycytidine	CHEBI:15698	2'-Deoxycytidine	4	1			True	True	False	False	2
4hydroxylproline	4-hydroxy-L-proline	CHEBI:18240		0	0		4-hydroxy-L-proline	True	False	False	True	2
adeninehydrochloride	adenine hydrochloride hydrate	ME:0000414	Adenine hydrochloride hydrate	11	7			True	True	False	False	2
alphacyclodextrin	alpha-cyclodextrin	CHEBI:40585		0	0	Alpha-cyclodextrin		True	False	True	False	2
ammoniumchloride	ammonium chloride	CHEBI:31206	Ammonium chloride	58	25			True	True	False	False	2
benzoate	sodium benzoate	CHEBI:113455		0	0	Benzoate		True	False	True	False	2
benzoicacid	benzoic acid	CHEBI:30746	benzoic acid	44	20			True	True	False	False	2
betalactose	beta-lactose	CHEBI:36218	Beta-Lactose	10	5			True	True	False	False	2
cellobiose	cellobiose	CHEBI:17057		0	0	Cellobiose		True	False	True	False	2
chloramphenicol	chloramphenicol	CHEBI:17698	Chloramphenicol	55	25			True	True	False	False	2
cholinechloride	choline chloride	CHEBI:133341	Choline chloride	25	13			True	True	False	False	2
