orgId	expName	expDesc	condition_1	concentration_1	units_1	media	norm
acidovorax_3H11	set1IT050	Cobalt chloride 0.16 mM	Cobalt chloride hexahydrate	0.16	mM	LB	cobaltchloridehexa
acidovorax_3H11	set1IT051	Cobalt chloride 0.32 mM	Cobalt chloride hexahydrate	0.32	mM	LB	cobaltchloridehexa
acidovorax_3H11	set1IT056	nitrite 10 mM	Sodium nitrite	10	mM	LB	nitrite
acidovorax_3H11	set1IT062	D-Fructose (C)	D-Fructose	20	mM	RCH2_defined_noCarbon	dfructose
acidovorax_3H11	set1IT064	L-Arabinose (C)	L-Arabinose	20	mM	RCH2_defined_noCarbon	larabinose
acidovorax_3H11	set1IT071	L-Lactate (C)	Sodium L-Lactate	20	mM	RCH2_defined_noCarbon	llactate
acidovorax_3H11	set1IT073	pyruvate (C)	Sodium pyruvate	20	mM	RCH2_defined_noCarbon	pyruvate
acidovorax_3H11	set1IT074	succinate (C)	Sodium succinate dibasic hexahydrate	20	mM	RCH2_defined_noCarbon	succinatehexa
acidovorax_3H11	set1IT077	D-Fructose (C)	D-Fructose	20	mM	RCH2_defined_noCarbon	dfructose
acidovorax_3H11	set1IT079	L-Arabinose (C)	L-Arabinose	20	mM	RCH2_defined_noCarbon	larabinose
acidovorax_3H11	set1IT085	L-Lactate (C)	Sodium L-Lactate	20	mM	RCH2_defined_noCarbon	llactate
acidovorax_3H11	set1IT087	pyruvate (C)	Sodium pyruvate	20	mM	RCH2_defined_noCarbon	pyruvate
acidovorax_3H11	set1IT088	succinate (C)	Sodium succinate dibasic hexahydrate	20	mM	RCH2_defined_noCarbon	succinatehexa
acidovorax_3H11	set1IT089	propionate (C)	Sodium propionate	20	mM	RCH2_defined_noCarbon	propionate
acidovorax_3H11	set2IT002	D-Fructose (C)	D-Fructose	20	mM	RCH2_defined_noCarbon	dfructose
acidovorax_3H11	set2IT004	L-Arabinose (C)	L-Arabinose	20	mM	RCH2_defined_noCarbon	larabinose
acidovorax_3H11	set2IT007	L-Lactate (C)	Sodium L-Lactate	20	mM	RCH2_defined_noCarbon	llactate
acidovorax_3H11	set2IT009	pyruvate (C)	Sodium pyruvate	20	mM	RCH2_defined_noCarbon	pyruvate
acidovorax_3H11	set2IT010	succinate (C)	Sodium succinate dibasic hexahydrate	20	mM	RCH2_defined_noCarbon	succinatehexa
acidovorax_3H11	set2IT012	Glycerol (C)	Glycerol	20	mM	RCH2_defined_noCarbon	glycerol
acidovorax_3H11	set2IT016	L-Asparagine (C)	L-Asparagine	20	mM	RCH2_defined_noCarbon	lasparagine
acidovorax_3H11	set2IT017	L-Glutamine (C)	L-Glutamine	20	mM	RCH2_defined_noCarbon	lglutamine
acidovorax_3H11	set2IT023	Cobalt chloride 0.32 mM	Cobalt chloride hexahydrate	0.32	mM	LB	cobaltchloridehexa
