corr_group	n_members	sum_shap	top_member	top_ko	levels
6	63	0.5483499100476681	L1_n_operons		L0+L1+L2
0	1	0.4382210277159509	L3_cond_amino_acid		L3
1	1	0.1643401214474364	L3_cond_nitrogen		L3
2	1	0.1152692595494254	L3_cond_other		L3
3	1	0.1084766733424784	L3_cond_carbon_source		L3
4	1	0.0942177796400485	L3_log_conc		L3
5	1	0.0763355788414073	L3_cond_nucleoside		L3
10	7	0.044750299201242	L2_73	K00507	L2
7	3	0.0423936999359237	L2_1094	K14058	L2
19	9	0.0372573307528604	L2_1056	K01609	L2
17	6	0.0352884328737525	L2_81	K07560	L2
11	5	0.0323623525566779	L2_932	K02397	L2
27	6	0.0257792732883851	L2_201	K03286	L2
15	5	0.0241002885436526	L2_2790	K17209	L2
9	3	0.0237270528194303	L1_n_contigs		L1+L2
16	3	0.0223154762579022	L2_1835	K17324	L2
18	4	0.0220759821849974	L2_1263	K12410	L2
13	3	0.0207794307244948	L2_701	K06201	L2
31	7	0.020157648965891	L0_order_Pseudomonadales		L0+L2
14	2	0.017509559698110702	L2_2173	K00720	L2
8	2	0.0172262865598138	L2_257	K02668	L2
28	4	0.0165480402280638	L2_381	K07102	L2
12	3	0.0164537484126544	L2_212	K09691	L2
20	3	0.0155382642223228	L2_840	K07483	L2
25	3	0.0137528220040533	L2_352	K02494	L2
29	4	0.0126681298659601	L2_1786	K07795	L2
33	4	0.0121205143918768	L2_21	K18900	L0+L2
26	3	0.0119018852007003	L2_1420	K05921	L2
34	4	0.011175954891791101	L2_2103	K08997	L2
39	4	0.0108074752014658	L2_870	K00371	L2
24	2	0.0106684666811587	L2_1951	K03780	L2
21	2	0.008791590023406	L2_942	K02387	L2
43	4	0.008789361422838	L2_2414	K00975	L2
38	3	0.0080529338246965	L2_455	K11381	L2
40	2	0.0076364201419487	L2_3735	K08159	L2
45	3	0.0072428065582792	L2_2233	K16047	L2
22	1	0.0065473341340476	L2_3998	K05898	L2
23	1	0.0063218751326983	L3_cond_metal		L3
30	1	0.0049707316427817	L2_2875	K18930	L2
46	2	0.0046803128426209	L2_545	K03387	L2
47	2	0.0046783910546157	L2_1145	K07018	L2
32	1	0.0044837386638697	L2_710	K00012	L2
35	1	0.0042286197816379	L2_1320	K21196	L2
36	1	0.0042096494231227	L2_180	K07660	L2
37	1	0.0041437536582186	L2_853	K19342	L2
41	1	0.0033678734757606	L2_2590	K02277	L2
42	1	0.0031247807749053	L2_137	K01507	L2
44	1	0.0028293005303259	L2_813	K04079	L2
48	1	0.0023389818008058	L2_619	K00963	L2
49	1	0.0022172145614439	L2_711	K03772	L2
50	1	0.001868652961978	L2_1856	K07402	L2
51	1	0.0017203603427552	L2_304	K03789	L2
