genus	AUC_new	model_new	AUC_old	model_old	delta	n_test
Pseudomonas_E	0.6262709548934724	with_interaction	0.650468065987043	without_interaction	-0.02419711109357059	5747
Rhizobium	0.6011837016028168	with_interaction	0.5684624432075811	without_interaction	0.03272125839523565	3282
Acinetobacter	0.6557069272192926	with_interaction	0.7047872526305121	without_interaction	-0.04908032541121954	2651
Luteibacter	0.5379102928321678	with_interaction	0.5201589816433566	without_interaction	0.017751311188811236	1920
Paraburkholderia	0.6616864909094539	with_interaction	0.6817173748178897	without_interaction	-0.02003088390843588	1482
Sphingomonas	0.7691841790069687	with_interaction	0.6952297020180024	without_interaction	0.07395447698896629	1373
Microbacterium	0.7958588492622307	with_interaction	0.7073882762452705	without_interaction	0.08847057301696026	1172
Methylobacterium	0.6153906669736741	with_interaction	0.5735263642643332	without_interaction	0.04186430270934083	1163
Acidovorax	0.6463712700554807	with_interaction	0.646116359274254	without_interaction	0.000254910781226636	1041
Janthinobacterium	0.5552709706637146	with_interaction	0.5680546470085039	without_interaction	-0.012783676344789385	929
Arthrobacter	0.49847873107426105	with_interaction	0.5204289834174477	without_interaction	-0.02195025234318665	920
Herbaspirillum	0.6421676159688012	with_interaction	0.6020596007799672	without_interaction	0.040108015188834	796
Pararhizobium	0.716724699539481	with_interaction	0.7097944513085476	without_interaction	0.006930248230933467	742
Yersinia	0.4872108113304281	with_interaction	0.5273287298128685	without_interaction	-0.040117918482440396	708
Paenarthrobacter	0.6193828201641912	with_interaction	0.5884894067431975	without_interaction	0.03089341342099372	696
Cupriavidus	0.6162257126931039	with_interaction	0.7029831581462017	without_interaction	-0.08675744545309783	640
Variovorax	0.5469301858475982	with_interaction	0.5445774703512711	without_interaction	0.0023527154963270958	622
Rhodanobacter	0.7355769230769231	with_interaction	0.6902618657937807	without_interaction	0.045315057283142446	590
Caballeronia	0.5285644360534228	with_interaction	0.5254702468358856	without_interaction	0.0030941892175372354	580
Pantoea	0.6862284820031299	with_interaction	0.6534317013190253	without_interaction	0.03279678068410463	528
Flavobacterium	0.5365682522325498	with_interaction	0.481893566611992	without_interaction	0.05467468562055777	487
Pedobacter	0.7115757407920243	with_interaction	0.6833386082209123	without_interaction	0.028237132571112045	479
Stenotrophomonas	0.562165500205846	with_interaction	0.5587804766479119	without_interaction	0.0033850235579341303	473
Serratia	0.7117371196403873	with_interaction	0.6709673236514524	without_interaction	0.04076979598893493	433
Comamonas	0.6988967208090714	with_interaction	0.661649260944388	without_interaction	0.03724745986468336	420
Brevundimonas	0.669732224099831	with_interaction	0.6690660340569349	without_interaction	0.000666190042896142	412
Deinococcus	0.5211835559046871	with_interaction	0.530662477088243	without_interaction	-0.009478921183555866	352
Frigoribacterium	0.9096684972140938	with_interaction	0.8476369904196898	without_interaction	0.06203150679440406	348
Shewanella	0.47718052738336714	with_interaction	0.47388438133874244	without_interaction	0.0032961460446246926	329
Escherichia	0.5268000642880103	with_interaction	0.538171006107361	without_interaction	-0.011370941819350722	326
Xanthomonas	0.6918367346938775	with_interaction	0.670821185617104	without_interaction	0.0210155490767735	301
Streptomyces	0.3484313938341294	with_interaction	0.3069908814589666	without_interaction	0.04144051237516283	290
Pectobacterium	0.5702880859374999	with_interaction	0.603125	without_interaction	-0.03283691406250011	288
Bacillus	0.5427178745513954	with_interaction	0.47613691145749637	without_interaction	0.06658096309389905	274
Agrobacterium	0.6323488339617371	with_interaction	0.48830470604664156	without_interaction	0.14404412791509558	263
Neorhizobium	0.6035489667565139	with_interaction	0.750943396226415	without_interaction	-0.1473944294699011	263
Arthrobacter_I	0.5408282541537948	with_interaction	0.4575436252817901	without_interaction	0.08328462887200466	262
Mesorhizobium	0.5659980700303281	with_interaction	0.5439068100358423	without_interaction	0.0220912599944858	249
Rhodoferax_C	0.5960164835164834	with_interaction	0.5444597069597069	without_interaction	0.051556776556776485	242
Caulobacter	0.6495435916542474	with_interaction	0.6235096870342772	without_interaction	0.026033904619970127	237
Sphingobium	0.733957219251337	with_interaction	0.745349918623576	without_interaction	-0.011392699372239079	233
Pelomonas	0.6648312292953712	with_interaction	0.730504073775629	without_interaction	-0.06567284448025779	226
Aeromicrobium	0.6885780885780886	with_interaction	0.5835897435897436	without_interaction	0.10498834498834497	218
Leifsonia	0.6795595194757917	with_interaction	0.5708955223880596	without_interaction	0.10866399708773211	216
Helicobacter	0.5857325072886297	with_interaction	0.5666909620991254	without_interaction	0.019041545189504294	210
Rathayibacter	0.9093993325917686	with_interaction	0.8464961067853171	without_interaction	0.06290322580645158	207
Xylophilus	0.6128185427071328	with_interaction	0.5802279421180689	without_interaction	0.03259060058906382	194
Ensifer	0.6517175572519083	with_interaction	0.6201017811704834	without_interaction	0.03161577608142485	191
Hydrogenophaga	0.630637544273908	with_interaction	0.6461038961038961	without_interaction	-0.015466351829988123	191
