aquatic	clinical	contaminated	food	other	soil/plant	total_genomes	strain	clade
5.0	0.0	0.0	0.0	2.0	0.0	8.0	EB271-G4-3-1	s__Janthinobacterium_lividum_C--RS_GCF_000632025.1
7.0	0.0	1.0	0.0	0.0	0.0	11.0	FW104-10B01	s__Rhodanobacter_denitrificans--RS_GCF_000230695.2
7.0	0.0	1.0	0.0	0.0	0.0	11.0	FW104-10F02	s__Rhodanobacter_denitrificans--RS_GCF_000230695.2
7.0	0.0	1.0	0.0	0.0	0.0	11.0	FW104-R3	s__Rhodanobacter_denitrificans--RS_GCF_000230695.2
2.0	0.0	0.0	0.0	0.0	3.0	6.0	FW300-N1B4	s__Pseudomonas_E_sp000282495--RS_GCF_000282495.1
1.0	0.0	0.0	0.0	1.0	19.0	23.0	FW300-N2A2	s__Pseudomonas_E_sp000282415--RS_GCF_020423045.1
2.0	0.0	0.0	0.0	1.0	0.0	13.0	FW300-N2E2	s__Pseudomonas_E_fluorescens_Q--RS_GCF_001623525.1
38.0	0.0	0.0	0.0	0.0	2.0	40.0	FW300-N2E3	s__Pseudomonas_E_fluorescens_E--RS_GCF_001307155.1
5.0	0.0	0.0	0.0	1.0	1.0	17.0	FW300-N2F2	s__Pseudomonas_E_fluorescens_AA--RS_GCF_001307275.1
12.0	0.0	1.0	1.0	4.0	2.0	26.0	FW305-113	s__Pseudomonas_E_soli--RS_GCF_900110655.1
22.0	0.0	0.0	1.0	0.0	0.0	31.0	FW305-3-2-15-A-LB2	s__Pseudomonas_E_extremorientalis--RS_GCF_001870465.1
2.0	0.0	0.0	0.0	0.0	0.0	3.0	FW510-R12	s__Rhodanobacter_sp000427505--RS_GCF_021545845.1
2.0	0.0	0.0	0.0	0.0	0.0	2.0	GW101-3H11	s__Acidovorax_sp001633105--RS_GCF_001633105.1
50.0	0.0	0.0	2.0	9.0	1.0	65.0	GW456-11-11-14-TSB2	s__Pseudomonas_E_mandelii--RS_GCF_900106065.1
7.0	0.0	2.0	0.0	8.0	1.0	21.0	GW456-12-10-14-TSB1	s__Sphingobium_xenophagum--RS_GCF_000367345.1
8.0	0.0	0.0	0.0	1.0	14.0	30.0	GW456-L13	s__Pseudomonas_E_jessenii--RS_GCF_002236115.1
50.0	0.0	0.0	2.0	9.0	1.0	65.0	GW458-11-26-14-LB3	s__Pseudomonas_E_mandelii--RS_GCF_900106065.1
1.0	1.0	0.0	0.0	3.0	1.0	9.0	GW460-12-10-14-LB2	s__Brevundimonas_vesicularis--RS_GCF_001592205.1
6.0	4.0	0.0	1.0	26.0	1.0	41.0	MT49	s__Serratia_J_liquefaciens--RS_GCF_000422085.1
1.0	0.0	1.0	0.0	7.0	2.0	14.0	MT58	s__Pantoea_eucalypti--RS_GCF_009646115.1
