condition	condition_class	n	accuracy	mean_confidence	error_rate	n_uncertain	growth_rate	al_score	field_weight	weighted_score
fumaricacid	other	68	0.4411764705882353	0.2289385789392195	0.5588235294117647	38	0.8529411764705882	0.4308872647104361	2.0	0.8617745294208722
fumaric-acid	other	36	0.4444444444444444	0.2356954501646121	0.5555555555555556	13	0.9166666666666666	0.4246136387974377	2.0	0.8492272775948754
itaconic-acid	other	36	0.4444444444444444	0.2356954501646121	0.5555555555555556	13	0.4166666666666667	0.4246136387974377	2.0	0.8492272775948754
melibionic-acid	other	36	0.4444444444444444	0.2356954501646121	0.5555555555555556	13	0.3055555555555556	0.4246136387974377	2.0	0.8492272775948754
2hydroxypropanoicacid	other	114	0.4473684210526316	0.26289377399928	0.5526315789473684	54	0.8157894736842105	0.4073481775267136	2.0	0.8146963550534272
hydroxy-glutaric-acid-g-lactone	other	36	0.4722222222222222	0.2356954501646121	0.5277777777777778	13	0.2222222222222222	0.4033829568575658	2.0	0.8067659137151316
difumarate	other	61	0.4590163934426229	0.2674587954782157	0.540983606557377	27	0.7868852459016393	0.39629278277408	2.0	0.79258556554816
lglutamicacid	other	107	0.4766355140186916	0.2548313243393125	0.5233644859813085	52	0.8130841121495327	0.389994820906528	2.0	0.779989641813056
nitrate	nitrogen	90	0.4444444444444444	0.2988389108537158	0.5555555555555556	28	0.4555555555555555	0.3895339384146023	2.0	0.7790678768292046
pyruvicacid	other	68	0.5	0.2289385789392195	0.5	38	0.8529411764705882	0.3855307105303902	2.0	0.7710614210607803
smalicacid	other	61	0.4754098360655737	0.2674587954782157	0.5245901639344263	27	0.7704918032786885	0.3842839105688049	2.0	0.7685678211376098
malicacid	other	106	0.490566037735849	0.2564594080052319	0.5094339622641509	51	0.7735849056603774	0.3787848298841271	2.0	0.7575696597682542
2oxoglutaricacid	other	106	0.5094339622641509	0.2564594080052319	0.490566037735849	51	0.7358490566037735	0.3647557621106409	2.0	0.7295115242212818
citramalate2	carbon	61	0.5081967213114754	0.2633583547385886	0.4918032786885246	26	0.2786885245901639	0.3622827763580711	2.0	0.7245655527161422
lasparticacid	other	107	0.514018691588785	0.2548313243393125	0.485981308411215	52	0.7757009345794392	0.3621380479846331	2.0	0.7242760959692662
