feature	mean_abs_shap	level	ko_id	kegg_ko	ko_desc
L3_cond_amino_acid	0.4382210277159509	L3			
L3_cond_nitrogen	0.1643401214474364	L3			
L3_cond_other	0.1152692595494254	L3			
L3_cond_carbon_source	0.1084766733424784	L3			
L3_log_conc	0.0942177796400485	L3			
L3_cond_nucleoside	0.0763355788414073	L3			
L1_n_operons	0.0508789288521752	L1			
L1_genome_size_mb	0.0378941567251215	L1			
L1_n_unique_kos	0.0374672471004881	L1			
L1_n_trna	0.0358495749687759	L1			
L2_173	0.0288760514003283	L2	218.0	K06131	clsA_B; cardiolipin synthase A/B [EC:2.7.8.-]
L1_n_genes	0.0278138713470238	L1			
L1_n_rrna	0.026809671354728	L1			
L1_coding_density	0.0235276114076748	L1			
L2_1094	0.0200526693527383	L2	1519.0	K14058	ttcA; tRNA 2-thiocytidine biosynthesis protein TtcA
L0_guild_7	0.0184381532248678	L0			
L2_258	0.0159673015471417	L2	319.0	K01916	nadE; NAD+ synthase [EC:6.3.1.5]
L2_257	0.0151564504721895	L2	316.0	K02668	pilS, pehS; two-component system, NtrC family, sensor histidine kinase PilS [EC:2.7.13.3]
L1_n_contigs	0.0147912930092704	L1			
L2_4469	0.0135926567270078	L2			
L2_73	0.0135279700804705	L2	90.0	K00507	SCD, desC; stearoyl-CoA desaturase (Delta-9 desaturase) [EC:1.14.19.1]
L2_932	0.0134811719066069	L2	1291.0	K02397	flgL; flagellar hook-associated protein 3 FlgL
L2_621	0.0119850138824046	L2	897.0	K08992	lapA; lipopolysaccharide assembly protein A
L2_212	0.0112716235263904	L2	265.0	K09691	ABC-2.LPSE.A; lipopolysaccharide transport system ATP-binding protein
L2_226	0.0112427129597609	L2	282.0	K04083	hslO; molecular chaperone Hsp33
L2_701	0.0111839825334567	L2	1003.0	K06201	cutC; copper homeostasis protein
L2_2173	0.0106711906250644	L2	2665.0	K00720	UGCG; ceramide glucosyltransferase [EC:2.4.1.80]
L2_128	0.0104447330682223	L2	161.0	K01138	K01138; uncharacterized sulfatase [EC:3.1.6.-]
L2_2790	0.0102741290626186	L2	3407.0	K17209	iatP; inositol transport system permease protein
L2_1835	0.0102003068296839	L2	2308.0	K17324	glpS; glycerol transport system ATP-binding protein
L2_419	0.0099170293338228	L2	595.0	K02959	RP-S16, MRPS16, rpsP; small subunit ribosomal protein S16
L2_81	0.0098557705612618	L2	101.0	K07560	dtd, DTD1; D-tyrosyl-tRNA(Tyr) deacylase [EC:3.1.-.-]
