target	model	n_features	metric	value	accuracy	n_test
growth_binary	M0_phylogeny	28	AUC	0.4342352434295562	0.5205761316872428	486
growth_binary	M1_+scalars	36	AUC	0.48035329599310644	0.5205761316872428	486
growth_binary	M2_+KO_COG	4364	AUC	0.5030331753554502	0.5205761316872428	486
growth_binary	M3_+condition	4371	AUC	0.6327358897027144	0.5596707818930041	486
mu_max	M0_phylogeny	28	R2	-0.007994714010643111		275
mu_max	M1_+scalars	36	R2	-0.0199538179310208		275
mu_max	M2_+KO_COG	4364	R2	-0.024979259673479692		275
mu_max	M3_+condition	4371	R2	-0.03134085888659399		275
max_A	M0_phylogeny	28	R2	-0.08584904949751371		275
max_A	M1_+scalars	36	R2	-0.039528958837584005		275
max_A	M2_+KO_COG	4364	R2	-0.007717219256585972		275
max_A	M3_+condition	4371	R2	-0.019162954753922934		275
lag	M0_phylogeny	28	R2	-0.06333532462512359		275
lag	M1_+scalars	36	R2	-0.03104037922538061		275
lag	M2_+KO_COG	4364	R2	-0.06391155234465296		275
lag	M3_+condition	4371	R2	-0.019251863918924306		275
