metabolite	KO	r	p	ko_desc
2,3-dihydroxybenzoate	K00370	-0.7071067811865476	0.11611652351681565	nitrate reductase 1, alpha subunit 
2,3-dihydroxybenzoate	K00371	-0.7071067811865476	0.11611652351681565	nitrate reductase 1, beta subunit 
2,3-dihydroxybenzoate	K00373	-0.7071067811865476	0.11611652351681565	nitrate reductase 1, delta subunit 
2,3-dihydroxybenzoate	K00374	-0.7071067811865476	0.11611652351681565	nitrate reductase 1, gamma subunit 
2,3-dihydroxybenzoate	K00721	-0.7071067811865476	0.11611652351681565	dolichol-phosphate mannosyltransferase 
2,3-dihydroxybenzoate	K00831	-0.7071067811865477	0.11611652351681548	phosphoserine aminotransferase 
2,3-dihydroxybenzoate	K01141	1.0	0.0	exodeoxyribonuclease I 
2,3-dihydroxybenzoate	K01153	0.7071067811865476	0.11611652351681565	type I restriction enzyme, R subunit 
2,3-dihydroxybenzoate	K01654	0.7071067811865477	0.11611652351681548	N-acetylneuraminate synthase 
2,3-dihydroxybenzoate	K01706	-0.7071067811865477	0.11611652351681548	glucarate dehydratase 
2,3-dihydroxybenzoate	K01712	0.7071067811865477	0.11611652351681548	urocanate hydratase 
2,3-dihydroxybenzoate	K02026	-0.7071067811865476	0.11611652351681565	multiple sugar transport system permease protein
2,3-dihydroxybenzoate	K02038	-0.7071067811865477	0.11611652351681548	phosphate transport system permease protein
2,3-dihydroxybenzoate	K02305	-0.7071067811865476	0.11611652351681565	nitric oxide reductase, cytochrome c-containing subunit II
2,3-dihydroxybenzoate	K02445	-0.7071067811865477	0.11611652351681548	MFS transporter, OPA family, glycerol-3-phosphate transporter
2,3-dihydroxybenzoate	K02652	-1.0	0.0	type IV pilus assembly protein PilB
2,3-dihydroxybenzoate	K02668	-0.7071067811865477	0.11611652351681548	two-component system, NtrC family, sensor histidine kinase PilS 
2,3-dihydroxybenzoate	K06986	-0.7071067811865477	0.11611652351681548	
2,3-dihydroxybenzoate	K06991	-0.7071067811865477	0.11611652351681548	
2,3-dihydroxybenzoate	K07025	0.7071067811865476	0.11611652351681565	putative hydrolase of the HAD superfamily
2,3-dihydroxybenzoate	K07218	-0.7071067811865476	0.11611652351681565	nitrous oxidase accessory protein
2,3-dihydroxybenzoate	K07230	-1.0	0.0	
2,3-dihydroxybenzoate	K07491	-0.7071067811865476	0.11611652351681565	putative transposase
2,3-dihydroxybenzoate	K07673	-0.7071067811865476	0.11611652351681565	two-component system, NarL family, nitrate/nitrite sensor histidine kinase NarX 
2,3-dihydroxybenzoate	K08482	0.7071067811865477	0.11611652351681548	circadian clock protein KaiC
2,3-dihydroxybenzoate	K09943	-0.7071067811865476	0.11611652351681565	hypothetical protein
2,3-dihydroxybenzoate	K11901	-0.7071067811865477	0.11611652351681548	type VI secretion system protein ImpB
2,3-dihydroxybenzoate	K14335	-0.7071067811865477	0.11611652351681548	alpha-1,6-mannosyltransferase 
3-hydroxy-3-methylglutarate	K00370	-0.9999999999999999	0.0	nitrate reductase 1, alpha subunit 
3-hydroxy-3-methylglutarate	K00371	-0.9999999999999999	0.0	nitrate reductase 1, beta subunit 
3-hydroxy-3-methylglutarate	K00373	-0.9999999999999999	0.0	nitrate reductase 1, delta subunit 
3-hydroxy-3-methylglutarate	K00374	-0.9999999999999999	0.0	nitrate reductase 1, gamma subunit 
3-hydroxy-3-methylglutarate	K01141	0.7071067811865476	0.11611652351681565	exodeoxyribonuclease I 
3-hydroxy-3-methylglutarate	K01153	0.9999999999999997	2.958228394578794e-31	type I restriction enzyme, R subunit 
3-hydroxy-3-methylglutarate	K02305	-0.9999999999999999	0.0	nitric oxide reductase, cytochrome c-containing subunit II
3-hydroxy-3-methylglutarate	K02616	0.7071067811865476	0.11611652351681565	phenylacetic acid degradation operon negative regulatory protein
3-hydroxy-3-methylglutarate	K02652	-0.7071067811865476	0.11611652351681565	type IV pilus assembly protein PilB
3-hydroxy-3-methylglutarate	K03427	0.7071067811865476	0.11611652351681565	type I restriction enzyme M protein 
3-hydroxy-3-methylglutarate	K07025	0.9999999999999997	2.958228394578794e-31	putative hydrolase of the HAD superfamily
3-hydroxy-3-methylglutarate	K07230	-0.7071067811865476	0.11611652351681565	
3-hydroxy-3-methylglutarate	K07673	-0.9999999999999999	0.0	two-component system, NarL family, nitrate/nitrite sensor histidine kinase NarX 
3-hydroxy-3-methylglutarate	K09943	-0.9999999999999999	0.0	hypothetical protein
3-hydroxy-3-methylglutarate	K12988	0.7071067811865476	0.11611652351681565	alpha-1,3-rhamnosyltransferase 
3-hydroxybenzoate	K02666	1.0	0.0	type IV pilus assembly protein PilQ
3-hydroxybenzoate	K08167	-1.0	0.0	MFS transporter, DHA2 family, methyl viologen resistance protein SmvA
3-hydroxybenzoate	K09709	-1.0	0.0	mesaconyl-C4 CoA hydratase
3-hydroxybenzoate	K11690	-1.0	0.0	C4-dicarboxylate transporter, DctM subunit
4-acetamidobutanoate	K00831	0.7071067811865477	0.11611652351681548	phosphoserine aminotransferase 
4-acetamidobutanoate	K01003	-0.7071067811865477	0.11611652351681548	carboxyvinyl-carboxyphosphonate phosphorylmutase 
4-acetamidobutanoate	K01187	-0.7071067811865477	0.11611652351681548	alpha-glucosidase 
4-acetamidobutanoate	K01654	-0.7071067811865477	0.11611652351681548	N-acetylneuraminate synthase 
4-acetamidobutanoate	K01706	0.7071067811865477	0.11611652351681548	glucarate dehydratase 
4-acetamidobutanoate	K01711	1.0	0.0	GDPmannose 4,6-dehydratase 
4-acetamidobutanoate	K02026	0.7071067811865476	0.11611652351681565	multiple sugar transport system permease protein
4-acetamidobutanoate	K02038	0.7071067811865477	0.11611652351681548	phosphate transport system permease protein
4-acetamidobutanoate	K02445	0.7071067811865477	0.11611652351681548	MFS transporter, OPA family, glycerol-3-phosphate transporter
4-acetamidobutanoate	K02668	0.7071067811865477	0.11611652351681548	two-component system, NtrC family, sensor histidine kinase PilS 
4-acetamidobutanoate	K03495	0.7071067811865476	0.11611652351681565	glucose inhibited division protein A
4-acetamidobutanoate	K04047	-0.7071067811865477	0.11611652351681548	starvation-inducible DNA-binding protein
4-acetamidobutanoate	K06986	0.7071067811865477	0.11611652351681548	
4-acetamidobutanoate	K06991	0.7071067811865477	0.11611652351681548	
4-acetamidobutanoate	K07184	1.0	0.0	SH3 domain protein
4-acetamidobutanoate	K07264	-0.7071067811865477	0.11611652351681548	4-amino-4-deoxy-L-arabinose transferase 
4-acetamidobutanoate	K07403	1.0	0.0	membrane-bound serine protease (ClpP class)
4-acetamidobutanoate	K07806	-0.7071067811865477	0.11611652351681548	UDP-4-amino-4-deoxy-L-arabinose-oxoglutarate aminotransferase 
4-acetamidobutanoate	K14335	0.7071067811865477	0.11611652351681548	alpha-1,6-mannosyltransferase 
4-guanidinobutanoate	K00023	-0.9999999999999999	0.0	acetoacetyl-CoA reductase 
4-guanidinobutanoate	K00162	-0.9999999999999999	0.0	pyruvate dehydrogenase E1 component subunit beta 
4-guanidinobutanoate	K00274	0.9999999999999999	0.0	monoamine oxidase 
4-guanidinobutanoate	K00836	0.9999999999999999	0.0	diaminobutyrate-2-oxoglutarate transaminase 
4-guanidinobutanoate	K01834	-0.9999999999999999	0.0	phosphoglycerate mutase 
4-guanidinobutanoate	K02429	-0.9999999999999999	0.0	MFS transporter, FHS family, L-fucose permease
4-guanidinobutanoate	K03897	-0.9999999999999999	0.0	lysine N6-hydroxylase 
4-guanidinobutanoate	K05375	0.9999999999999999	0.0	MbtH protein
4-guanidinobutanoate	K05685	0.9999999999999999	0.0	macrolide transport system ATP-binding/permease protein 
4-guanidinobutanoate	K06160	0.9999999999999999	0.0	putative ATP-binding cassette transporter
4-guanidinobutanoate	K06985	0.9999999999999999	0.0	aspartyl protease family protein
4-guanidinobutanoate	K08160	-0.9999999999999999	0.0	MFS transporter, DHA1 family, multidrug/chloramphenicol efflux transport protein
4-guanidinobutanoate	K09815	0.9999999999999999	0.0	zinc transport system substrate-binding protein
4-guanidinobutanoate	K10531	0.9999999999999999	0.0	L-ornithine N5-oxygenase 
4-guanidinobutanoate	K11208	0.9999999999999999	0.0	GST-like protein
4-guanidinobutanoate	K13888	0.9999999999999999	0.0	macrolide-specific efflux protein MacA
4-guanidinobutanoate	K14155	0.9999999999999999	0.0	cystathione beta-lyase 
4-hydroxy-2-quinolinecarboxylic acid	K00661	0.7071067811865477	0.11611652351681548	maltose O-acetyltransferase 
4-hydroxy-2-quinolinecarboxylic acid	K00721	-1.0	0.0	dolichol-phosphate mannosyltransferase 
4-hydroxy-2-quinolinecarboxylic acid	K01141	0.7071067811865477	0.11611652351681548	exodeoxyribonuclease I 
4-hydroxy-2-quinolinecarboxylic acid	K01712	1.0	0.0	urocanate hydratase 
4-hydroxy-2-quinolinecarboxylic acid	K02363	0.7071067811865477	0.11611652351681548	enterobactin 2,3-dihydroxybenzoate-AMP ligase / S-dihydroxybenzoyltransferase 
4-hydroxy-2-quinolinecarboxylic acid	K02652	-0.7071067811865477	0.11611652351681548	type IV pilus assembly protein PilB
4-hydroxy-2-quinolinecarboxylic acid	K03427	0.7071067811865477	0.11611652351681548	type I restriction enzyme M protein 
4-hydroxy-2-quinolinecarboxylic acid	K03760	-0.7071067811865477	0.11611652351681548	phosphoethanolamine transferase
4-hydroxy-2-quinolinecarboxylic acid	K07089	0.7071067811865477	0.11611652351681548	
4-hydroxy-2-quinolinecarboxylic acid	K07218	-1.0	0.0	nitrous oxidase accessory protein
4-hydroxy-2-quinolinecarboxylic acid	K07230	-0.7071067811865477	0.11611652351681548	
4-hydroxy-2-quinolinecarboxylic acid	K07491	-1.0	0.0	putative transposase
4-hydroxy-2-quinolinecarboxylic acid	K07677	0.7071067811865477	0.11611652351681548	two-component system, NarL family, capsular synthesis sensor histidine kinase RcsC 
4-hydroxyphenylacetate	K00023	-0.9999999999999999	0.0	acetoacetyl-CoA reductase 
4-hydroxyphenylacetate	K00162	-0.9999999999999999	0.0	pyruvate dehydrogenase E1 component subunit beta 
4-hydroxyphenylacetate	K00274	0.9999999999999999	0.0	monoamine oxidase 
4-hydroxyphenylacetate	K00836	0.9999999999999999	0.0	diaminobutyrate-2-oxoglutarate transaminase 
4-hydroxyphenylacetate	K01834	-0.9999999999999999	0.0	phosphoglycerate mutase 
4-hydroxyphenylacetate	K02429	-0.9999999999999999	0.0	MFS transporter, FHS family, L-fucose permease
4-hydroxyphenylacetate	K03897	-0.9999999999999999	0.0	lysine N6-hydroxylase 
4-hydroxyphenylacetate	K05375	0.9999999999999999	0.0	MbtH protein
4-hydroxyphenylacetate	K05685	0.9999999999999999	0.0	macrolide transport system ATP-binding/permease protein 
4-hydroxyphenylacetate	K06160	0.9999999999999999	0.0	putative ATP-binding cassette transporter
4-hydroxyphenylacetate	K06985	0.9999999999999999	0.0	aspartyl protease family protein
4-hydroxyphenylacetate	K08160	-0.9999999999999999	0.0	MFS transporter, DHA1 family, multidrug/chloramphenicol efflux transport protein
4-hydroxyphenylacetate	K09815	0.9999999999999999	0.0	zinc transport system substrate-binding protein
4-hydroxyphenylacetate	K10531	0.9999999999999999	0.0	L-ornithine N5-oxygenase 
4-hydroxyphenylacetate	K11208	0.9999999999999999	0.0	GST-like protein
4-hydroxyphenylacetate	K13888	0.9999999999999999	0.0	macrolide-specific efflux protein MacA
4-hydroxyphenylacetate	K14155	0.9999999999999999	0.0	cystathione beta-lyase 
5-aminopentanoate	K00370	1.0	0.0	nitrate reductase 1, alpha subunit 
5-aminopentanoate	K00371	1.0	0.0	nitrate reductase 1, beta subunit 
5-aminopentanoate	K00373	1.0	0.0	nitrate reductase 1, delta subunit 
5-aminopentanoate	K00374	1.0	0.0	nitrate reductase 1, gamma subunit 
5-aminopentanoate	K01141	-0.7071067811865476	0.11611652351681565	exodeoxyribonuclease I 
5-aminopentanoate	K01153	-0.9999999999999999	0.0	type I restriction enzyme, R subunit 
5-aminopentanoate	K02305	1.0	0.0	nitric oxide reductase, cytochrome c-containing subunit II
5-aminopentanoate	K02616	-0.7071067811865476	0.11611652351681565	phenylacetic acid degradation operon negative regulatory protein
5-aminopentanoate	K02652	0.7071067811865476	0.11611652351681565	type IV pilus assembly protein PilB
5-aminopentanoate	K03427	-0.7071067811865476	0.11611652351681565	type I restriction enzyme M protein 
5-aminopentanoate	K07025	-0.9999999999999999	0.0	putative hydrolase of the HAD superfamily
5-aminopentanoate	K07230	0.7071067811865476	0.11611652351681565	
5-aminopentanoate	K07673	1.0	0.0	two-component system, NarL family, nitrate/nitrite sensor histidine kinase NarX 
5-aminopentanoate	K09943	1.0	0.0	hypothetical protein
5-aminopentanoate	K12988	-0.7071067811865476	0.11611652351681565	alpha-1,3-rhamnosyltransferase 
Hypoxanthine	K01187	-0.7071067811865477	0.11611652351681548	alpha-glucosidase 
Hypoxanthine	K01971	0.7071067811865476	0.11611652351681565	DNA ligase (ATP) 
Hypoxanthine	K02361	-0.7071067811865476	0.11611652351681565	isochorismate synthase 
Hypoxanthine	K03495	0.7071067811865476	0.11611652351681565	glucose inhibited division protein A
Hypoxanthine	K07264	-0.7071067811865477	0.11611652351681548	4-amino-4-deoxy-L-arabinose transferase 
