species_id,nutrient_group,nutrient_core,nutrient_noncore,metal_core,metal_noncore,odds_ratio,fisher_p
s__Gordonibacter_urolithinfaciens--RS_GCF_900199375.1,N_genes,1,2,1,3,1.5,1.0
s__UBA2262_sp903869265--GB_GCA_903869265.1,N_genes,2,0,2,1,inf,1.0
s__28-YEA-48_sp903889985--GB_GCA_903889985.1,N_genes,0,2,1,2,0.0,1.0
s__QMZT01_sp003663325--GB_GCA_003663325.1,N_genes,5,0,1,1,inf,0.2857142857142857
s__Weimeria_sp900100095--GB_GCA_900100095.1,N_genes,2,0,1,2,inf,0.4000000000000001
s__Methanosarcina_flavescens--RS_GCF_001304615.2,N_genes,3,0,8,1,inf,1.0
s__MGIIa-L1_sp018667575--GB_GCA_018667575.1,N_genes,0,2,5,2,0.0,0.16666666666666666
s__HK02M2_sp024256285--GB_GCA_024256285.1,N_genes,2,0,3,1,inf,1.0
s__Lacrimispora_xylanolytica_C--RS_GCF_002934545.1,N_genes,3,1,3,0,0.0,1.0
s__B111-G9_sp003646865--GB_GCA_019307815.1,N_genes,0,3,1,1,0.0,0.4000000000000001
s__Thiocapsa_sp022340925--GB_GCA_022340925.1,N_genes,2,0,2,3,inf,0.4285714285714286
s__B1-Br10-U2g19_sp001563905--GB_GCA_001563905.1,N_genes,2,1,3,1,0.667,1.0
s__Halogranum_rubrum--RS_GCF_900114455.1,N_genes,3,2,6,3,0.75,1.0
s__Methanohalophilus_portucalensis--RS_GCF_002761295.1,N_genes,5,0,7,0,,1.0
s__Halochromatium_sp003562815--GB_GCA_003562815.1,N_genes,2,0,0,3,inf,0.10000000000000002
s__SLRQ01_sp007130885--GB_GCA_007130885.1,N_genes,1,2,2,3,0.75,1.0
s__ISDg_sp902787715--GB_GCA_902787715.1,N_genes,0,2,1,9,0.0,1.0
s__Butyrivibrio_sp015258065--GB_GCA_015258065.1,N_genes,1,1,0,8,inf,0.19999999999999998
s__UBA71_sp002504495--GB_GCA_002504495.1,N_genes,2,4,4,0,0.0,0.07619047619047618
s__UBA3088_sp002367275--GB_GCA_002367275.1,N_genes,2,0,3,0,,1.0
s__Ch115_sp013178415--GB_GCA_013178415.1,N_genes,1,1,3,1,0.333,1.0
s__Methanimicrococcus_sp017613335--GB_GCA_017613335.1,N_genes,0,4,1,10,0.0,1.0
s__Cloacibacillus_sp020860125--GB_GCA_020860125.1,N_genes,1,1,2,0,0.0,1.0
s__Stutzerimonas_stutzeri_B--RS_GCF_000307775.2,N_genes,1,1,0,5,inf,0.2857142857142857
s__Roseiflexus_castenholzii--RS_GCF_000017805.1,N_genes,1,3,2,1,0.167,0.48571428571428565
s__Haloferax_mediterranei--RS_GCF_000306765.2,N_genes,3,0,8,0,,1.0
s__Thiorhodovibrio_B_sp007128075--GB_GCA_007128075.1,N_genes,1,2,1,1,0.5,1.0
s__Klebsiella_quasipneumoniae--RS_GCF_020525925.1,N_genes,0,6,2,12,0.0,1.0
s__UBA71_sp006954465--GB_GCA_006954465.1,N_genes,3,8,4,4,0.375,0.37651821862348184
s__CAG-791_sp900321785--GB_GCA_900321785.1,N_genes,2,0,0,7,inf,0.027777777777777776
s__Hungateiclostridium_straminisolvens--RS_GCF_000521465.1,N_genes,2,1,1,1,2.0,1.0
s__GCA-2726865_sp014381835--GB_GCA_016783485.1,N_genes,3,0,2,4,inf,0.16666666666666669
s__Cellulomonas_sp001462455--RS_GCF_001462455.1,N_genes,0,2,1,2,0.0,1.0
s__Tc-Br11_sp003552325--GB_GCA_003552325.1,N_genes,0,2,7,1,0.0,0.06666666666666667
s__Rhizobium_yanglingense--RS_GCF_015353075.1,N_genes,0,2,2,3,0.0,1.0
s__Bradyrhizobium_sp900114915--RS_GCF_900114915.1,N_genes,2,0,4,2,inf,1.0
s__Cupriavidus_taiwanensis_C--RS_GCF_900250075.1,N_genes,2,0,5,0,,1.0
s__Raphidiopsis_curvispora_A--RS_GCF_014489415.1,N_genes,0,2,2,0,0.0,0.3333333333333333
s__Bacillus_velezensis--RS_GCF_001461825.1,N_genes,0,2,1,8,0.0,1.0
s__Treponema_D_sp934699065--GB_GCA_934699065.1,N_genes,2,0,0,2,inf,0.3333333333333333
s__JAGOWQ01_sp018060185--GB_GCA_018060185.1,N_genes,0,2,1,1,0.0,1.0
s__JAHILJ01_sp018897135--GB_GCA_018897135.1,N_genes,1,1,2,0,0.0,1.0
s__Trichlorobacter_lovleyi--RS_GCF_000020385.1,N_genes,2,0,3,0,,1.0
s__Desulfotomaculum_profundi--RS_GCF_002607855.1,N_genes,1,3,1,5,1.667,1.0
s__Clostridium_B_ragsdalei--RS_GCF_001675165.1,N_genes,4,0,2,0,,1.0
s__Rhodospira_marina--RS_GCF_014197855.1,N_genes,2,0,2,0,,1.0
