species_id,nutrient_group,nutrient_core,nutrient_noncore,metal_core,metal_noncore,odds_ratio,fisher_p
s__Aestuariivirga_sp902826365--GB_GCA_902826365.1,Phz_genes,0,3,1,3,0.0,1.0
s__28-YEA-48_sp903889985--GB_GCA_903889985.1,Phz_genes,2,0,1,2,inf,0.4000000000000001
s__Palsa-881_sp903872075--GB_GCA_903872075.1,Phz_genes,3,0,2,4,inf,0.16666666666666669
s__Lawsonibacter_sp900545895--RS_GCF_016899775.1,Phz_genes,2,0,0,2,inf,0.3333333333333333
s__Duganella_sp024123915--GB_GCA_024123915.1,Phz_genes,0,2,2,1,0.0,0.4000000000000001
s__Lacrimispora_xylanolytica_C--RS_GCF_002934545.1,Phz_genes,0,2,3,0,0.0,0.10000000000000002
s__Bosea_sp900466745--GB_GCA_900466745.1,Phz_genes,2,1,3,1,0.667,1.0
s__Mesorhizobium_amorphae_B--RS_GCF_001686985.1,Phz_genes,2,0,5,0,,1.0
s__Clostridium_J_senegalense--RS_GCF_000285575.1,Phz_genes,2,0,2,0,,1.0
s__Bacillus_glycinifermentans--RS_GCF_001042475.2,Phz_genes,1,1,2,0,0.0,1.0
s__Brevibacterium_linens--RS_GCF_900169165.1,Phz_genes,1,2,1,1,0.5,1.0
s__Hydrogenophaga_sp010104355--RS_GCF_010104355.1,Phz_genes,2,0,6,0,,1.0
s__Luteimonas_D_fraxinea--RS_GCF_021233355.1,Phz_genes,2,0,2,0,,1.0
s__Ruegeria_atlantica_C--RS_GCF_024628725.1,Phz_genes,1,4,1,2,0.5,1.0
s__Devosia_limi--RS_GCF_900128975.1,Phz_genes,2,0,5,1,inf,1.0
s__Pseudomonas_E_sp002699985--RS_GCF_002699985.1,Phz_genes,3,1,2,0,0.0,1.0
s__Clostridioides_difficile_A--RS_GCF_001299635.1,Phz_genes,2,2,2,2,1.0,1.0
s__Kitasatospora_sp001905545--RS_GCF_001905545.1,Phz_genes,3,0,2,3,inf,0.19642857142857142
s__Acidovorax_sp003058055--RS_GCF_003058055.1,Phz_genes,4,0,3,0,,1.0
s__Lentzea_atacamensis--RS_GCF_003269295.1,Phz_genes,2,0,3,0,,1.0
s__Gp7-AA6_sp003222385--GB_GCA_003222385.1,Phz_genes,0,3,1,1,0.0,0.4000000000000001
s__Burkholderia_anthina_A--RS_GCF_001547525.1,Phz_genes,2,0,3,0,,1.0
s__Exiguobacterium_A_sibiricum_A--RS_GCF_000620865.1,Phz_genes,1,1,4,0,0.0,0.3333333333333333
s__Chryseobacterium_indologenes_B--GB_GCA_001013295.1,Phz_genes,2,0,2,1,inf,1.0
s__Hamadaea_sp013361475--GB_GCA_013361475.1,Phz_genes,3,0,2,2,inf,0.42857142857142855
s__54-19_sp001898225--GB_GCA_001898225.1,Phz_genes,3,0,9,1,inf,1.0
