phylum,n_species,n_P,n_N,n_Metal,n_Phz_operon,frac_P,frac_N,frac_M,n_P_Metal,n_N_Metal,PM_enrichment,NM_enrichment,phi_PM
p__Pseudomonadota,7456,6776,1359,6676,27,0.909,0.182,0.895,6177,1308,1.018,1.075,0.1672
p__Bacillota_A,3917,2829,1424,3842,0,0.722,0.364,0.981,2791,1411,1.006,1.01,0.0672
p__Bacteroidota,3629,2582,319,3153,0,0.711,0.088,0.869,2289,295,1.02,1.064,0.0823
p__Actinomycetota,3164,3013,302,3036,36,0.952,0.095,0.96,2901,289,1.003,0.997,0.0744
p__Bacillota,2146,1794,188,1941,0,0.836,0.088,0.904,1680,184,1.035,1.082,0.2456
p__Patescibacteria,981,18,17,844,0,0.018,0.017,0.86,15,15,0.969,1.026,-0.0107
p__Verrucomicrobiota,553,514,81,466,0,0.929,0.146,0.843,433,72,1.0,1.055,-0.0026
p__Cyanobacteriota,469,386,165,345,0,0.823,0.352,0.736,312,154,1.099,1.269,0.3554
p__Chloroflexota,457,433,94,434,0,0.947,0.206,0.95,411,94,0.999,1.053,-0.0093
p__Planctomycetota,348,324,61,313,0,0.931,0.175,0.899,295,58,1.012,1.057,0.1352
p__Desulfobacterota,319,296,171,314,0,0.928,0.536,0.984,291,169,0.999,1.004,-0.0352
p__Spirochaetota,296,221,97,282,0,0.747,0.328,0.953,207,97,0.983,1.05,-0.1298
p__Thermoplasmatota,294,194,129,294,0,0.66,0.439,1.0,194,129,1.0,1.0,0.0
p__Acidobacteriota,283,258,53,269,0,0.912,0.187,0.951,245,53,0.999,1.052,-0.0136
p__Campylobacterota,271,212,50,241,0,0.782,0.185,0.889,192,46,1.018,1.035,0.0988
p__Halobacteriota,259,239,254,259,0,0.923,0.981,1.0,239,254,1.0,1.0,0.0
p__Bacillota_C,235,181,144,232,0,0.77,0.613,0.987,178,144,0.996,1.013,-0.0621
p__Thermoproteota,233,136,111,233,0,0.584,0.476,1.0,136,111,1.0,1.0,0.0
p__Myxococcota,157,141,49,152,0,0.898,0.312,0.968,137,49,1.004,1.033,0.0588
p__Nanoarchaeota,135,10,108,127,0,0.074,0.8,0.941,9,106,0.957,1.043,-0.0488
p__Nitrospirota,115,112,47,115,0,0.974,0.409,1.0,112,47,1.0,1.0,0.0
p__Gemmatimonadota,102,91,14,100,0,0.892,0.137,0.98,90,14,1.009,1.02,0.1788
p__Bacillota_B,101,96,64,101,0,0.95,0.634,1.0,96,64,1.0,1.0,0.0
p__Marinisomatota,90,42,10,70,0,0.467,0.111,0.778,36,10,1.102,1.286,0.1786
p__Omnitrophota,80,71,12,61,0,0.887,0.15,0.762,56,7,1.034,0.765,0.1731
p__Methanobacteriota,74,56,74,74,0,0.757,1.0,1.0,56,74,1.0,1.0,0.0
p__Bdellovibrionota,71,65,18,68,0,0.915,0.254,0.958,63,16,1.012,0.928,0.1879
p__Elusimicrobiota,70,52,8,59,0,0.743,0.114,0.843,44,7,1.004,1.038,0.0154
p__Desulfobacterota_F,68,67,51,68,0,0.985,0.75,1.0,67,51,1.0,1.0,0.0
p__Fusobacteriota,59,52,20,54,0,0.881,0.339,0.915,50,20,1.051,1.093,0.453
p__Synergistota,58,50,29,56,0,0.862,0.5,0.966,48,28,0.994,1.0,-0.0756
p__Micrarchaeota,57,0,26,57,0,0.0,0.456,1.0,0,26,0.0,1.0,0.0
p__Deinococcota,52,52,1,52,0,1.0,0.019,1.0,52,1,1.0,1.0,0.0
p__Thermotogota,51,44,5,47,0,0.863,0.098,0.922,41,5,1.011,1.085,0.0956
p__Dormibacterota,48,36,14,45,0,0.75,0.292,0.938,33,14,0.978,1.067,-0.1491
p__Chlamydiota,47,1,4,36,0,0.021,0.085,0.766,1,4,1.306,1.306,0.0815
p__Fibrobacterota,38,20,9,34,0,0.526,0.237,0.895,19,9,1.062,1.118,0.1898
p__Armatimonadota,36,34,5,36,0,0.944,0.139,1.0,34,5,1.0,1.0,0.0
p__Bacillota_G,36,31,11,36,0,0.861,0.306,1.0,31,11,1.0,1.0,0.0
p__Bacillota_E,34,30,13,34,0,0.882,0.382,1.0,30,13,1.0,1.0,0.0
p__Bacillota_D,33,22,15,33,0,0.667,0.455,1.0,22,15,1.0,1.0,0.0
p__Eremiobacterota,33,27,7,25,0,0.818,0.212,0.758,19,6,0.929,1.131,-0.2667
p__Asgardarchaeota,32,24,24,32,0,0.75,0.75,1.0,24,24,1.0,1.0,0.0
p__Methylomirabilota,29,29,2,29,0,1.0,0.069,1.0,29,2,1.0,1.0,0.0
p__Cloacimonadota,29,27,1,26,0,0.931,0.034,0.897,25,1,1.033,1.115,0.3544
p__SAR324,26,25,9,25,0,0.962,0.346,0.962,24,8,0.998,0.924,-0.04
p__Methanobacteriota_B,26,12,26,26,0,0.462,1.0,1.0,12,26,1.0,1.0,0.0
p__Latescibacterota,24,23,2,22,0,0.958,0.083,0.917,21,2,0.996,1.091,-0.0629
p__Desulfobacterota_B,22,21,6,21,0,0.955,0.273,0.955,20,6,0.998,1.048,-0.0476
p__Bipolaricaulota,22,21,3,22,0,0.955,0.136,1.0,21,3,1.0,1.0,0.0
p__WOR-3,20,14,3,16,0,0.7,0.15,0.8,11,3,0.982,1.25,-0.0546
p__Nitrospinota,20,17,5,20,0,0.85,0.25,1.0,17,5,1.0,1.0,0.0
p__Margulisbacteria,19,14,2,17,0,0.737,0.105,0.895,13,2,1.038,1.118,0.1845
p__Bacillota_F,19,17,8,19,0,0.895,0.421,1.0,17,8,1.0,1.0,0.0
p__Desulfobacterota_D,19,15,3,11,0,0.789,0.158,0.579,11,3,1.267,1.727,0.6055
p__Aenigmatarchaeota,17,0,17,16,0,0.0,1.0,0.941,0,16,0.0,1.0,0.0
p__Aquificota,17,17,4,16,0,1.0,0.235,0.941,16,4,1.0,1.062,0.0
p__Dependentiae,16,0,0,5,0,0.0,0.0,0.312,0,0,0.0,0.0,0.0
p__Myxococcota_A,16,16,4,16,0,1.0,0.25,1.0,16,4,1.0,1.0,0.0
p__SZUA-79,15,15,15,14,0,1.0,1.0,0.933,14,14,1.0,1.0,0.0
p__Poribacteria,15,15,1,15,0,1.0,0.067,1.0,15,1,1.0,1.0,0.0
p__Iainarchaeota,13,0,13,13,0,0.0,1.0,1.0,0,13,0.0,1.0,0.0
p__Caldisericota,13,11,3,11,0,0.846,0.231,0.846,10,3,1.074,1.182,0.4091
p__Desulfobacterota_G,13,13,2,13,0,1.0,0.154,1.0,13,2,1.0,1.0,0.0
p__Calditrichota,12,12,2,12,0,1.0,0.167,1.0,12,2,1.0,1.0,0.0
p__Hydrogenedentota,11,8,1,11,0,0.727,0.091,1.0,8,1,1.0,1.0,0.0
p__Krumholzibacteriota,11,7,3,9,0,0.636,0.273,0.818,7,3,1.222,1.222,0.6236
p__Altiarchaeota,10,6,9,10,0,0.6,0.9,1.0,6,9,1.0,1.0,0.0
p__Nitrospirota_A,10,10,9,10,0,1.0,0.9,1.0,10,9,1.0,1.0,0.0
p__KSB1,10,9,1,10,0,0.9,0.1,1.0,9,1,1.0,1.0,0.0
p__UBA10199,10,9,0,9,0,0.9,0.0,0.9,8,0,0.988,0.0,-0.1111
p__Zixibacteria,10,7,1,10,0,0.7,0.1,1.0,7,1,1.0,1.0,0.0
