srs,biosample,enigma_id,collection_date,depth,lat_lon,experiment,well,sample_date_raw,fraction,replicate,srr
SRS20676245,SAMN40286568,EVO09_GP01_20090226_F02_R1,2009-02-26,2.566416-9.168384,35.97564854 N 84.27470382 W,EVO09,GP01,20090226,F02,R1,SRR28246018
SRS20676244,SAMN40286567,EVO09_MLSA3_20090226_F02_R1,2009-02-26,2.8194-8.738616,35.97559505 N 84.27468959 W,EVO09,MLSA3,20090226,F02,R1,SRR28246019
SRS20676242,SAMN40286566,EVO09_FW216_20090226_F02_R1,2009-02-26,4.096512-5.809488,35.97567105 N 84.27471076 W,EVO09,FW216,20090226,F02,R1,SRR28246020
SRS20676243,SAMN40286565,EVO09_MLSG4_20090226_F02_R1,2009-02-26,5.0292-5.1054,35.97568295 N 84.27471417 W,EVO09,MLSG4,20090226,F02,R1,SRR28246021
SRS20676240,SAMN40286564,EVO09_FW215_20090213_F02_R1,2009-02-13,4.215384-5.675376,35.97571524 N 84.27472215 W,EVO09,FW215,20090213,F02,R1,SRR28246022
SRS20676241,SAMN40286563,EVO09_GP03_20090213_F02_R1,2009-02-13,2.8194-8.738616,35.97559505 N 84.27468959 W,EVO09,GP03,20090213,F02,R1,SRR28246023
SRS20676239,SAMN40286562,EVO09_FW202_20090213_F02_R1,2009-02-13,4.940808-7.668768,35.97563386 N 84.27469639 W,EVO09,FW202,20090213,F02,R1,SRR28246024
SRS20676238,SAMN40286561,EVO09_MLSB3_20090213_F02_R1,2009-02-13,4.90728-4.98348,35.97567215 N 84.27469319 W,EVO09,MLSB3,20090213,F02,R1,SRR28246025
SRS20676237,SAMN40286560,EVO09_GP01_20090213_F02_R1,2009-02-13,2.566416-9.168384,35.97564854 N 84.27470382 W,EVO09,GP01,20090213,F02,R1,SRR28246026
SRS20676234,SAMN40286559,EVO09_MLSA3_20090213_F02_R1,2009-02-13,2.8194-8.738616,35.97559505 N 84.27468959 W,EVO09,MLSA3,20090213,F02,R1,SRR28246027
SRS20676235,SAMN40286558,EVO09_FW216_20090213_F02_R1,2009-02-13,4.096512-5.809488,35.97567105 N 84.27471076 W,EVO09,FW216,20090213,F02,R1,SRR28246029
SRS20676231,SAMN40286557,EVO09_MLSG4_20090213_F02_R1,2009-02-13,5.0292-5.1054,35.97568295 N 84.27471417 W,EVO09,MLSG4,20090213,F02,R1,SRR28246030
SRS20676233,SAMN40286556,EVO09_FW215_20090112_F02_R1,2009-01-12,4.215384-5.675376,35.97571524 N 84.27472215 W,EVO09,FW215,20090112,F02,R1,SRR28246031
SRS20676230,SAMN40286555,EVO09_GP03_20090112_F02_R1,2009-01-12,2.8194-8.738616,35.97559505 N 84.27468959 W,EVO09,GP03,20090112,F02,R1,SRR28246032
SRS20676229,SAMN40286554,EVO09_FW202_20090112_F02_R1,2009-01-12,4.940808-7.668768,35.97563386 N 84.27469639 W,EVO09,FW202,20090112,F02,R1,SRR28246033
SRS20676228,SAMN40286553,EVO09_MLSB3_20090112_F02_R1,2009-01-12,4.90728-4.98348,35.97567215 N 84.27469319 W,EVO09,MLSB3,20090112,F02,R1,SRR28246034
SRS20676232,SAMN40286552,EVO09_GP01_20090112_F02_R1,2009-01-12,2.566416-9.168384,35.97564854 N 84.27470382 W,EVO09,GP01,20090112,F02,R1,SRR28246035
SRS20676226,SAMN40286551,EVO09_MLSA3_20090112_F02_R1,2009-01-12,2.8194-8.738616,35.97559505 N 84.27468959 W,EVO09,MLSA3,20090112,F02,R1,SRR28246036
SRS20676227,SAMN40286550,EVO09_MLSG4_20090112_F02_R1,2009-01-12,5.0292-5.1054,35.97568295 N 84.27471417 W,EVO09,MLSG4,20090112,F02,R1,SRR28246037
SRS20676221,SAMN40286548,EVO17_GP01_20180426_F02_R2,2018-04-26,2.566416-9.168384,35.97564854 N 84.27470382 W,EVO17,GP01,20180426,F02,R2,SRR28246040
