sra_id,title,expxml,runs,platform,bases,spots,samplename,biosample
32160907,,"  <Summary><Title>16S rDNA sequencing for ""Reproducible responses of geochemical and microbial successional patterns in the subsurface to carbon source amendment""</Title><Platform instrument_model=""Illumina MiSeq"">ILLUMINA</Platform><Statistics total_runs=""1"" total_spots=""36459"" total_bases=""18302418"" total_size=""10250516"" load_done=""true"" cluster_name=""public""/></Summary><Submitter acc=""SRA1818646"" center_name=""Berkeley National Lab"" contact_name=""Jonathan Michael"" lab_name=""School of Biologica","                                <Run acc=""SRR28246018"" total_spots=""36459"" total_bases=""18302418"" load_done=""true"" is_public=""true"" cluster_name=""public"" static_data_available=""true""/>                ",,,,,
32160906,,"  <Summary><Title>16S rDNA sequencing for ""Reproducible responses of geochemical and microbial successional patterns in the subsurface to carbon source amendment""</Title><Platform instrument_model=""Illumina MiSeq"">ILLUMINA</Platform><Statistics total_runs=""1"" total_spots=""35536"" total_bases=""17839072"" total_size=""10166762"" load_done=""true"" cluster_name=""public""/></Summary><Submitter acc=""SRA1818646"" center_name=""Berkeley National Lab"" contact_name=""Jonathan Michael"" lab_name=""School of Biologica","                                <Run acc=""SRR28246019"" total_spots=""35536"" total_bases=""17839072"" load_done=""true"" is_public=""true"" cluster_name=""public"" static_data_available=""true""/>                ",,,,,
32160905,,"  <Summary><Title>16S rDNA sequencing for ""Reproducible responses of geochemical and microbial successional patterns in the subsurface to carbon source amendment""</Title><Platform instrument_model=""Illumina MiSeq"">ILLUMINA</Platform><Statistics total_runs=""1"" total_spots=""26426"" total_bases=""13265852"" total_size=""7452087"" load_done=""true"" cluster_name=""public""/></Summary><Submitter acc=""SRA1818646"" center_name=""Berkeley National Lab"" contact_name=""Jonathan Michael"" lab_name=""School of Biological","                                <Run acc=""SRR28246020"" total_spots=""26426"" total_bases=""13265852"" load_done=""true"" is_public=""true"" cluster_name=""public"" static_data_available=""true""/>                ",,,,,
32160904,,"  <Summary><Title>16S rDNA sequencing for ""Reproducible responses of geochemical and microbial successional patterns in the subsurface to carbon source amendment""</Title><Platform instrument_model=""Illumina MiSeq"">ILLUMINA</Platform><Statistics total_runs=""1"" total_spots=""25122"" total_bases=""12611244"" total_size=""6862307"" load_done=""true"" cluster_name=""public""/></Summary><Submitter acc=""SRA1818646"" center_name=""Berkeley National Lab"" contact_name=""Jonathan Michael"" lab_name=""School of Biological","                                <Run acc=""SRR28246021"" total_spots=""25122"" total_bases=""12611244"" load_done=""true"" is_public=""true"" cluster_name=""public"" static_data_available=""true""/>                ",,,,,
32160903,,"  <Summary><Title>16S rDNA sequencing for ""Reproducible responses of geochemical and microbial successional patterns in the subsurface to carbon source amendment""</Title><Platform instrument_model=""Illumina MiSeq"">ILLUMINA</Platform><Statistics total_runs=""1"" total_spots=""19215"" total_bases=""9645930"" total_size=""5754867"" load_done=""true"" cluster_name=""public""/></Summary><Submitter acc=""SRA1818646"" center_name=""Berkeley National Lab"" contact_name=""Jonathan Michael"" lab_name=""School of Biological ","                                <Run acc=""SRR28246022"" total_spots=""19215"" total_bases=""9645930"" load_done=""true"" is_public=""true"" cluster_name=""public"" static_data_available=""true""/>                 ",,,,,
32160902,,"  <Summary><Title>16S rDNA sequencing for ""Reproducible responses of geochemical and microbial successional patterns in the subsurface to carbon source amendment""</Title><Platform instrument_model=""Illumina MiSeq"">ILLUMINA</Platform><Statistics total_runs=""1"" total_spots=""28148"" total_bases=""14130296"" total_size=""8575724"" load_done=""true"" cluster_name=""public""/></Summary><Submitter acc=""SRA1818646"" center_name=""Berkeley National Lab"" contact_name=""Jonathan Michael"" lab_name=""School of Biological","                                <Run acc=""SRR28246023"" total_spots=""28148"" total_bases=""14130296"" load_done=""true"" is_public=""true"" cluster_name=""public"" static_data_available=""true""/>                ",,,,,
32160901,,"  <Summary><Title>16S rDNA sequencing for ""Reproducible responses of geochemical and microbial successional patterns in the subsurface to carbon source amendment""</Title><Platform instrument_model=""Illumina MiSeq"">ILLUMINA</Platform><Statistics total_runs=""1"" total_spots=""30817"" total_bases=""15470134"" total_size=""9049865"" load_done=""true"" cluster_name=""public""/></Summary><Submitter acc=""SRA1818646"" center_name=""Berkeley National Lab"" contact_name=""Jonathan Michael"" lab_name=""School of Biological","                                <Run acc=""SRR28246024"" total_spots=""30817"" total_bases=""15470134"" load_done=""true"" is_public=""true"" cluster_name=""public"" static_data_available=""true""/>                ",,,,,
32160900,,"  <Summary><Title>16S rDNA sequencing for ""Reproducible responses of geochemical and microbial successional patterns in the subsurface to carbon source amendment""</Title><Platform instrument_model=""Illumina MiSeq"">ILLUMINA</Platform><Statistics total_runs=""1"" total_spots=""26787"" total_bases=""13447074"" total_size=""7687242"" load_done=""true"" cluster_name=""public""/></Summary><Submitter acc=""SRA1818646"" center_name=""Berkeley National Lab"" contact_name=""Jonathan Michael"" lab_name=""School of Biological","                                <Run acc=""SRR28246025"" total_spots=""26787"" total_bases=""13447074"" load_done=""true"" is_public=""true"" cluster_name=""public"" static_data_available=""true""/>                ",,,,,
32160899,,"  <Summary><Title>16S rDNA sequencing for ""Reproducible responses of geochemical and microbial successional patterns in the subsurface to carbon source amendment""</Title><Platform instrument_model=""Illumina MiSeq"">ILLUMINA</Platform><Statistics total_runs=""1"" total_spots=""44850"" total_bases=""22514700"" total_size=""12759575"" load_done=""true"" cluster_name=""public""/></Summary><Submitter acc=""SRA1818646"" center_name=""Berkeley National Lab"" contact_name=""Jonathan Michael"" lab_name=""School of Biologica","                                <Run acc=""SRR28246026"" total_spots=""44850"" total_bases=""22514700"" load_done=""true"" is_public=""true"" cluster_name=""public"" static_data_available=""true""/>                ",,,,,
32160898,,"  <Summary><Title>16S rDNA sequencing for ""Reproducible responses of geochemical and microbial successional patterns in the subsurface to carbon source amendment""</Title><Platform instrument_model=""Illumina MiSeq"">ILLUMINA</Platform><Statistics total_runs=""1"" total_spots=""42775"" total_bases=""21473050"" total_size=""12937177"" load_done=""true"" cluster_name=""public""/></Summary><Submitter acc=""SRA1818646"" center_name=""Berkeley National Lab"" contact_name=""Jonathan Michael"" lab_name=""School of Biologica","                                <Run acc=""SRR28246027"" total_spots=""42775"" total_bases=""21473050"" load_done=""true"" is_public=""true"" cluster_name=""public"" static_data_available=""true""/>                ",,,,,
