genus_lower,n_species_with_size,mean_genome_size_bp,sd_genome_size_bp
acetoanaerobium,1,2814227,0
acetobacter,1,3693126,0
acetobacterium,1,4135635,0
acholeplasma,1,1496992,0
achromobacter,1,6474881,0
acidaminococcus,1,2329769,0
acidibrevibacterium,1,4037611,0
acidiferrobacter,1,3398398,0
acidiphilium,1,4214744,0
acidithiobacillus,1,3165856,0
acidobacterium,1,4127356,0
acidocella,1,3964820,0
acidothermus,1,2443540,0
acidovorax,1,4122625,0
acinetobacter,1,3990388,0
actinomyces,1,3168954,0
actinoplanes,1,9976112,0
actinotalea,1,3904075,0
acuticoccus,1,5043263,0
aequorivita,1,3844651,0
aeribacillus,1,3777782,0
aerococcus,1,2138252,0
aeromicrobium,1,3270508,0
aeromonas,1,4663841,0
aggregatibacter,1,1999512,0
agrobacterium,1,4713153,0
agrococcus,1,2878403,0
ahrensia,1,3364770,0
albidovulum,1,3455422,0
albimonas,1,5014394,0
alcaligenes,1,3774827,0
alcanivorax,1,3120143,0
algoriphagus,1,4853787,0
aliarcobacter,1,2347607,0
alicyclobacillus,1,2859702,0
alkalihalobacillus,1,4370295,0
alkalilimnicola,1,2952137,0
alkalispirochaeta,1,3358314,0
alloiococcus,1,1806596,0
alteribacillus,1,4703180,0
alteromonas,1,4433598,0
altibacter,1,3020166,0
aminipila,1,2687481,0
aminivibrio,1,3198789,0
amphiplicatus,1,3160729,0
amphritea,1,3301033,0
amycolatopsis,1,9663932,0
amylibacter,1,3172758,0
anaerobiospirillum,1,4957354,0
anaerocolumna,1,4624179,0
anaeromyxobacter,1,5029329,0
anaerotignum,1,3060256,0
anaerotruncus,1,3761792,0
anaerovibrio,1,3015068,0
ancylobacter,1,4601798,0
ancylomarina,1,4403951,0
anoxybacillus,1,2832347,0
aquaticitalea,1,3144529,0
aquicella,1,2624892,0
aquimarina,1,6186893,0
arachnia,1,3222890,0
arenibacter,1,5550230,0
arenicella,1,3431733,0
arenimonas,1,3091755,0
azoarcus,1,4451751,0
azonexus,1,4237713,0
azospira,1,3450622,0
azospirillum,1,7602107,0
azovibrio,1,4025691,0
bacillus,1,3678935,0
balneola,1,3624230,0
bellilinea,1,2894515,0
belnapia,1,5994144,0
bifidobacterium,1,2089645,0
blastococcus,1,4523459,0
blastomonas,1,4007395,0
blautia,1,6115043,0
bordetella,1,3780021,0
bosea,1,6128076,0
brachybacterium,1,3073790,0
bradyrhizobium,1,7522254,0
brevibacillus,1,6726998,0
brevibacterium,1,4254817,0
brevilactibacter,1,3430973,0
brevundimonas,1,2979231,0
brooklawnia,1,3166677,0
burkholderia,1,8897342,0
butyricimonas,1,4976422,0
capnocytophaga,1,2730939,0
carnobacterium,1,2619222,0
castellaniella,1,3282217,0
caulobacter,1,5659202,0
celeribacter,1,4333597,0
cellulomonas,1,4499308,0
cellulophaga,1,4718566,0
cellulosimicrobium,1,4595203,0
cellvibrio,1,4489528,0
cerasibacillus,1,2792598,0
chelatococcus,1,6947619,0
chiayiivirga,1,3678035,0
chitinimonas,1,4743076,0
chitinophaga,1,5074440,0
chlorobaculum,1,2181504,0
chlorobium,1,2538957,0
chromohalobacter,1,3340801,0
chryseobacterium,1,4910468,0
chryseolinea,1,5640736,0
citrobacter,1,5575578,0
clostridium,1,3088387,0
cobetia,1,4160095,0
cognatishimia,1,3362067,0
corynebacterium,1,2326687,0
crenobacter,1,2860341,0
croceibacterium,1,3475106,0
croceitalea,1,2637974,0
croceivirga,1,3602643,0
cronobacter,1,4499482,0
cryobacterium,1,3521602,0
cupriavidus,1,8942610,0
curvibacter,1,6832523,0
cutibacterium,1,2495001,0
cyclobacterium,1,6221273,0
cycloclasticus,1,2383924,0
cytobacillus,1,4916069,0
daejeonella,1,4099391,0
dehalobacter,1,2943336,0
deinococcus,1,3264334,0
demequina,1,2874691,0
denitratisoma,1,4293412,0
desulfitobacterium,1,4321753,0
desulfosporosinus,1,4637866,0
desulfotomaculum,1,3969014,0
desulfovibrio,1,3699310,0
desulfurivibrio,1,2233270,0
devosia,1,3442800,0
dialister,1,1281836,0
dickeya,1,4700353,0
dietzia,1,3292993,0
dokdonella,1,3537739,0
dokdonia,1,3293944,0
dolosigranulum,1,1862135,0
domibacillus,1,3731130,0
donghicola,1,4426466,0
dorea,1,3188304,0
draconibacterium,1,5992231,0
dyadobacter,1,7376607,0
dyella,1,4831185,0
dysgonomonas,1,4377988,0
echinicola,1,5442202,0
ectothiorhodospira,1,3448426,0
edaphobacter,1,5285246,0
edwardsiella,1,4329652,0
emticicia,1,5177490,0
endozoicomonas,1,5606375,0
ensifer,1,7267502,0
enterocloster,1,6647380,0
enterococcus,1,2881400,0
enterovibrio,1,2645619,0
epilithonimonas,1,3646603,0
erwinia,1,5118043,0
erysipelothrix,1,2185093,0
faecalibacterium,1,2962236,0
fermentimonas,1,2824716,0
ferrimicrobium,1,3088654,0
ferrithrix,1,2392615,0
ferrovum,1,2702191,0
ferruginibacter,1,3320024,0
fictibacillus,1,4281954,0
filimonas,1,7814405,0
fimbriimonas,1,6222879,0
finegoldia,1,2021781,0
fischerella,1,6902954,0
flammeovirga,1,6968008,0
flavihumibacter,1,4710176,0
flavipsychrobacter,1,3991360,0
flavisolibacter,1,5747514,0
flavobacterium,1,3554039,0
flectobacillus,1,7086307,0
fluviicola,1,4551443,0
frisingicoccus,1,3514115,0
galbibacter,1,3770994,0
gallionella,1,2904277,0
gelidibacter,1,4506948,0
gemmatimonas,1,4636964,0
geobacillus,1,3574950,0
geobacter,1,3666014,0
georgenia,1,4322787,0
geothrix,1,4263011,0
gilliamella,1,2232791,0
gillisia,1,3476061,0
gimesia,1,8027492,0
glaciecola,1,2684593,0
glaciimonas,1,4911955,0
gleimia,1,2070245,0
glutamicibacter,1,3936280,0
glycomyces,1,5735294,0
gordonia,1,5071550,0
gracilibacillus,1,4409254,0
gracilimonas,1,3953385,0
granulicatella,1,1965422,0
granulosicoccus,1,4929674,0
gulosibacter,1,2341382,0
haemophilus,1,1827025,0
halanaerobium,1,2831374,0
haliea,1,3961381,0
halioglobus,1,4116357,0
haloactinopolyspora,1,5535374,0
halobacillus,1,4191840,0
halolactibacillus,1,3168606,0
halomonas,1,3285121,0
halorhodospira,1,2857375,0
hydrogenobacter,1,1743135,0
hydrogenophaga,1,5633231,0
hydrogenovibrio,1,2453259,0
hymenobacter,1,5534940,0
hyphomonas,1,3668571,0
jeotgalicoccus,1,2109862,0
jiangella,1,7716600,0
kaistella,1,2845737,0
kaistia,1,5259388,0
kangiella,1,2653010,0
kurthia,1,2778614,0
labrys,1,6508340,0
lachnoanaerobaculum,1,2800999,0
lachnoclostridium,1,4614834,0
lachnotalea,1,4097813,0
lacibacter,1,4480378,0
lacrimispora,1,5477561,0
lacticaseibacillus,1,2952961,0
lactiplantibacillus,1,3368529,0
lactococcus,1,2344093,0
lautropia,1,3172010,0
leadbetterella,1,5099189,0
lederbergia,1,4779348,0
leeuwenhoekiella,1,4244565,0
legionella,1,4398856,0
lentilactobacillus,1,2537205,0
lentimicrobium,1,3397716,0
lentzea,1,8998498,0
leptospira,1,3857933,0
leptospirillum,1,2559538,0
leucobacter,1,3214995,0
leuconostoc,1,1820660,0
levilactobacillus,1,2474438,0
lewinella,1,5573894,0
ligilactobacillus,1,2326083,0
limimaricola,1,3188840,0
limnobacter,1,3390271,0
limosilactobacillus,1,2308498,0
liquorilactobacillus,1,2440903,0
listeria,1,2841134,0
loigolactobacillus,1,2566290,0
luminiphilus,1,2526148,0
luteococcus,1,2579494,0
luteolibacter,1,5571430,0
lutibacter,1,3152923,0
lutimaribacter,1,4422352,0
lysinibacillus,1,5285903,0
lysobacter,1,5765176,0
macellibacteroides,1,3935985,0
macrococcus,1,2101371,0
magnetospirillum,1,4365796,0
malikia,1,3778566,0
maribacter,1,4639957,0
maricaulis,1,3568848,0
mariniblastus,1,6570840,0
marinicella,1,3347334,0
marinilabilia,1,4982627,0
marinimicrobium,1,3848416,0
mariniphaga,1,4927187,0
marinirhabdus,1,3378100,0
marinitoga,1,2274557,0
marinobacter,1,4651725,0
marinobacterium,1,3925261,0
marinomonas,1,3659629,0
marinoscillum,1,6553609,0
maritimibacter,1,4536113,0
marivita,1,4610381,0
megamonas,1,2568766,0
megasphaera,1,3236325,0
meiothermus,1,3271032,0
mesonia,1,3205558,0
mesorhizobium,1,4522399,0
metabacillus,1,5297881,0
metallibacterium,1,3755691,0
methylobacillus,1,2971517,0
methylobacter,1,4988792,0
methylobacterium,1,6802552,0
methylocaldum,1,5621438,0
methylococcus,1,3266263,0
methylotuvimicrobium,1,5067278,0
methylovulum,1,4687143,0
microbacterium,1,3412446,0
microbulbifer,1,4346001,0
micrococcus,1,2275595,0
micromonospora,1,7025559,0
microvirga,1,5053196,0
mobilitalea,1,3036611,0
moraxella,1,1885013,0
morganella,1,3814728,0
moritella,1,5223088,0
mucilaginibacter,1,4277435,0
muricauda,1,4067395,0
mycobacterium,1,5090491,0
nakamurella,1,4475503,0
neisseria,1,2617510,0
neobacillus,1,5159434,0
neorhizobium,1,6172440,0
neptunomonas,1,3876499,0
nesterenkonia,1,3318774,0
nevskia,1,4255904,0
niastella,1,9033684,0
nitratireductor,1,4516452,0
nitrosococcus,1,3522111,0
nitrosomonas,1,3442742,0
nitrosospira,1,3291850,0
nitrospirillum,1,7382386,0
nocardia,1,8410401,0
nocardioides,1,3558816,0
nocardiopsis,1,7158456,0
nodularia,1,6494076,0
noviherbaspirillum,1,5798719,0
novosphingobium,1,4188563,0
oceanicaulis,1,3172051,0
oceanicella,1,3282673,0
oceanimonas,1,3809332,0
oceanisphaera,1,3541369,0
oceanobacillus,1,3731975,0
oceanospirillum,1,5325321,0
ochrobactrum,1,5205777,0
ohtaekwangia,1,5324605,0
oleibacter,1,3488490,0
olleya,1,3343709,0
opitutus,1,4042972,0
orenia,1,4104971,0
oribacterium,1,2727810,0
ornithinimicrobium,1,3835003,0
ottowia,1,4286847,0
pacificimonas,1,3253933,0
paenarthrobacter,1,4313228,0
paenibacillus,1,7671668,0
paludibacter,1,6251348,0
paludibacterium,1,4332940,0
pandoraea,1,5571260,0
pantoea,1,4652040,0
paraburkholderia,1,9892286,0
paracoccus,1,4589403,0
paraglaciecola,1,5265460,0
parapedobacter,1,5982706,0
pararheinheimera,1,3991986,0
pararhizobium,1,6368454,0
parasphingorhabdus,1,4060755,0
parasutterella,1,2831696,0
pelomonas,1,5809961,0
peribacillus,1,4887494,0
permianibacter,1,4266648,0
petrimonas,1,3693233,0
petrocella,1,3518882,0
phaeobacter,1,4540155,0
phaeodactylibacter,1,6936295,0
phascolarctobacterium,1,2317131,0
phenylobacterium,1,3820784,0
photobacterium,1,4715124,0
photorhabdus,1,5103671,0
phyllobacterium,1,5793994,0
pigmentiphaga,1,6663876,0
planktosalinus,1,2536630,0
planococcus,1,3804624,0
pleomorphomonas,1,5888031,0
polaromonas,1,4904541,0
polycyclovorans,1,3200985,0
polynucleobacter,1,2559536,0
pontibacillus,1,4276966,0
pontibacter,1,4974797,0
ponticaulis,1,3523870,0
porphyromonas,1,2186370,0
porticoccus,1,2474654,0
proteus,1,3836940,0
providencia,1,4029346,0
pseudaminobacter,1,4836797,0
pseudidiomarina,1,2799086,0
pseudoalteromonas,1,4856394,0
pseudolabrys,1,4627262,0
pseudomonas,1,6316979,0
pseudonocardia,1,6305989,0
pseudooceanicola,1,4232532,0
pseudoteredinibacter,1,4868514,0
pseudoxanthomonas,1,3472589,0
psychrobacillus,1,4007948,0
psychrobacter,1,3081191,0
psychromonas,1,4745897,0
puia,1,7898456,0
