genus_lower,mean_B_soil_std,n_otus
acetivibrio,0.4275926902345719,16
acetobacter,0.46654571183649296,7
acetobacterium,0.4637180779075109,7
acholeplasma,0.38738683009306457,16
achromobacter,0.663911196804297,8
acidaminococcus,0.41941665400054295,5
acidiferrimicrobium,0.324889528941617,16
acidiferrobacter,0.55795754052461,5
acidiphilium,0.22963588509471405,9
aciditerrimonas,0.40441426721250584,27
acidithiobacillus,0.5108562922991642,8
acidobacterium,0.45402340948489,6
acidocella,0.25486878437356314,6
acidovorax,0.5942461547666732,19
acinetobacter,0.5318247041287792,67
actibacterium,0.655166510974351,7
actinobacillus,0.3128527063692128,16
actinomadura,0.6479952921769381,22
actinomarinicola,0.651162889997722,16
actinomyces,0.3913423322627311,42
actinoplanes,0.5675121701043155,11
acuticoccus,0.5712246877367455,7
adhaeribacter,0.3640483602640512,34
adlercreutzia,0.5743913746928087,8
aequorivita,0.5545964870475447,12
aerococcus,0.1463801522387964,9
aeromicrobium,0.5378366147963868,13
aeromonas,0.5977557312446149,22
aggregatibacter,0.26223035120124677,12
agitococcus,0.6848100927932987,5
agrobacterium,0.49483691931559026,17
agrococcus,0.4437415228350886,7
agromyces,0.6036268847267058,18
akkermansia,0.41530719622164114,16
alcaligenes,0.44731205754267633,9
alcanivorax,0.6877312356845666,14
algibacter,0.3895206486198373,6
algoriphagus,0.5937753379533018,22
aliarcobacter,0.5424337068922996,11
alicyclobacillus,0.536771097222252,29
aliidiomarina,0.4302380925800054,13
aliifodinibius,0.4313483617996255,10
aliikangiella,0.7501167537138564,5
alishewanella,0.6309664166151647,5
alistipes,0.3318654243727384,43
aliterella,0.2589411978348297,12
alkalibacterium,0.41106325970604685,6
alkalihalobacillus,0.5859885441348465,41
alkaliphilus,0.7021540767894587,14
alkalispirochaeta,0.5503103987295023,5
allosphingosinicella,0.6246484545066989,7
altererythrobacter,0.6382767794694317,16
alteromonas,0.5880172362038482,18
altibacter,0.40552304918344895,6
amaricoccus,0.6114650054083923,22
amphibacillus,0.48135829062603885,5
amphiplicatus,0.5245737656896643,9
amycolatopsis,0.6194546417696719,20
amylibacter,0.3997855444337425,8
anabaena,0.24672559049984422,7
anaerobutyricum,0.2504957002321394,10
anaerococcus,0.2632783573383076,32
anaerocolumna,0.6107248092757855,10
anaeromyxobacter,0.26950646797795164,17
anaerosporomusa,0.32768092187659204,5
anaerostipes,0.42792316806437963,13
anaerotaenia,0.5198536291959723,7
anaerotignum,0.4431913236537561,17
anaerotruncus,0.34342208333877056,5
anaerovibrio,0.12809755332216044,6
ancylomarina,0.4133817221950415,8
aneurinibacillus,0.49644472549630986,8
annwoodia,0.5307499035460961,5
