genus_clean,n_otus_gw,mean_gw_prevalence_pct,mean_fold_enrichment_gw,genus_lower,genus_clean_lower,is_nitrifier,mean_n_metal_types
Acetoanaerobium,3,1.231527093596059,0.9182337868466129,acetoanaerobium,acetoanaerobium,0,1.0
Acetobacter,3,0.2873563218390805,0.4678501729244358,acetobacter,acetobacter,0,2.0
Acetobacterium,6,3.222495894909688,3.4329042814459623,acetobacterium,acetobacterium,0,1.0
Acholeplasma,16,0.646551724137931,3.589320461650897,acholeplasma,acholeplasma,0,1.0
Achromobacter,1,0.3694581280788177,0.26763687318032137,achromobacter,achromobacter,0,1.8421052631578947
Acidaminococcus,7,0.7741027445460943,0.7371423836487837,acidaminococcus,acidaminococcus,0,1.0
Acidibrevibacterium,3,4.495073891625616,0.6648735861159962,acidibrevibacterium,acidibrevibacterium,0,2.0
Acidiferrobacter,3,1.8883415435139572,5.9567418886127514,acidiferrobacter,acidiferrobacter,0,2.0
Acidimangrovimonas,2,0.24630541871921183,0.8303459289280478,acidimangrovimonas,acidimangrovimonas,0,1.0
Acidiphilium,5,0.7635467980295567,1.5201429144115213,acidiphilium,acidiphilium,0,1.25
Acidipropionibacterium,2,1.1699507389162562,0.8087425122430446,acidipropionibacterium,acidipropionibacterium,0,1.0
Acidisoma,2,1.293103448275862,1.4881627786781395,acidisoma,acidisoma,0,1.0
Acidithiobacillus,3,1.5394088669950738,2.2861636054099588,acidithiobacillus,acidithiobacillus,0,1.4545454545454546
Acidobacterium,1,0.12315270935960591,0.29788402019308347,acidobacterium,acidobacterium,0,1.0
Acidocella,4,1.0775862068965518,1.1913946805375732,acidocella,acidocella,0,1.2
Acidothermus,1,1.1083743842364533,0.5102878776588227,acidothermus,acidothermus,0,1.0
Acidovorax,15,4.273399014778326,2.9812943557726563,acidovorax,acidovorax,0,1.7142857142857142
Acinetobacter,49,2.283351764351061,3.0910855618336748,acinetobacter,acinetobacter,0,1.568627450980392
Actinomyces,20,0.3417487684729064,1.6573494898796142,actinomyces,actinomyces,0,1.0
Actinoplanes,9,0.6089217296113847,0.3905468731467314,actinoplanes,actinoplanes,0,1.0
Acuticoccus,1,0.06157635467980296,0.21976481583930635,acuticoccus,acuticoccus,0,2.0
Aequorivita,5,0.8251231527093597,2.281860039344587,aequorivita,aequorivita,0,1.0
Aeribacillus,5,1.1330049261083743,0.6751539705751746,aeribacillus,aeribacillus,0,1.0
Aerococcus,10,1.8165024630541873,1.3713692684585843,aerococcus,aerococcus,0,2.333333333333333
Aeromicrobium,12,2.1654351395730704,1.1472839559382626,aeromicrobium,aeromicrobium,0,1.0
Aeromonas,9,0.7868089764641488,1.90477341108243,aeromonas,aeromonas,0,2.24
Afipia,1,1.8472906403940887,1.0731861202051969,afipia,afipia,0,1.1428571428571428
Aggregatibacter,1,0.06157635467980296,0.7832917106862892,aggregatibacter,aggregatibacter,0,1.0
Agrobacterium,11,2.446260635915808,2.413898906074841,agrobacterium,agrobacterium,0,1.3333333333333333
Agrococcus,7,1.653764954257565,1.7483719052242652,agrococcus,agrococcus,0,1.0
Ahrensia,2,0.2463054187192118,0.11323892230533132,ahrensia,ahrensia,0,1.0
Albimonas,2,0.5849753694581281,0.5789580042682939,albimonas,albimonas,0,2.0
Alcaligenes,1,1.2315270935960592,1.5788161187533651,alcaligenes,alcaligenes,0,1.5
Alcanivorax,10,0.7142857142857142,1.139363080652981,alcanivorax,alcanivorax,0,1.8461538461538465
Algoriella,2,0.24630541871921183,0.2534322286792424,algoriella,algoriella,0,1.0
Algoriphagus,20,0.5326354679802956,4.130233390028191,algoriphagus,algoriphagus,0,1.1666666666666667
Aliarcobacter,6,1.7651888341543513,1.4284727951338354,aliarcobacter,aliarcobacter,0,1.0
Alicycliphilus,3,3.201970443349753,1.1871435080327617,alicycliphilus,alicycliphilus,0,2.5
Alicyclobacillus,17,0.41292379020573744,1.0131405852109943,alicyclobacillus,alicyclobacillus,0,1.0
Aliidiomarina,4,0.4464285714285714,1.3588031116231554,aliidiomarina,aliidiomarina,0,1.0
Aliikangiella,3,0.16420361247947454,1.315815415850795,aliikangiella,aliikangiella,0,1.0
Alistipes,32,0.5715055418719212,0.815408399748653,alistipes,alistipes,0,1.2
Alkalibacterium,8,0.5157019704433498,4.242388617181695,alkalibacterium,alkalibacterium,0,1.8
Alkalihalobacillus,23,0.9049046905118869,0.9357032944781076,alkalihalobacillus,alkalihalobacillus,0,2.0
Alkalilimnicola,2,0.5541871921182266,3.6684488524709695,alkalilimnicola,alkalilimnicola,0,1.0
Alkalispirochaeta,3,0.574712643678161,5.606965545160812,alkalispirochaeta,alkalispirochaeta,0,1.0
Allobacillus,1,0.06157635467980296,0.16329405946825493,allobacillus,allobacillus,0,1.0
Alloiococcus,5,0.40640394088669946,0.9547497098792551,alloiococcus,alloiococcus,0,1.0
Alteraurantiacibacter,1,0.18472906403940886,1.4415956320061813,alteraurantiacibacter,alteraurantiacibacter,0,1.0
Alteriqipengyuania,2,1.1699507389162562,0.7041945396989313,alteriqipengyuania,alteriqipengyuania,0,1.0
Alteromonas,3,0.3284072249589491,0.3607484035351404,alteromonas,alteromonas,0,1.411764705882353
Altibacter,2,0.06157635467980296,4.565928376594097,altibacter,altibacter,0,1.0
Aminipila,1,0.06157635467980296,1.5268339554266224,aminipila,aminipila,0,1.0
Aminivibrio,3,0.26683087027914615,1.5365189947557993,aminivibrio,aminivibrio,0,1.0
Aminobacter,6,0.6773399014778324,2.503865489801172,aminobacter,aminobacter,0,1.6
Amphiplicatus,7,0.8356790992258973,4.681913351014977,amphiplicatus,amphiplicatus,0,2.0
Amycolatopsis,10,0.5726600985221675,0.3398566378359077,amycolatopsis,amycolatopsis,0,1.0
Amylibacter,2,0.6157635467980296,0.10270988049969654,amylibacter,amylibacter,0,1.0
Anaerobiospirillum,1,0.06157635467980296,1.8796555585879031,anaerobiospirillum,anaerobiospirillum,0,1.0
Anaerococcus,24,0.5670155993431856,5.104121415031177,anaerococcus,anaerococcus,0,1.2222222222222223
Anaerocolumna,11,0.29108822212270485,1.699147145974284,anaerocolumna,anaerocolumna,0,1.0
Anaeromyxobacter,13,5.215043577112542,1.2052386626931613,anaeromyxobacter,anaeromyxobacter,0,1.0
Anaerotignum,10,0.6588669950738917,1.9764224247919728,anaerotignum,anaerotignum,0,1.0
Anaerotruncus,3,0.3284072249589491,0.7229533308041544,anaerotruncus,anaerotruncus,0,1.0
Anaerovibrio,2,0.06157635467980296,0.34826930565244263,anaerovibrio,anaerovibrio,0,1.0
Ancylobacter,2,4.649014778325124,0.8442861195816986,ancylobacter,ancylobacter,0,1.3333333333333333
Ancylomarina,3,0.06157635467980296,0.04517110135057859,ancylomarina,ancylomarina,0,1.0
Anoxybacillus,10,1.8657635467980296,2.6516002061370503,anoxybacillus,anoxybacillus,0,1.1666666666666667
Anseongella,1,0.3694581280788177,0.37219659656958415,anseongella,anseongella,0,1.0
Aquaticitalea,2,0.6773399014778325,1.1713901600400354,aquaticitalea,aquaticitalea,0,1.0
Aquicella,26,0.4878741947707465,1.2372749398827039,aquicella,aquicella,0,1.0
Aquimarina,1,0.06157635467980296,0.3478437890645342,aquimarina,aquimarina,0,1.2222222222222223
Aquisediminimonas,3,6.403940886699508,1.8509712868373691,aquisediminimonas,aquisediminimonas,0,1.0
Arachnia,2,0.06157635467980296,8.129973596741493,arachnia,arachnia,0,1.5
Arenibacter,6,0.06157635467980296,0.1396846520488507,arenibacter,arenibacter,0,1.3333333333333333
Arenicella,1,0.06157635467980296,0.025427410505768383,arenicella,arenicella,0,1.0
Arenimonas,17,2.6803824978267166,1.3515542109938807,arenimonas,arenimonas,0,1.3333333333333333
Aridibacter,6,1.1904761904761905,0.5791139545216214,aridibacter,aridibacter,0,1.0
Aromatoleum,7,1.7681210415200561,12.569642829331206,aromatoleum,aromatoleum,0,2.2
Arthrobacter,18,0.43103448275862066,1.8919341883785217,arthrobacter,arthrobacter,0,1.105263157894737
Aurantimonas,3,1.2315270935960594,0.8456772914049994,aurantimonas,aurantimonas,0,1.3333333333333333
Aureimonas,6,1.7036124794745484,1.1213856854165056,aureimonas,aureimonas,0,1.0
Azoarcus,9,3.106185002736727,2.4695523231669427,azoarcus,azoarcus,0,2.0
