test,response,predictor,n_taxa,lambda,beta,SE,t_stat,p_value,AIC,delta_AIC,r2_pgls,logL
ENV_all,biome_H_std,ko_per_mb_total_z,333,0.429830449561562,0.0768167510719377,0.0099366205336537,7.73067169182636,1.29508419338984e-13,-126.022834462688,-53.1546714514143,0.140175467655277,67.0114172313442
ENV_all,biome_H_std,ko_per_mb_tier1_z,333,0.406993499625256,0.077447974109307,0.0100408138974423,7.71331636064236,1.45349473208565e-13,-125.889088298309,-53.0209252870352,0.137270321322202,66.9445441491547
ENV_all,biome_H_std,ko_per_mb_tier2_z,333,0.464765700939316,0.0758768927150431,0.0109034552152064,6.95897687635956,1.8448442814497598e-11,-115.931543764725,-43.0633807534509,0.102816820664144,61.9657718823626
SOIL,biome_H_std,ko_per_mb_total_z,99,0.49443063738017,0.0471020246986098,0.0266951868740994,1.76443884512791,0.0808060220323012,27.9171352301705,-1.12476260343217,0.061586145271351,-9.95856761508527
SOIL,biome_H_std,ko_per_mb_tier1_z,99,0.471015183987598,0.0530583647996837,0.0289728894352028,1.83131078169982,0.0701236654286017,27.7204024796323,-1.32149535397045,0.0951381262058639,-9.86020123981613
SOIL,biome_H_std,ko_per_mb_tier2_z,99,0.520554129730502,0.0424905817298051,0.0303490578374018,1.40006262986656,0.164684950830845,29.0759555173253,0.0340576837225797,0.0036694612108013,-10.5379777586626
MARINE,biome_H_std,ko_per_mb_total_z,248,0.0242174231231117,0.11823834549843,0.0179490543327944,6.58744150561732,2.69386408673612e-10,158.32393619188,,,-75.1619680959402
MARINE,biome_H_std,ko_per_mb_tier1_z,248,0.0446317225226428,0.111235176448354,0.018042823704647,6.16506475201582,2.86702404854845e-09,163.143609283117,,,-77.5718046415585
MARINE,biome_H_std,ko_per_mb_tier2_z,248,0.0441139998024199,0.120632128415163,0.0189011162971334,6.3822753385978,8.60941993912158e-10,160.771358986249,,,-76.3856794931243
GUT_ctrl,biome_H_std,ko_per_mb_total_z,207,0.449747877889539,0.0492203539855693,0.0116529764311537,4.2238439489143,3.61136348147599e-05,-131.563683571131,-15.2730311737365,0.0527775262665534,69.7818417855656
GUT_ctrl,biome_H_std,ko_per_mb_tier1_z,207,0.457173085916103,0.0513615521312053,0.0132100140175352,3.88807703481821,0.0001364591224907,-129.018458101312,-12.7278057039175,0.0407261501995924,68.5092290506561
GUT_ctrl,biome_H_std,ko_per_mb_tier2_z,207,0.4454446206563,0.0462496178891788,0.0108064646502462,4.27981022342262,2.87045794863449e-05,-132.003488504904,-15.7128361075096,0.0561537797615341,70.0017442524521
