"model","n_taxa","lambda","predictor","beta","SE","t_stat","p_value"
"excl_antimony",1000,0.885074449795556,"pred_z",0.0138866576331591,0.00495023836497119,2.80525029489967,0.00512543101372445
"excl_arsenic",1000,0.886582314492981,"pred_z",0.012165933936288,0.00541619635906274,2.24621360263853,0.0249083786865666
"excl_cadmium",1000,0.889496094091275,"pred_z",0.00536533194816452,0.00534487758180686,1.00382691016671,0.315705371697763
"excl_chromium",1000,0.886938173383353,"pred_z",0.0134656820360996,0.0055913889037878,2.40828929409248,0.0162079345041957
"excl_cobalt",1000,0.887968686921335,"pred_z",0.0109468492272697,0.00575964748236805,1.90061097676223,0.057640905527627
"excl_copper",1000,0.886662712302499,"pred_z",0.0132666024909263,0.00570886103817467,2.32386152022509,0.0203329807631871
"excl_iron",1000,0.887635366490019,"pred_z",0.0132041505027031,0.00524711369642408,2.51645976562349,0.0120099253843938
"excl_mercury",1000,0.884442686084882,"pred_z",0.017895088622898,0.00558055598058246,3.20668562149792,0.00138542245613068
"excl_nickel",1000,0.887331548435816,"pred_z",0.0146500558187396,0.00559331781139509,2.61920675933942,0.00894712782352404
"excl_silver",1000,0.88178572427231,"pred_z",0.0170378555912332,0.00542193476740931,3.14239405712624,0.00172512624054132
"excl_tellurium",1000,0.886097556790556,"pred_z",0.0132867843419233,0.0054882218922625,2.42096340176323,0.0156569722272299
"excl_zinc",1000,0.886171084384973,"pred_z",0.0139176794115537,0.00555507474235302,2.5053991272957,0.0123896766658084
"excl_env_agricultural",1000,0.876858451596164,"pred_z",0.0133767187990846,0.00539661202206039,2.47872530847186,0.0133496272465184
"excl_env_aquatic",1000,0.861652163006684,"pred_z",0.0154807370979544,0.0053456541408194,2.89594812723545,0.00386262104531959
"excl_env_desert",1000,0.905588742741033,"pred_z",0.0139931958982532,0.00569201974978607,2.45838850063356,0.0141251730130943
"excl_env_farm",1000,0.859265514876151,"pred_z",0.00653560903668785,0.00568360569290904,1.14990542796482,0.250458298771425
"excl_env_field",1000,0.866921710386289,"pred_z",0.0132663744751627,0.00532944329719183,2.48926083558351,0.0129628706706884
"excl_env_flower",1000,0.888812566356304,"pred_z",0.0126103932712051,0.0059973780024034,2.10265106954266,0.0357462552521303
"excl_env_forest",1000,0.866793106492192,"pred_z",0.0148749165996834,0.00559427129802773,2.65895517168208,0.00796382671922202
"excl_env_leaf",1000,0.88267761289017,"pred_z",0.0146076137601177,0.00584334377750102,2.49987238751248,0.0125833906630328
"excl_env_paddy",1000,0.888826808841211,"pred_z",0.0169022182100197,0.00569470807196599,2.96805700949382,0.0030684397562353
"excl_env_peatland",1000,0.884173196161003,"pred_z",0.0144006627270665,0.00588993860326445,2.44495973507857,0.0146588595085883
"excl_env_plant",1000,0.877112349330876,"pred_z",0.011761364548162,0.00524248166658712,2.2434727093321,0.0250850268357242
"excl_env_shrub",1000,0.882506647373211,"pred_z",0.0157673993569449,0.0057663803559556,2.73436686164139,0.00636070671316892
"excl_env_soil",1000,0.887537871354378,"pred_z",0.0116969323693347,0.00523423261770345,2.23469861270071,0.0256578331490112
"B_std~types_z+sd_types_z",1000,0.886761581452567,"mean_n_metal_types_z",0.0139403109134274,0.00555330433849577,2.51027317498026,0.0122211978280845
"B_std~types_z+sd_types_z",1000,0.886761581452567,"sd_metal_z",0.00179877434579463,0.00296966077565609,0.605717111038456,0.54484048160499
"B_std~types_z+log_n_species_z",1000,0.886236086060735,"mean_n_metal_types_z",0.0138546114891472,0.0055532649608149,2.49485871589209,0.0127616012244824
"B_std~types_z+log_n_species_z",1000,0.886236086060735,"log_n_species_z",-4.8732731954241e-05,0.00313783560007502,-0.0155306836193317,0.987611912683252
