srr,status,raw_pairs,trimmed_pairs,merged,error
SRR28246023,ok,28148,26536,24242,
SRR28246103,ok,54499,50415,49219,
SRR28246100,ok,95162,91017,88993,
SRR28246101,ok,96457,91153,89363,
SRR28246102,ok,98949,95094,93335,
SRR28246106,ok,96415,90486,88368,
SRR28246105,ok,98058,90460,86403,
SRR28246104,ok,115120,110156,108409,
SRR28246107,ok,74806,69070,67466,
SRR28246112,ok,38081,35332,33639,
SRR28246108,ok,68881,63372,60598,
SRR28246113,ok,34223,32322,30742,
SRR28246114,ok,32559,30483,28566,
SRR28246110,ok,82404,79598,77517,
SRR28246111,ok,93917,90985,88591,
SRR28246109,ok,107065,102107,99818,
SRR28246116,ok,28616,26935,25867,
SRR28246115,ok,97974,94354,91916,
SRR28246117,ok,30090,28188,27019,
SRR28246118,ok,36464,34184,32851,
SRR28246119,ok,34412,32977,30915,
SRR28246120,ok,35087,32980,31196,
SRR28246121,ok,33580,32201,30735,
SRR28246122,ok,33281,31812,30541,
SRR28246125,ok,28076,26691,25206,
SRR28246124,ok,29872,28543,27254,
SRR28246123,ok,38454,36361,33746,
SRR28246127,ok,36061,33834,32083,
SRR28246128,ok,25253,24099,22928,
SRR28246130,ok,23753,22486,21353,
SRR28246129,ok,32242,29763,27435,
SRR28246126,ok,96076,91994,88907,
SRR28246131,ok,32384,30583,29217,
SRR28246132,ok,36864,35183,34179,
SRR28246133,ok,36821,35093,33564,
SRR28246134,ok,45831,43840,42636,
SRR28246135,ok,34484,32791,31736,
SRR28246136,ok,47079,45002,44033,
SRR28246138,ok,48308,45422,43986,
SRR28246140,ok,33421,31378,30056,
SRR28246137,ok,73457,67563,65228,
SRR28246139,ok,38754,37316,36248,
SRR28246141,ok,78420,74459,71641,
SRR28246142,ok,35989,33858,32363,
SRR28246144,ok,23595,22467,21215,
SRR28246143,ok,44508,42475,41190,
SRR28246145,ok,30638,28809,27126,
SRR28246146,ok,24881,22857,21146,
SRR28246147,ok,28734,27107,25869,
SRR28246148,ok,70793,65773,63184,
SRR28246149,ok,55219,52200,47389,
SRR28246150,ok,54873,52075,50080,
