srr,status,raw_pairs,trimmed_pairs,merged,error
SRR28246023,ok,0,0,24242,
SRR28246022,ok,19215,17664,16157,
SRR28246021,ok,25122,23431,22227,
SRR28246025,ok,26787,25320,23571,
SRR28246037,ok,18585,17777,16667,
SRR28246024,ok,30817,28828,26456,
SRR28246020,ok,26426,25029,23383,
SRR28246019,ok,35536,33064,30751,
SRR28246029,ok,34115,32058,29919,
SRR28246036,ok,26139,24461,23351,
SRR28246031,ok,28438,26878,25515,
SRR28246018,ok,36459,34690,32215,
SRR28246035,ok,29716,28182,27010,
SRR28246026,ok,44850,42950,40789,
SRR28246032,ok,33329,31616,29573,
SRR28246027,ok,42775,40620,37494,
SRR28246030,ok,54424,52214,50837,
SRR28246033,ok,37373,35610,33944,
SRR28246040,ok,52567,45547,42546,
SRR28246034,ok,33330,31691,30196,
SRR28246038,ok,102381,88787,82715,
SRR28246028,ok,108803,105337,100971,
SRR28246039,ok,99208,92625,89857,
SRR28246041,ok,118060,105684,100233,
SRR28246042,ok,166598,148092,136186,
SRR28246052,ok,58031,54641,53234,
SRR28246051,ok,59575,55186,53877,
SRR28246043,ok,98243,88090,81871,
SRR28246044,ok,74136,67728,64920,
SRR28246047,ok,76989,70620,65021,
SRR28246045,ok,92331,84986,79265,
SRR28246046,ok,93119,84967,79412,
SRR28246048,ok,83825,77918,73322,
SRR28246049,ok,100648,91393,85205,
SRR28246061,ok,51290,45676,43709,
SRR28246055,ok,70356,66781,63857,
SRR28246057,ok,94209,91186,88805,
SRR28246053,ok,89491,83962,82135,
SRR28246060,ok,74993,69503,67353,
SRR28246058,ok,86814,80806,77778,
SRR28246054,ok,87802,84479,82329,
SRR28246062,ok,62389,58348,56549,
SRR28246059,ok,107882,100108,96542,
SRR28246064,ok,56652,53110,51583,
SRR28246066,ok,46616,43765,40691,
SRR28246063,ok,121630,110925,106658,
SRR28246065,ok,103858,96181,92441,
SRR28246056,ok,166204,160810,155221,
SRR28246067,ok,71839,68752,66580,
SRR28246070,ok,76479,69581,64751,
SRR28246068,ok,75034,71857,69541,
SRR28246050,ok,266106,246359,225309,
SRR28246072,ok,95058,85632,79341,
SRR28246076,ok,81037,71890,67054,
SRR28246073,ok,123034,111266,104671,
SRR28246078,ok,91912,85966,82896,
SRR28246081,ok,89545,77942,71759,
SRR28246074,ok,85549,77906,72808,
SRR28246069,ok,134194,119201,111134,
SRR28246100,ok,0,0,88993,
SRR28246101,ok,0,0,89363,
SRR28246102,ok,0,0,93335,
SRR28246103,ok,0,0,49219,
SRR28246104,ok,0,0,108409,
SRR28246105,ok,0,0,86403,
SRR28246106,ok,0,0,88368,
SRR28246075,ok,120433,108886,102619,
SRR28246107,ok,0,0,67466,
SRR28246108,ok,0,0,60598,
SRR28246109,ok,0,0,99818,
SRR28246110,ok,0,0,77517,
SRR28246112,ok,0,0,33639,
SRR28246111,ok,0,0,88591,
SRR28246113,ok,0,0,30742,
SRR28246114,ok,0,0,28566,
SRR28246116,ok,0,0,25867,
SRR28246117,ok,0,0,27019,
SRR28246115,ok,0,0,91916,
SRR28246118,ok,0,0,32851,
SRR28246119,ok,0,0,30915,
SRR28246120,ok,0,0,31196,
SRR28246121,ok,0,0,30735,
SRR28246122,ok,0,0,30541,
SRR28246123,ok,0,0,33746,
SRR28246125,ok,0,0,25206,
SRR28246124,ok,0,0,27254,
SRR28246127,ok,0,0,32083,
SRR28246128,ok,0,0,22928,
SRR28246126,ok,0,0,88907,
SRR28246130,ok,0,0,21353,
SRR28246129,ok,0,0,27435,
SRR28246131,ok,0,0,29217,
SRR28246132,ok,0,0,34179,
SRR28246133,ok,0,0,33564,
SRR28246134,ok,0,0,42636,
SRR28246135,ok,0,0,31736,
SRR28246136,ok,0,0,44033,
SRR28246137,ok,0,0,65228,
SRR28246138,ok,0,0,43986,
SRR28246139,ok,0,0,36248,
SRR28246140,ok,0,0,30056,
SRR28246142,ok,0,0,32363,
SRR28246141,ok,0,0,71641,
SRR28246143,ok,0,0,41190,
SRR28246144,ok,0,0,21215,
SRR28246145,ok,0,0,27126,
SRR28246146,ok,0,0,21146,
SRR28246147,ok,0,0,25869,
SRR28246148,ok,0,0,63184,
SRR28246149,ok,0,0,47389,
SRR28246150,ok,0,0,50080,
SRR28246071,ok,131501,119573,111527,
SRR28246077,ok,143384,131058,122991,
SRR28246082,ok,134006,124464,114826,
SRR28246085,ok,95030,87011,82291,
SRR28246079,ok,160652,147746,138024,
SRR28246080,ok,148295,136735,128533,
SRR28246084,ok,132810,121719,114559,
SRR28246083,ok,143045,131460,123272,
SRR28246090,ok,56497,50922,47434,
SRR28246089,ok,72882,67537,64890,
SRR28246087,ok,117979,107864,99927,
SRR28246094,ok,38519,35248,33389,
SRR28246086,ok,171805,156367,143610,
SRR28246092,ok,102632,94192,88351,
SRR28246088,ok,171179,158214,146139,
SRR28246096,ok,63584,57124,54020,
SRR28246091,ok,92152,82301,76417,
SRR28246099,ok,85506,79730,77073,
SRR28246097,ok,91208,87784,85584,
SRR28246093,ok,124072,115560,109158,
SRR28246098,ok,127793,123638,120526,
SRR28246095,ok,145810,134650,125885,
