srr,spots,bases,biosample,sample_acc
SRR28246018,36459,18302418,,SRS20676245
SRR28246019,35536,17839072,,SRS20676244
SRR28246020,26426,13265852,,SRS20676242
SRR28246021,25122,12611244,,SRS20676243
SRR28246022,19215,9645930,,SRS20676240
SRR28246023,28148,14130296,,SRS20676241
SRR28246024,30817,15470134,,SRS20676239
SRR28246025,26787,13447074,,SRS20676238
SRR28246026,44850,22514700,,SRS20676237
SRR28246027,42775,21473050,,SRS20676234
SRR28246028,108803,54619106,,SRS20676236
SRR28246029,34115,17125730,,SRS20676235
SRR28246030,54424,27320848,,SRS20676231
SRR28246031,28438,14275876,,SRS20676233
SRR28246032,33329,16731158,,SRS20676230
SRR28246033,37373,18761246,,SRS20676229
SRR28246034,33330,16731660,,SRS20676228
SRR28246035,29716,14917432,,SRS20676232
SRR28246036,26139,13121778,,SRS20676226
SRR28246037,18585,9329670,,SRS20676227
SRR28246038,102381,51088119,,SRS20676224
SRR28246039,99208,49802416,,SRS20676225
SRR28246040,52567,26230933,,SRS20676221
SRR28246041,118060,58911940,,SRS20676223
SRR28246042,166598,83132402,,SRS20676222
SRR28246043,98243,49023257,,SRS20676220
SRR28246044,74136,37216272,,SRS20676219
SRR28246045,92331,46073169,,SRS20676218
SRR28246046,93119,46466381,,SRS20676216
SRR28246047,76989,38417511,,SRS20676215
SRR28246048,83825,41828675,,SRS20676217
SRR28246049,100648,50223352,,SRS20676214
SRR28246050,266106,132786894,,SRS20676213
SRR28246051,59575,29906650,,SRS20676212
SRR28246052,58031,29131562,,SRS20676211
SRR28246053,89491,44924482,,SRS20676209
SRR28246054,87802,44076604,,SRS20676208
SRR28246055,70356,35318712,,SRS20676210
SRR28246056,166204,83434408,,SRS20676206
SRR28246057,94209,47292918,,SRS20676207
SRR28246058,86814,43580628,,SRS20676205
SRR28246059,107882,54156764,,SRS20676202
SRR28246060,74993,37646486,,SRS20676204
SRR28246061,51290,25747580,,SRS20676203
SRR28246062,62389,31319278,,SRS20676200
SRR28246063,121630,61058260,,SRS20676201
SRR28246064,56652,28439304,,SRS20676197
SRR28246065,103858,52136716,,SRS20676199
SRR28246066,46616,22981688,,SRS20676196
SRR28246067,71839,36063178,,SRS20676198
SRR28246068,75034,37667068,,SRS20676195
SRR28246069,134194,66962806,,SRS20676194
SRR28246070,76479,38163021,,SRS20676193
SRR28246071,131501,65618999,,SRS20676191
SRR28246072,95058,47433942,,SRS20676190
SRR28246073,123034,61393966,,SRS20676192
SRR28246074,85549,42688951,,SRS20676188
SRR28246075,120433,60096067,,SRS20676189
SRR28246076,81037,40437463,,SRS20676187
SRR28246077,143384,71548616,,SRS20676185
SRR28246078,91912,46139824,,SRS20676186
SRR28246079,160652,80165348,,SRS20676184
SRR28246080,148295,73999205,,SRS20676183
SRR28246081,89545,44682955,,SRS20676182
SRR28246082,134006,66868994,,SRS20676181
SRR28246083,143045,71379455,,SRS20676180
SRR28246084,132810,66272190,,SRS20676179
SRR28246085,95030,47419970,,SRS20676178
SRR28246086,171805,85730695,,SRS20676175
SRR28246087,117979,58871521,,SRS20676176
SRR28246088,171179,85418321,,SRS20676177
SRR28246089,72882,36586764,,SRS20676174
SRR28246090,56497,28192003,,SRS20676173
SRR28246091,92152,45983848,,SRS20676172
SRR28246092,102632,51213368,,SRS20676170
SRR28246093,124072,61911928,,SRS20676171
SRR28246094,38519,19220981,,SRS20676169
SRR28246095,145810,72759190,,SRS20676168
SRR28246096,63584,31728416,,SRS20676166
SRR28246097,91208,45786416,,SRS20676167
SRR28246098,127793,64152086,,SRS20676165
SRR28246099,85506,42924012,,SRS20676163
SRR28246100,95162,47771324,,SRS20676162
SRR28246101,96457,48421414,,SRS20676164
SRR28246102,98949,49672398,,SRS20676160
SRR28246103,54499,27358498,,SRS20676159
SRR28246104,115120,57790240,,SRS20676158
SRR28246105,98058,48342594,,SRS20676161
SRR28246106,96415,48400330,,SRS20676157
SRR28246107,74806,37552612,,SRS20676156
SRR28246108,68881,34578262,,SRS20676155
SRR28246109,107065,53746630,,SRS20676153
SRR28246110,82404,41366808,,SRS20676154
SRR28246111,93917,47146334,,SRS20676152
SRR28246112,38081,19116662,,SRS20676150
SRR28246113,34223,17179946,,SRS20676151
SRR28246114,32559,16344618,,SRS20676148
SRR28246115,97974,49182948,,SRS20676149
SRR28246116,28616,14365232,,SRS20676147
SRR28246117,30090,15105180,,SRS20676146
SRR28246118,36464,18304928,,SRS20676143
SRR28246119,34412,17274824,,SRS20676144
SRR28246120,35087,17613674,,SRS20676145
SRR28246121,33580,16857160,,SRS20676142
SRR28246122,33281,16707062,,SRS20676141
SRR28246123,38454,19303908,,SRS20676139
SRR28246124,29872,14995744,,SRS20676140
SRR28246125,28076,14094152,,SRS20676138
SRR28246126,96076,48230152,,SRS20676137
SRR28246127,36061,18102622,,SRS20676136
SRR28246128,25253,12677006,,SRS20676135
SRR28246129,32242,16185484,,SRS20676133
SRR28246130,23753,11924006,,SRS20676134
SRR28246131,32384,16256768,,SRS20676132
SRR28246132,36864,18505728,,SRS20676131
SRR28246133,36821,18484142,,SRS20676129
SRR28246134,45831,23007162,,SRS20676130
SRR28246135,34484,17310968,,SRS20676128
SRR28246136,47079,23633658,,SRS20676127
SRR28246137,73457,36875414,,SRS20676126
SRR28246138,48308,24250616,,SRS20676125
SRR28246139,38754,19454508,,SRS20676123
