orgId	locusId	sysName	geneName	desc	set1IT023 D-Glucose 20 mM (C)	set1IT024 D-Glucose 20 mM (C)	set1IT031 (+)-Arabinogalactan 5 mg/ml (C)	set1IT032 (+)-Arabinogalactan 5 mg/ml (C)	set1IT035 Mannan from Saccharomyces cerevisiae 5 mg/ml (C)	set1IT036 Mannan from Saccharomyces cerevisiae 5 mg/ml (C)	set1IT037 Fructooligosaccharides (FOS) 5 mg/ml (C)	set1IT038 Fructooligosaccharides (FOS) 5 mg/ml (C)	set1IT041 D-Maltose 20 mM (C)	set1IT042 D-Maltose 20 mM (C)	set1IT043 D-Raffinose 20 mM (C)	set1IT044 D-Raffinose 20 mM (C)	set1IT049 D-Glucose 20 mM (C)	set1IT050 D-Glucose 20 mM (C)	set1IT067 L-Fucose 20 mM (C)	set1IT068 L-Fucose 20 mM (C)	set1IT071 D-Glucosamine Hydrochloride 20 mM (C)	set1IT072 D-Glucosamine Hydrochloride 20 mM (C)	set1IT077 D-Maltose 20 mM (C)	set1IT078 D-Maltose 20 mM (C)	set1IT085 D-Raffinose 20 mM (C)	set1IT086 D-Raffinose 20 mM (C)
Bvulgatus_CL09T03C04	HMPREF1058_RS00035	HMPREF1058_RS00035		TonB-dependent receptor	0.057	0.069	0.191	0.190	0.050	0.061	-0.014	-0.100	0.047	-0.165	-0.019	-0.046	-0.113	0.023	0.000	0.147	-0.055	0.024	0.002	-0.034	-0.205	-0.045
Bvulgatus_CL09T03C04	HMPREF1058_RS00040	HMPREF1058_RS00040		RagB/SusD family nutrient uptake outer membrane protein	-0.100	-0.039	-0.103	-0.242	0.024	-0.109	-0.001	-0.108	-0.089	-0.116	-0.034	-0.046	-0.171	-0.058	0.032	-0.004	-0.010	-0.006	-0.092	-0.196	-0.157	0.009
Bvulgatus_CL09T03C04	HMPREF1058_RS00045	HMPREF1058_RS00045		SusC/RagA family TonB-linked outer membrane protein	-0.079	-0.093	0.007	-0.067	-0.066	-0.083	-0.104	-0.113	-0.147	-0.065	-0.145	-0.035	-0.009	0.074	-0.051	0.019	-0.062	0.048	-0.235	-0.030	-0.179	-0.086
Bvulgatus_CL09T03C04	HMPREF1058_RS00050	HMPREF1058_RS00050		RagB/SusD family nutrient uptake outer membrane protein	-0.167	0.035	0.218	0.042	-0.199	-0.109	-0.067	-0.011	-0.108	-0.243	-0.057	-0.053	-0.053	-0.025	0.037	0.052	0.078	-0.011	-0.013	-0.041	0.041	-0.048
Bvulgatus_CL09T03C04	HMPREF1058_RS00055	HMPREF1058_RS00055		hypothetical protein	0.050	-0.252	0.126	0.044	-0.042	0.004	0.039	-0.087	-0.105	-0.037	-0.056	-0.054	0.065	0.168	0.075	-0.127	-0.031	-0.024	-0.064	-0.075	0.071	0.027
Bvulgatus_CL09T03C04	HMPREF1058_RS00060	HMPREF1058_RS00060		RagB/SusD family nutrient uptake outer membrane protein	0.211	-0.002	0.217	-0.078	0.188	0.140	0.081	0.016	-0.080	0.201	-0.091	-0.110	-0.059	0.088	0.089	-0.179	0.059	-0.072	0.228	0.104	-0.154	-0.032
Bvulgatus_CL09T03C04	HMPREF1058_RS00065	HMPREF1058_RS00065		family 78 glycoside hydrolase catalytic domain	-0.039	-0.047	-0.050	-0.050	0.001	-0.171	0.078	0.018	-0.060	0.027	-0.001	-0.104	-0.026	0.059	-0.031	-0.141	-0.059	-0.138	-0.110	-0.083	-0.149	-0.005
Bvulgatus_CL09T03C04	HMPREF1058_RS00070	HMPREF1058_RS00070		alpha/beta hydrolase	0.149	-0.096	0.153	0.124	0.132	0.166	-0.030	0.100	0.064	-0.024	-0.047	-0.003	0.148	-0.004	-0.000	0.139	-0.065	0.053	0.139	0.012	0.016	0.137
Bvulgatus_CL09T03C04	HMPREF1058_RS00075	HMPREF1058_RS00075		hypothetical protein	0.039	0.002	-0.118	-0.297	-0.098	-0.099	-0.045	-0.023	-0.186	-0.109	-0.138	-0.027	0.087	-0.050	-0.047	0.060	0.018	0.115	-0.173	-0.059	-0.130	-0.002
Bvulgatus_CL09T03C04	HMPREF1058_RS00080	HMPREF1058_RS00080		glycoside hydrolase	0.085	0.040	0.326	0.376	0.047	0.132	-0.032	0.062	-0.094	0.081	0.062	-0.047	0.085	-0.053	0.043	0.044	-0.032	0.107	0.055	0.030	-0.001	-0.029
Bvulgatus_CL09T03C04	HMPREF1058_RS00085	HMPREF1058_RS00085		glycoside hydrolase family 88 protein	-0.125	0.070	-0.023	-0.006	0.065	0.169	-0.068	-0.083	-0.098	-0.189	-0.098	0.022	0.351	0.225	-0.029	-0.050	-0.172	-0.025	0.074	-0.093	0.134	0.010
Bvulgatus_CL09T03C04	HMPREF1058_RS00090	HMPREF1058_RS00090		beta-galactosidase	0.083	-0.040	-0.054	-0.228	0.188	0.212	0.108	0.066	0.017	-0.010	0.067	-0.059	-0.070	0.060	0.126	0.066	0.012	0.050	0.047	0.122	-0.020	0.002
Bvulgatus_CL09T03C04	HMPREF1058_RS00095	HMPREF1058_RS00095		family 43 glycosylhydrolase	-0.147	0.015	0.152	-0.211	-0.087	-0.008	-0.078	-0.148	-0.071	-0.106	-0.051	-0.080	-0.069	-0.030	-0.036	-0.009	-0.016	-0.058	0.054	0.076	-0.097	-0.008
Bvulgatus_CL09T03C04	HMPREF1058_RS00100	HMPREF1058_RS00100		beta-glucuronidase	0.098	0.006	0.325	0.172	0.037	-0.063	-0.044	-0.136	0.000	0.000	0.025	0.048	-0.143	-0.013	0.003	-0.038	0.082	-0.018	-0.095	-0.057	0.062	0.031
Bvulgatus_CL09T03C04	HMPREF1058_RS00105	HMPREF1058_RS00105		rhamnogalacturonan acetylesterase	0.080	-0.392	0.211	-0.150	0.266	0.013	0.040	-0.247	0.048	-0.138	-0.050	-0.050	-0.087	-0.109	-0.141	0.083	0.111	-0.169	0.088	-0.101	-0.192	0.145
Bvulgatus_CL09T03C04	HMPREF1058_RS00110	HMPREF1058_RS00110		right-handed parallel beta-helix repeat-containing protein	-0.005	0.161	0.089	-0.485	0.227	0.166	-0.005	0.063	0.041	0.171	0.056	0.028	0.023	-0.123	0.061	0.018	0.213	-0.041	-0.068	0.092	0.060	-0.006
Bvulgatus_CL09T03C04	HMPREF1058_RS00115	HMPREF1058_RS00115		DUF4450 domain-containing protein	0.105	0.270	-0.295	0.356	0.221	0.168	0.063	-0.072	0.518	0.215	0.145	0.307	0.080	-0.109	0.200	0.019	-0.280	0.078	0.178	0.503	0.310	-0.016
Bvulgatus_CL09T03C04	HMPREF1058_RS00120	HMPREF1058_RS00120		hypothetical protein	-0.079	-0.297	-0.036	-0.347	-0.202	-0.079	-0.151	-0.122	-0.237	-0.388	-0.189	-0.044	-0.524	-0.074	0.094	-0.115	-0.193	-0.017	-0.107	-0.319	-0.018	-0.373
Bvulgatus_CL09T03C04	HMPREF1058_RS00125	HMPREF1058_RS00125		glycoside hydrolase family 28 protein	-0.016	-0.032	0.256	0.126	0.013	-0.095	-0.099	-0.173	-0.251	-0.036	-0.334	-0.122	-0.198	-0.029	-0.059	-0.161	0.047	-0.050	-0.060	-0.229	-0.079	0.086
Bvulgatus_CL09T03C04	HMPREF1058_RS00130	HMPREF1058_RS00130		glycosyl hydrolase family 2	-0.068	0.007	0.036	0.008	-0.015	0.129	-0.062	-0.115	-0.041	0.088	-0.050	0.022	-0.003	-0.059	-0.034	-0.055	-0.008	-0.003	0.091	-0.027	0.128	0.030
Bvulgatus_CL09T03C04	HMPREF1058_RS00135	HMPREF1058_RS00135		isoaspartyl peptidase/L-asparaginase	-0.011	0.072	0.164	0.058	-0.262	-0.057	-0.079	-0.033	-0.022	-0.000	-0.059	0.066	-0.178	-0.180	-0.084	-0.100	-0.213	-0.073	-0.021	-0.014	-0.007	-0.069
Bvulgatus_CL09T03C04	HMPREF1058_RS00140	HMPREF1058_RS00140		L-rhamnose mutarotase	-0.646	-1.124	-0.474	-0.580	-0.657	-0.764	-0.768	-0.880	-2.692	-3.671	-0.392	-0.755	-1.303	-1.135	-0.788	-0.359	-1.848	-2.007	-2.416	-2.583	-0.703	-0.519
Bvulgatus_CL09T03C04	HMPREF1058_RS00150	HMPREF1058_RS00150		ABC transporter ATP-binding protein	0.106	0.202	-0.024	-0.570	-0.171	0.199	-0.024	0.015	-0.162	-0.022	0.001	0.143	-0.284	0.305	-0.061	0.371	0.119	0.786	0.076	0.158	0.005	0.178
Bvulgatus_CL09T03C04	HMPREF1058_RS00155	HMPREF1058_RS00155		ABC transporter permease	-0.093	0.105	-0.084	-0.145	0.008	-0.113	-0.003	0.086	-0.064	0.045	0.057	0.023	-0.044	-0.084	0.024	0.066	-0.265	-0.123	0.130	0.120	0.049	0.127
Bvulgatus_CL09T03C04	HMPREF1058_RS00160	HMPREF1058_RS00160		ABC transporter permease	0.100	-0.072	-0.388	0.091	-0.174	-0.004	0.068	-0.075	0.053	-0.103	0.048	0.044	-0.156	-0.115	-0.071	-0.097	0.082	0.003	0.021	0.050	0.051	-0.044
Bvulgatus_CL09T03C04	HMPREF1058_RS00165	HMPREF1058_RS00165		efflux RND transporter periplasmic adaptor subunit	-0.159	-0.019	-0.240	0.256	-0.026	-0.111	0.239	-0.183	-0.162	-0.172	-0.051	-0.087	0.041	0.046	0.053	-0.069	0.105	0.033	-0.132	-0.028	0.056	-0.128
Bvulgatus_CL09T03C04	HMPREF1058_RS00170	HMPREF1058_RS00170		TolC family protein	-0.080	-0.063	0.569	0.674	-0.030	-0.078	-0.032	0.149	0.152	0.158	0.202	-0.051	0.318	0.236	0.028	-0.012	-0.034	0.039	0.464	0.190	0.074	-0.113
Bvulgatus_CL09T03C04	HMPREF1058_RS00175	HMPREF1058_RS00175		hypothetical protein	0.131	-0.042	0.050	0.239	0.027	-0.153	0.053	-0.098	0.017	-0.084	-0.014	0.124	0.003	0.046	0.207	-0.007	0.019	0.013	-0.054	-0.171	-0.039	-0.053
Bvulgatus_CL09T03C04	HMPREF1058_RS00180	HMPREF1058_RS00180		GntR family transcriptional regulator	0.197	-0.078	0.085	0.175	-0.258	-0.138	0.147	0.246	-0.137	0.004	-0.036	0.068	0.276	0.129	0.126	0.006	0.261	-0.005	-0.021	-0.044	-0.047	0.111
Bvulgatus_CL09T03C04	HMPREF1058_RS00185	HMPREF1058_RS00185		iron-containing alcohol dehydrogenase	0.171	0.293	-0.194	-0.595	-0.340	-0.410	-0.023	0.118	-0.163	-0.075	0.026	-0.155	0.106	0.193	-0.145	-0.168	-0.151	-0.028	0.023	0.010	-0.148	0.019
Bvulgatus_CL09T03C04	HMPREF1058_RS00190	HMPREF1058_RS00190		FimB/Mfa2 family fimbrial subunit	0.032	-0.143	-0.078	0.006	0.114	0.082	0.095	-0.109	0.028	0.092	-0.137	-0.141	0.226	-0.088	-0.010	-0.152	0.008	-0.019	0.125	0.070	0.185	-0.014
Bvulgatus_CL09T03C04	HMPREF1058_RS00200	HMPREF1058_RS00200		tRNA threonylcarbamoyladenosine dehydratase	-0.356	-0.149	-0.035	-0.390	-0.249	0.384	0.063	0.049	0.251	0.147	0.045	0.003	0.207	-0.268	0.117	0.046	0.052	0.136	-0.002	-0.122	0.485	0.004
