orgId	locusId	sysName	geneName	desc	set10IT030 Disodium Glutarate (C)	set10IT031 Disodium Glutarate (C)	set8IT063 Sebacic (C)	set8IT064 Dodecandioic (C)	set8IT065 Protocatechuic Acid (C)	set9IT064 D-Glucose (C)	set9IT065 acetate (C)	set9IT066 propionate (C)	set9IT067 butyrate (C)	set9IT068 Valeric (C)	set9IT069 Hexanoic (C)	set9IT070 Heptanoic (C)	set9IT071 Octanoic (C)	set9IT073 Lauric (C)	set9IT074 succinate (C)	set9IT075 adipate (C)	set9IT076 Pimelic (C)	set9IT077 Suberic (C)	set9IT078 Azelaic (C)	set9IT079 Sebacic (C)	set9IT080 Dodecandioic (C)	set9IT081 Protocatechuic Acid (C)	set9IT082 D-Glucose (C)	set9IT083 acetate (C)	set9IT084 propionate (C)	set9IT085 butyrate (C)	set9IT086 Valeric (C)	set9IT087 Hexanoic (C)	set9IT088 Heptanoic (C)	set9IT089 Octanoic (C)	set9IT091 Lauric (C)	set9IT092 succinate (C)	set9IT093 adipate (C)	set9IT094 Pimelic (C)
CL21	ABZR87_RS00005	ABZR87_RS00005		hypothetical protein	0.306	0.207	0.463	0.487	0.257	0.335	0.062	0.250	0.781	0.154	0.194	0.461	-0.556	0.100	-0.290	0.066	-0.068	0.158	0.340	0.183	0.116	-0.362	0.083	-0.151	0.193	0.366	0.057	0.573	0.540	0.158	0.146	0.797	0.639	0.600
CL21	ABZR87_RS00010	ABZR87_RS00010		translocation/assembly module TamB domain-containing protein	0.368	0.325	0.393	0.405	0.176	0.634	0.517	0.646	0.879	0.367	0.378	0.647	1.326	0.626	0.585	0.423	0.366	0.605	0.646	0.621	0.732	0.604	0.496	0.440	0.842	0.515	0.305	0.576	0.453	1.591	0.536	0.714	0.379	0.448
CL21	ABZR87_RS00015	ABZR87_RS00015		autotransporter assembly complex family protein	0.248	0.336	0.467	0.435	0.285	0.415	0.322	0.598	0.573	0.381	0.266	0.437	1.264	0.543	0.436	0.304	0.324	0.423	0.473	0.536	0.404	0.326	0.448	0.393	0.567	0.310	0.294	0.224	0.453	1.231	0.423	0.516	0.323	0.208
CL21	ABZR87_RS00020	ABZR87_RS00020		DUF3460 family protein	0.431	0.631	-0.975	0.705	-0.016	0.196	0.045	0.248	-0.490	-0.260	-0.410	-1.052	-0.812	0.117	0.213	0.146	-0.115	0.208	-0.261	-0.287	0.180	-0.082	-0.100	-0.045	-0.304	-0.532	-0.177	-0.440	-0.407	-1.214	0.240	-0.051	-0.228	-0.058
CL21	ABZR87_RS00035	ABZR87_RS00035		ParA family protein	0.165	-0.129	0.320	-0.170	-0.136	-0.002	0.068	0.033	-0.140	0.007	0.238	0.223	0.433	0.169	0.006	0.128	-0.118	-0.065	-0.144	0.112	0.070	-0.272	0.187	0.250	0.187	0.210	0.121	-0.066	-0.023	-0.001	0.330	0.132	-0.172	0.100
CL21	ABZR87_RS00040	ABZR87_RS00040		cobyric acid synthase	0.180	0.030	0.016	0.105	-0.108	0.255	0.165	0.209	0.152	0.224	-0.061	-0.287	-0.643	0.212	0.263	-0.004	0.185	0.288	-0.323	0.276	-0.065	-0.165	-0.124	0.055	0.084	0.253	0.147	0.072	0.081	0.084	0.102	0.049	0.048	0.044
CL21	ABZR87_RS00045	ABZR87_RS00045		bifunctional adenosylcobinamide kinase/adenosylcobinamide-phosphate guanylyltransferase	-0.016	-0.126	-0.140	0.204	0.105	0.134	0.088	0.082	0.139	0.306	0.345	0.234	0.042	0.181	0.023	0.164	0.154	0.145	-0.013	0.342	0.179	0.161	0.045	0.143	0.200	-0.017	-0.063	0.058	0.159	0.352	0.183	0.237	0.118	0.010
CL21	ABZR87_RS00050	ABZR87_RS00050		adenosylcobinamide-phosphate synthase CbiB	0.465	0.343	-1.244	0.313	-0.005	0.467	0.384	0.061	-0.103	0.440	0.428	0.125	-0.543	0.281	0.181	0.125	0.377	0.558	0.454	0.093	0.292	0.477	0.307	0.111	0.274	-0.151	-0.367	0.273	0.662	-0.050	0.181	0.172	-0.002	0.361
CL21	ABZR87_RS00055	ABZR87_RS00055		threonine-phosphate decarboxylase CobD	0.195	0.236	-0.473	0.015	0.127	0.397	0.216	0.258	0.128	0.040	0.502	0.004	-0.497	0.055	0.171	0.031	-0.328	-0.030	0.669	0.210	0.108	0.415	0.072	-0.028	0.083	0.207	0.354	0.011	0.182	0.076	0.161	-0.091	-0.001	0.128
CL21	ABZR87_RS00060	ABZR87_RS00060		cobalamin-binding protein	0.507	0.397	0.146	0.440	0.583	0.346	0.103	0.314	0.523	-0.124	-0.112	0.477	0.289	-0.055	0.294	0.300	0.025	0.147	0.151	0.653	0.450	0.471	0.224	0.308	0.290	0.228	0.000	-0.165	0.258	0.287	0.014	-0.010	0.186	0.184
