orgId	expName	expDesc	timeZeroSet	num	nMapped	nPastEnd	nGenic	nUsed	gMed	gMedt0	gMean	cor12	mad12	mad12c	mad12c_t0	opcor	adjcor	gccor	maxFit	expGroup	expDescLong	mutantLibrary	person	dateStarted	setName	seqindex	media	temperature	pH	vessel	aerobic	liquid	shaking	condition_1	units_1	concentration_1	condition_2	units_2	concentration_2	condition_3	units_3	concentration_3	condition_4	units_4	concentration_4	growthPlate	growthWells
MycoTube	set1S197	no stress control	6/29/23 MycoTube_ML10_set1	5	2060578	125	1303243	1301668	270	1125	451.811176674766	0.158197976707448	0.222391415235677	1.27824329724894	1.28511335979877	0.10017119435714	0.114110428104419	-0.0554882911062969	1.5073726327889	no stress control	no stress control	MycoTube_ML10	Kayla Dinshaw	6/29/23	MycoTube_ML10_set1	S197	7H9	37		tube	Aerobic	Liquid															
MycoTube	set1S198	no stress control	6/29/23 MycoTube_ML10_set1	6	2163264	146	1366888	1365179	289	1125	473.855952794169	0.145292482939066	0.218595768317606	1.2906546361818	1.28511335979877	0.0553031177465023	0.0485501982006609	-0.0553418954722963	1.37682678798787	no stress control	no stress control	MycoTube_ML10	Kayla Dinshaw	6/29/23	MycoTube_ML10_set1	S198	7H9	37		tube	Aerobic	Liquid															
MycoTube	set1S199	7H9 with Rifampicin 0.00045 ug/mL	6/29/23 MycoTube_ML10_set1	7	1868612	106	1179248	1177811	243	1125	408.820201318986	0.150515959940732	0.234635603217353	1.29613365067219	1.28511335979877	0.108469831205144	0.0456572009115066	-0.0220647004016882	1.57277613999969	stress	7H9 with Rifampicin 0.00045 ug/mL	MycoTube_ML10	Kayla Dinshaw	6/29/23	MycoTube_ML10_set1	S199	7H9	37		tube	Aerobic	Liquid		Rifampicin	ug/mL	0.00045											
MycoTube	set1S200	7H9 with Rifampicin 0.00045 ug/mL	6/29/23 MycoTube_ML10_set1	8	2024560	153	1274498	1272915	262	1125	441.830961471711	0.187658927359335	0.22791971420434	1.29345261810407	1.28511335979877	0.125603348045047	0.0313302744321098	-0.0146396191810515	1.6438156375735	stress	7H9 with Rifampicin 0.00045 ug/mL	MycoTube_ML10	Kayla Dinshaw	6/29/23	MycoTube_ML10_set1	S200	7H9	37		tube	Aerobic	Liquid		Rifampicin	ug/mL	0.00045											
MycoTube	set1S201	7H9 with Rifampicin 0.014 ug/mL	6/29/23 MycoTube_ML10_set1	9	2148672	139	1353181	1351429	289	1125	469.083304408192	0.274315964966912	0.261606714733044	1.30764074036275	1.28511335979877	0.206968291700372	0.0866701767983433	-0.0757736123820385	2.48288297337082	stress	7H9 with Rifampicin 0.014 ug/mL	MycoTube_ML10	Kayla Dinshaw	6/29/23	MycoTube_ML10_set1	S201	7H9	37		tube	Aerobic	Liquid		Rifampicin	ug/mL	0.014											
MycoTube	set1S202	7H9 with Rifampicin 0.014 ug/mL	6/29/23 MycoTube_ML10_set1	10	2186798	169	1374997	1372981	289	1125	476.564040263797	0.259145620518335	0.256091308171688	1.31550949718125	1.28511335979877	0.177081793455701	0.0300205704997409	-0.10438078423391	1.89653940964192	stress	7H9 with Rifampicin 0.014 ug/mL	MycoTube_ML10	Kayla Dinshaw	6/29/23	MycoTube_ML10_set1	S202	7H9	37		tube	Aerobic	Liquid		Rifampicin	ug/mL	0.014											
MycoTube	set1S203	7H9 with Bedaquiline 0.15 ug/mL	6/29/23 MycoTube_ML10_set1	11	1888624	117	1192245	1190808	250	1125	413.331482124262	0.19614961763847	0.243858847986414	1.30992802021592	1.28511335979877	0.187454585984626	0.0695062046095373	-0.0244256490546021	1.65778905622977	stress	7H9 with Bedaquiline 0.15 ug/mL	MycoTube_ML10	Kayla Dinshaw	6/29/23	MycoTube_ML10_set1	S203	7H9	37		tube	Aerobic	Liquid		Bedaquiline	ug/mL	0.15											
MycoTube	set1S204	7H9 with Bedaquiline 0.15 ug/mL	6/29/23 MycoTube_ML10_set1	12	2011419	138	1271866	1270294	262	1125	440.921207913919	0.221505116848732	0.233808368330739	1.28771053289743	1.28511335979877	0.181872268182877	0.0826086168697092	-0.0451457300915656	1.35833206193234	stress	7H9 with Bedaquiline 0.15 ug/mL	MycoTube_ML10	Kayla Dinshaw	6/29/23	MycoTube_ML10_set1	S204	7H9	37		tube	Aerobic	Liquid		Bedaquiline	ug/mL	0.15											
MycoTube	set1S205	7H9 with Ethambutol 0.75 ug/mL	6/29/23 MycoTube_ML10_set1	13	1904174	118	1204030	1202533	251	1125	417.401249566123	0.21413017574591	0.222599827214019	1.30526502087227	1.28511335979877	0.0944099166668937	0.0293948224442918	-0.0479206442634467	1.96650500630149	stress	7H9 with Ethambutol 0.75 ug/mL	MycoTube_ML10	Kayla Dinshaw	6/29/23	MycoTube_ML10_set1	S205	7H9	37		tube	Aerobic	Liquid		Ethambutol	ug/mL	0.75											
MycoTube	set1S206	7H9 with Ethambutol 0.75 ug/mL	6/29/23 MycoTube_ML10_set1	14	2000499	112	1265362	1263764	265	1125	438.654633807706	0.189941989109353	0.219591890422607	1.30765730456303	1.28511335979877	0.0441312881046618	0.0713893978712665	-0.00145345884454157	1.89405412787608	stress	7H9 with Ethambutol 0.75 ug/mL	MycoTube_ML10	Kayla Dinshaw	6/29/23	MycoTube_ML10_set1	S206	7H9	37		tube	Aerobic	Liquid		Ethambutol	ug/mL	0.75											
