orgId	locusId	sysName	geneName	desc	set1IT076 CPG	set1IT077 M63_quarter_strength	set1IT080 CPG	set3IT039 CPG	set3IT040 M63_quarter_strength	set4IT039 Plant=Tomato_cv_Moneymaker; PlantTreatment=None; Sample=Xylem_sap; GrowthSubstrate=calcine_clay; Collection=direct; 1 dpi	set4IT042 Plant=Tomato_cv_Moneymaker; PlantTreatment=None; Sample=Xylem_sap; GrowthSubstrate=calcine_clay; Collection=direct; 1 dpi	set4IT045 Plant=Tomato_cv_Moneymaker; PlantTreatment=None; Sample=Xylem_sap; GrowthSubstrate=calcine_clay; Collection=direct; 1 dpi
RalstoniaBSBF1503	RALBFv3_RS00025	RALBFv3_RS00025		cytochrome c1	0.184	0.081	0.155	-0.040	0.109	-0.128	0.111	-0.021
RalstoniaBSBF1503	RALBFv3_RS00030	RALBFv3_RS00030		ATP-dependent chaperone ClpB	-0.576	0.195	-0.267	0.106	-0.045	-0.438	-0.004	0.118
RalstoniaBSBF1503	RALBFv3_RS00035	RALBFv3_RS00035		sulfate ABC transporter substrate-binding protein	-0.093	-0.557	0.232	-0.402	0.169	-0.214	-0.398	-0.188
RalstoniaBSBF1503	RALBFv3_RS00040	RALBFv3_RS00040		FMN reductase (NADPH)	0.115	0.266	-0.271	-0.104	-0.497	0.216	0.027	-0.225
RalstoniaBSBF1503	RALBFv3_RS00045	RALBFv3_RS00045		sulfonate ABC transporter substrate-binding protein	0.351	0.647	0.183	0.221	0.345	0.231	-0.212	0.331
RalstoniaBSBF1503	RALBFv3_RS00050	RALBFv3_RS00050		aliphatic sulfonate ABC transporter substrate-binding protein	0.075	-0.135	0.008	0.267	0.166	-0.417	0.117	-0.288
RalstoniaBSBF1503	RALBFv3_RS00055	RALBFv3_RS00055		alkanesulfonate monooxygenase, FMNH(2)-dependent	0.114	0.156	-0.020	0.582	0.265	-0.189	0.188	0.091
RalstoniaBSBF1503	RALBFv3_RS00060	RALBFv3_RS00060		sulfonate ABC transporter	0.242	0.889	0.490	-0.324	-0.115	-0.098	-0.242	-0.158
RalstoniaBSBF1503	RALBFv3_RS00075	RALBFv3_RS00075		EAL domain-containing protein	0.045	0.236	0.296	-0.290	0.101	-0.160	0.037	0.089
RalstoniaBSBF1503	RALBFv3_RS00080	RALBFv3_RS00080		serine hydrolase family protein	-0.005	0.876	-0.412	0.685	0.789	-0.008	-0.066	-0.239
RalstoniaBSBF1503	RALBFv3_RS00085	RALBFv3_RS00085		sulfate ABC transporter permease subunit CysT	-0.328	-0.358	0.606	0.387	-0.235	-0.119	-0.203	0.080
RalstoniaBSBF1503	RALBFv3_RS00090	RALBFv3_RS00090		sulfate ABC transporter permease subunit CysW	0.235	0.324	0.114	0.243	0.295	-0.007	-0.123	-0.007
RalstoniaBSBF1503	RALBFv3_RS00095	RALBFv3_RS00095		sulfate ABC transporter ATP-binding protein	0.725	0.543	0.485	0.330	0.386	-0.081	0.133	0.148
RalstoniaBSBF1503	RALBFv3_RS00100	RALBFv3_RS00100		CysB family HTH-type transcriptional regulator	0.009	-0.317	0.036	0.227	0.093	-0.263	0.086	0.009
RalstoniaBSBF1503	RALBFv3_RS00105	RALBFv3_RS00105		type III effector protein	0.302	0.010	0.139	0.265	0.111	0.100	0.034	0.033
RalstoniaBSBF1503	RALBFv3_RS00115	RALBFv3_RS00115		sensor histidine kinase	0.076	-0.220	0.256	0.165	0.046	0.098	-0.390	0.024
RalstoniaBSBF1503	RALBFv3_RS00120	RALBFv3_RS00120		DNA-binding response regulator	-0.140	-0.426	-0.135	0.188	-0.179	-0.077	0.146	0.258
RalstoniaBSBF1503	RALBFv3_RS00125	RALBFv3_RS00125		acetolactate synthase isozyme II (large subunit) protein	0.144	0.580	0.060	0.160	-0.161	0.156	0.140	0.143
RalstoniaBSBF1503	RALBFv3_RS00130	RALBFv3_RS00130		ribonuclease	0.028	0.322	0.296	-0.230	-0.444	-0.212	-0.482	-0.133
RalstoniaBSBF1503	RALBFv3_RS00135	RALBFv3_RS00135		gamma-glutamylcyclotransferase	0.614	0.424	0.347	0.375	0.255	0.179	-0.346	0.439
