orgId	locusId	sysName	geneName	desc	set1IT006 KB	set1IT008 KB with Dimethyl Sulfoxide 0.42 vol%	set1IT012 KB with Acriflavine 1.25 ug/ml	set1IT014 KB with Ampicillin 0.775 ug/ml	set1IT016 KB with Berberine 15.6 ug/ml	set1IT018 KB with Carbenicillin 3.1 ug/ml	set1IT020 KB with Chloramphenicol 1.55 ug/ml	set1IT022 KB with Erythromycin 6.25 ug/ml	set1IT030 KB with Nalidixic 0.775 ug/ml	set1IT034 KB with Nitrofurantoin 31.25 ug/ml	set1IT038 KB with Phloretin 125 ug/ml	set1IT046 KB with Trimethoprim 15.6 ug/ml	set3IT010 KB with Acridine orange 3.125 ug/ml	set3IT020 KB with Mitomycin C 0.05 ug/ml	set4IT014 KB	set4IT016 KB with Dimethyl Sulfoxide 1.25 vol%	set4IT018 KB with Rifampicin 0.1 mg/ml	set4IT020 KB with capsaicin 0.25 mg/ml	set4IT022 KB with capsaicin 0.125 mg/ml	set4IT026 KB with Flavone 0.125 mg/ml	set4IT028 KB with Rotenone 0.25 mg/ml	set4IT030 KB with Rotenone 0.125 mg/ml	set4IT032 KB with Nitrofurantoin 0.0625 mg/ml
SyringaeB728a_mexBdelta	Psyr_0003	Psyr_0003		DNA replication and repair protein RecF	-0.076	0.043	-0.203	-0.164	-0.108	0.166	-0.020	-0.044	-0.102	-1.920	-0.046	-0.020	0.122	0.022	-0.060	-0.158	-0.093	-0.078	-0.044	-0.136	-0.317	0.005	-2.336
SyringaeB728a_mexBdelta	Psyr_0005	Psyr_0005		conserved hypothetical protein	0.030	0.015	-0.094	0.019	-0.019	0.146	0.210	0.092	0.032	0.066	0.024	0.035	-0.116	-0.127	0.006	0.016	0.015	-0.102	0.096	-0.107	-0.045	0.102	0.070
SyringaeB728a_mexBdelta	Psyr_0006	Psyr_0006		putative phenylacetaldoxime dehydratase	-0.154	0.036	-0.202	-0.104	-0.119	0.051	-0.157	-0.190	-0.260	-0.201	-0.099	-0.037	-0.028	-0.310	-0.031	-0.153	-0.053	-0.040	-0.093	-0.104	-0.191	0.008	-0.047
SyringaeB728a_mexBdelta	Psyr_0007	Psyr_0007		Aliphatic nitrilase	0.104	-0.206	-0.110	0.007	-0.011	-0.092	0.049	-0.059	0.034	0.059	-0.161	0.032	0.256	0.140	0.012	0.038	-0.084	-0.089	-0.006	0.064	-0.068	0.046	-0.038
SyringaeB728a_mexBdelta	Psyr_0008	Psyr_0008		transcriptional regulator, AraC family	0.043	0.137	-0.151	-0.066	-0.099	-0.223	-0.106	-0.209	-0.036	-0.026	-0.126	-0.080	-0.007	-0.368	0.140	0.032	-0.068	-0.054	-0.074	0.025	0.001	0.062	0.017
SyringaeB728a_mexBdelta	Psyr_0013	Psyr_0013		DNA-3-methyladenine glycosylase I	-0.161	-0.038	-0.164	-0.369	-0.076	0.119	-0.233	-0.425	-0.147	-0.396	-0.022	-0.381	-0.683	-0.256	-0.075	0.129	0.026	-0.112	-0.261	-0.099	0.088	-0.242	-0.277
SyringaeB728a_mexBdelta	Psyr_0014	Psyr_0014		lipid A biosynthesis acyltransferase	-1.599	-2.206	-3.377	-0.967	-3.063	-1.407	-1.575	-2.957	-3.077	-0.220	-2.554	-2.812	-4.793	-3.342	-1.046	-2.021	-2.055	-4.410	-4.020	-4.189	-2.459	-1.782	-0.979
SyringaeB728a_mexBdelta	Psyr_0015	Psyr_0015		Oxidoreductase alpha (molybdopterin) subunit	-0.012	0.036	-0.087	0.039	0.029	0.009	-0.114	0.010	0.072	0.021	-0.026	0.043	0.112	-0.066	0.024	0.060	0.023	0.023	0.045	-0.022	-0.030	0.092	0.058
SyringaeB728a_mexBdelta	Psyr_0016	Psyr_0016		TrkA-N:TrkA-C	0.090	0.071	0.030	-0.164	-0.026	0.305	-0.059	-0.019	0.245	0.221	-0.043	-0.022	-0.492	-0.575	0.108	0.109	0.221	0.130	0.141	0.205	0.095	0.027	0.288
SyringaeB728a_mexBdelta	Psyr_0017	Psyr_0017		16S rRNA m(5)C-967 methyltransferase	0.218	-0.111	-0.005	-0.540	-0.674	-0.321	0.166	-0.297	0.180	-0.209	-0.338	0.057	-0.431	0.376	0.030	-0.008	0.473	-0.520	-0.198	-0.341	-0.288	-0.260	-0.190
