rxn_id	old_deltag	old_deltagerr	new_deltag	new_deltagerr
rxn00001	-3.46	0.05	-16.48	3.63
rxn00002	-20.14	1.86	-84.59	64.41
rxn00003	8.27	0.9	46.7	73.72
rxn00004	4.49	0.57	7.29	73.19
rxn00006	-46.06	1.64	-194.61	9.04
rxn00007	-2.79	0.26	-11.18	3.81
rxn00008	62.53	0.8	263.16	5.42
rxn00009	2.7	1.52	-39.0	3.76
rxn00010	-4.57	1.08	-17.7	6.43
rxn00011	7.23	0.84	0.15	139.21
rxn00012	-1.36	1.32	-34.22	73.26
rxn00013	-3.73	0.95	-10.18	5.12
rxn00015	-1.2	1.08	-13.69	92.9
rxn00016	-3.2	0.86	-8.13	83.84
rxn00017	18.48	13.84	-55.95	164.42
rxn00018	-6.24	0.92	-37.95	5.45
rxn00019	10000000.0	10000000.0	-418.39	297.72
rxn00020	-2.63	0.42	57.19	66.05
rxn00021	2.81	0.44	4.06	143.8
rxn00022	-3.48	0.38	-14.94	4.1
rxn00024	-125.98	2.59	-47.26	234.14
rxn00025	-86.46	1.22	-304.16	142.32
rxn00026	-26.84	1.03	-110.34	93.21
rxn00028	-103.9	3.91	-424.1	234.61
rxn00029	-24.58	0.97	-172.72	195.95
rxn00030	-2.83	0.26	-8.19	101.41
rxn00031	0.0	10.63	11.13	10.99
rxn00032	-101.23	0.92	-411.17	141.94
rxn00033	-159.92	2.75	-559.76	113.99
rxn00034	-87.92	0.79	-219.57	150.06
rxn00035	-119.25	1.85	-202.29	393.17
rxn00036	-82.41	3.41	-711.35	415.88
rxn00037	-107.75	2.01	-283.0	340.35
rxn00038	-11.98	1.19	-35.25	68.93
rxn00039	-2.55	0.35	-6.72	70.75
rxn00040	-13.77	0.8	-96.48	130.57
rxn00041	-13.87	0.8	-111.84	130.06
rxn00042	-101.47	1.76	-385.29	119.93
rxn00043	-71.27	4.91	-704.34	470.95
rxn00044	1.15	0.41	0.46	45.31
rxn00045	0.0	18.06	0.0	3.62
rxn00046	-1.82	0.96	4.02	81.3
rxn00047	-14.55	0.79	-23.42	167.44
rxn00050	134.22	3.45	337.14	192.87
rxn00051	-118.04	4.77	-526.59	560.88
rxn00052	-40.01	1.05	-158.31	71.76
rxn00053	10000000.0	10000000.0	69.66	169.37
rxn00054	-286.32	7.81	-1367.18	480.48
rxn00055	-34.08	14.54	-26.95	476.51
rxn00056	-11.89	4.12	-52.29	21.14
rxn00057	-264.94	7.82	-1316.81	711.61
rxn00060	-32.71	2.06	-286.71	484.54
rxn00061	-11.9	0.15	-52.65	3.68
rxn00062	-6.16	0.07	-26.18	3.64
rxn00063	-8.43	0.14	-36.17	3.68
rxn00064	-13.75	0.86	-24.7	3.73
rxn00065	1.72	0.24	5.3	3.82
rxn00066	-77.79	0.79	-328.56	5.36
rxn00067	2.91	11.5	2.64	8.14
rxn00068	48.81	2.02	205.11	10.86
rxn00069	11.53	0.22	48.48	3.79
rxn00070	3.7	0.21	104.81	3.75
rxn00072	10000000.0	10000000.0	620.23	634.72
rxn00074	10000000.0	10000000.0	71.51	520.03
rxn00075	-8.85	0.79	-25.51	5.3
rxn00076	-8.79	0.73	-2.32	3.81
