organism	reaction	marvin_dir	opam2_dir	changed	marvin_dg	opam2_dg
ecoli	rxn10223_c0	blocked	blocked	False		
ecoli	rxn08016_c0	blocked	blocked	False		
ecoli	rxn03247_c0	blocked	blocked	False	0.951879787379255	0.9518797895845523
ecoli	EX_cpd00396_e0	blocked	blocked	False		
ecoli	rxn08901_c0	blocked	blocked	False	201.62349502299907	201.4411887361993
ecoli	rxn16574_c0	blocked	blocked	False	-31.179722859534536	-33.84194402687251
ecoli	rxn02321_c0	blocked	blocked	False	-4.437844826204454	-4.437844826204454
ecoli	rxn05447_c0	blocked	blocked	False		
ecoli	rxn02518_c0	blocked	blocked	False	-33.132737549953504	-35.78689288006376
ecoli	rxn10230_c0	blocked	blocked	False		
ecoli	rxn05006_c0	blocked	blocked	False	-52.29013475303543	-51.51507502559582
ecoli	rxn06672_c0	blocked	blocked	False		
ecoli	EX_cpd10516_e0	blocked	blocked	False		
ecoli	EX_cpd00281_e0	blocked	blocked	False		
ecoli	rxn03538_c0	blocked	blocked	False	-72.26211673850815	-73.33038091912562
ecoli	rxn08123_c0	blocked	blocked	False		
ecoli	rxn12636_c0	blocked	blocked	False		
ecoli	EX_cpd00244_e0	blocked	blocked	False		
ecoli	rxn05457_c0	blocked	blocked	False		
ecoli	rxn10264_c0	blocked	blocked	False		
ecoli	rxn16679_c0	blocked	blocked	False	-415.91924083385675	-415.89199449351645
ecoli	rxn05167_c0	blocked	blocked	False	-25.459409689877987	-26.175043300205324
ecoli	rxn00926_c0	blocked	blocked	False	-18.358196321294045	-18.30771075826719
ecoli	rxn03253_c0	blocked	blocked	False	-16.655791813310344	-13.510880804234631
ecoli	EX_cpd00033_e0	blocked	blocked	False		
ecoli	rxn01127_c0	blocked	blocked	False	-1.4447905042125058	0.29668593858491477
ecoli	rxn45996_c0	blocked	blocked	False	169.5564418840434	111.38950459092399
ecoli	rxn01653_c0	blocked	blocked	False	-120.50744209967434	-122.67809438045629
ecoli	rxn08816_c0	blocked	blocked	False		
ecoli	rxn01775_c0	blocked	blocked	False	25.883950278501345	25.816951883910974
ecoli	rxn11944_c0	blocked	blocked	False	-22.927311378054284	-31.186155521451994
ecoli	rxn04604_c0	blocked	blocked	False	-6.268941192754966	-6.270111399885195
ecoli	rxn16680_c0	blocked	blocked	False	-4.540629404360892	-8.069913347842125
ecoli	EX_cpd00107_e0	blocked	blocked	False		
ecoli	rxn00145_c0	blocked	blocked	False		
ecoli	rxn01840_c0	blocked	blocked	False	59.88838509826415	59.82782197394668
ecoli	EX_cpd00156_e0	blocked	blocked	False		
ecoli	rxn00416_c0	blocked	blocked	False	-28.77516840158529	-30.925973519785714
ecoli	rxn00239_c0	variable	variable	False	-1.583852871208478	0.24152850364350797
ecoli	rxn01362_c0	blocked	blocked	False		
ecoli	rxn07951_c0	blocked	blocked	False		
ecoli	rxn00549_c0	blocked	blocked	False	-9.016673542562103	-8.372064847805802
ecoli	rxn03242_c0	blocked	blocked	False	23.92892806583231	23.55724530846973
ecoli	rxn02911_c0	blocked	blocked	False	0.9518797873797098	0.951879789742577
ecoli	rxn00555_c0	blocked	blocked	False	-13.109054323439949	-12.5406603334512
ecoli	rxn08850_c0	blocked	blocked	False		
ecoli	rxn02897_c0	blocked	blocked	False	-82.14382537844081	-82.53433351559211
