organism	thermo_source	cpd_id	cpd_name	expected	growth	predicted	classification
ecoli	unconstrained	cpd00027	D-Glucose	True	265.0	True	CP
ecoli	unconstrained	cpd00082	D-Fructose	True	265.0	True	CP
ecoli	unconstrained	cpd00036	Succinate	True	153.75	True	CP
ecoli	unconstrained	cpd00029	Acetate	True	75.0	True	CP
ecoli	unconstrained	cpd00100	Glycerol	True	151.25	True	CP
ecoli	unconstrained	cpd00179	Maltose	True	455.0	True	CP
ecoli	unconstrained	cpd00064	Citrate	True	226.25	True	CP
ecoli	unconstrained	cpd00020	Pyruvate	True	103.75	True	CP
ecoli	unconstrained	cpd00141	D-Mannitol	True	0.0	False	FN
ecoli	unconstrained	cpd00076	Sucrose	False	0.0	False	CN
ecoli	unconstrained	cpd00047	Formate	False	18.75	True	FP
ecoli	unconstrained	cpd00072	D-Arabinose	False	0.0	False	CN
ecoli	marvin	cpd00027	D-Glucose	True	0.0	False	FN
ecoli	marvin	cpd00082	D-Fructose	True	0.0	False	FN
ecoli	marvin	cpd00036	Succinate	True	0.0	False	FN
ecoli	marvin	cpd00029	Acetate	True	0.0	False	FN
ecoli	marvin	cpd00100	Glycerol	True	0.0	False	FN
ecoli	marvin	cpd00179	Maltose	True	0.0	False	FN
ecoli	marvin	cpd00064	Citrate	True	0.0	False	FN
ecoli	marvin	cpd00020	Pyruvate	True	0.0	False	FN
ecoli	marvin	cpd00141	D-Mannitol	True	0.0	False	FN
ecoli	marvin	cpd00076	Sucrose	False	0.0	False	CN
ecoli	marvin	cpd00047	Formate	False	0.0	False	CN
ecoli	marvin	cpd00072	D-Arabinose	False	0.0	False	CN
ecoli	opam2	cpd00027	D-Glucose	True	0.0	False	FN
ecoli	opam2	cpd00082	D-Fructose	True	0.0	False	FN
ecoli	opam2	cpd00036	Succinate	True	0.0	False	FN
ecoli	opam2	cpd00029	Acetate	True	0.0	False	FN
ecoli	opam2	cpd00100	Glycerol	True	0.0	False	FN
ecoli	opam2	cpd00179	Maltose	True	0.0	False	FN
ecoli	opam2	cpd00064	Citrate	True	0.0	False	FN
ecoli	opam2	cpd00020	Pyruvate	True	0.0	False	FN
ecoli	opam2	cpd00141	D-Mannitol	True	0.0	False	FN
ecoli	opam2	cpd00076	Sucrose	False	0.0	False	CN
ecoli	opam2	cpd00047	Formate	False	0.0	False	CN
ecoli	opam2	cpd00072	D-Arabinose	False	0.0	False	CN
bsubtilis	unconstrained	cpd00027	D-Glucose	True	110.0	True	CP
bsubtilis	unconstrained	cpd00082	D-Fructose	True	90.0	True	CP
bsubtilis	unconstrained	cpd00036	Succinate	True	52.5	True	CP
bsubtilis	unconstrained	cpd00029	Acetate	True	0.0	False	FN
bsubtilis	unconstrained	cpd00100	Glycerol	True	60.0	True	CP
bsubtilis	unconstrained	cpd00179	Maltose	True	210.0	True	CP
bsubtilis	unconstrained	cpd00064	Citrate	True	100.0	True	CP
bsubtilis	unconstrained	cpd00020	Pyruvate	True	20.0	True	CP
bsubtilis	unconstrained	cpd00141	D-Mannitol	True	0.0	False	FN
bsubtilis	unconstrained	cpd00076	Sucrose	False	0.0	False	CN
bsubtilis	unconstrained	cpd00047	Formate	False	10.0	True	FP
bsubtilis	unconstrained	cpd00072	D-Arabinose	False	0.0	False	CN
bsubtilis	marvin	cpd00027	D-Glucose	True	0.0	False	FN
bsubtilis	marvin	cpd00082	D-Fructose	True	0.0	False	FN
bsubtilis	marvin	cpd00036	Succinate	True	0.0	False	FN
bsubtilis	marvin	cpd00029	Acetate	True	0.0	False	FN
bsubtilis	marvin	cpd00100	Glycerol	True	0.0	False	FN
bsubtilis	marvin	cpd00179	Maltose	True	0.0	False	FN
bsubtilis	marvin	cpd00064	Citrate	True	0.0	False	FN
bsubtilis	marvin	cpd00020	Pyruvate	True	0.0	False	FN
bsubtilis	marvin	cpd00141	D-Mannitol	True	0.0	False	FN
bsubtilis	marvin	cpd00076	Sucrose	False	0.0	False	CN
bsubtilis	marvin	cpd00047	Formate	False	0.0	False	CN
bsubtilis	marvin	cpd00072	D-Arabinose	False	0.0	False	CN
bsubtilis	opam2	cpd00027	D-Glucose	True	0.0	False	FN
bsubtilis	opam2	cpd00082	D-Fructose	True	0.0	False	FN
bsubtilis	opam2	cpd00036	Succinate	True	0.0	False	FN
bsubtilis	opam2	cpd00029	Acetate	True	0.0	False	FN
bsubtilis	opam2	cpd00100	Glycerol	True	0.0	False	FN
bsubtilis	opam2	cpd00179	Maltose	True	0.0	False	FN
bsubtilis	opam2	cpd00064	Citrate	True	0.0	False	FN
bsubtilis	opam2	cpd00020	Pyruvate	True	0.0	False	FN
bsubtilis	opam2	cpd00141	D-Mannitol	True	0.0	False	FN
bsubtilis	opam2	cpd00076	Sucrose	False	0.0	False	CN
bsubtilis	opam2	cpd00047	Formate	False	0.0	False	CN
bsubtilis	opam2	cpd00072	D-Arabinose	False	0.0	False	CN
