functional_group	n	mae	median_abs_diff	pct_within_1	pct_gt_5
alcohol_or_phenol	41771	1.966990451707636	1.6643374633789063	32.30231500323191	4.984319264561538
carboxylic_acid_or_ester	8474	0.6777875078638853	0.45127828598022446	78.46353552041538	0.2242152466367713
amide_nh	7879	2.20652046798646	1.6557292556762704	35.27097347379109	9.392054829293057
aromatic_n	7622	4.123055207757492	2.905286130905152	29.32301233272107	27.643663080556287
tertiary_amine	6899	1.6549033770911639	0.8308135414123532	56.413973039570955	8.783881721988694
phosphate	6204	2.204004263111386	0.8747761416435241	54.626047711154094	6.656995486782721
guanidine_or_amidine	1895	6.520660575835246	6.363709907531739	14.775725593667547	60.844327176781
sulfonate_or_sulfate	593	1.8539552880057197	1.8752255630493164	19.898819561551434	0.8431703204047217
other	568	4.413137839831096	3.3690773677825927	9.15492957746479	35.73943661971831
thiol_or_thioether	266	1.4516395275530063	1.0032161903381347	50.0	2.2556390977443606
