locusId	sysName	scaffoldId	begin	end	strand	type	desc
DDA3937_RS00005	DDA3937_RS00005	NC_014500	32	475	-	1	FMN-binding protein MioC
DDA3937_RS00010	DDA3937_RS00010	NC_014500	567	1031	-	1	transcriptional regulator AsnC
DDA3937_RS00015	DDA3937_RS00015	NC_014500	1178	2653	-	1	ATPase RavA stimulator ViaA
DDA3937_RS00020	DDA3937_RS00020	NC_014500	2659	4155	-	1	ATPase RavA
DDA3937_RS00025	DDA3937_RS00025	NC_014500	4431	6299	+	1	low affinity potassium transporter Kup
DDA3937_RS00030	DDA3937_RS00030	NC_014500	6696	7115	+	1	D-ribose pyranase
DDA3937_RS00035	DDA3937_RS00035	NC_014500	7123	8628	+	1	ribose ABC transporter ATP-binding protein RbsA
DDA3937_RS00040	DDA3937_RS00040	NC_014500	8636	9604	+	1	ribose ABC transporter permease
DDA3937_RS00045	DDA3937_RS00045	NC_014500	9631	10518	+	1	ribose ABC transporter substrate-binding protein RbsB
DDA3937_RS00050	DDA3937_RS00050	NC_014500	10604	11530	+	1	ribokinase
DDA3937_RS00055	DDA3937_RS00055	NC_014500	11534	12538	+	1	ribose operon transcriptional repressor RbsR
DDA3937_RS00060	DDA3937_RS00060	NC_014500	12976	14517	+	2	16S ribosomal RNA
DDA3937_RS00065	DDA3937_RS00065	NC_014500	14604	14679	+	5	tRNA-Glu
DDA3937_RS00070	DDA3937_RS00070	NC_014500	14874	17781	+	2	23S ribosomal RNA
DDA3937_RS00075	DDA3937_RS00075	NC_014500	17890	18005	+	2	5S ribosomal RNA
DDA3937_RS00080	DDA3937_RS00080	NC_014500	18263	18790	-	1	molybdopterin-guanine dinucleotide biosynthesis protein B
DDA3937_RS00085	DDA3937_RS00085	NC_014500	18783	19358	-	1	molybdenum cofactor guanylyltransferase MobA
DDA3937_RS00090	DDA3937_RS00090	NC_014500	19469	19738	+	1	YihD family protein
DDA3937_RS00095	DDA3937_RS00095	NC_014500	19780	20766	+	1	serine/threonine protein kinase
DDA3937_RS00100	DDA3937_RS00100	NC_014500	20789	21412	+	1	thiol:disulfide interchange protein DsbA
DDA3937_RS00105	DDA3937_RS00105	NC_014500	21791	24625	+	1	DNA polymerase I
DDA3937_RS00110	DDA3937_RS00110	NC_014500	25090	25734	-	1	YihA family ribosome biogenesis GTP-binding protein
DDA3937_RS00115	DDA3937_RS00115	NC_014500	25958	26491	+	1	Der GTPase-activating protein YihI
DDA3937_RS00120	DDA3937_RS00120	NC_014500	26673	28046	+	1	oxygen-independent coproporphyrinogen III oxidase
DDA3937_RS22930	DDA3937_RS22930	NC_014500	28121	28243	-	1	YshB family small membrane protein
DDA3937_RS00125	DDA3937_RS00125	NC_014500	28390	29802	-	1	nitrogen regulation protein NR(I)
DDA3937_RS00130	DDA3937_RS00130	NC_014500	29811	30860	-	1	nitrogen regulation protein NR(II)
DDA3937_RS00135	DDA3937_RS00135	NC_014500	31065	32474	-	1	glutamate--ammonia ligase
DDA3937_RS00140	DDA3937_RS00140	NC_014500	32852	34675	+	1	ribosome-dependent GTPase TypA
DDA3937_RS00145	DDA3937_RS00145	NC_014500	34898	35509	+	1	glucose-1-phosphatase
DDA3937_RS00150	DDA3937_RS00150	NC_014500	35517	35954	+	1	D-tyrosyl-tRNA(Tyr) deacylase
DDA3937_RS00155	DDA3937_RS00155	NC_014500	35988	36929	+	1	fatty acid biosynthesis protein FabY
DDA3937_RS00160	DDA3937_RS00160	NC_014500	36993	38735	-	1	AsmA family protein
DDA3937_RS00165	DDA3937_RS00165	NC_014500	38891	40279	-	1	uracil-xanthine permease
DDA3937_RS00170	DDA3937_RS00170	NC_014500	40461	42542	-	1	ATP-dependent DNA helicase RecG
DDA3937_RS00175	DDA3937_RS00175	NC_014500	42542	43234	-	1	tRNA (guanosine(18)-2'-O)-methyltransferase TrmH
DDA3937_RS00180	DDA3937_RS00180	NC_014500	43241	45343	-	1	bifunctional GTP diphosphokinase/guanosine-3',5'-bis pyrophosphate 3'-pyrophosphohydrolase
DDA3937_RS00185	DDA3937_RS00185	NC_014500	45368	45643	-	1	DNA-directed RNA polymerase subunit omega
DDA3937_RS00190	DDA3937_RS00190	NC_014500	45698	46321	-	1	guanylate kinase
DDA3937_RS00195	DDA3937_RS00195	NC_014500	46628	48310	+	1	NAD-dependent DNA ligase LigB
DDA3937_RS00200	DDA3937_RS00200	NC_014500	48677	50359	+	1	kdo(2)-lipid A phosphoethanolamine 7''-transferase
