strain_id	genome_name	taxon_name	taxon_order	size	genes	contigs	n_unique_kos	n_total_ko_genes	guild	pca1	pca2	genus	species
EB106-03-03-XG65	EB106-03-03-XG65.1	Environmental isolate EB106-03-03-XG65 Unconfirmed Organism.	Micrococcales	3673967	3528	2	1424	2047.0	5	-15.073323144445425	12.013938361147089	Microbacterium	
EB106-05-01-XG146	EB106-05-01-XG146.3	Ensifer adhaerens EB106-05-01-XG146	Hyphomicrobiales	7409761	7072	3	2312	3973.0	6	-4.598613333994953	2.058884346642007	Ensifer	Ensifer adhaerens
EB106-05-01-XG201	EB106-05-01-XG201.3	Environmental isolate EB106-05-01-XG201	Enterobacterales	4972118	4581	3	2863	3902.0	1	6.77601926770216	11.579377734253086	Lelliottia	Lelliottia sp030238365
EB106-07-01-XG149	EB106-07-01-XG149.1	Environmental isolate EB106-07-01-XG149	Bacillales	5464167	5643	30	1951	3027.0	4	-15.33980792849384	14.977086854652594	Bacillus_A	Bacillus_A wiedmannii
EB271-G4-3-1	EB271-G4-3-1.1	Environmental isolate EB271-G4-3-1	Burkholderiales	6150600	5476	39	2190	3139.0	3	-1.1760089706951593	-10.921613578052895	Janthinobacterium	Janthinobacterium lividum_C
FW104-10B01	FW104-10B01.ncbi.1	Rhodanobacter denitrificans	Xanthomonadales	3959115	3628	1	1625	1985.0	8	-8.500647208143429	2.80337291529944	Rhodanobacter	Rhodanobacter denitrificans
FW104-10F02	FW104-10F02.ncbi.1	Rhodanobacter denitrificans	Xanthomonadales	3959114	3626	1	1628	1988.0	8	-8.483090681323894	2.727033737054549	Rhodanobacter	Rhodanobacter denitrificans
FW104-R3	FW104-R3.ncbi.1	Rhodanobacter denitrificans	Xanthomonadales	5145157	7275	4419	1554	1977.0	8	-8.949151250873342	3.0555152546291486	Rhodanobacter	Rhodanobacter denitrificans
FW215-L2	PseudoFW215-L2	Pseudomonas sp. FW215-L2	Pseudomonadales	7314884	6691	320	2761	4266.0	2	19.92021474572729	4.077141385016111	Pseudomonas_E	Pseudomonas_E sp002874965
FW300-N1B4	FW300-N1B4.ncbi.1	Pseudomonas sp. FW300-N1B4	Pseudomonadales	6630486	6128	6	2553	3609.0	2	18.54596121846229	4.2356308136367895	Pseudomonas_E	Pseudomonas_E sp000282495
FW300-N2A2	FW300-N2A2.ncbi.1	Pseudomonas sp. FW300-N2A2	Pseudomonadales	6422247	5873	82	2564	3689.0	2	19.512379236065364	4.899601952111016	Pseudomonas_E	Pseudomonas_E sp000282415
FW300-N2E2	FW300-N2E2.2	Pseudomonas sp. FW300-N2E2	Pseudomonadales	6916500	7303	1	2677	4748.0	2	18.524934184424044	3.146970618218919	Pseudomonas_E	Pseudomonas_E fluorescens_Q
FW300-N2E3	FW300-N2E3.ncbi.1	Pseudomonas sp. FW300-N2E3	Pseudomonadales	6386303	5956	7	2579	3709.0	2	18.82578504029495	5.169641271568645	Pseudomonas_E	Pseudomonas_E helvetica
